Bird, MEX, 1f3ec013-e7a1-46b8-82ac-bfa096635032, 80, 11523, No update data, 9g3qx20mxv6r
Bird, MEX, 14970e6e-e013-4590-8f71-9214ea2f37c0, 96, 13430, No update data, 9g3qx8bp6ver
Bird, MEX, 30b86e43-c8a7-4bfa-bf10-588a81a365d1, 97, 13588, No update data, 9g3qx8bp5w3c
Bird, MEX, e8aeed4d-683e-4f07-aac9-8aa11327775a, 99, 13904, No update data, 9g3qx90042p4
Bird, MEX, b5d4fccd-e73f-48e1-9d91-b96a0c896402, 98, 13746, No update data, 9g3qrrzk0pmx
Bird, MEX, 7dfac7ef-6e1b-4173-b7b6-c9dee25a343a, 80, 11523, No update data, 9g3qx8bpk600
Bird, MEX, cd01213d-9873-4a73-9113-022b45577801, 100, 14863, No update data, 9g3qx8bpkhg1
Bird, MEX, c645c1cc-881f-4034-9678-b3fdb6020131, 93, 13694, No update data, 9g3qx20s3h4j
Bird, MEX, 05657a08-52fb-4b54-9e31-d3cf41b3234c, 93, 12956, No update data, 9g3qx8bpshgh
Bird, MEX, 0c20639e-5712-4a37-8dbe-1dba147cae43, 90, 13193, No update data, 9g3qx20mnj9h
Bird, MEX, d937a8bd-0600-4333-8493-d8637b1848f2, 83, 12024, No update data, 9g3qx8bnyw4y
Bird, MEX, a48d6851-4bd5-4add-b1d0-9d933960a53c, 96, 14195, No update data, 9g3qx209j4ud
Bird, MEX, 26ed862c-b040-42aa-8d3b-d942b8998ab5, 96, 14195, No update data, 9g3qx209kj6u
Bird, MEX, d7ccf8c6-0a0e-4aba-bbf0-717c1cf8f6b7, 88, 12859, No update data, 9g3qx303jcs5
Bird, MEX, 5c1ec0e4-2762-42ae-8674-6dd8c68ea9c6, 91, 13360, No update data, 9g3qx208v9tb
Bird, MEX, dd5d01a4-617b-4c5c-9dcc-719955edd02d, 44, 5214, No update data, 9g3qx3sftr6u
Bird, MEX, 8cb4650d-7205-4523-ad35-1f77c86d39f7, 96, 14195, No update data, 9g3qrrbz8c7v
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 93, 13694, No update data, 9g3qrrbz8dyz
Bird, MEX, ec4a6eab-3e21-4544-b696-53b33dacfdb9, 92, 13527, No update data, 9g3qx20976ut
Bird, MEX, 66cd7b58-b6cc-4d4f-bf73-e0661cda79e5, 96, 14195, No update data, 9g3qrrbyfpkv
Bird, MEX, 1761c249-cf5e-451f-96cb-2409fdebb239, 80, 11523, No update data, 9g3qx20m9x53
Bird, MEX, 19b4c6ce-51f7-45eb-8e06-9886c5151567, 92, 13527, No update data, 9g3qx208mq6f
Bird, MEX, 4d02ca4a-c96a-4f1b-aedf-8f138272da3b, 93, 13694, No update data, 9g3qx209ckbm
