Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 42, 4898, No update data, 9g3qx2ctxmbf
Bird, MEX, ceb26f54-09ec-44b4-b928-476cf5a82926, 98, 13746, No update data, 9g3qx21xp60z
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 83, 11376, No update data, 9g3qx2z51bnf
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 69, 9164, No update data, 9g3qx2z5476p
Bird, MEX, 4caf17b2-5dfe-4e34-8ecc-03927add5088, 97, 14362, No update data, 9g3qx2yvtnsx
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 94, 13861, No update data, 9g3qx2yyfxb0
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 84, 11534, No update data, 9g3qx2z56x85
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 84, 11534, No update data, 9g3qx2z57m7t
Bird, MEX, 2a5325db-3946-4d15-ac61-26abefd8c45e, 56, 7515, No update data, 9g3qx2zh6n7g
Bird, MEX, a0336dc2-b55c-4bc7-b374-bca41585f67c, 97, 14362, No update data, 9g3qx2yytnkw
Bird, MEX, c8bcfb7d-1d1c-444e-8740-47810b5a00c2, 96, 13430, No update data, 9g3qx233wnp7
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 88, 12166, No update data, 9g3qx233vmzg
Bird, MEX, 24ad8133-a7fa-4cf0-8e41-66fac3d9959f, 97, 13588, No update data, 9g3qx21wkczx
Bird, MEX, 1ba2076a-c5ee-4b15-8423-b3a3a18e9287, 100, 14062, No update data, 9g3qx233tq6v
Bird, MEX, 6f8130ff-0110-410a-a838-ad21ad88e88a, 98, 13746, No update data, 9g3qx21wftb5
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 90, 12482, No update data, 9g3qx2365bhc
Bird, MEX, b2e3c829-5ace-41a0-a656-23f18e4fb866, 84, 12191, No update data, 9g3qx2z398gd
Bird, MEX, 847e0733-5631-469d-a432-1495ff3996af, 96, 13430, No update data, 9g3qx21x144p
Bird, MEX, b77731ba-e697-4eb0-a862-e8b60ba1b526, 54, 7181, No update data, 9g3qx23puz9r
Bird, MEX, 7eb9f5b2-d82b-4eac-8620-fb60dc01546d, 80, 11523, No update data, 9g3qx23psy17
Bird, MEX, 9e2076dd-7e4a-4c88-b519-5b4d6b32bd96, 96, 13430, No update data, 9g3qx23phvp8
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 91, 13360, No update data, 9g3qx2yzrwur
Bird, MEX, 3920bda7-b0f7-4ee7-ad10-1b8c92d03dea, 80, 11523, No update data, 9g3qx233cbwd
Bird, MEX, 7181da95-aada-4f09-abc7-b0a9b22f0195, 97, 14362, No update data, 9g3qx233cs52
