Bird, MEX, 231cc8f7-fe60-4162-ba58-c2a5334c1c0f, 99, 13904, No update data, 9g3qx2914hku
Bird, MEX, b6b2e6b0-2bad-431a-99d0-a1ea379fe53e, 98, 13746, No update data, 9g3qx2941bn9
Bird, MEX, 47228861-e8c3-49cc-98b4-75de03f0f164, 98, 13746, No update data, 9g3qx232crtr
Bird, MEX, 15b2d61a-a693-4026-9a75-83a6c6e7c57d, 97, 13588, No update data, 9g3qx232c7mk
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 87, 12008, No update data, 9g3qx232b90w
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 98, 13746, No update data, 9g3qx2912p28
Bird, MEX, 41f54773-ba15-4d2b-b496-7e0ab99dafff, 97, 14362, No update data, 9g3qx21mr38v
Bird, MEX, c214602d-d67c-4b09-ba99-34b2d47493b0, 100, 14062, No update data, 9g3qx230zh5b
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 98, 13746, No update data, 9g3qx2320d0x
Bird, MEX, de0074f8-dfba-47dd-8a7b-2c4f0a7acf2f, 89, 13026, No update data, 9g3qx21mph7u
Bird, MEX, b5cd7192-78e7-45dd-a081-58caacc5e8e9, 91, 13360, No update data, 9g3qx21kzr8z
Bird, MEX, 6ee4517f-d25f-4800-a33b-b711101143f4, 96, 14195, No update data, 9g3qx3k7ubzt
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 98, 13746, No update data, 9g3qx231sy5e
Bird, MEX, 5e0012f4-cf1b-496f-8e47-337dd9dbf496, 91, 12640, No update data, 9g3qx21mmsmz
Bird, MEX, 1a108a8c-4379-452a-b475-670a843ee147, 100, 14062, No update data, 9g3qx230p8up
Bird, MEX, 09458811-7896-40fa-9ac1-6186f561896c, 96, 13430, No update data, 9g3qx3k7v6fc
Bird, MEX, a4e2d25a-6ab6-4d00-bef6-65b5f22f3daa, 57, 7682, No update data, 9g3qx3k7veqj
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 49, 6004, No update data, 9g3qx3p11ppn
Bird, MEX, cddf1b28-4863-4c52-a305-811b2c47c640, 100, 14062, No update data, 9g3qx21pzqbc
Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 93, 12956, No update data, 9g3qx2zku7wq
Bird, MEX, db1c2d5e-da0d-4cf8-8ef9-6faa76b0e819, 91, 13360, No update data, 9g3qx2zkvqdb
Bird, MEX, 334d37ea-4ca1-4106-95ba-3dae5b1e6380, 92, 12798, No update data, 9g3qx2zky8zt
Bird, MEX, fd5a2837-3e18-416e-8a88-19bd4403f0b4, 98, 13746, No update data, 9g3qx2zrbk5c
Bird, MEX, ae02b51b-123a-4953-b879-ccdd4f8d7c0c, 96, 14195, No update data, 9g3qx3p0pz4w
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 22, 1738, No update data, 9g3qx2zkxgxk
Bird, MEX, 2363cb12-8a83-4bf1-ade2-6ffb6a842db8, 38, 4509, No update data, 9g3qx2zs8jvd
Bird, MEX, 5f1a3923-fd37-49e2-89ab-06edd06985b9, 94, 13861, No update data, 9g3qx2zr7h2r
Bird, MEX, c662786d-854d-47c0-968a-b15b122a522f, 70, 9322, No update data, 9g3qx2xu90f6
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 98, 13746, No update data, 9g3qx2zss3b0
Bird, MEX, 09b4b3b1-fb6a-4e2b-a65c-cb1e43f092da, 94, 13861, No update data, 9g3qx21hmgu5
Bird, MEX, 9f1b065e-3c51-4d61-a3a9-0794da215166, 93, 12956, No update data, 9g3qx2zthmyr
Bird, MEX, ac90b4f8-4ec5-4ed2-bb64-605c07442409, 97, 13588, No update data, 9g3qx2ztg8cv
