Bird, MEX, 22d645d8-0daf-41c1-bf14-caf0adb0dab1, 81, 11060, No update data, 9g3qx2wrk6q6
Bird, MEX, 4a5de99c-8d11-47f4-bec2-d3b9fecab8a0, 93, 13694, No update data, 9g3qx2wrjkxz
Bird, MEX, 033184b6-891f-4590-a4ab-42ab9a2dfe60, 100, 14062, No update data, 9g3qx26hptsh
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 100, 14863, No update data, 9g3qx26hp22g
Bird, MEX, c94ef371-15a1-4e5c-8aca-ff77c3951907, 100, 14863, No update data, 9g3qx26hq86w
Bird, MEX, 0e388a23-4e07-4292-a728-6a7fc8b4cb1e, 89, 13026, No update data, 9g3qx265yvmb
Bird, MEX, 571b2623-0401-497f-abf6-9a48840092f0, 100, 14062, No update data, 9g3qx265ye4d
Bird, MEX, c8b73a33-06a6-4e4f-a205-917bcc5eb2e6, 16, 835, No update data, 9g3qx2wrquvc
Bird, MEX, a6b5d096-e9bc-4484-aaf7-f18638ee9d0d, 93, 12956, No update data, 9g3qx3j49qb2
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 100, 14062, No update data, 9g3qx26hgvkb
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 100, 14062, No update data, 9g3qx26h7wzy
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 100, 14062, No update data, 9g3qx26h5vhb
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 100, 14062, No update data, 9g3qx26j4j58
Bird, MEX, 82f371eb-9376-4e75-af16-c7c949307882, 45, 5678, No update data, 9g3qx24u8zgy
Bird, MEX, 92c1b484-7e6b-458a-838c-070795ec1426, 53, 6636, No update data, 9g3qx2y6qeze
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 51, 6320, No update data, 9g3qx2621mtk
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 87, 12008, No update data, 9g3qx2621m02
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 82, 11218, No update data, 9g3qx26208nc
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 94, 13114, No update data, 9g3qx34c2d8s
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 90, 12482, No update data, 9g3qx34c2s0w
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 93, 12956, No update data, 9g3qx34c8dqu
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 94, 13114, No update data, 9g3qx349rtsp
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 93, 12956, No update data, 9g3qx349xsk0
Bird, MEX, 7a7a5026-b63b-47f7-b579-9a9eb71d3eec, 93, 13694, No update data, 9g3qx260cqjm
Bird, MEX, a9c5870c-d9b1-46e8-b250-f543a109c48d, 100, 14062, No update data, 9g3qx2fr6578
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 100, 14062, No update data, 9g3qx2fr3bb2
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 100, 14062, No update data, 9g3qx2fr3uy9
Bird, MEX, 27ff993f-b5a1-4be3-8819-a74cca67f1b8, 100, 14062, No update data, 9g3qx2fr3v8r
Bird, MEX, 7fefdb66-6840-4a63-82c8-d0e2ac5d7ac2, 100, 14863, No update data, 9g3qx2fr9bnx
Bird, MEX, 8005ba09-2c01-4116-8492-59df98519338, 31, 3340, No update data, 9g3qx2yfhn70
Bird, MEX, 58d33584-a58d-4cc4-ac23-1e5d515df7d6, 35, 4008, No update data, 9g3qx2yfemgd
Bird, MEX, a4e52bd5-f951-4d0d-8593-149ba6bd4d2c, 73, 10354, No update data, 9g3qx2yu88pp
Bird, MEX, d8a14599-6bfe-4b25-b186-a541cf79debb, 74, 10521, No update data, 9g3qx2yghu9x
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 80, 10902, No update data, 9g3qx2nzbbs4
Bird, MEX, 9325f3ab-6b03-4dc6-ac29-b0843d05a055, 84, 11534, No update data, 9g3qx341vns8
Bird, MEX, a45e2376-bae6-464e-93fc-54f587107b5e, 62, 8058, No update data, 9g3qx21vfsj0
Bird, MEX, 5726f868-b3c8-409a-b211-64bc3610326e, 100, 14062, No update data, 9g3qx21y1mtk
Bird, MEX, de4f9bf6-4611-4fa5-9948-ec6a9e042f32, 98, 13746, No update data, 9g3qx2z4750r
Bird, MEX, a69a3d39-066b-4e85-8628-48f619700562, 39, 4424, No update data, 9g3qx21xn1zm
Bird, MEX, 43044bfc-ceb6-4ce0-8b0f-bfa82a1e9f23, 96, 13430, No update data, 9g3qx21wwe69
Bird, MEX, 116417a6-7e94-485a-896a-29d8fbc85142, 100, 14062, No update data, 9g3qx21ww6kk
Bird, MEX, 277c32ea-cf96-4c35-a814-7cbd4dbc0c25, 96, 13430, No update data, 9g3qx21wvkpb
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 97, 13588, No update data, 9g3qx236nmk6
Bird, MEX, 94235d68-ce38-4f45-b8d8-544f4a1285f3, 93, 13694, No update data, 9g3qx2zhhmyr
Bird, MEX, 8531c2a7-ace9-4174-a5fe-d0177c1e0304, 98, 13746, No update data, 9g3qx2zhebhz
Bird, MEX, 79d291b2-69b0-43ec-9896-0d8abf12e3d6, 93, 13694, No update data, 9g3qx2yyrwk7
Bird, MEX, 65bc58df-02e5-49b1-9bed-4f76781f1e84, 67, 8848, No update data, 9g3qx2r4n9zt
Bird, MEX, 7698dc2a-c1c9-46a3-958e-1329429632c5, 83, 11376, No update data, 9g3qx2zhn84d
Bird, MEX, d48617dd-3f87-422b-bf8f-d278a96888aa, 91, 12640, No update data, 9g3qx232hngh
Bird, MEX, 9576e053-4a88-4170-9005-5cc00cd21a4d, 67, 9352, No update data, 9g3qx2r395x5
Bird, MEX, def394a3-a092-443a-b6ba-c5621fa758de, 94, 13861, No update data, 9g3qx2z7b8r1
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 87, 12008, No update data, 9g3qx21rendw
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 96, 13430, No update data, 9g3qx21mz1gf
