Bird, MEX, f4be5ebf-4e77-403d-b202-605595061a29, 99, 13904, No update data, 9g3qx27ksk0p
Bird, MEX, 674cb033-e034-4a31-ad45-c42915b47412, 94, 13861, No update data, 9g3qx27e2d8g
Bird, MEX, 40a2a766-b004-473f-882c-8f11369f90f4, 93, 13694, No update data, 9g3qx27kdu5r
Bird, MEX, 81929a38-c6cc-4643-b723-d726d6a8b873, 100, 14863, No update data, 9g3qx27kj0st
Bird, MEX, d7caaaa5-e933-4847-91d0-1f8689c0c779, 87, 12692, No update data, 9g3qx277w7k3
Bird, MEX, b79b987e-d2af-4ec5-a1d8-c098047ec0f4, 94, 13114, No update data, 9g3qx2tsz0s5
Bird, MEX, 0736a316-961b-48ca-a983-aab12362a9d5, 89, 12324, No update data, 9g3qx2m0b75f
Bird, MEX, 98ecc112-8d06-436d-9e58-4191c74ba25e, 63, 8216, No update data, 9g3qx2tsrbrq
Bird, MEX, d0823345-b8c6-476b-b399-8d00c4f8d406, 80, 10902, No update data, 9g3qx2ttpwuh
Bird, MEX, 29089756-bc29-4e84-83a3-83bbcb86ea70, 53, 7014, No update data, 9g3qx2tszvx6
Bird, MEX, 11808844-b605-44be-bc09-c531b3e734ac, 27, 2672, No update data, 9g3qx2tc1pf4
Bird, MEX, a5324893-9031-43c7-af54-fd5ed0ff7f3a, 94, 13114, No update data, 9g3qx2tv24te
Bird, MEX, 63dc07bc-4457-4af4-ac8d-9685fea614ce, 93, 13694, No update data, 9g3qx2tu91f0
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 94, 13114, No update data, 9g3qx2tv11fj
Bird, MEX, 141481f8-d192-4ac9-adb3-e218dc7855d8, 81, 11060, No update data, 9g3qx2tu9vyc
Bird, MEX, 27cea3f0-f8b9-4bbd-b155-904682c6d7e9, 62, 8517, No update data, 9g3qx2tud15u
Bird, MEX, 9c551c74-de69-4c69-a32e-6120ef5cc6c5, 73, 10354, No update data, 9g3qx2tv1w78
Bird, MEX, 2ec5d5ce-2fca-4260-bcb5-f59f66cf558c, 83, 12024, No update data, 9g3qx2tv1v08
Bird, MEX, 53fb9905-002a-45fb-be1c-054644b917cc, 83, 12024, No update data, 9g3qx26vh70j
Bird, MEX, 71056b3b-95c9-44ae-a2d3-433b81ea6318, 64, 8851, No update data, 9g3qx26wp28v
Bird, MEX, 8005ba09-2c01-4116-8492-59df98519338, 93, 13694, No update data, 9g3qx2vdkycx
Bird, MEX, c3c74ce9-d34d-4a5b-8c04-c1f37057d3b9, 70, 9853, No update data, 9g3qx2typbxm
Bird, MEX, 1d851a7d-a4c5-44ab-a21d-59434d2e025d, 57, 7268, No update data, 9g3qx2hj4t8h
Bird, MEX, b1f6ce4a-5722-4800-bf0b-590b7aeda1ea, 49, 6004, No update data, 9g3qx26fdtv1
Bird, MEX, e0d6e24d-8fe4-4b85-903f-4ec581a51fcc, 73, 9796, No update data, 9g3qx2qj7nws
Bird, MEX, 0c3b5bb2-5d31-4934-9871-aeae78a5d2fe, 52, 6847, No update data, 9g3qx2wnj7rz
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 52, 6847, No update data, 9g3qx25jwsfe
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 67, 9352, No update data, 9g3qx2h728qv
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 64, 8374, No update data, 9g3qx2h578rv
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 73, 10354, No update data, 9g3qx2h4fsvj
Bird, MEX, 9d0c26d7-da5f-4782-9391-60668393b103, 73, 10354, No update data, 9g3qx2wqfvgk
Bird, MEX, 9ce7caf6-a241-45b8-b499-100224261917, 64, 8851, No update data, 9g3qx269282t
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 46, 5530, No update data, 9g3qx2y5dx8j
Bird, MEX, 2dc58e40-8f4c-4092-93c7-8c7dbbdd30c6, 87, 12692, No update data, 9g3qx2wqkxe7
Bird, MEX, e0a596a3-e210-4dce-863c-29a74008756c, 48, 6179, No update data, 9g3qx2wqu6b0
Bird, MEX, 71954f6c-e22e-4552-84f2-ac68f52581b2, 39, 4424, No update data, 9g3qx2d0kmwp
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 85, 12358, No update data, 9g3qx2wqmzk3
Bird, MEX, 0afed6fc-c9c9-4066-9f11-730f9caa82e3, 96, 14195, No update data, 9g3qx26hpk2u
Bird, MEX, 34d858a3-f657-404b-957d-c735a4576e20, 93, 12956, No update data, 9g3qx2wqr7z7
Bird, MEX, 14316ff8-2dec-485b-a7a3-ad5e24d9f408, 89, 13026, No update data, 9g3qx26hn86e
Bird, MEX, a6619ad8-524a-4f7f-acc3-b49814715a38, 97, 14362, No update data, 9g3qx26htr6g
Bird, MEX, 41f9e170-a5d0-4ace-bfe3-b1819f713df7, 51, 6680, No update data, 9g3qx2h9sv3r
Bird, MEX, ac7ac880-277c-464a-b701-1e8ec284409c, 91, 13360, No update data, 9g3qx26ht4sw
Bird, MEX, a6c28ce5-8818-44ef-bf64-c489bbe91365, 73, 9796, No update data, 9g3qx26355y2
Bird, MEX, 4316d66d-6de0-44a8-9da3-5703cb0ac7e8, 92, 13527, No update data, 9g3qx26he6hd
Bird, MEX, 64dc3079-c01e-4fb4-a783-6025fc5c2a5d, 84, 11534, No update data, 9g3qx29gwbjy
Bird, MEX, 042dd301-559d-4df6-8e3b-8a7bd125838c, 96, 14195, No update data, 9g3qx26j86ew
Bird, MEX, e004eb82-a525-42cf-989b-e87a26a1c53a, 92, 13527, No update data, 9g3qx24redzz
Bird, MEX, d2420534-be94-4b40-be32-1d7fb1a79c7f, 58, 7849, No update data, 9g3qx2f190ur
Bird, MEX, 3dc9aeff-cceb-4edb-b39e-02ce14fe7095, 33, 3674, No update data, 9g3qx3j7kegk
Bird, MEX, 900624f5-897d-42e1-ac48-8ce867af8d5a, 89, 12324, No update data, 9g3qx261cf2q
Bird, MEX, 7bd2f498-2d2e-49be-88d4-7129528eb6f9, 47, 6012, No update data, 9g3qx2fq1rjq
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 91, 12640, No update data, 9g3qx2fr6d00
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 89, 12324, No update data, 9g3qx23fq09p
Bird, MEX, 4b8125d9-7830-427f-8f6f-a808adc7ce2d, 47, 6012, No update data, 9g3qx3je9u28
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 57, 7268, No update data, 9g3qx2nhud7q
Bird, MEX, a9c5870c-d9b1-46e8-b250-f543a109c48d, 90, 12482, No update data, 9g3qx2fr6458
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 90, 12482, No update data, 9g3qx2fr38g8
Bird, MEX, f2a77fec-f13f-4714-91c3-8b83edf00e55, 60, 7742, No update data, 9g3qx23g72sx
Bird, MEX, 97f536f7-7fd5-4d5f-8ca6-681b95b662f4, 71, 10020, No update data, 9g3qx2wyty7j
Bird, MEX, 5c0c2710-6988-4724-83d3-75c0f4b4b4cf, 60, 7742, No update data, 9g3qx24p0z5y
Bird, MEX, 044897e6-36d8-4a19-a984-c16d8c5e18a2, 76, 10270, No update data, 9g3qx2ytwkk8
Bird, MEX, 553e9a71-ac3f-46e1-953d-0ead154e0cf6, 74, 10521, No update data, 9g3qx2rn6t2j
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 70, 9322, No update data, 9g3qx2qb7j8q
Bird, MEX, 96c1323b-ce0d-44c7-9a44-6666db871a98, 80, 10902, No update data, 9g3qrrvq4s2h
Bird, MEX, 6f8130ff-0110-410a-a838-ad21ad88e88a, 97, 13588, No update data, 9g3qx21ycr2m
Bird, MEX, 72f06b9f-866d-4f91-ab4f-fbcf30e96930, 44, 5214, No update data, 9g3qx23mmzuh
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 67, 8848, No update data, 9g3qx2z43v8x
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 82, 11218, No update data, 9g3qx2z49y0e
Bird, MEX, 3920bda7-b0f7-4ee7-ad10-1b8c92d03dea, 78, 11189, No update data, 9g3qx239cc82
Bird, MEX, 24ad8133-a7fa-4cf0-8e41-66fac3d9959f, 96, 13430, No update data, 9g3qx21wztu5
Bird, MEX, 5e7dd5f9-a8ac-4ce4-b82c-6c643967fc1e, 64, 8851, No update data, 9g3qx21y28wz
Bird, MEX, c8bcfb7d-1d1c-444e-8740-47810b5a00c2, 94, 13114, No update data, 9g3qx238fdv0
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 83, 11376, No update data, 9g3qx2z4fs8h
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 87, 12008, No update data, 9g3qx238czwx
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 89, 12324, No update data, 9g3qx2392wqf
Bird, MEX, ceb26f54-09ec-44b4-b928-476cf5a82926, 96, 13430, No update data, 9g3qx21xj6xc
Bird, MEX, 1ba2076a-c5ee-4b15-8423-b3a3a18e9287, 100, 14062, No update data, 9g3qx236nvmd
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 85, 11692, No update data, 9g3qx236w531
Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 42, 4898, No update data, 9g3qx2ct5p0n
Bird, MEX, 4caf17b2-5dfe-4e34-8ecc-03927add5088, 93, 13694, No update data, 9g3qx2yvrzr3
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 92, 13527, No update data, 9g3qx2yyqjpe
Bird, MEX, 2a5325db-3946-4d15-ac61-26abefd8c45e, 53, 7014, No update data, 9g3qx2yyvb71
Bird, MEX, 7181da95-aada-4f09-abc7-b0a9b22f0195, 93, 13694, No update data, 9g3qx232yz2v
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 88, 12166, No update data, 9g3qx232x6bz
Bird, MEX, 847e0733-5631-469d-a432-1495ff3996af, 93, 12956, No update data, 9g3qx21tupxz
Bird, MEX, 9faddf4c-a5cd-47d4-9766-7ed40affa7c3, 97, 14362, No update data, 9g3qx232mgu5
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 85, 12358, No update data, 9g3qx2znb35z
Bird, MEX, 83220a33-fefd-4340-b5ab-2b7478bcb44d, 92, 13527, No update data, 9g3qx233h0pc
Bird, MEX, a0336dc2-b55c-4bc7-b374-bca41585f67c, 93, 13694, No update data, 9g3qx2zn6xt5
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 89, 13026, No update data, 9g3qx2yzxwkq
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 89, 12324, No update data, 9g3qx2904b75
Bird, MEX, 7eb9f5b2-d82b-4eac-8620-fb60dc01546d, 76, 10855, No update data, 9g3qx291423g
Bird, MEX, 5b07c2c0-a805-445d-b168-01ac8898e484, 93, 13694, No update data, 9g3qx21rgvug
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 88, 12166, No update data, 9g3qx290ct72
Bird, MEX, 982395b4-395e-4375-a321-4c510a3a2944, 82, 11218, No update data, 9g3qx29136bm
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 87, 12008, No update data, 9g3qx29194dn
Bird, MEX, 02006705-1f0f-45ac-a77b-0e0d538e4b93, 96, 13430, No update data, 9g3qx2911jdh
Bird, MEX, d35a9576-a35c-4a51-8b1b-caa587f5263e, 94, 13861, No update data, 9g3qx23261sv
Bird, MEX, b2e3c829-5ace-41a0-a656-23f18e4fb866, 82, 11857, No update data, 9g3qx2z3tgeh
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 83, 11376, No update data, 9g3qx21t810s
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 96, 14195, No update data, 9g3qx231pj7f
Bird, MEX, 458ff872-5dea-4faf-9011-4ac7b29bafe7, 29, 3006, No update data, 9g3qx3nfcfb9
Bird, MEX, 82dcd49c-65e1-4665-9b35-302cd6e6627b, 73, 10354, No update data, 9g3qx231p0ev
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 87, 12008, No update data, 9g3qx21mr17g
Bird, MEX, 2deda658-907a-4f15-ac75-31743fe2f233, 93, 13694, No update data, 9g3qx21mpbfr
Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 93, 13694, No update data, 9g3qx230yyjt
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 94, 13861, No update data, 9g3qx21kzxkj
Bird, MEX, 8e795b2b-05cb-41d7-8077-176ae8687cbd, 93, 13694, No update data, 9g3qx23n21bx
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 87, 12008, No update data, 9g3qx21mngmw
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 88, 12166, No update data, 9g3qx28cqs6x
Bird, MEX, 66dbe6e8-6ed7-46d9-a4b8-1a8f853c57ad, 96, 14195, No update data, 9g3qx231j8jc
Bird, MEX, e650c12c-3f3b-4556-a841-e81522b2111e, 85, 12358, No update data, 9g3qx3k7yxf8
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 97, 14362, No update data, 9g3qx230uzrt
