Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 94, 13861, No update data, 9g3qx2tvhzzd
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 91, 13360, No update data, 9g3qx2tyk3qk
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 53, 7014, No update data, 9g3qx2gh79ru
Bird, MEX, 035cd50f-e02d-4335-8faf-eaeb79643a9a, 30, 3173, No update data, 9g3qx26fhmn0
Bird, MEX, 429e6f17-9093-40a1-9f51-9f1e9f4478e0, 27, 2672, No update data, 9g3qx26fhjeh
Bird, MEX, 6cc176cc-46ef-423f-a481-9a4246995b54, 70, 9322, No update data, 9g3qx2ghcbbt
Bird, MEX, b16f8ffb-0852-42c9-ba6a-d001c868d315, 28, 2839, No update data, 9g3qx2f8s454
Bird, MEX, 0381ed73-b8b1-4f9f-aae4-b61612afa920, 54, 6794, No update data, 9g3qx2jjfc5q
Bird, MEX, cebcc058-c198-4b24-a30e-416f0a237f8d, 31, 3340, No update data, 9g3qx26mj2xv
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 73, 10354, No update data, 9g3qx25jy0r2
Bird, MEX, f3cc446b-8fcd-4676-b0fa-0cff546f3f60, 64, 8851, No update data, 9g3qx25kq1cp
Bird, MEX, 01b11fbc-94c8-48dc-b4aa-574154510abc, 92, 13527, No update data, 9g3qx25f9x7d
Bird, MEX, bbad18c0-ce9d-4470-8bbf-ef014ecca453, 66, 9185, No update data, 9g3qx25fs4gp
Bird, MEX, 78c6fa08-c4a3-447f-b30a-ff4cc23c31e0, 33, 3674, No update data, 9g3qx2j5w4p3
Bird, MEX, bd5658f4-c7a7-48d2-8263-8102bc25e1ab, 75, 10112, No update data, 9g3qx266fs00
Bird, MEX, 3bc4be11-d85a-428e-ba9e-d34a21936fd5, 89, 13026, No update data, 9g3qx25f4n78
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 92, 13527, No update data, 9g3qx25drcdm
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 75, 10112, No update data, 9g3qx25drb6m
Bird, MEX, db8c529e-963f-44ed-8db0-67cad8e45071, 94, 13861, No update data, 9g3qx25dn7hk
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 89, 13026, No update data, 9g3qx25djfhq
Bird, MEX, 078fb264-2a97-4f98-99dc-7d578bbdc81f, 24, 2171, No update data, 9g3qx2y2jvh3
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 65, 8532, No update data, 9g3qx2jv9eee
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 51, 6320, No update data, 9g3qx262t7rc
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 100, 14062, No update data, 9g3qx26j5dpz
Bird, MEX, 033184b6-891f-4590-a4ab-42ab9a2dfe60, 99, 13904, No update data, 9g3qx26jdw05
