Bird, MEX, 555150d1-96e8-49a7-b12f-9771a82641da, 90, 13193, No update data, 9g3qx2twrehp
Bird, MEX, 8c460f9f-332d-4d54-83ff-ae9034f42d17, 56, 7515, No update data, 9g3qx2hxq0xr
Bird, MEX, efcf24a2-9996-4559-842b-c8cd6d076d8f, 89, 13026, No update data, 9g3qx2tvshe4
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 48, 5846, No update data, 9g3qx2urrdsh
Bird, MEX, 435a3487-2b15-47a7-af99-0e1b2beaf0bf, 67, 9352, No update data, 9g3qx2gqn6hr
Bird, MEX, 026a3443-7463-4561-8b94-40f81a7d5585, 39, 4424, No update data, 9g3qx2gh968q
Bird, MEX, 0e868451-dc41-4fdc-89dd-ad07b7ff4541, 34, 3841, No update data, 9g3qx25ufgeq
Bird, MEX, 1870b9ff-0d74-47be-bf9c-edd054a07089, 60, 5782, No update data, 9g3qx2wp97m6
Bird, MEX, d696029f-bce1-4093-8a16-7fbb6385ff4b, 30, 3173, No update data, 9g3qx2murwsh
Bird, MEX, f07cf11e-c726-4fd6-882a-efa800f70f49, 92, 13527, No update data, 9g3qx25ub188
Bird, MEX, 2ef86701-c6d7-4478-873f-2d29edb27a19, 56, 7110, No update data, 9g3qx26s3uqx
Bird, MEX, bb45a68c-81d8-47be-bfb5-6a8b90391ac6, 72, 10187, No update data, 9g3qx26sbx2t
Bird, MEX, 61c2d35f-2a8a-4256-876f-bcc1eecf0406, 79, 11356, No update data, 9g3qx2grs7wk
Bird, MEX, d5d7be61-3ec5-4ec4-8cb2-7dbae9e38bbf, 76, 10855, No update data, 9g3qx2gry41j
Bird, MEX, c4cb69d3-6686-4405-868e-341e6a96d092, 88, 12859, No update data, 9g3qx26s05mw
Bird, MEX, e4f06aa1-582e-4108-b86f-b87d2ae15d97, 71, 10020, No update data, 9g3qx2y07szc
Bird, MEX, 5b80345c-8271-459f-8725-aae0e708ec02, 74, 10521, No update data, 9g3qx2y14v77
Bird, MEX, 5b2c8a50-227a-4c09-9acc-c975fc3eab5a, 48, 6179, No update data, 9g3qx2697rus
Bird, MEX, 74c53c10-629e-445d-aa9a-fad859f1ea08, 72, 9638, No update data, 9g3qx25ghpg1
Bird, MEX, d14deddc-33f9-4be2-b545-2c4c970524f7, 44, 5511, No update data, 9g3qx2qhxnkj
Bird, MEX, afe47853-0451-4d2b-8131-88f44e24c7a3, 97, 14362, No update data, 9g3qx25g1z2x
Bird, MEX, 00fa3925-6cf5-43af-94fc-bc0474e49bd9, 64, 8851, No update data, 9g3qx2fyhrw0
Bird, MEX, 72e4b636-06ec-449c-b189-197fe291ae27, 94, 13114, No update data, 9g3qx267sdkk
Bird, MEX, 3384db6e-31b3-44ff-8878-c06cb1d55930, 88, 12859, No update data, 9g3qx26k5mss
Bird, MEX, b23476fa-2d71-436d-a7ea-6bc82f4568fe, 87, 12692, No update data, 9g3qx267s7yj
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 97, 13588, No update data, 9g3qx25ep8h1
Bird, MEX, 003d3e44-0109-48bc-9dc3-0d929e16dabf, 63, 8684, No update data, 9g3qx26m15f0
Bird, MEX, 44e75f27-09d3-4bca-9446-6a540201e856, 46, 5530, No update data, 9g3qx25dzb62
Bird, MEX, d19033b9-cbc5-4ce4-aa3c-5e1552a5a272, 74, 9954, No update data, 9g3qx2wqgzub
Bird, MEX, 62c803ed-56c6-4d47-80e8-a7a8a215f461, 92, 13527, No update data, 9g3qx2dnw01n
Bird, MEX, 542ec311-3ff0-4559-b963-403c49668ac7, 93, 12956, No update data, 9g3qx26k12vr
Bird, MEX, 19ff8a79-71c2-42f0-b7e1-dbef44dd3e71, 96, 13430, No update data, 9g3qx2679zn9
Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 67, 8848, No update data, 9g3qx25j13m3
Bird, MEX, d37ccbe6-73a5-4399-a027-0bd5c7c634af, 88, 12859, No update data, 9g3qx26k29yz
Bird, MEX, 42e86e16-2c91-4158-9126-a814ef1f6881, 51, 6680, No update data, 9g3qx24xgwc9
Bird, MEX, 1aaaf796-2869-438e-89ca-348a3ae0c74d, 37, 4342, No update data, 9g3qx26k0r5w
Bird, MEX, 5bff2d39-0299-4bf4-8bcd-4ddcfbac6bdc, 61, 8350, No update data, 9g3qx268421c
Bird, MEX, 6b9dedd2-df91-4d53-beca-79a341cdc811, 44, 5214, No update data, 9g3qx2577h0m
Bird, MEX, 845653c5-be67-45ca-a0dd-0be4b813d13c, 94, 13114, No update data, 9g3qx267172q
Bird, MEX, ea3548e2-6864-4b09-b247-4b1d19a1890f, 93, 12956, No update data, 9g3qx26hp2p1
Bird, MEX, 5a0f3b70-2911-46fb-93a5-1b755815671e, 55, 6952, No update data, 9g3qx2dpvqxb
Bird, MEX, b347d60b-82ed-4762-8e03-c991091c7fff, 75, 10688, No update data, 9g3qx26h5trf
Bird, MEX, 2c8da7b1-e9fc-49e5-84ed-878b54d39926, 42, 5177, No update data, 9g3qx2h0umb5
Bird, MEX, 7d6461b5-e421-49f0-9041-58c788bdce0e, 78, 11189, No update data, 9g3qx2jvtgum
Bird, MEX, e0b6da46-2de2-4bf8-9998-95e039e41b4b, 57, 7682, No update data, 9g3qx29g4b53
Bird, MEX, 220bd336-83ef-47a9-8f68-930e7c956e63, 39, 4676, No update data, 9g3qx260p6pp
Bird, MEX, c3d658c3-5036-499f-980c-ecb309b88fa1, 98, 14529, No update data, 9g3qx349n9rd
Bird, MEX, 3c5bd5b5-0e3b-42f1-9745-8bc2379f37ee, 97, 14362, No update data, 9g3qx34c24vw
Bird, MEX, 514eaf1d-0d1d-4f44-a363-edd2c24c9f17, 100, 14863, No update data, 9g3qx349rc6k
Bird, MEX, 30e3b606-7e0e-41be-88f9-fa52ae2bc2e6, 48, 5846, No update data, 9g3qx2y7zhh0
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 76, 10855, No update data, 9g3qx349rxuj
Bird, MEX, ad7688fc-b5fe-4787-8f82-857aa4585072, 37, 4342, No update data, 9g3qx2ys14x1
Bird, MEX, 4c09d5fb-6d29-49ee-8cea-f11fb3cc55f9, 51, 6680, No update data, 9g3qx29sz72u
Bird, MEX, c849098b-7d93-49db-bcf4-1c330443d907, 98, 14529, No update data, 9g3qx2fr669u
Bird, MEX, e55db94e-5f6d-42bd-a9af-7c008b429224, 100, 14863, No update data, 9g3qx2fr617s
Bird, MEX, 6509c40a-9658-4cc6-9fa5-eb257e05022e, 72, 10187, No update data, 9g3qx24cx38z
Bird, MEX, eb280665-4324-4e84-970b-48dde451e2c1, 96, 13430, No update data, 9g3qx2fr3bb2
Bird, MEX, 42454257-9992-4862-9f2b-5798db36de52, 54, 7181, No update data, 9g3qx23fu0gh
Bird, MEX, 1c0f74e3-1e8b-40be-a0cc-935d7dc71590, 92, 12798, No update data, 9g3qx2fr3n65
Bird, MEX, 63b9a7b7-41aa-4379-b35d-d4a49adecd85, 56, 7515, No update data, 9g3qx3hn7vsz
Bird, MEX, 4fce7ccd-bff9-4a2f-9b3f-5c9dddb95b29, 99, 14696, No update data, 9g3qx2fr2wbx
Bird, MEX, 6b706d64-0df8-4829-b7f2-19558573cfcd, 48, 6179, No update data, 9g3qx35hdugk
Bird, MEX, 2919db8d-95e4-485e-8699-00f0c531c4bb, 84, 11534, No update data, 9g3qx2fp3bqw
Bird, MEX, ed346819-e23d-4daa-a7b4-e78ac634b866, 55, 7348, No update data, 9g3qx2ywhmq7
Bird, MEX, 9c6e0dcd-2637-4951-b10a-cb9dc81e2edb, 90, 12482, No update data, 9g3qx2xh702q
Bird, MEX, ba602142-b0b8-4553-8553-559eecb4a368, 60, 7742, No update data, 9g3qrrvq6q9u
Bird, MEX, 1176d68c-ad80-41dc-a747-4743158244d9, 91, 13360, No update data, 9g3qx2z4fheu
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 91, 12640, No update data, 9g3qx2xpx4sn
Bird, MEX, c77cf383-a3d5-4b83-aa43-8e52f26d1867, 96, 13430, No update data, 9g3qx2z54djp
Bird, MEX, 042d97be-6aa8-4da3-98b7-7f86d8d804f5, 96, 13430, No update data, 9g3qx21wy5p6
Bird, MEX, e2970864-d8f9-42a7-b6ad-f0859090cb97, 87, 12692, No update data, 9g3qx2z4eyhg
Bird, MEX, 33d7a366-1b7b-49e5-802a-3c512a04e1d8, 49, 6004, No update data, 9g3qx238bd2w
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 40, 4843, No update data, 9g3qx2z4uyzf
Bird, MEX, dc5157af-ece8-4d69-9081-68fee59145b5, 91, 12640, No update data, 9g3qx233w43h
Bird, MEX, 827c7eb9-317e-4d34-9876-256040f6fe15, 25, 2338, No update data, 9g3qx2z4yp3q
Bird, MEX, ac344e42-22c9-458b-91af-5a16e20f3faf, 94, 13114, No update data, 9g3qx2z5mbg0
Bird, MEX, b496becf-5ed3-41a3-bbab-125fe37c00bc, 51, 6320, No update data, 9g3qx21w9jf1
Bird, MEX, 1b879865-cbc1-46a5-9045-6cf5022dbc48, 62, 8517, No update data, 9g3qx294e1y2
Bird, MEX, 5474a47e-84a1-4b3c-a6d7-5d53e546b3e8, 73, 10354, No update data, 9g3qx2n252et
Bird, MEX, dca93db5-0aa3-424f-8940-61b08f1ccdb3, 52, 6478, No update data, 9g3qx23ngt9d
Bird, MEX, 3ececc83-da46-4d8c-a92d-92b86d5ac3c6, 91, 12640, No update data, 9g3qx2z3knej
Bird, MEX, c00895ab-eda6-447c-9345-6f875a519610, 58, 7426, No update data, 9g3qx2z73pr1
Bird, MEX, c840868f-8c4f-431a-995e-d1fca9996a2e, 74, 9954, No update data, 9g3qx2n2r7z7
Bird, MEX, a966beb1-069f-49e5-87e2-52a02865e96d, 91, 13360, No update data, 9g3qx2330p88
Bird, MEX, 2811d5ea-c155-4f13-bec6-b42b68a7bf57, 53, 7014, No update data, 9g3qx294848w
Bird, MEX, 7716661d-02ec-4ae1-8f3b-669821df9093, 88, 12859, No update data, 9g3qx231rh7z
Bird, MEX, 847e92aa-2285-46dd-97a3-47a02f8c7d70, 71, 9480, No update data, 9g3qx2zm1pd2
Bird, MEX, 93b1af19-87ca-4dd8-bfe9-b8f6a5a83c6e, 82, 11218, No update data, 9g3qx28breu5
Bird, MEX, a65127ed-ebdf-4958-be90-97922b96ec9b, 87, 12692, No update data, 9g3qx23226ee
Bird, MEX, 573b30db-909a-4fda-a3b5-46c3035c47ac, 90, 13193, No update data, 9g3qx230xmz1
Bird, MEX, 60cf4877-69ce-4531-a5a1-e1a27cfc904c, 94, 13114, No update data, 9g3qx230yn3p
Bird, MEX, 472f52fa-d136-43da-a892-c2433dd06a98, 96, 14195, No update data, 9g3qx21mn0r7
Bird, MEX, 909d4c57-7903-480d-9874-2abae70f7479, 91, 13360, No update data, 9g3qx21kyjpr
Bird, MEX, 0951f93d-1a81-4ee0-b244-4d1f3ce627fd, 92, 13527, No update data, 9g3qx3kkp334
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 98, 13746, No update data, 9g3qx2zkt5su
Bird, MEX, 9f7d0162-3d81-4608-b68b-ec7d2fbfeb20, 64, 8374, No update data, 9g3qx2zkt64f
Bird, MEX, 92768d7a-5f71-4c47-881d-1fc345ae08c5, 70, 9853, No update data, 9g3qx21m7xxf
Bird, MEX, 42905f66-31eb-4abf-ac97-6d75634acae5, 61, 8350, No update data, 9g3qx3nr45gc
Bird, MEX, 56074173-a851-4b59-a18f-57e8c5188cbb, 91, 13360, No update data, 9g3qx3kkjvsm
Bird, MEX, afadba1e-c338-4360-9180-1455dc2eadc1, 88, 12859, No update data, 9g3qx230swkm
Bird, MEX, f25a9cfb-cb0b-4e67-8f02-ae26d3f35579, 87, 12692, No update data, 9g3qx230sryp
Bird, MEX, 05e1e739-2621-441b-962b-677608860b68, 88, 12859, No update data, 9g3qx230kczx
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 93, 12956, No update data, 9g3qx2zkqtrt
Bird, MEX, 3a5802a4-6a79-4a75-95e0-28b9e652f750, 65, 8532, No update data, 9g3qx2xxugxy
Bird, MEX, 27a4013d-1009-4383-8a5c-2b1a7f2e3eaa, 88, 12859, No update data, 9g3qx230g5qk
Bird, MEX, f8de6e77-5c83-423d-8431-aeb1563116b6, 90, 13193, No update data, 9g3qx230e9c8
Bird, MEX, 1ddc5dcd-f88a-47f8-9a40-6cbbd7bc6742, 100, 14062, No update data, 9g3qx3m77usb
Bird, MEX, 93c3ece3-907c-44b1-8d1c-55fc05e173cd, 99, 13904, No update data, 9g3qx3m77pbm
Bird, MEX, 7386ef5e-28ac-4f32-9460-aa69d63f855c, 99, 14696, No update data, 9g3qx3m7mdyn
Bird, MEX, a6ec7624-a835-4b3c-bb4d-5f1743766fd1, 53, 6636, No update data, 9g3qx2xu0d0z
Bird, MEX, c431f7a5-da19-4f78-a306-5dd0ee2cefb8, 72, 9638, No update data, 9g3qx3m7ehys
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 100, 14062, No update data, 9g3qx3m7dxmh
Bird, MEX, e047fd2a-760e-4417-bdc3-65aadfe6c5a1, 98, 13746, No update data, 9g3qx3m7qqsm
Bird, MEX, dd7bac1f-f2f7-4f9e-b15f-05d5ccce1594, 26, 2505, No update data, 9g3qx36gp4gu
Bird, MEX, 97747c01-16ab-4dbe-b611-79a644f69472, 74, 10521, No update data, 9g3qx2301e7q
Bird, MEX, f712b988-7bc6-4373-b1d0-346b13a9410d, 60, 8183, No update data, 9g3qx34p14f5
Bird, MEX, 7dc39c91-c82a-44fd-b235-ee0218fa2317, 100, 14863, No update data, 9g3qx3m7v7pg
Bird, MEX, 1a9a7526-2031-4bd6-a871-746ec2cc8703, 92, 12798, No update data, 9g3qx2zeggku
Bird, MEX, 17b00273-1775-4c1c-a0e1-3e160d6d5686, 97, 13588, No update data, 9g3qx22fu2s4
