Bird, MEX, 0472c62d-66de-49a6-8e07-cc7d00f6eef2, 76, 10270, No update data, 9g3qx2s2hy32
Bird, MEX, b1ff650c-6003-4fca-a3cc-7c57811323dc, 97, 13588, No update data, 9g3qx2ubq2kq
Bird, MEX, fbfcf1a3-ce49-448f-b9e9-4b9716299879, 74, 10521, No update data, 9g3qx2tnn493
Bird, MEX, 8abd70f2-cf7e-4ae5-b2f2-68e9c6a104ee, 98, 13746, No update data, 9g3qx2ubw01q
Bird, MEX, 8d6ebf50-d466-4071-a21b-c2db1dd7b41f, 55, 7348, No update data, 9g3qx27qedru
Bird, MEX, d07d77aa-e6d3-434a-ac68-e9218effca81, 67, 8848, No update data, 9g3qx2g9x4h4
Bird, MEX, 0a287ef0-1e5f-4ff0-bf11-69f5635a1515, 45, 5678, No update data, 9g3qx27r0veu
Bird, MEX, bc662e2f-2a1c-4b3e-ba04-9d7f48168aad, 97, 13588, No update data, 9g3qx27r0j8s
Bird, MEX, f20525b5-1737-460f-8b30-90e72d066e88, 71, 9480, No update data, 9g3qx27q433c
Bird, MEX, 8a763c77-a051-49a6-b521-aab12d1356fc, 92, 13527, No update data, 9g3qx2t7y43q
Bird, MEX, d5f4bf5a-6224-40a3-a97c-c4ecf8b087ee, 79, 11356, No update data, 9g3qx2t7zkcn
Bird, MEX, 31ed2f3d-6721-4eb0-9e61-30e8f63f90e8, 74, 9954, No update data, 9g3qx27pur8p
Bird, MEX, 08283b09-81c5-460f-b8c4-74e02e86c212, 49, 6346, No update data, 9g3qx27mb5ms
Bird, MEX, c93a1da1-691d-40bd-8ee0-133d5d1f6cf6, 92, 13527, No update data, 9g3qx2tkpb67
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 97, 13588, No update data, 9g3qx27kk8sr
Bird, MEX, fb450ec4-b14a-41e9-b3f8-0ef4679f070a, 79, 10744, No update data, 9g3qx27e1e5t
Bird, MEX, a45e2376-bae6-464e-93fc-54f587107b5e, 42, 4898, No update data, 9g3qx2ts92jq
Bird, MEX, 11808844-b605-44be-bc09-c531b3e734ac, 45, 5678, No update data, 9g3qx2t95j8k
Bird, MEX, 3e84f037-6dff-40ea-9bcc-160006d1c792, 48, 5846, No update data, 9g3qx2geyhr6
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 93, 13694, No update data, 9g3qx2tx1sex
Bird, MEX, 71b9aa3a-b59d-45e7-add6-18639c63dcce, 65, 8532, No update data, 9g3qx2mxy8de
Bird, MEX, 355cceba-b6e4-40bc-920b-b1958de1a93b, 62, 8517, No update data, 9g3qx2mxq9zx
Bird, MEX, 042dd301-559d-4df6-8e3b-8a7bd125838c, 90, 13193, No update data, 9g3qx2txhbp9
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 91, 13360, No update data, 9g3qx2txt9nh
Bird, MEX, 918711a0-139b-4a6c-b897-6e34e57fb43f, 73, 9796, No update data, 9g3qx2hqygty
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 97, 13588, No update data, 9g3qx2ty8drh
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 53, 7014, No update data, 9g3qx2g5gwxb
Bird, MEX, 429e6f17-9093-40a1-9f51-9f1e9f4478e0, 27, 2672, No update data, 9g3qx26fuf3q
Bird, MEX, b16f8ffb-0852-42c9-ba6a-d001c868d315, 28, 2839, No update data, 9g3qx2f8j6dc
Bird, MEX, 0381ed73-b8b1-4f9f-aae4-b61612afa920, 54, 6794, No update data, 9g3qx2jjc0fh
Bird, MEX, 035cd50f-e02d-4335-8faf-eaeb79643a9a, 30, 3173, No update data, 9g3qx26f1eg8
Bird, MEX, 6cc176cc-46ef-423f-a481-9a4246995b54, 70, 9322, No update data, 9g3qx2ghbw0w
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 72, 10187, No update data, 9g3qx25nh6b4
Bird, MEX, 1ba2076a-c5ee-4b15-8423-b3a3a18e9287, 55, 6952, No update data, 9g3qx2y1f981
Bird, MEX, f3cc446b-8fcd-4676-b0fa-0cff546f3f60, 64, 8851, No update data, 9g3qx25kjrrz
Bird, MEX, 22d645d8-0daf-41c1-bf14-caf0adb0dab1, 80, 10902, No update data, 9g3qx2y5692h
Bird, MEX, db8c529e-963f-44ed-8db0-67cad8e45071, 93, 13694, No update data, 9g3qx25fdmcc
Bird, MEX, bd5658f4-c7a7-48d2-8263-8102bc25e1ab, 75, 10112, No update data, 9g3qx266mnuw
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 89, 13026, No update data, 9g3qx25dwsd9
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 92, 13527, No update data, 9g3qx25f3qbq
Bird, MEX, 01b11fbc-94c8-48dc-b4aa-574154510abc, 92, 13527, No update data, 9g3qx25f218t
Bird, MEX, 3bc4be11-d85a-428e-ba9e-d34a21936fd5, 89, 13026, No update data, 9g3qx25dmey5
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 75, 10112, No update data, 9g3qx25dq3sm
Bird, MEX, 4a5de99c-8d11-47f4-bec2-d3b9fecab8a0, 92, 13527, No update data, 9g3qx2y2gdcc
Bird, MEX, bbad18c0-ce9d-4470-8bbf-ef014ecca453, 65, 9018, No update data, 9g3qx25f0fgf
Bird, MEX, c8b73a33-06a6-4e4f-a205-917bcc5eb2e6, 15, 668, No update data, 9g3qx2y3cuwu
Bird, MEX, 078fb264-2a97-4f98-99dc-7d578bbdc81f, 24, 2171, No update data, 9g3qx2wrww4e
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 85, 11692, No update data, 9g3qx262ttmz
Bird, MEX, 270b23d5-cdf9-425e-adfc-9a4cb975fd06, 62, 8058, No update data, 9g3qx2fkwj1n
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 100, 14062, No update data, 9g3qx26hsk81
Bird, MEX, 0e388a23-4e07-4292-a728-6a7fc8b4cb1e, 85, 12358, No update data, 9g3qx265vmfu
Bird, MEX, c94ef371-15a1-4e5c-8aca-ff77c3951907, 100, 14863, No update data, 9g3qx26hegsg
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 99, 14696, No update data, 9g3qx26hecky
Bird, MEX, 571b2623-0401-497f-abf6-9a48840092f0, 100, 14062, No update data, 9g3qx26j4k9y
Bird, MEX, a6b5d096-e9bc-4484-aaf7-f18638ee9d0d, 92, 12798, No update data, 9g3qx3hgw1z3
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 65, 8532, No update data, 9g3qx2jucscb
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 82, 11218, No update data, 9g3qx262789x
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 51, 6320, No update data, 9g3qx2629cy8
Bird, MEX, 033184b6-891f-4590-a4ab-42ab9a2dfe60, 99, 13904, No update data, 9g3qx26h904n
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 92, 12798, No update data, 9g3qx34c21ms
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 90, 12482, No update data, 9g3qx34c2s0w
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 93, 12956, No update data, 9g3qx349pxhn
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 93, 12956, No update data, 9g3qx349ph7v
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 93, 12956, No update data, 9g3qx349x2z5
Bird, MEX, 7fefdb66-6840-4a63-82c8-d0e2ac5d7ac2, 99, 14696, No update data, 9g3qx2frkxk3
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 96, 13430, No update data, 9g3qx2ypqccq
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 96, 13430, No update data, 9g3qx2ypx87b
Bird, MEX, a9c5870c-d9b1-46e8-b250-f543a109c48d, 100, 14062, No update data, 9g3qx2fr1xe8
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 100, 14062, No update data, 9g3qx2fr6x85
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 100, 14062, No update data, 9g3qx2fr3c2k
Bird, MEX, 5c2c60fb-0604-4866-90ef-f977d73a7cca, 45, 5372, No update data, 9g3qx2fr8dqu
Bird, MEX, 7a7a5026-b63b-47f7-b579-9a9eb71d3eec, 92, 13527, No update data, 9g3qx23bx2pn
Bird, MEX, 8005ba09-2c01-4116-8492-59df98519338, 30, 3173, No update data, 9g3qx2yc9egw
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 96, 13430, No update data, 9g3qx2yrjp4f
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 79, 10744, No update data, 9g3qx2q8v9y4
Bird, MEX, 0c3b5bb2-5d31-4934-9871-aeae78a5d2fe, 73, 10354, No update data, 9g3qx2ycfbgm
Bird, MEX, 4f378213-6294-4f7f-afc2-9fb519e73eb4, 85, 11692, No update data, 9g3qx2yrqjs8
Bird, MEX, 92c1b484-7e6b-458a-838c-070795ec1426, 53, 6636, No update data, 9g3qx2yu5zb4
Bird, MEX, 43044bfc-ceb6-4ce0-8b0f-bfa82a1e9f23, 94, 13114, No update data, 9g3qx21xr22v
Bird, MEX, 277c32ea-cf96-4c35-a814-7cbd4dbc0c25, 94, 13114, No update data, 9g3qx21y87ee
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 100, 14062, No update data, 9g3qx2393zbk
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 97, 13588, No update data, 9g3qx239bzez
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 99, 13904, No update data, 9g3qx23d0dwc
Bird, MEX, de4f9bf6-4611-4fa5-9948-ec6a9e042f32, 97, 13588, No update data, 9g3qx2z4f9b5
Bird, MEX, efce24d4-e54f-4cec-8aea-6a9d41cb020c, 96, 13430, No update data, 9g3qx2yye1nt
Bird, MEX, 94235d68-ce38-4f45-b8d8-544f4a1285f3, 92, 13527, No update data, 9g3qx2yz43d5
Bird, MEX, 8531c2a7-ace9-4174-a5fe-d0177c1e0304, 98, 13746, No update data, 9g3qx2yygh8k
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 100, 14062, No update data, 9g3qx233wuve
Bird, MEX, d8a14599-6bfe-4b25-b186-a541cf79debb, 73, 10354, No update data, 9g3qx2z5gghg
Bird, MEX, a4e52bd5-f951-4d0d-8593-149ba6bd4d2c, 72, 10187, No update data, 9g3qx3nb9xet
Bird, MEX, 5e8caee7-0184-406a-8439-a6ac0b774723, 100, 14062, No update data, 9g3qx294fu50
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 87, 12008, No update data, 9g3qx21rendw
Bird, MEX, 9576e053-4a88-4170-9005-5cc00cd21a4d, 66, 9185, No update data, 9g3qx2r3ey2j
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 100, 14062, No update data, 9g3qx28grcfr
Bird, MEX, 7eb9f5b2-d82b-4eac-8620-fb60dc01546d, 98, 14529, No update data, 9g3qx28fnym8
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 96, 13430, No update data, 9g3qx21mt66g
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 97, 13588, No update data, 9g3qx21mnmk6
Bird, MEX, cebcc058-c198-4b24-a30e-416f0a237f8d, 31, 3340, No update data, 9g3qx231srn1
Bird, MEX, 5726f868-b3c8-409a-b211-64bc3610326e, 100, 14062, No update data, 9g3qx2359s5r
Bird, MEX, d48617dd-3f87-422b-bf8f-d278a96888aa, 91, 12640, No update data, 9g3qx231u1e0
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 97, 13588, No update data, 9g3qx21mkuz9
Bird, MEX, 74d28002-a5be-4ce7-be3d-55c61d91898d, 39, 4424, No update data, 9g3qx234fr9z
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 96, 13430, No update data, 9g3qx231exrg
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 99, 13904, No update data, 9g3qx28fkbrw
Bird, MEX, 4048c69a-9e8b-4883-8910-f3a23b6da33e, 94, 13114, No update data, 9g3qx3kkk3wq
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 96, 13430, No update data, 9g3qx2zprzx7
Bird, MEX, a0e05e53-6cea-432c-904f-bbba3b8dd971, 48, 5846, No update data, 9g3qx3p0nsrt
Bird, MEX, ac4066cd-8448-40f3-8b8e-689d5274c5fe, 98, 13746, No update data, 9g3qx2319fnd
Bird, MEX, d758962f-e3fd-46f0-9300-f1dcbcb5fcbd, 81, 11060, No update data, 9g3qx2zr35fk
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 99, 13904, No update data, 9g3qx231cm86
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 100, 14062, No update data, 9g3qx28ggjbh
Bird, MEX, d6bce810-1c38-4ac9-8186-d9bf55267da7, 74, 9954, No update data, 9g3qx2zqg2gt
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 96, 13430, No update data, 9g3qx3p0rupm
Bird, MEX, 6d3395d6-2232-43c5-8b20-5acdee080a74, 48, 5846, No update data, 9g3qx2zrcp4k
Bird, MEX, c6aff5da-4189-4c94-9822-1d7187a5ded8, 66, 9185, No update data, 9g3qx2zrc9ge
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 100, 14062, No update data, 9g3qx28g3s7r
Bird, MEX, e635d8cb-028d-48ff-be05-07737b7ecbb2, 29, 3006, No update data, 9g3qx3p20zu4
Bird, MEX, 4b3bbe0b-bb51-44d1-9ad7-557e2634e218, 92, 13527, No update data, 9g3qx2zmruz3
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 79, 10744, No update data, 9g3qx2zt0x0y
Bird, MEX, 0a798980-a0ca-4c04-8533-da3a1dcbc92e, 92, 13527, No update data, 9g3qx2zqqkkx
Bird, MEX, a027955f-3471-418c-9c66-26191f050f19, 97, 13588, No update data, 9g3qx2zsfetn
Bird, MEX, 3a75aa6a-4145-4766-81a2-61779dd4784a, 94, 13861, No update data, 9g3qx2zt9nph
Bird, MEX, 4bdd6ec9-f06c-4393-b7fb-1a12edd7eae6, 81, 11690, No update data, 9g3qx28ewks6
Bird, MEX, ee2d53b5-f1e6-4b04-b739-0bb8e1969b13, 46, 5530, No update data, 9g3qx3p2j24f
Bird, MEX, e02162db-4e96-43c8-a9f2-46624143c2b4, 92, 13527, No update data, 9g3qx2zt5w3b
Bird, MEX, 270c39fb-f9e7-4950-bdce-db9a6067f1c9, 92, 13527, No update data, 9g3qx2ztk474
Bird, MEX, e3375cd3-963a-48af-af18-237859a9535b, 97, 14362, No update data, 9g3qx21hjsmu
Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 91, 13360, No update data, 9g3qx21hky9k
Bird, MEX, 5ae649f8-abe1-45c3-93d7-3922bfd013c4, 92, 13527, No update data, 9g3qx2zsy0xe
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 54, 7181, No update data, 9g3qx2bf916n
Bird, MEX, a7e8f439-f12f-4497-81be-216480d0fa4e, 94, 13861, No update data, 9g3qx21hechu
Bird, MEX, 58442098-3fe4-4c93-8287-d6fc8b3ba4c7, 93, 13694, No update data, 9g3qx21hkj7h
Bird, MEX, 8d8428e9-90d6-42cd-b265-826edfd1a094, 92, 13527, No update data, 9g3qx2zsxxk7
Bird, MEX, 19e2a7fa-ea4c-4521-afcb-290f3edb2688, 98, 13746, No update data, 9g3qx2zsxy4s
Bird, MEX, f716940f-a075-48f9-9b12-5ff4307c97fa, 43, 5344, No update data, 9g3qx2ptefkg
Bird, MEX, 11fac914-7ab6-4d5c-ac39-b6037963dc12, 83, 12024, No update data, 9g3qx2zyfye2
Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 70, 9322, No update data, 9g3qx2zzcu09
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 92, 9558, No update data, 9g3qx2zymrzv
Bird, MEX, e985c43e-54ba-4b55-865a-775022f12231, 100, 14863, No update data, 9g3qx2b2hppy
Bird, MEX, 90b74f5d-e040-4887-9f50-eb0af1987f82, 76, 10855, No update data, 9g3qx2zzjmdv
Bird, MEX, c2add6c6-1171-4883-903e-21625efe37fe, 92, 12798, No update data, 9g3qx2zzm5kb
Bird, MEX, f45cb386-1372-43b1-b8a7-cfa21dd6204b, 90, 12482, No update data, 9g3qx2b27424
Bird, MEX, 60dbef3f-c295-4006-ad45-21285bc70999, 75, 10112, No update data, 9g3qx2b349bj
Bird, MEX, 1b6a109a-089d-4174-a9de-54132e5d2728, 64, 8374, No update data, 9g3qx8bnf9t1
Bird, MEX, e16d5b52-9ca1-47a8-af79-8cf248993a3e, 75, 10112, No update data, 9g3qx8bne5yw
Bird, MEX, 16ed6993-3b13-45e9-b63c-fcc4b23801a8, 52, 6478, No update data, 9g3qx8bjp7pm
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 48, 6179, No update data, 9g3qx20ebdyb
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 87, 12008, No update data, 9g3qx8bpnmh9
Bird, MEX, 52508a64-621c-4214-a836-fafa4cdfc11b, 66, 8690, No update data, 9g3qx8bnyzvb
Bird, MEX, b2d0a4fd-90b4-45d4-954b-2f5214ec72f2, 49, 6346, No update data, 9g3qx302ww4s
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 97, 13588, No update data, 9g3qx207z57u
Bird, MEX, 9d3c5c60-4dc8-468e-a17c-5c6b66851b34, 91, 13360, No update data, 9g3qx8bpyw4y
Bird, MEX, 043d8399-a8ce-48d1-9fef-18aa9093c138, 92, 13527, No update data, 9g3qrrdndr3f
Bird, MEX, 02006705-1f0f-45ac-a77b-0e0d538e4b93, 52, 6478, No update data, 9g3qx82x4mzn
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 96, 13430, No update data, 9g3qx901j1sg
Bird, MEX, e7a42ae0-34c9-45cd-90eb-7a2959fd031b, 97, 13588, No update data, 9g3qx207qfte
Bird, MEX, 22c0a4fc-5038-407e-b358-c264315749ed, 97, 13588, No update data, 9g3qx900wdpd
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 74, 9954, No update data, 9g3qx20m914h
Bird, MEX, 9a922753-3882-4fa2-845d-1078fe4028a0, 98, 13746, No update data, 9g3qx2094k3u
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 98, 13746, No update data, 9g3qrre9uk21
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 93, 13694, No update data, 9g3qx20jz8s4
Bird, MEX, 501742f4-0d86-43f6-8f13-57a355e65549, 97, 13588, No update data, 9g3qx20jzq2z
Bird, MEX, d0248c55-e085-4e35-85f6-22eb853fdd64, 98, 14529, No update data, 9g3qx206phey
Bird, MEX, 1f48fb27-d30a-48c6-95ce-f2a7ca904108, 98, 13746, No update data, 9g3qx20m0x88
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 96, 13430, No update data, 9g3qx20jxwsp
Bird, MEX, a27c268c-c081-48c0-a44a-11f2b35a6e34, 89, 13026, No update data, 9g3qx203z7p4
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 99, 13904, No update data, 9g3qrre9dz76
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 55, 7348, No update data, 9g3qx20jx57c
Bird, MEX, 4bc913cf-67e2-4dae-962f-cea4a4a32c20, 97, 14362, No update data, 9g3qx206njcn
Bird, MEX, 0cdfd437-d38b-4028-8876-59013b326a95, 89, 13026, No update data, 9g3qx2090b5c
Bird, MEX, 98ec3dc2-7605-4264-bf26-e36dcc3285c7, 96, 14195, No update data, 9g3qx20jwx49
Bird, MEX, dcfec459-0f95-4f7e-b414-29d9d984eed3, 96, 14195, No update data, 9g3qx203wymt
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 83, 11376, No update data, 9g3qx20jr55z
Bird, MEX, b809e99f-9fd2-4e7a-8634-3416733d8ab4, 79, 11356, No update data, 9g3qx32cqbmw
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 93, 12956, No update data, 9g3qx20hw3kq
Bird, MEX, 30fb4242-e30e-4529-a38b-c76d62f2c81d, 60, 7742, No update data, 9g3qx33ks5rg
Bird, MEX, c0329968-f78d-477a-a85d-9af7ffcb1c69, 49, 6004, No update data, 9g3qrrc47h2n
Bird, MEX, c1434cb1-8551-499e-ab1e-99204f6805ac, 91, 13360, No update data, 9g3qx906drdj
Bird, MEX, 9e68ac62-5e5a-44d2-9ba8-e33101e08f8a, 61, 7900, No update data, 9g3qx0zuh6y5
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 92, 13527, No update data, 9g3qx9079npk
Bird, MEX, 32fa0b3e-426d-4830-885f-60f809705337, 47, 5688, No update data, 9g3qx205kj4f
Bird, MEX, e719f9a5-3fda-4964-b6e8-c6b69f09f324, 90, 13193, No update data, 9g3qx90k40ey
Bird, MEX, 12f22942-6388-4385-8307-5f63b4eccc74, 94, 13114, No update data, 9g3qx90k4xv6
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 29, 3006, No update data, 9g3qx3tguqnr
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 84, 11534, No update data, 9g3qx90pfv73
Bird, MEX, c479096a-dfb9-4374-b9c8-e1d4007bf053, 79, 11356, No update data, 9g3qx0zdsxsm
Bird, MEX, 828f6ed2-e84c-4aa7-bdaa-1792ff881415, 84, 11534, No update data, 9g3qrrmrmrfg
Bird, MEX, cf16fd66-9688-4fe8-b72d-2d7c86ace9b9, 46, 5530, No update data, 9g3qrrmr0bgy
Bird, MEX, 574cbd04-872d-45df-99dd-584c8df2ed83, 57, 7682, No update data, 9g3qx200e1wr
Bird, MEX, cbc4863e-3d13-4094-b792-544f22e6103d, 80, 10902, No update data, 9g3qx399qn9n
Bird, MEX, 067d0ab7-d4e2-44bb-a0ca-1af5b330e21a, 98, 13746, No update data, 9g3qx90qj2ru
Bird, MEX, e5036827-2489-4803-99f7-53e0da61126a, 69, 9164, No update data, 9g3qrrmz98g9
Bird, MEX, 0fec7716-d1b5-4c21-8095-7126ca5ddb20, 93, 13694, No update data, 9g3qx90qjmxv
Bird, MEX, 45f26348-c7e2-49c7-83f0-5e990a4dbeca, 87, 12692, No update data, 9g3qrrd2pxkp
Bird, MEX, 15ebbc3d-d3a6-4c78-99b9-3fb4dc519be6, 49, 6004, No update data, 9g3qrrd8002d
Bird, MEX, 6fc7a6b6-6098-4944-8da3-f2efe8bca651, 98, 13746, No update data, 9g3qx90qp4k0
Bird, MEX, 814f30e8-b6c3-4c74-bc9e-947a87022227, 78, 10586, No update data, 9g3qrrwfer58
Bird, MEX, 648f00ca-77b7-4d65-bdd2-f7a9e75b6e2f, 20, 1503, No update data, 9g3qx3spy09h
Bird, MEX, f454de6b-a35d-4ff2-9b59-d23a82b12216, 71, 10020, No update data, 9g3qx90fk97k
Bird, MEX, 3ec7df91-9d64-45d0-b95d-37bd0a69d95b, 66, 8690, No update data, 9g3qx9237j8r
Bird, MEX, 603a5bbc-b7ec-4195-8997-81f71a5bc1d2, 78, 11189, No update data, 9g3qrrmmhmq3
Bird, MEX, e2897b1b-3854-4cb9-8fb8-a223a1ccf0ab, 65, 8532, No update data, 9g3qx3ep9pdn
Bird, MEX, aecb2517-a087-407e-a8f5-4d17b824c384, 99, 14696, No update data, 9g3qx8cjjvej
Bird, MEX, 8d102b99-1940-43d1-b78e-a06bf1f3bb51, 82, 11857, No update data, 9g3qx90geyb0
