Bird, MEX, fb10b5c4-9919-4361-ae59-6533425555e7, 67, 9352, No update data, 9g3qrtbqr0sj
Bird, MEX, cf8437e4-fb42-4054-8a48-41549f90b88e, 75, 10688, No update data, 9g3qrqeqb12x
Bird, MEX, 4d57d004-35db-4b6d-8db4-0eb11f37d4a9, 27, 2528, No update data, 9g3qrqepqw69
Bird, MEX, d4edf673-5839-4d26-ad75-b3a4fb6a2360, 26, 2505, No update data, 9g3qrr4vzmx0
Bird, MEX, fe8cf847-abf2-45da-a9d7-4aae164314f6, 91, 13360, No update data, 9g3qrr4vzk8g
Bird, MEX, c515cd4c-3b42-482f-9608-91de3ab9141a, 91, 13360, No update data, 9g3qrr4vzj5y
Bird, MEX, 567eab5d-9931-4a3e-9980-decf37cf8b33, 62, 8517, No update data, 9g3qrtcrjhhb
Bird, MEX, 9b0b3165-7683-4e85-b589-0c187632c720, 83, 12024, No update data, 9g3qrqk1sk0j
Bird, MEX, df6129e5-ec83-4c6c-b8be-97af859c82be, 69, 9164, No update data, 9g3qrq7x1mbk
Bird, MEX, e6851332-d150-4f99-832d-fa1f264f27c4, 74, 9954, No update data, 9g3qrw40ye6f
Bird, MEX, f872bb82-57f8-4f7e-8e26-a24697c65768, 73, 9796, No update data, 9g3qrw4043f4
Bird, MEX, 31cd54b1-97ad-4cd1-bfcd-d2723e5e7479, 64, 8374, No update data, 9g3qrqejbtbd
Bird, MEX, d2177283-ad35-46fe-803a-27db5823167b, 76, 10270, No update data, 9g3qrqfsnd4t
Bird, MEX, b2cad0a7-f448-4a82-944f-69e3e4753b58, 87, 12692, No update data, 9g3qrqdgvzup
Bird, MEX, 0314c6c0-1923-4ab8-8729-2bf80535f268, 40, 4843, No update data, 9g3qrqhcbkgg
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 90, 12482, No update data, 9g3qrmvqg4ww
Bird, MEX, 4189f960-f1bb-4a2b-8dc6-076673c664d5, 71, 9480, No update data, 9g3qrqdu7ksx
Bird, MEX, 49970ce6-a788-46fa-af5f-f0e59383fe73, 85, 12358, No update data, 9g3qrqfegp8q
Bird, MEX, a575fba4-a8fd-4919-a8fc-4f4d4f4480d1, 94, 13114, No update data, 9g3qrmvqdjez
Bird, MEX, 3d27163d-c167-4d1e-a221-3f39a6be1ff5, 57, 7268, No update data, 9g3qrqh9tmdz
Bird, MEX, 16878299-d9d2-4835-a576-ccf982494a10, 63, 8216, No update data, 9g3qrqh9jxqj
Bird, MEX, 10f66838-1fce-4c6e-8b91-f6143f4f85ba, 65, 8532, No update data, 9g3qx9c7hmwq
Bird, MEX, d00026bf-02c6-4516-8f3b-81c8ebc7434f, 53, 6636, No update data, 9g3qx14p9c1m
Bird, MEX, 418be40d-ab62-48ed-bf2f-b6a50a72945b, 64, 8374, No update data, 9g3qx16djmdt
Bird, MEX, 462d6af5-0735-4e23-b8dd-0d90a94cc799, 21, 1670, No update data, 9g3qx16dx4ex
