Lime, ATL, WQP, high, 13277, 2019-08-12T22:45:12.000Z, dn5br47zzgmc
Bird, MEX, dcad6ebf-2e88-4fa8-83a5-5b648c4bf496, 79, 11356, No update data, 9g3qx2hh5k7k
Bird, MEX, e0b75e90-5de5-4bb3-a54f-3ce4ceb7d418, 60, 7742, No update data, 9g3qx2h5z5h4
Bird, MEX, 1805bfb5-d06c-492d-a5dd-a06bf134df9d, 57, 7682, No update data, 9g3qx26dssu7
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 48, 6179, No update data, 9g3qx25n5e3w
Bird, MEX, 87d372ec-160f-4323-b9a0-4a6258483749, 96, 13430, No update data, 9g3qx3h99p65
Bird, MEX, e0d6e24d-8fe4-4b85-903f-4ec581a51fcc, 71, 9480, No update data, 9g3qx2qhn0p9
Bird, MEX, 0afed6fc-c9c9-4066-9f11-730f9caa82e3, 91, 13360, No update data, 9g3qx26jndfe
Bird, MEX, 0b8ea84b-a83a-4ed3-ad76-271301ca6c72, 54, 6794, No update data, 9g3qx2jkj0ux
Bird, MEX, a6619ad8-524a-4f7f-acc3-b49814715a38, 92, 13527, No update data, 9g3qx265x2z4
Bird, MEX, 41f9e170-a5d0-4ace-bfe3-b1819f713df7, 46, 5845, No update data, 9g3qx2h9w5r3
Bird, MEX, a448f586-a424-4e6b-9f6f-d6243a7d038e, 64, 8374, No update data, 9g3qx2j7qpx6
Bird, MEX, 866b8a89-85c5-482a-b400-15dc07432cb2, 69, 9164, No update data, 9g3qx2dn01vt
Bird, MEX, 4316d66d-6de0-44a8-9da3-5703cb0ac7e8, 89, 13026, No update data, 9g3qx26h5kks
Bird, MEX, 67654ec5-0fbc-493d-a9b5-a8a7e116eaa6, 49, 6346, No update data, 9g3qx29gmyup
Bird, MEX, 14316ff8-2dec-485b-a7a3-ad5e24d9f408, 82, 11857, No update data, 9g3qx2657d39
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 55, 6952, No update data, 9g3qx2jvmfs7
Bird, MEX, d2420534-be94-4b40-be32-1d7fb1a79c7f, 58, 7849, No update data, 9g3qx2f190ur
Bird, MEX, ac7ac880-277c-464a-b701-1e8ec284409c, 88, 12859, No update data, 9g3qx26h0009
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 90, 12482, No update data, 9g3qx2fr3fbq
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 88, 12166, No update data, 9g3qx2fr1pd0
Bird, MEX, 7bd2f498-2d2e-49be-88d4-7129528eb6f9, 44, 5511, No update data, 9g3qx2fnw0c5
Bird, MEX, 49976847-d981-4736-9265-295a8a448a00, 89, 12324, No update data, 9g3qrruns451
Bird, MEX, f2a77fec-f13f-4714-91c3-8b83edf00e55, 57, 7268, No update data, 9g3qx23g144p
Bird, MEX, a0336dc2-b55c-4bc7-b374-bca41585f67c, 90, 13193, No update data, 9g3qx2yt5s3v
Bird, MEX, 97f536f7-7fd5-4d5f-8ca6-681b95b662f4, 66, 9185, No update data, 9g3qx2wyqwzx
Bird, MEX, e697081f-a2a0-4f84-be17-971cd9c4372b, 92, 13527, No update data, 9g3qx2ytf7dp
Bird, MEX, 5c0c2710-6988-4724-83d3-75c0f4b4b4cf, 57, 7268, No update data, 9g3qx21yzcd2
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 67, 8848, No update data, 9g3qx2nxy43q
Bird, MEX, e547ccbd-d9f9-4636-8a55-30cd782d7b71, 73, 10354, No update data, 9g3qx2ytqftu
Bird, MEX, 72f06b9f-866d-4f91-ab4f-fbcf30e96930, 43, 5056, No update data, 9g3qx239y53h
