Bird, MEX, a598aa4a-432c-4d80-ac63-9cce5acecc2e, 61, 8350, No update data, 9g3qx2y8u2ym
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 85, 11692, No update data, 9g3qx34cgwpy
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 92, 12798, No update data, 9g3qx34c88yg
Bird, MEX, ae695be3-0075-4edb-a83a-94c3639e67f3, 91, 12640, No update data, 9g3qx23vk38j
Bird, MEX, e1a0a659-da4b-4179-a762-39837368c442, 54, 7181, No update data, 9g3qrrur6rcu
Bird, MEX, c4ba7ad0-c91a-4885-a024-2d881a184e71, 85, 11692, No update data, 9g3qrrur6y52
Bird, MEX, d2b92387-ff28-4be1-87af-00dac8236dc8, 93, 12956, No update data, 9g3qx2frscpt
Bird, MEX, ebea53ac-71b2-4f45-8576-16fbe5de6e62, 67, 9352, No update data, 9g3qx2wb52gx
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 80, 10902, No update data, 9g3qx25183ez
Bird, MEX, 75830915-c9de-4e4c-8599-5f0c7b7969a9, 93, 12956, No update data, 9g3qx2frerh9
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 80, 11523, No update data, 9g3qx2wz4ejj
Bird, MEX, 38a3d427-41a4-4d20-bd07-9779bf566a83, 96, 13430, No update data, 9g3qx2fr1qbk
Bird, MEX, 4b416bcb-f3be-448a-bba8-87ad0b3bf320, 92, 12798, No update data, 9g3qx2fr320k
Bird, MEX, c77cf383-a3d5-4b83-aa43-8e52f26d1867, 51, 6320, No update data, 9g3qx2wvs15h
Bird, MEX, c2e69d59-107f-4faf-b177-da9a0ff6b555, 97, 14362, No update data, 9g3qx2fr3kv3
Bird, MEX, 2834a400-5b1e-4abd-ba53-0b8718b8a2d9, 96, 13430, No update data, 9g3qx2fr018e
Bird, MEX, 64d7f118-619e-4b8e-9e3d-39d081cfba8a, 92, 12798, No update data, 9g3qx342kpgj
Bird, MEX, c7ba67c8-b6b4-4cb8-a47a-a5f36c3fb5af, 31, 3340, No update data, 9g3qrrun90f4
Bird, MEX, ef7c3963-44d9-4f30-bb99-7613e4ea5b1c, 62, 8517, No update data, 9g3qx2fpreuh
Bird, MEX, c11ade85-8e1b-467c-80cc-c559b01f7118, 36, 4175, No update data, 9g3qx2xh9u8d
Bird, MEX, 56b5bdf7-cef4-4a2e-9cb2-47caf1fb652f, 54, 6794, No update data, 9g3qx34e4ejj
Bird, MEX, 9d630ba8-dddb-49a5-959f-460948f5c59d, 46, 5845, No update data, 9g3qx2qb2d2c
Bird, MEX, 68405086-dcb8-467e-93c0-02f5b30cb889, 74, 9954, No update data, 9g3qx2qb0tr4
Bird, MEX, 6a032e68-b1df-4b41-82cd-feb43aa81e9d, 72, 9638, No update data, 9g3qx2qbdp7g
Bird, MEX, e47757a0-3f03-47ca-8cbc-a3970155b954, 57, 7682, No update data, 9g3qx2qb3z28
Bird, MEX, c3309992-5471-4a0d-8318-8f10c2f01be5, 52, 6478, No update data, 9g3qx2398fgz
Bird, MEX, d8fc7b06-a79e-41c7-9d7b-b9197f8e5a32, 28, 2839, No update data, 9g3qx21wwgbv
Bird, MEX, c2d7f997-ec80-4502-98a1-c1dd00375862, 47, 5688, No update data, 9g3qx2r1gs3f
Bird, MEX, a3ac816e-a621-426f-a7ba-66e49b8fdab4, 79, 11356, No update data, 9g3qx2yze42k
Bird, MEX, 19d6b43c-bb9c-49a9-8556-f0b5c636e282, 73, 10354, No update data, 9g3qx2r1x63h
Bird, MEX, 729d35bf-6723-4162-b83b-f33d3de30b12, 78, 11189, No update data, 9g3qx2xqwkus
Bird, MEX, 2ecd13ae-57a3-4c6a-9f9c-926263a4652d, 84, 11534, No update data, 9g3qx3nehxe2
Bird, MEX, 793d9573-515d-4e32-8aa7-5fef3ddf947f, 91, 12640, No update data, 9g3qx3nbrb4k
