Bird, MEX, 5c0c2710-6988-4724-83d3-75c0f4b4b4cf, 57, 7268, No update data, 9g3qx2603qvq
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 90, 12482, No update data, 9g3qx2fr3kb3
Bird, MEX, 900624f5-897d-42e1-ac48-8ce867af8d5a, 88, 12166, No update data, 9g3qx23ct7fv
Bird, MEX, 7bd2f498-2d2e-49be-88d4-7129528eb6f9, 45, 5678, No update data, 9g3qx2fnkh5j
Bird, MEX, 97f536f7-7fd5-4d5f-8ca6-681b95b662f4, 67, 9352, No update data, 9g3qx2wymq6g
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 89, 12324, No update data, 9g3qx2frb1be
Bird, MEX, 72f06b9f-866d-4f91-ab4f-fbcf30e96930, 44, 5214, No update data, 9g3qx23f9t7r
Bird, MEX, f2a77fec-f13f-4714-91c3-8b83edf00e55, 58, 7426, No update data, 9g3qx23cfw2p
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 67, 8848, No update data, 9g3qx2qb3pd6
Bird, MEX, 7a244aa2-c9d2-4e3d-9807-2434242c2bb6, 46, 5530, No update data, 9g3qx2xhgyb4
Bird, MEX, e697081f-a2a0-4f84-be17-971cd9c4372b, 93, 13694, No update data, 9g3qx2ywr69h
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 89, 13026, No update data, 9g3qx2yxkter
Bird, MEX, 96c1323b-ce0d-44c7-9a44-6666db871a98, 79, 10744, No update data, 9g3qrrvmczqv
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 82, 11218, No update data, 9g3qx2ygwytz
Bird, MEX, a0336dc2-b55c-4bc7-b374-bca41585f67c, 91, 13360, No update data, 9g3qx2ywzsk6
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 83, 12024, No update data, 9g3qx2yy3nxj
Bird, MEX, 141481f8-d192-4ac9-adb3-e218dc7855d8, 80, 10902, No update data, 9g3qx2yvj1ut
Bird, MEX, 4caf17b2-5dfe-4e34-8ecc-03927add5088, 90, 13193, No update data, 9g3qx2yy502k
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 66, 8690, No update data, 9g3qx2z51pd2
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 81, 11060, No update data, 9g3qx2yuy0zt
Bird, MEX, d0823345-b8c6-476b-b399-8d00c4f8d406, 81, 11060, No update data, 9g3qx2yux4sn
Bird, MEX, ceb26f54-09ec-44b4-b928-476cf5a82926, 94, 13114, No update data, 9g3qx2387rsd
Bird, MEX, 2a5325db-3946-4d15-ac61-26abefd8c45e, 51, 6680, No update data, 9g3qx2yye48q
Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 40, 4582, No update data, 9g3qx2ct5ghv
Bird, MEX, 847e0733-5631-469d-a432-1495ff3996af, 92, 12798, No update data, 9g3qx236p8h1
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 87, 12008, No update data, 9g3qx23906e9
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 85, 12358, No update data, 9g3qx2yysr8j
Bird, MEX, fab2725e-6ed9-4a78-9747-f58fc250f902, 74, 10521, No update data, 9g3qx23r812w
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 85, 11692, No update data, 9g3qx233ww6t
Bird, MEX, aecb2517-a087-407e-a8f5-4d17b824c384, 91, 13360, No update data, 9g3qx23pzkby
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 84, 11534, No update data, 9g3qx236kh5j
Bird, MEX, 7181da95-aada-4f09-abc7-b0a9b22f0195, 91, 13360, No update data, 9g3qx236h6y5
Bird, MEX, 1ba2076a-c5ee-4b15-8423-b3a3a18e9287, 98, 13746, No update data, 9g3qx236erh9
Bird, MEX, 24ad8133-a7fa-4cf0-8e41-66fac3d9959f, 94, 13114, No update data, 9g3qx21xbnv9
Bird, MEX, 6f8130ff-0110-410a-a838-ad21ad88e88a, 96, 13430, No update data, 9g3qx232myun
Bird, MEX, d35a9576-a35c-4a51-8b1b-caa587f5263e, 92, 13527, No update data, 9g3qx21rx62u
Bird, MEX, 3920bda7-b0f7-4ee7-ad10-1b8c92d03dea, 75, 10688, No update data, 9g3qx2364e0h
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 87, 12008, No update data, 9g3qx235rwsh
Bird, MEX, b2e3c829-5ace-41a0-a656-23f18e4fb866, 79, 11356, No update data, 9g3qx2z6cw5w
Bird, MEX, 9faddf4c-a5cd-47d4-9766-7ed40affa7c3, 94, 13861, No update data, 9g3qx2327qss
Bird, MEX, 5e7dd5f9-a8ac-4ce4-b82c-6c643967fc1e, 62, 8517, No update data, 9g3qx23312tm
Bird, MEX, 9e2076dd-7e4a-4c88-b519-5b4d6b32bd96, 92, 12798, No update data, 9g3qx23p40uz
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 93, 13694, No update data, 9g3qx2323y26
Bird, MEX, 5b07c2c0-a805-445d-b168-01ac8898e484, 91, 13360, No update data, 9g3qx2323fwe
