Bird, MEX, 32b20728-373e-46e0-bf5d-dedc403e8641, 66, 8690, No update data, 9g3qx3qb4y73
Bird, MEX, b29e1831-e885-4b53-8432-f20a84211c42, 74, 10521, No update data, 9g3qrrstnh9q
Bird, MEX, f7ee63b0-66db-4e34-a9d9-00f1b38b1ef8, 89, 13026, No update data, 9g3qx20xm1st
Bird, MEX, abffb9c7-996d-400b-ab28-77cc60b5ec12, 88, 12166, No update data, 9g3qrryuzthr
Bird, MEX, f045452a-a846-49ff-944d-c58a8394eac6, 84, 12191, No update data, 9g3qx20wsmy1
Bird, MEX, f8a898b7-d42d-4080-ab2a-4476cfb2bfcd, 88, 12859, No update data, 9g3qx2b3h44z
Bird, MEX, 8cba6cde-a83a-4e8a-a76e-ac875b990d63, 85, 12358, No update data, 9g3qx20x48m5
Bird, MEX, b3273335-ba2c-4192-ace6-3a89c557ad24, 38, 4509, No update data, 9g3qx2p2rfr3
Bird, MEX, 8d195512-d172-45e7-b573-c85ea29c51e7, 96, 14195, No update data, 9g3qx3pf04t9
Bird, MEX, 154ee58c-8457-4ba1-a702-a0d75ea6c71d, 96, 14195, No update data, 9g3qx3pcchxk
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 81, 11060, No update data, 9g3qx20erq8u
Bird, MEX, 3ef88f04-2898-49e8-a343-4f19b1eec945, 93, 13694, No update data, 9g3qx3pcenqw
Bird, MEX, 95e0440a-64aa-496d-9f01-f7f57d8daf4e, 84, 12191, No update data, 9g3qx20qz8uh
Bird, MEX, c692401e-ff10-44ff-a15b-7d1f2d4c041b, 47, 5688, No update data, 9g3qx8bnsrwm
Bird, MEX, 2038178e-884b-4374-a472-add4acadc045, 72, 9638, No update data, 9g3qx3pcvvgh
Bird, MEX, 5146dac5-6249-4068-8883-edb44b96c9a5, 74, 10521, No update data, 9g3qrrs6yjz7
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 24, 2171, No update data, 9g3qx20e79cx
Bird, MEX, c7c9c180-b70a-46d8-92bc-9457e20c2a07, 89, 13026, No update data, 9g3qx20qjq6b
Bird, MEX, 3f52dd17-7ac1-43e9-b739-36ad4103ba0f, 24, 2171, No update data, 9g3qrrwj89p5
Bird, MEX, 53239a68-389d-42f8-ad28-fa6af312c06d, 93, 12956, No update data, 9g3qx20mqp30
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 92, 12798, No update data, 9g3qx20kxk8c
Bird, MEX, 1f29be3b-7e79-4acf-90ef-5d3f3f67daec, 27, 2672, No update data, 9g3qx20q79xv
Bird, MEX, 4fb452cf-95e7-40c1-a3eb-d0d2076ef381, 88, 12859, No update data, 9g3qx20qcyb3
Bird, MEX, 9e09f84e-8e8b-44fc-8f66-70f2af59dedd, 65, 8532, No update data, 9g3qx28p1pd0
Bird, MEX, 3fd55636-97fc-4e6a-9613-821f2dc94cd4, 71, 9480, No update data, 9g3qx3e6kf12
Bird, MEX, d9e82ec5-a5d2-4d5d-bc4d-f448a8ff0a78, 29, 2844, No update data, 9g3qx2bq8cgb
Bird, MEX, 9d592ade-a37b-401c-9171-cb48d4cb6c9c, 70, 9853, No update data, 9g3qx3r81kj7
Bird, MEX, 5cc6acb5-f27a-4519-aebd-90aedbfbc8ed, 92, 12798, No update data, 9g3qx20m9pfn
Bird, MEX, 0de30390-2a08-4d45-8de7-7031e23a88eb, 89, 13026, No update data, 9g3qx203yvbe
Bird, MEX, 6ef0cf46-959d-48be-8caf-7d2b48fbc319, 62, 8517, No update data, 9g3qx3d26rcv
Bird, MEX, c26f0539-6bba-417a-99a6-e2ebdbecbf99, 89, 13026, No update data, 9g3qx203r1ev
Bird, MEX, 817ec3eb-bc89-4e90-b7ab-aea8550b93ea, 87, 12008, No update data, 9g3qx32bygtx
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 88, 12859, No update data, 9g3qx203nwfe
Bird, MEX, e55c5dda-1fc7-438f-8418-3b156d39c78a, 69, 9686, No update data, 9g3qx202zkbv
Bird, MEX, 28783902-2f4a-4e22-acb1-a03e54c907e5, 87, 12692, No update data, 9g3qx203nt6d
Bird, MEX, e42a1443-5975-4735-940a-c73491edc3ad, 83, 12024, No update data, 9g3qx202yvbe
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 93, 12956, No update data, 9g3qx202ygms
Bird, MEX, 11fac914-7ab6-4d5c-ac39-b6037963dc12, 90, 13193, No update data, 9g3qrrwzn1r8
Bird, MEX, e076e780-25d3-4bfa-84da-4d12128898cc, 84, 11534, No update data, 9g3qrrzubfkn
Bird, MEX, 3cc440bb-9013-467e-a91c-98d8a5ae6b11, 38, 4509, No update data, 9g3qrrzucte9
Bird, MEX, 02462fc6-5969-470d-b3b0-22f2becf8938, 92, 12798, No update data, 9g3qx3e5yctf
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 70, 9322, No update data, 9g3qx90n0bkh
Bird, MEX, efd48a79-c49f-4e7c-9cba-d2ce7b2eae94, 47, 6012, No update data, 9g3qrrc30259
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 94, 13861, No update data, 9g3qx3ehp30b
Bird, MEX, 58f45bdc-8e22-4aae-97ba-30ff2ffc74a3, 46, 5530, No update data, 9g3qx80w6m6h
Bird, MEX, 97f75477-eeb6-4119-b8c6-cc56fdeb60a3, 82, 11218, No update data, 9g3qrrc41bws
Bird, MEX, 80156013-f933-47ae-af71-71bbf2e1d5bc, 75, 10688, No update data, 9g3qx80w4mfn
Bird, MEX, 1238f8ef-6128-4980-87d0-24367a84886e, 49, 6004, No update data, 9g3qrrw9vrdy
Bird, MEX, 07ebbed8-7a8f-40c0-97a9-7fa18ba0e3a4, 71, 10020, No update data, 9g3qrrbk1z2r
Bird, MEX, 91cf59d6-14b0-4a46-8002-b820f5e53ca8, 56, 7110, No update data, 9g3qrrw8g503
Bird, MEX, 269cbb70-879f-43cd-8b8c-c3e2c48e2814, 71, 10020, No update data, 9g3qx922m2ry
Bird, MEX, ec105cd1-d13a-4eac-b4cf-bced307c2d84, 88, 12859, No update data, 9g3qrrwfnzmz
Bird, MEX, 5abed53f-42b8-472d-ba12-f03a4ffbef6f, 56, 7515, No update data, 9g3qx90fhgpv
Bird, MEX, 55db7436-5f4c-44e1-a64c-0f9922d54b76, 56, 7110, No update data, 9g3qrr7sxdup
Bird, MEX, ae646d82-5b06-43cc-bb29-b56c5edb0799, 96, 13430, No update data, 9g3qrr6tzr8y
Bird, MEX, d920e132-48df-4b91-bd57-9e613a20e995, 90, 13193, No update data, 9g3qx3x4n5c6
Bird, MEX, 6e231545-4e34-4a4f-acaa-03608f194847, 82, 11857, No update data, 9g3qrrmh2m7u
Bird, MEX, 4446693f-2397-4602-9e41-12a0524764f1, 87, 12692, No update data, 9g3qrr6ty7sm
Bird, MEX, 447aa4f1-8a0a-4eb8-85d0-14cc1ec89f82, 60, 7742, No update data, 9g3qx3ry9u28
Bird, MEX, f7b2f5ce-eee6-4ebf-95fa-65c610118f3a, 58, 7426, No update data, 9g3qx0x0mebg
Bird, MEX, 81c77a5a-0f5c-48ce-a0c6-eb963e39f6b7, 62, 8517, No update data, 9g3qx90udp5f
