Bird, MEX, 29b827a4-694c-42a2-9685-1461cbbfa3c1, 82, 11218, No update data, 9g3qx3msxs3y
Bird, MEX, 7938bcbf-3f99-4876-be5e-cfb6d0058966, 17, 948, No update data, 9g3qx36sqh1n
Bird, MEX, 3af74e51-7702-4863-b83a-51c38cc17f5f, 20, 1422, No update data, 9g3qx2b90nm2
Bird, MEX, 410e13ab-e57d-4b47-a4dd-4ac6db2e8a7e, 69, 9164, No update data, 9g3qx3pb8vhn
Bird, MEX, c3e1e665-6178-4a21-ab4d-539424c11b44, 45, 5372, No update data, 9g3qx2b2g9zg
Bird, MEX, f0982130-03fa-476d-97a1-1c1c5c659b6e, 34, 3841, No update data, 9g3qx8bjkrw7
Bird, MEX, e97f74a1-de94-4461-94d5-d43b95525042, 47, 6012, No update data, 9g3qx20w05b8
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 51, 6320, No update data, 9g3qx2pgx7r3
Bird, MEX, 1fb7926b-f073-4a93-ae0b-7c7cd3e56563, 43, 5056, No update data, 9g3qx3pu1bqu
Bird, MEX, 2a0c1a29-0f54-4076-a232-67f14d26d4e8, 96, 13430, No update data, 9g3qx209sbc6
Bird, MEX, 52b767a2-7ed4-4ad7-940f-481e67ea07c2, 53, 7014, No update data, 9g3qx2bq8w0s
Bird, MEX, 8977d9be-30fc-4606-a61e-1c412e2de912, 42, 5177, No update data, 9g3qrrbxxr2f
Bird, MEX, 320381ba-5bfd-4feb-8df4-0df6e84ff3c8, 73, 9796, No update data, 9g3qrr9yvpsx
Bird, MEX, e64d2735-48a5-45c3-94dc-4c2ff1013e5f, 54, 6794, No update data, 9g3qrrz7ku3w
Bird, MEX, 62ded579-2534-498f-a618-04d9ecd6e79c, 72, 10187, No update data, 9g3qrr9yscxx
Bird, MEX, 9c9db50a-42fb-4bf9-96c0-8aebdd3bedf4, 81, 11690, No update data, 9g3qx20jwfbx
Bird, MEX, b5cd7192-78e7-45dd-a081-58caacc5e8e9, 82, 11857, No update data, 9g3qx20jqp94
Bird, MEX, 8f412a8e-3b16-4856-a4c2-e354b6ab1962, 79, 11356, No update data, 9g3qx20nh4ff
Bird, MEX, dcfec459-0f95-4f7e-b414-29d9d984eed3, 80, 11523, No update data, 9g3qx20jhurs
Bird, MEX, 1a05c7bc-85b1-47d8-a9d7-7c09c151bef5, 83, 12024, No update data, 9g3qx9035b2h
Bird, MEX, 930de736-a2a0-4a9f-9f8e-4bf77d92e5de, 84, 12191, No update data, 9g3qx8brvvgh
Bird, MEX, b501171b-28ae-4bed-bb62-142201feab2e, 78, 11189, No update data, 9g3qx20jg1y6
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 67, 8848, No update data, 9g3qrrd7f9jn
Bird, MEX, 159caea9-9890-4349-967b-e9a9acedd927, 67, 9352, No update data, 9g3qrrbx8snz
Bird, MEX, c09cb697-24bb-4bfc-9f67-215dc3e32a5a, 98, 13746, No update data, 9g3qrrwysgzv
Bird, MEX, f20e7fe1-e8ca-4594-a007-a6e2facdef22, 98, 13746, No update data, 9g3qrrwykyrf
Bird, MEX, 74a49725-ba91-4939-b772-7771130ff79c, 82, 11857, No update data, 9g3qx902wnps
Bird, MEX, 6c549b73-9cf7-4f92-9b70-33dcb082f195, 79, 10744, No update data, 9g3qx3e5ync5
Bird, MEX, 77e96044-a35d-4ba6-8e4f-8d6d15cdbbf2, 100, 14062, No update data, 9g3qx3ehp5u4
Bird, MEX, a63f99a6-4205-470a-b95e-81f90e3f294e, 82, 11857, No update data, 9g3qx907b6gc
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 52, 6847, No update data, 9g3qrr9tz55c
Bird, MEX, e6f453ae-e896-4960-94b4-8d704cb7e810, 64, 8851, No update data, 9g3qx33zf8vn
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 98, 13746, No update data, 9g3qx3ehnqs7
Bird, MEX, 19b4c6ce-51f7-45eb-8e06-9886c5151567, 83, 12024, No update data, 9g3qx906ht77
Bird, MEX, 0d7bd0bc-b745-49c8-84e9-7c6bb4e5499a, 99, 13904, No update data, 9g3qx3ehqgmb
Bird, MEX, 7a33a638-3bfb-4c91-86d5-3fde981c6c15, 44, 5214, No update data, 9g3qx88yjg5j
Bird, MEX, c6dcdab6-73f4-4b79-88e2-842c95d3fbb6, 53, 6636, No update data, 9g3qrrmrfsm1
Bird, MEX, 85c77e5d-7ca2-4acc-851f-01e834bf76a7, 48, 5846, No update data, 9g3qx0rt47cb
Bird, MEX, 7d22917c-d40f-4342-a4eb-daca6930f962, 49, 6004, No update data, 9g3qx0zdk54z
Bird, MEX, af76ba49-496c-44bc-b376-98e6acf3e953, 89, 12324, No update data, 9g3qrrmn95fh
Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 94, 13114, No update data, 9g3qx3eygpnt
Bird, MEX, b7da4bac-c45b-467b-8875-944cfa0d5cf7, 46, 5845, No update data, 9g3qx32u1cqd
Bird, MEX, 64b3f753-f2df-4c32-bdc9-d73967e8a883, 97, 13588, No update data, 9g3qx0pgg1w2
Bird, MEX, 1e922d89-3ef6-458e-8c75-5a8ba2981876, 66, 8690, No update data, 9g3qrrktyhr3
Bird, MEX, e5da55e7-c68c-4983-82b6-f87460212221, 61, 7900, No update data, 9g3qrrwd5tcv
Bird, MEX, f5b148fc-11ff-48a7-99fc-c6c63a8b44d3, 98, 13746, No update data, 9g3qx0pg75nr
Bird, MEX, 645c34c5-6cc3-4d9e-a9f6-9961b91a9235, 49, 6004, No update data, 9g3qx90c2reg
Bird, MEX, 17f91276-8524-431c-b478-9198392beca0, 78, 10586, No update data, 9g3qx1p9nd4r
Bird, MEX, cdad8127-aad0-4489-81c2-75f711159ce8, 90, 12482, No update data, 9g3qx90g5ft1
Bird, MEX, cf9a59ae-0b6f-4cbc-bab9-84fcdef1d98f, 43, 5056, No update data, 9g3qrr6qur8n
Bird, MEX, 10cc64c2-a551-4a15-ab0b-56f0722cceb4, 100, 14062, No update data, 9g3qx92h56ed
Bird, MEX, f3f71ef0-452e-499f-b378-91ede1bf1133, 83, 11376, No update data, 9g3qrrmhtuu6
Bird, MEX, eb089722-b0a7-414a-8185-4144ea7263e0, 100, 14062, No update data, 9g3qx92hjhhg
Bird, MEX, 738d5115-ba36-47f5-b9b5-e614f546d397, 72, 9638, No update data, 9g3qrrmh53ed
Bird, MEX, 5ae649f8-abe1-45c3-93d7-3922bfd013c4, 65, 9018, No update data, 9g3qx0pe1225
Bird, MEX, 5eded9ba-7e00-4414-a5d8-52ba3e900b2d, 70, 9322, No update data, 9g3qrrqnnwfe
Bird, MEX, 1acc514a-0d93-49eb-9c80-3c88c0832dae, 48, 5846, No update data, 9g3qrrmkmcsk
Bird, MEX, 7867c507-5041-4675-a9b1-bd50db64fb08, 36, 4175, No update data, 9g3qrr6t7qk9
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 98, 13746, No update data, 9g3qrx8pvpsz
Bird, MEX, 2c7105f0-36c6-4cf8-9c46-fab867e41321, 94, 13861, No update data, 9g3qx0p9c7tn
Bird, MEX, d475b96f-22fb-4678-8a49-115a1f90b91d, 44, 5214, No update data, 9g3qrr75yep9
Bird, MEX, a6661cdd-872e-4cad-903d-31d58a677b88, 85, 12358, No update data, 9g3qx0p9bwyc
Bird, MEX, 602f512f-30a2-4dd8-bf9a-80f233f1967e, 67, 8848, No update data, 9g3qx89xb0tg
Bird, MEX, 769dcc13-d4ef-49ed-a5e3-5a6bec6eb371, 51, 6320, No update data, 9g3qrx8ptqpf
Bird, MEX, 6ebb5995-0ae1-4adc-a04f-aa527adaf017, 48, 5846, No update data, 9g3qrr8gmyun
Bird, MEX, 1ce98f73-4878-4d2c-a936-196ae5d81a9f, 70, 9853, No update data, 9g3qx8cmmpsg
Bird, MEX, 2d8e803d-27e4-4d51-b2ee-7a081954ceac, 28, 2686, No update data, 9g3qrr9816vr
Bird, MEX, 41f54773-ba15-4d2b-b496-7e0ab99dafff, 79, 11356, No update data, 9g3qx0p3w3sr
Bird, MEX, 21fb9d79-bce4-4b19-8b49-5d9d7f29886b, 75, 10112, No update data, 9g3qrrkfpk9j
Bird, MEX, 7a3f577b-9bdb-4cfd-84f8-006066f1c4eb, 66, 9185, No update data, 9g3qx1p63bqw
Bird, MEX, 570e8461-10b8-4a9a-9049-88634ca8c0f4, 80, 11523, No update data, 9g3qx0p2t3dx
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 98, 13746, No update data, 9g3qrx8r47xq
Bird, MEX, 97b2ff0a-ff49-46bc-9963-48bcd701be29, 79, 11356, No update data, 9g3qx0pndr1c
Bird, MEX, a8b4e8fa-949a-44bb-a931-45aeeb79e9ab, 71, 10020, No update data, 9g3qx389hz93
Bird, MEX, 29383517-4a29-4d25-b7b8-f3216a0cfa05, 81, 11690, No update data, 9g3qx0p2gj81
Bird, MEX, b9b89564-4827-4f4b-b1f8-635baf4aa9ba, 71, 9480, No update data, 9g3qrr7cm36f
Bird, MEX, 2914db63-dbe1-4143-928e-96730fdf5e61, 81, 11690, No update data, 9g3qx0p2h1fu
Bird, MEX, 4f72794a-0bbf-4d61-85c8-50052f42ea5d, 90, 12482, No update data, 9g3qrrkchy93
