Bird, MEX, 10f987de-cd02-40c6-93cd-1cbac04e129c, 96, 13430, No update data, 9g3qrjq79kv0
Bird, MEX, a6c1647c-0958-4335-95ef-67e7ac0a603a, 89, 13026, No update data, 9g3qrjq72vvj
Bird, MEX, a2c63a2f-defc-4b44-826d-02ab3f8d8e21, 96, 13430, No update data, 9g3qrjq5rngg
Bird, MEX, fe9ce2e3-44f0-475f-b023-e17c5a6a0582, 85, 11692, No update data, 9g3qrm250y5v
Bird, MEX, 44f03615-2456-4b07-9647-05b816bdbf3c, 81, 11060, No update data, 9g3qrjmqejqk
Bird, MEX, e959d710-cddc-44cc-8873-8e3f80f56718, 88, 12166, No update data, 9g3qrm2512t4
Bird, MEX, 5b01e6ac-57cf-4b5a-b862-1791418fb387, 82, 11218, No update data, 9g3qrn5bvtjv
Bird, MEX, 387f2f3c-1139-4dae-9e95-45938b72aef6, 97, 14362, No update data, 9g3qrmfmzxk5
Bird, MEX, 8af03c2f-c954-4c82-a578-6a6ac1de6e27, 97, 13588, No update data, 9g3qrm9fg4q7
Bird, MEX, 49bf7be6-8ec3-4699-9ee0-93a441712d18, 92, 12798, No update data, 9g3qrm2gcx76
Bird, MEX, 40ebf4ea-2c7e-4c4b-8944-ed613ad69869, 97, 13588, No update data, 9g3qrm9fgsxc
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 96, 14195, No update data, 9g3qrm9fguug
Bird, MEX, b46b6ab6-a23a-401a-88c4-f35e88c976a0, 94, 13861, No update data, 9g3qrm9fgdrg
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 96, 13430, No update data, 9g3qrm9fexcs
Bird, MEX, c5c55843-5efd-41a5-bb9e-86946664f52f, 92, 13527, No update data, 9g3qrmfwckb7
Bird, MEX, c94ef371-15a1-4e5c-8aca-ff77c3951907, 94, 13861, No update data, 9g3qrm9fu601
