Bird, MEX, d5d7be61-3ec5-4ec4-8cb2-7dbae9e38bbf, 75, 10688, No update data, 9g3qx352jswp
Bird, MEX, 36772887-ac63-4730-b6d1-018a7f93f4d9, 80, 10902, No update data, 9g3qx26mgbuv
Bird, MEX, dc377e81-729b-45ae-8dd0-f7c6afc1c3c4, 39, 4676, No update data, 9g3qx2697xzu
Bird, MEX, 00fa3925-6cf5-43af-94fc-bc0474e49bd9, 62, 8517, No update data, 9g3qx2fyx30v
Bird, MEX, 6b9dedd2-df91-4d53-beca-79a341cdc811, 44, 5214, No update data, 9g3qx25k2q7f
Bird, MEX, 37f56d4e-94e4-496b-aa4d-c47ae0a59888, 60, 8183, No update data, 9g3qx2685xxb
Bird, MEX, 42e86e16-2c91-4158-9126-a814ef1f6881, 49, 6346, No update data, 9g3qx24xgexy
Bird, MEX, 8f7f96e8-822b-46bb-bc9b-addb1adfb730, 66, 8690, No update data, 9g3qx25h7epz
Bird, MEX, 1aaaf796-2869-438e-89ca-348a3ae0c74d, 34, 3841, No update data, 9g3qx26hqsf9
Bird, MEX, b347d60b-82ed-4762-8e03-c991091c7fff, 74, 10521, No update data, 9g3qx26hv3zf
Bird, MEX, 003d3e44-0109-48bc-9dc3-0d929e16dabf, 62, 8517, No update data, 9g3qx26hv74f
Bird, MEX, cdb16cc7-4139-428c-b858-4856d5f0b84f, 30, 2242, No update data, 9g3qx2ft2t8x
Bird, MEX, 3384db6e-31b3-44ff-8878-c06cb1d55930, 87, 12692, No update data, 9g3qx26hgvuu
Bird, MEX, b23476fa-2d71-436d-a7ea-6bc82f4568fe, 85, 12358, No update data, 9g3qx26hsm2p
Bird, MEX, 542ec311-3ff0-4559-b963-403c49668ac7, 92, 12798, No update data, 9g3qx26hkhg1
Bird, MEX, 19ff8a79-71c2-42f0-b7e1-dbef44dd3e71, 94, 13114, No update data, 9g3qx26h7trv
Bird, MEX, ea3548e2-6864-4b09-b247-4b1d19a1890f, 92, 12798, No update data, 9g3qx26hfr3v
Bird, MEX, c03d7805-9498-405d-957e-7ee709475c66, 93, 12956, No update data, 9g3qx265kv9r
Bird, MEX, 6975c6a0-e645-465d-9c22-801ee5609105, 45, 5678, No update data, 9g3qx29yr6x5
Bird, MEX, 97682b81-f17e-46d6-bb2e-7470f5016adc, 51, 6680, No update data, 9g3qx2fmh7y1
Bird, MEX, 845653c5-be67-45ca-a0dd-0be4b813d13c, 93, 12956, No update data, 9g3qx26h6k3z
Bird, MEX, e0b6da46-2de2-4bf8-9998-95e039e41b4b, 56, 7515, No update data, 9g3qx29g799w
Bird, MEX, 7d6461b5-e421-49f0-9041-58c788bdce0e, 76, 10855, No update data, 9g3qx2juz9s0
Bird, MEX, da4402f6-e006-4b8e-9ab9-fbf01a44861a, 58, 7849, No update data, 9g3qx2wc1dge
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 74, 10521, No update data, 9g3qx349rrx5
Bird, MEX, c3d658c3-5036-499f-980c-ecb309b88fa1, 97, 14362, No update data, 9g3qx349xk8f
Bird, MEX, 8b17da09-f6f4-48b1-abd8-9add970e3ae5, 38, 4509, No update data, 9g3qx2njwx49
Bird, MEX, 42454257-9992-4862-9f2b-5798db36de52, 53, 7014, No update data, 9g3qx23gj6dc
Bird, MEX, 3c5bd5b5-0e3b-42f1-9745-8bc2379f37ee, 93, 13694, No update data, 9g3qx349yvtf
Bird, MEX, 6509c40a-9658-4cc6-9fa5-eb257e05022e, 72, 10187, No update data, 9g3qx24cx38z
Bird, MEX, c849098b-7d93-49db-bcf4-1c330443d907, 96, 14195, No update data, 9g3qx2frdsm0
Bird, MEX, 2419d421-cff2-494d-b3cb-90ccf2a828a4, 45, 5678, No update data, 9g3qx2nrzcpq
Bird, MEX, 4fce7ccd-bff9-4a2f-9b3f-5c9dddb95b29, 98, 14529, No update data, 9g3qx2fr9f06
Bird, MEX, 1c0f74e3-1e8b-40be-a0cc-935d7dc71590, 92, 12798, No update data, 9g3qx2fr97m6
Bird, MEX, eb280665-4324-4e84-970b-48dde451e2c1, 94, 13114, No update data, 9g3qx2fr90f5
Bird, MEX, 63b9a7b7-41aa-4379-b35d-d4a49adecd85, 55, 7348, No update data, 9g3qx3hnetzf
Bird, MEX, 2919db8d-95e4-485e-8699-00f0c531c4bb, 83, 11376, No update data, 9g3qx2fn6w25
Bird, MEX, 9c6e0dcd-2637-4951-b10a-cb9dc81e2edb, 89, 12324, No update data, 9g3qx2xhcted
Bird, MEX, b68c49e2-d7ac-40e9-b14c-8940bac67b0a, 66, 8690, No update data, 9g3qx2ycv2fv
Bird, MEX, 1a02376f-b78a-4949-b64e-0b19f128330c, 76, 10855, No update data, 9g3qx341hdhr
Bird, MEX, 33d7a366-1b7b-49e5-802a-3c512a04e1d8, 49, 6004, No update data, 9g3qx239scz8
Bird, MEX, 48736041-93ef-4e65-a201-edb3fef457d9, 54, 7181, No update data, 9g3qx341hycm
Bird, MEX, 29e0efac-346a-4e6e-9d39-e8c3011046d4, 76, 10855, No update data, 9g3qx2qcqjxw
Bird, MEX, d31de718-733e-473a-be5e-8d51be034dcb, 90, 13193, No update data, 9g3qx2z4837y
Bird, MEX, e2970864-d8f9-42a7-b6ad-f0859090cb97, 84, 12191, No update data, 9g3qx2z49jf6
Bird, MEX, 1ff77126-4410-4ae2-8570-00a6fc2a807b, 93, 12956, No update data, 9g3qrrvw1wge
Bird, MEX, c92b3be1-f4b7-446a-bfe6-bb8a35e5709c, 39, 4676, No update data, 9g3qx2z515z1
Bird, MEX, d7dab84f-e175-496c-af5a-c0e8f8a0c648, 92, 13527, No update data, 9g3qrrvw1zyc
Bird, MEX, c77cf383-a3d5-4b83-aa43-8e52f26d1867, 94, 13114, No update data, 9g3qx2z51c29
Bird, MEX, 2bfec883-61fd-46a7-8917-fec4c064b6e2, 49, 6004, No update data, 9g3qx21vcb22
Bird, MEX, 5db67acb-cc94-401b-be0f-4ee316f541f4, 45, 5678, No update data, 9g3qx2r11859
Bird, MEX, 1b879865-cbc1-46a5-9045-6cf5022dbc48, 61, 8350, No update data, 9g3qx291qmkm
Bird, MEX, dc5157af-ece8-4d69-9081-68fee59145b5, 90, 12482, No update data, 9g3qx233tcu0
Bird, MEX, 187581f8-33b7-4993-a603-f65775bf1fb6, 25, 2338, No update data, 9g3qx2r4qmkt
Bird, MEX, 042d97be-6aa8-4da3-98b7-7f86d8d804f5, 94, 13114, No update data, 9g3qx21wfwmp
Bird, MEX, dca93db5-0aa3-424f-8940-61b08f1ccdb3, 51, 6320, No update data, 9g3qx23ng7ks
Bird, MEX, 322dee5a-15a6-40f3-89f1-7d3e845b5139, 82, 11857, No update data, 9g3qx2r39kjr
Bird, MEX, cc6ac158-56f9-4af9-81eb-e7b16f4fb624, 40, 4843, No update data, 9g3qx235tqdz
Bird, MEX, 42905f66-31eb-4abf-ac97-6d75634acae5, 58, 7849, No update data, 9g3qx3neu1g5
Bird, MEX, f8de6e77-5c83-423d-8431-aeb1563116b6, 88, 12859, No update data, 9g3qx2320jm6
Bird, MEX, 472f52fa-d136-43da-a892-c2433dd06a98, 94, 13861, No update data, 9g3qx21mnfvd
Bird, MEX, add446df-6028-4703-9361-35a76b5a26b2, 81, 11060, No update data, 9g3qx28cqkkr
Bird, MEX, afadba1e-c338-4360-9180-1455dc2eadc1, 87, 12692, No update data, 9g3qx231jmzw
Bird, MEX, a966beb1-069f-49e5-87e2-52a02865e96d, 90, 13193, No update data, 9g3qx230y514
Bird, MEX, e4d923c0-c96a-499a-ac65-cc9f7ea43fda, 72, 10187, No update data, 9g3qx230qv2v
Bird, MEX, 60cf4877-69ce-4531-a5a1-e1a27cfc904c, 93, 12956, No update data, 9g3qx231j4s9
Bird, MEX, 05e1e739-2621-441b-962b-677608860b68, 87, 12692, No update data, 9g3qx231kmqj
Bird, MEX, 92768d7a-5f71-4c47-881d-1fc345ae08c5, 69, 9686, No update data, 9g3qx21ky0r2
Bird, MEX, 573b30db-909a-4fda-a3b5-46c3035c47ac, 88, 12859, No update data, 9g3qx231hdu7
Bird, MEX, a65127ed-ebdf-4958-be90-97922b96ec9b, 85, 12358, No update data, 9g3qx230uc1q
Bird, MEX, 56074173-a851-4b59-a18f-57e8c5188cbb, 90, 13193, No update data, 9g3qx3kkhy97
Bird, MEX, 27a4013d-1009-4383-8a5c-2b1a7f2e3eaa, 87, 12692, No update data, 9g3qx230gzsz
Bird, MEX, f25a9cfb-cb0b-4e67-8f02-ae26d3f35579, 85, 12358, No update data, 9g3qx230jnk8
Bird, MEX, 0951f93d-1a81-4ee0-b244-4d1f3ce627fd, 91, 13360, No update data, 9g3qx3kkm6rf
Bird, MEX, 909d4c57-7903-480d-9874-2abae70f7479, 89, 13026, No update data, 9g3qx21kky36
Bird, MEX, c00895ab-eda6-447c-9345-6f875a519610, 57, 7268, No update data, 9g3qx2zd5123
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 100, 14062, No update data, 9g3qx3m7k68h
Bird, MEX, c431f7a5-da19-4f78-a306-5dd0ee2cefb8, 100, 14062, No update data, 9g3qx3m7debn
Bird, MEX, 1ddc5dcd-f88a-47f8-9a40-6cbbd7bc6742, 100, 14062, No update data, 9g3qx3m7ejb6
Bird, MEX, 93c3ece3-907c-44b1-8d1c-55fc05e173cd, 100, 14062, No update data, 9g3qx3m7dx04
Bird, MEX, a6ec7624-a835-4b3c-bb4d-5f1743766fd1, 52, 6478, No update data, 9g3qx2xu18et
Bird, MEX, 3a78c7ca-866c-48a3-887b-4c3387f8ade5, 99, 14696, No update data, 9g3qx3me6f76
Bird, MEX, e047fd2a-760e-4417-bdc3-65aadfe6c5a1, 97, 13588, No update data, 9g3qx3m7ugrt
Bird, MEX, dd7bac1f-f2f7-4f9e-b15f-05d5ccce1594, 25, 2338, No update data, 9g3qx36ghduk
