Bird, MEX, ae02b51b-123a-4953-b879-ccdd4f8d7c0c, 91, 13360, No update data, 9g3qx3p2ytzs
Bird, MEX, f4cd312d-b1ab-4ccc-840f-b064e4d82842, 60, 8183, No update data, 9g3qx2zxcb29
Bird, MEX, 667da35d-8345-4402-9ed3-23f1f5f80543, 90, 13193, No update data, 9g3qx215ggsy
Bird, MEX, 09b4b3b1-fb6a-4e2b-a65c-cb1e43f092da, 91, 13360, No update data, 9g3qx215g5n6
Bird, MEX, 7aadc36b-4d78-44ff-ab7a-003ab654269d, 79, 10744, No update data, 9g3qx2pthj50
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 97, 13588, No update data, 9g3qx2zv417c
Bird, MEX, 75ce0f6b-0607-4413-b8f9-4814481bec33, 91, 13360, No update data, 9g3qx2154pkz
Bird, MEX, 5f1a3923-fd37-49e2-89ab-06edd06985b9, 91, 13360, No update data, 9g3qx3p8er59
Bird, MEX, 59b7f5e1-3272-448c-a687-2c6df93ea390, 87, 12692, No update data, 9g3qx214dyep
Bird, MEX, cd01213d-9873-4a73-9113-022b45577801, 96, 14195, No update data, 9g3qx2zvf261
Bird, MEX, 27ff993f-b5a1-4be3-8819-a74cca67f1b8, 44, 5214, No update data, 9g3qx2zz3qm7
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 93, 12956, No update data, 9g3qx2zz54b7
Bird, MEX, fda6d7e1-606d-461c-abf9-dd9253eea5a9, 74, 10521, No update data, 9g3qx2zysw7q
Bird, MEX, 30b86e43-c8a7-4bfa-bf10-588a81a365d1, 94, 13114, No update data, 9g3qx2zvrzde
Bird, MEX, 05657a08-52fb-4b54-9e31-d3cf41b3234c, 91, 12640, No update data, 9g3qx2zyncvv
Bird, MEX, e8aeed4d-683e-4f07-aac9-8aa11327775a, 96, 13430, No update data, 9g3qx2zzmrzv
Bird, MEX, c557b329-fa29-4b97-a371-40a2e8071355, 55, 6952, No update data, 9g3qx8bjf1gg
Bird, MEX, ec4a6eab-3e21-4544-b696-53b33dacfdb9, 89, 13026, No update data, 9g3qx20ssu1r
Bird, MEX, 65cff338-d0cf-40d3-8193-b1358655873e, 29, 3006, No update data, 9g3qx22pkcxt
Bird, MEX, 3fad6a97-22d3-46ea-9174-ebe0e8d65c41, 82, 11218, No update data, 9g3qx8bnsm0n
Bird, MEX, 46abce90-bd75-4b92-b165-d46e06a59f39, 78, 10586, No update data, 9g3qx8bjpv49
Bird, MEX, 594557b2-0a49-4271-b3ef-77ec6e7b8935, 70, 9322, No update data, 9g3qx8bnq4rd
Bird, MEX, 26ed862c-b040-42aa-8d3b-d942b8998ab5, 92, 13527, No update data, 9g3qx20s1682
