Bird, MEX, 3ecbfd4e-07b7-49c4-95b1-18de4a205226, 100, 14062, No update data, 9g3qx20mufz8
Bird, MEX, c9cbd949-ebed-4422-b069-6fd3b0b0e28b, 99, 14696, No update data, 9g3qx8bnr2pk
Bird, MEX, db1c2d5e-da0d-4cf8-8ef9-6faa76b0e819, 100, 14863, No update data, 9g3qx8bnyx4u
Bird, MEX, 1f3ec013-e7a1-46b8-82ac-bfa096635032, 97, 14362, No update data, 9g3qx20msky5
Bird, MEX, 334d37ea-4ca1-4106-95ba-3dae5b1e6380, 98, 13746, No update data, 9g3qx8bq8ntx
Bird, MEX, f8a84e70-dcc5-4b6a-9233-f5966270e74a, 100, 14863, No update data, 9g3qx209m74z
Bird, MEX, 15a0257a-1513-46fd-b0b7-96c837882c77, 100, 14863, No update data, 9g3qx20m7ysu
Bird, MEX, e044dca5-0d70-4eef-a0c5-5ee4314d5678, 72, 9638, No update data, 9g3qx82xdp5c
Bird, MEX, 4afaf2b3-ad2b-4a6f-8095-a8375c5664a1, 100, 14062, No update data, 9g3qx208vgkh
Bird, MEX, 2a745e37-3402-40b3-9e3c-e6341baa9751, 100, 14863, No update data, 9g3qx208qyts
Bird, MEX, 52b767a2-7ed4-4ad7-940f-481e67ea07c2, 45, 5678, No update data, 9g3qx2bq9qmn
Bird, MEX, 56f84237-e7a7-4512-a7b3-f88d58fb221c, 100, 14062, No update data, 9g3qx209hbxt
Bird, MEX, d937a8bd-0600-4333-8493-d8637b1848f2, 99, 14696, No update data, 9g3qx8bq9byg
Bird, MEX, 673ea75d-7b40-4a32-91d5-e5fb458a7fdc, 99, 14696, No update data, 9g3qx208ugxw
Bird, MEX, 19b4c6ce-51f7-45eb-8e06-9886c5151567, 100, 14863, No update data, 9g3qx208t9tz
Bird, MEX, 41f54773-ba15-4d2b-b496-7e0ab99dafff, 100, 14863, No update data, 9g3qx20978pg
