Bird, MEX, 06b8a075-987a-480f-ad7f-49a84603bdef, 98, 13746, No update data, 9g3qx2s6zcx3
Bird, MEX, db734628-7922-4115-bdb4-2f8bd579c173, 85, 12358, No update data, 9g3qx2szx2z4
Bird, MEX, fb9c6845-79c9-4191-82f2-d22f92ff986f, 82, 11218, No update data, 9g3qx27c2eyg
Bird, MEX, d867dd34-3700-48c3-9a85-a39fc8ddae0b, 60, 7742, No update data, 9g3qx2dundfe
Bird, MEX, 5d60dbce-4239-441f-8a62-9068713f2bee, 93, 12956, No update data, 9g3qx2tszypq
Bird, MEX, 072ec42d-00b6-42b1-bf23-d5a2ad4da5df, 42, 4898, No update data, 9g3qx2tub9bg
Bird, MEX, b1060400-fa5a-4593-acef-4bd5ed674938, 42, 4898, No update data, 9g3qx2tv4tvn
Bird, MEX, 188ebf3c-c5fa-4b9e-b7b8-76ae35643940, 72, 10187, No update data, 9g3qx2mzhtek
Bird, MEX, 6c0b1bbd-9817-4306-affd-cdda597ccd5b, 56, 7110, No update data, 9g3qx2hmdem1
Bird, MEX, 9a66cbb9-eee2-4172-8090-e9147c001b71, 26, 2370, No update data, 9g3qx2wnccwc
Bird, MEX, 59b0bec3-98fb-4ead-8c6c-82152caab5b2, 91, 12640, No update data, 9g3qx2f8uk00
Bird, MEX, c8cee864-ebce-41ea-acd4-099e55c3985a, 89, 12324, No update data, 9g3qx2ghbg5g
Bird, MEX, ac5aaeea-3a87-412e-895a-ed26267af07e, 45, 5372, No update data, 9g3qx2gxb3ec
Bird, MEX, 272149f6-d2b4-4f0c-8797-b1b3077ca501, 39, 4424, No update data, 9g3qx2h56xbh
Bird, MEX, ab6096f1-9494-44b1-9b19-d897fe969dd5, 85, 12358, No update data, 9g3qx2vgq01k
Bird, MEX, ed834a34-6369-4119-a64c-ff0b476198f9, 53, 6636, No update data, 9g3qx2y0syrt
Bird, MEX, 2ab1f8c0-06ea-4b4c-bc9c-85a21d642eea, 66, 8690, No update data, 9g3qx2wrcfyb
Bird, MEX, 1b814827-14b3-4532-aaa4-45279226d342, 90, 12482, No update data, 9g3qx2y4xvf6
Bird, MEX, c351cfb1-6d1b-4f79-a43f-fb368a8a3b95, 73, 9796, No update data, 9g3qx2djf15x
Bird, MEX, 8d0b24af-ab94-4369-9390-7fa8d8dda44d, 80, 10902, No update data, 9g3qx3j633tq
Bird, MEX, f6b36c47-9420-4fdb-ac25-917c5f173c7c, 60, 7742, No update data, 9g3qx2jvvkfy
Bird, MEX, a06d66f7-918d-4b23-96a7-ce52b857822b, 97, 13588, No update data, 9g3qx26h669g
Bird, MEX, c7e80742-eacd-4200-ad64-b7935517633f, 42, 4898, No update data, 9g3qx265e4qk
Bird, MEX, cae1c475-8650-48fc-b461-144eabfa96dd, 39, 4424, No update data, 9g3qx2nj2pm8
Bird, MEX, 3a48bae5-4a5c-4627-aca6-3bf534d27a56, 58, 7849, No update data, 9g3qx3j778c8
Bird, MEX, d79d8e40-b0f9-48eb-a95a-683bca396429, 62, 8058, No update data, 9g3qx29ufv72
Bird, MEX, 455f13cb-32a0-488b-8402-4c4e10e91ae8, 47, 5688, No update data, 9g3qx35kpzd2
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 97, 13588, No update data, 9g3qx34c242d
Bird, MEX, 92f7d03d-ce27-4e30-b428-0f6c86319aa5, 30, 3002, No update data, 9g3qx3jcj0sw
Bird, MEX, ab61c03c-85ae-4f50-a6d2-2fae52458cb8, 98, 13746, No update data, 9g3qx2fr6fek
Bird, MEX, f6ae4432-87b8-4d73-a516-a6e8fbb97ab3, 99, 13904, No update data, 9g3qx2frd3cb
Bird, MEX, 26bdfeb8-9f55-4c69-97c6-68501afe5085, 99, 13904, No update data, 9g3qx2frd57d
Bird, MEX, 28ff340e-a079-4446-9f68-ac747ba8ad40, 97, 13588, No update data, 9g3qx2yt31xn
Bird, MEX, 2df3e21e-4194-45ec-8be8-4f6a66e041d9, 92, 12798, No update data, 9g3qx2qzq0c2
Bird, MEX, 2a457350-a766-4817-8789-df1ef30e966a, 64, 8374, No update data, 9g3qx2qvxfdq
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 91, 12640, No update data, 9g3qx341nn31
Bird, MEX, 6b0e5829-be4a-4f30-af83-99b85f38ff05, 85, 12358, No update data, 9g3qx21xx15u
Bird, MEX, 72b42ad3-da94-4043-a5de-e5e89da1a7f1, 93, 12956, No update data, 9g3qx2z4cg8w
Bird, MEX, 3b0d6ca0-1546-4c2d-b971-e00efb5f7854, 99, 13904, No update data, 9g3qx21wqumx
Bird, MEX, b90794eb-6196-450f-aaaf-49dccc979004, 97, 13588, No update data, 9g3qx21wpkrh
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 75, 10112, No update data, 9g3qx35p3qtm
Bird, MEX, b0adf57c-8fd2-4534-a612-622c5b37ff1d, 93, 12956, No update data, 9g3qx21wnxf9
Bird, MEX, 2fed463b-073c-4db0-aeef-3169a56d4d80, 75, 10688, No update data, 9g3qx2z5h7nm
Bird, MEX, 0183fdae-bd6e-4850-ae9d-647a88c78078, 72, 9638, No update data, 9g3qx2z4vhhb
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 79, 11356, No update data, 9g3qx2c6uwhq
Bird, MEX, 1ef05bdd-fde6-4a26-8c9b-4de274a65001, 94, 13114, No update data, 9g3qx2z5nj37
Bird, MEX, ec1d0e0f-7fb4-4e3d-aa31-4c23b4b20037, 52, 6478, No update data, 9g3qx233etc9
Bird, MEX, e87b5469-7088-4ac1-92ce-b51a22630b34, 82, 11857, No update data, 9g3qx232b52s
Bird, MEX, df2e5308-5e31-4b34-b964-62f213350020, 58, 7849, No update data, 9g3qx29p2ggg
Bird, MEX, fa53a616-6a8d-4d79-b4c9-1f43d0eed520, 62, 8058, No update data, 9g3qx231jjuw
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 82, 11857, No update data, 9g3qx230n8dt
Bird, MEX, f52a5c20-9534-4b6b-9977-960565530724, 96, 13430, No update data, 9g3qx21m7epz
Bird, MEX, e6e9d376-0d85-41a0-9ea7-24bf4839d06e, 97, 13588, No update data, 9g3qx21me1b0
Bird, MEX, ad17e38f-5274-4ccc-9cc8-af59fb2259a3, 56, 7110, No update data, 9g3qx230kxs6
Bird, MEX, a45e2376-bae6-464e-93fc-54f587107b5e, 97, 13588, No update data, 9g3qx21m7p20
Bird, MEX, 5982cac0-e0b8-4231-8ee4-86474a7811f2, 42, 4898, No update data, 9g3qx2349p65
Bird, MEX, b680b057-2017-4e72-b1cd-70f21da227aa, 80, 11523, No update data, 9g3qx230e9pu
Bird, MEX, 2c24ef04-c72e-4771-91df-64c3ca6764e0, 44, 5214, No update data, 9g3qx2zkxm1n
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 87, 12008, No update data, 9g3qx3kkg6g3
Bird, MEX, 84830ec9-5ec0-4605-a8c5-89a6252a7adb, 54, 6794, No update data, 9g3qx375xhs4
Bird, MEX, 861c07fd-decc-4074-b44b-ab03043f53de, 74, 10521, No update data, 9g3qx28c18gr
Bird, MEX, 949d8f03-5358-4cd0-8106-8da54671acf2, 100, 14062, No update data, 9g3qx3me825z
Bird, MEX, b72d47b9-59c5-454f-ac00-20664003473f, 53, 7014, No update data, 9g3qx2rv33vr
Bird, MEX, 60e2f2df-cb62-4dcb-8f26-40e62e79a603, 97, 13588, No update data, 9g3qx3ms1b0d
Bird, MEX, 52dab086-b6dc-49bc-bbb2-d8834ae1c5a9, 27, 2672, No update data, 9g3qx2zsu8gm
Bird, MEX, ff253764-0512-44ba-84eb-299d2b6d5486, 83, 11376, No update data, 9g3qx2rgffg2
Bird, MEX, 69cfb6d8-4ba4-4787-bce5-8d1044419b2e, 97, 13588, No update data, 9g3qx21hj6x8
Bird, MEX, c56ab160-9828-4893-9cb1-3fa1377d1c4d, 75, 10112, No update data, 9g3qx3q851n8
Bird, MEX, c91a6749-08ea-4725-95a1-c88f5990f84b, 65, 8532, No update data, 9g3qx2rvkz38
Bird, MEX, 925c3025-7d0f-4168-b8fa-1cbc41755108, 98, 13746, No update data, 9g3qx215uucm
Bird, MEX, 77b387e7-34e2-4361-b5b0-a6b3133f5033, 85, 11692, No update data, 9g3qx2pkxf6e
Bird, MEX, 410e13ab-e57d-4b47-a4dd-4ac6db2e8a7e, 69, 9164, No update data, 9g3qx3p2rzzm
Bird, MEX, a9e90409-3bcc-4241-9792-7ff905bc64f8, 94, 13114, No update data, 9g3qrrf9s07p
Bird, MEX, 22cb30b7-5bc8-448f-b361-69e5943164fc, 48, 5846, No update data, 9g3qx22t5x98
Bird, MEX, 29b827a4-694c-42a2-9685-1461cbbfa3c1, 82, 11218, No update data, 9g3qx3msxs3y
Bird, MEX, 7938bcbf-3f99-4876-be5e-cfb6d0058966, 17, 948, No update data, 9g3qx36sqsd8
Bird, MEX, db1c2d5e-da0d-4cf8-8ef9-6faa76b0e819, 35, 4008, No update data, 9g3qx215dk1z
Bird, MEX, af48628c-766b-4a54-a1c1-aedd536da45c, 53, 6636, No update data, 9g3qx2b9s44f
Bird, MEX, f0982130-03fa-476d-97a1-1c1c5c659b6e, 34, 3841, No update data, 9g3qx2zvz4hj
Bird, MEX, a64d6c6e-2828-4309-8183-b495290fe297, 82, 11857, No update data, 9g3qx20x6v55
Bird, MEX, 1fb7926b-f073-4a93-ae0b-7c7cd3e56563, 43, 5056, No update data, 9g3qx3pepjsj
Bird, MEX, e97f74a1-de94-4461-94d5-d43b95525042, 47, 6012, No update data, 9g3qx20mvmdc
Bird, MEX, 2a0c1a29-0f54-4076-a232-67f14d26d4e8, 96, 13430, No update data, 9g3qx209ths9
Bird, MEX, a29bc814-be30-4bb9-84fc-821109d4cc69, 61, 7900, No update data, 9g3qx8bpw9z8
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 51, 6320, No update data, 9g3qx804fz7m
Bird, MEX, b501171b-28ae-4bed-bb62-142201feab2e, 78, 11189, No update data, 9g3qx20md3cb
Bird, MEX, 52b767a2-7ed4-4ad7-940f-481e67ea07c2, 53, 7014, No update data, 9g3qx2bq8wqy
Bird, MEX, 320381ba-5bfd-4feb-8df4-0df6e84ff3c8, 74, 9954, No update data, 9g3qrr9zhu3k
Bird, MEX, 1a05c7bc-85b1-47d8-a9d7-7c09c151bef5, 83, 12024, No update data, 9g3qx901m8nh
Bird, MEX, 19b4c6ce-51f7-45eb-8e06-9886c5151567, 83, 12024, No update data, 9g3qx900ydpt
Bird, MEX, 74a49725-ba91-4939-b772-7771130ff79c, 83, 12024, No update data, 9g3qx901qxxe
Bird, MEX, a63f99a6-4205-470a-b95e-81f90e3f294e, 82, 11857, No update data, 9g3qx9023p63
Bird, MEX, e64d2735-48a5-45c3-94dc-4c2ff1013e5f, 55, 6952, No update data, 9g3qrrz7qtpd
Bird, MEX, 8977d9be-30fc-4606-a61e-1c412e2de912, 43, 5344, No update data, 9g3qrrbxsbx8
Bird, MEX, 62ded579-2534-498f-a618-04d9ecd6e79c, 72, 10187, No update data, 9g3qrr9ye9rv
Bird, MEX, b5cd7192-78e7-45dd-a081-58caacc5e8e9, 82, 11857, No update data, 9g3qx20jt1hs
Bird, MEX, 9c9db50a-42fb-4bf9-96c0-8aebdd3bedf4, 82, 11857, No update data, 9g3qx20js4fz
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 69, 9164, No update data, 9g3qrrd7g1b4
Bird, MEX, dcfec459-0f95-4f7e-b414-29d9d984eed3, 80, 11523, No update data, 9g3qx20jdbe0
Bird, MEX, f20e7fe1-e8ca-4594-a007-a6e2facdef22, 98, 13746, No update data, 9g3qrrwykv1d
Bird, MEX, c09cb697-24bb-4bfc-9f67-215dc3e32a5a, 99, 13904, No update data, 9g3qrrwymzg5
Bird, MEX, 77e96044-a35d-4ba6-8e4f-8d6d15cdbbf2, 100, 14062, No update data, 9g3qx3ehnbjf
Bird, MEX, 6c549b73-9cf7-4f92-9b70-33dcb082f195, 79, 10744, No update data, 9g3qx3ehn19h
Bird, MEX, e6f453ae-e896-4960-94b4-8d704cb7e810, 64, 8851, No update data, 9g3qx33zdxtn
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 99, 13904, No update data, 9g3qx3ehntxt
Bird, MEX, 7a33a638-3bfb-4c91-86d5-3fde981c6c15, 35, 3792, No update data, 9g3qx88vgzmn
Bird, MEX, 8f412a8e-3b16-4856-a4c2-e354b6ab1962, 79, 11356, No update data, 9g3qx20h6xbh
Bird, MEX, 930de736-a2a0-4a9f-9f8e-4bf77d92e5de, 85, 12358, No update data, 9g3qx903pcrd
Bird, MEX, 0d7bd0bc-b745-49c8-84e9-7c6bb4e5499a, 99, 13904, No update data, 9g3qx3ehmju8
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 53, 7014, No update data, 9g3qrr9tgtpz
Bird, MEX, 159caea9-9890-4349-967b-e9a9acedd927, 67, 9352, No update data, 9g3qrrbrkky0
Bird, MEX, c6dcdab6-73f4-4b79-88e2-842c95d3fbb6, 53, 6636, No update data, 9g3qrrmr9u88
Bird, MEX, 7d22917c-d40f-4342-a4eb-daca6930f962, 49, 6004, No update data, 9g3qx0zdmm4e
Bird, MEX, 85c77e5d-7ca2-4acc-851f-01e834bf76a7, 48, 5846, No update data, 9g3qx0rsg7sw
Bird, MEX, af76ba49-496c-44bc-b376-98e6acf3e953, 89, 12324, No update data, 9g3qrrmn2x0z
Bird, MEX, b7da4bac-c45b-467b-8875-944cfa0d5cf7, 46, 5845, No update data, 9g3qx32u40hf
Bird, MEX, 896ba8f1-1786-4b93-b6ee-6d837c43d009, 39, 4424, No update data, 9g3qx90muvxf
Bird, MEX, 1e922d89-3ef6-458e-8c75-5a8ba2981876, 66, 8690, No update data, 9g3qrrktyxxw
Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 94, 13114, No update data, 9g3qx3ez4xjp
Bird, MEX, f5b148fc-11ff-48a7-99fc-c6c63a8b44d3, 98, 13746, No update data, 9g3qx0pg2dqc
Bird, MEX, 64b3f753-f2df-4c32-bdc9-d73967e8a883, 97, 13588, No update data, 9g3qx0pg0enu
Bird, MEX, 17f91276-8524-431c-b478-9198392beca0, 78, 10586, No update data, 9g3qx1p9pqbv
Bird, MEX, e5da55e7-c68c-4983-82b6-f87460212221, 62, 8058, No update data, 9g3qrrw97hy8
Bird, MEX, cf9a59ae-0b6f-4cbc-bab9-84fcdef1d98f, 43, 5056, No update data, 9g3qrr6rhkyp
Bird, MEX, cdad8127-aad0-4489-81c2-75f711159ce8, 90, 12482, No update data, 9g3qx90fgw9b
Bird, MEX, f1e9597d-e0e6-4305-8216-310812e50216, 49, 6004, No update data, 9g3qx8chqpcm
Bird, MEX, 7867c507-5041-4675-a9b1-bd50db64fb08, 37, 4342, No update data, 9g3qrr6tuqb0
Bird, MEX, f3f71ef0-452e-499f-b378-91ede1bf1133, 85, 11692, No update data, 9g3qrrmhq7u6
Bird, MEX, 1acc514a-0d93-49eb-9c80-3c88c0832dae, 48, 5846, No update data, 9g3qrrmkzgp3
Bird, MEX, 10cc64c2-a551-4a15-ab0b-56f0722cceb4, 100, 14062, No update data, 9g3qx92hj9n0
Bird, MEX, eb089722-b0a7-414a-8185-4144ea7263e0, 100, 14062, No update data, 9g3qx92hjk4g
Bird, MEX, 5eded9ba-7e00-4414-a5d8-52ba3e900b2d, 70, 9322, No update data, 9g3qrrqnrrz7
Bird, MEX, 738d5115-ba36-47f5-b9b5-e614f546d397, 73, 9796, No update data, 9g3qrrmh589s
Bird, MEX, 6ebb5995-0ae1-4adc-a04f-aa527adaf017, 48, 5846, No update data, 9g3qrr95b0vk
Bird, MEX, d475b96f-22fb-4678-8a49-115a1f90b91d, 44, 5214, No update data, 9g3qrr75z1kp
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 98, 13746, No update data, 9g3qrxb0n1zs
Bird, MEX, a687e688-6e06-45db-bec3-e1973b9da00d, 81, 11690, No update data, 9g3qx89t2zs5
Bird, MEX, 602f512f-30a2-4dd8-bf9a-80f233f1967e, 67, 8848, No update data, 9g3qx89x2qgz
Bird, MEX, 769dcc13-d4ef-49ed-a5e3-5a6bec6eb371, 51, 6320, No update data, 9g3qrxb0rfzs
Bird, MEX, 5285351b-e634-4480-8107-a1b1c79cd9dc, 33, 3476, No update data, 9g3qx3f83q06
Bird, MEX, 2d8e803d-27e4-4d51-b2ee-7a081954ceac, 28, 2686, No update data, 9g3qrr9816vr
Bird, MEX, 1ce98f73-4878-4d2c-a936-196ae5d81a9f, 70, 9853, No update data, 9g3qx8crhj77
Bird, MEX, 5ae649f8-abe1-45c3-93d7-3922bfd013c4, 66, 9185, No update data, 9g3qx0p3myk4
Bird, MEX, 97b2ff0a-ff49-46bc-9963-48bcd701be29, 80, 11523, No update data, 9g3qx0pnuuzw
Bird, MEX, 2c7105f0-36c6-4cf8-9c46-fab867e41321, 94, 13861, No update data, 9g3qx0p6h04c
Bird, MEX, 570e8461-10b8-4a9a-9049-88634ca8c0f4, 80, 11523, No update data, 9g3qx0p2y190
Bird, MEX, 29383517-4a29-4d25-b7b8-f3216a0cfa05, 81, 11690, No update data, 9g3qx0p2twjg
Bird, MEX, 7a3f577b-9bdb-4cfd-84f8-006066f1c4eb, 66, 9185, No update data, 9g3qx1p63zwe
Bird, MEX, 21fb9d79-bce4-4b19-8b49-5d9d7f29886b, 75, 10112, No update data, 9g3qrrkfn036
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 98, 13746, No update data, 9g3qrx8r47xq
Bird, MEX, 41f54773-ba15-4d2b-b496-7e0ab99dafff, 79, 11356, No update data, 9g3qx0p3dy7j
Bird, MEX, a8b4e8fa-949a-44bb-a931-45aeeb79e9ab, 71, 10020, No update data, 9g3qx389kduq
Bird, MEX, 2914db63-dbe1-4143-928e-96730fdf5e61, 81, 11690, No update data, 9g3qx0p27bkt
Bird, MEX, b9b89564-4827-4f4b-b1f8-635baf4aa9ba, 71, 9480, No update data, 9g3qrr7chsur
Bird, MEX, 84b24662-1331-4ee8-831a-a87e4c7f8aec, 64, 8374, No update data, 9g3qx0p26y50
Bird, MEX, 4f72794a-0bbf-4d61-85c8-50052f42ea5d, 90, 12482, No update data, 9g3qrrkc5hn9
Bird, MEX, a6661cdd-872e-4cad-903d-31d58a677b88, 85, 12358, No update data, 9g3qx0p32h2q
Bird, MEX, 5d983611-5cc3-463d-9046-7b6f45ff57a3, 89, 12324, No update data, 9g3qrrkbgszv
Bird, MEX, c3d11bc0-0e20-4972-82ae-748b227de5e9, 31, 3340, No update data, 9g3qx3g7gn83
Bird, MEX, e7c48c3f-4dc1-422f-9486-9c4f83025dbf, 42, 4898, No update data, 9g3qrrk8mrzg
Bird, MEX, aa023eb9-ca95-4a71-8040-a6e426028bec, 67, 9352, No update data, 9g3qrrk84wb5
Bird, MEX, e55a08a6-20e7-4f40-9eba-54aa58af367f, 63, 8684, No update data, 9g3qrrkbrv46
Bird, MEX, dc99eada-5884-458f-ae1f-51ded159fd29, 72, 10187, No update data, 9g3qrrkbqddd
Bird, MEX, 867ca35b-befa-4310-ae76-54c25d56f7a1, 94, 13114, No update data, 9g3qrrkbm3pb
Bird, MEX, 87000355-0673-4d6e-b9ea-f82fc71d6b7b, 51, 6320, No update data, 9g3qx3f6z38f
Bird, MEX, 3b06a00e-1530-498f-9621-456dd5ac1bc8, 96, 13430, No update data, 9g3qrrkbq9ds
Bird, MEX, 23bb7a15-86d6-4759-9220-dc67f7ac97b9, 34, 3634, No update data, 9g3qrrhrcrtq
Bird, MEX, 8849aa91-a903-43ab-9a44-fcd9b380e17c, 92, 12798, No update data, 9g3qrrkbjrfc
Bird, MEX, aaff40ed-398a-426e-9f80-9120ff8ab765, 48, 5846, No update data, 9g3qx3fe4j7s
Bird, MEX, adf6fe80-3821-46ff-a65a-886991c1695c, 72, 9638, No update data, 9g3qrr669cqt
Bird, MEX, b1dd0b14-3c0f-4a61-ad73-f8d69412c114, 91, 12640, No update data, 9g3qrrq1gpww
Bird, MEX, e40ef042-30c0-495d-89b3-91aaf3ecfa9e, 44, 5214, No update data, 9g3qrrhzypxq
Bird, MEX, d7b2d89f-ad12-48e4-a089-0e9bf1d9031d, 85, 11692, No update data, 9g3qrrhptmfb
Bird, MEX, cf88cd23-8151-4311-a96b-121cac0c6c08, 66, 8690, No update data, 9g3qrr3sq3sk
Bird, MEX, 2699444f-acb5-4df9-a540-85c9781e06f5, 94, 13114, No update data, 9g3qrr5zkf32
Bird, MEX, 5505f22b-36c8-4970-b43f-24db0af53137, 97, 13588, No update data, 9g3qrpzk7d39
Bird, MEX, b7d1f6af-f51b-45bc-99bb-0fba874a5908, 51, 6320, No update data, 9g3qrr5xm2ru
Bird, MEX, 31558ca0-2e43-47d0-8160-1c14fb6dc66a, 85, 11692, No update data, 9g3qrpz77xcs
Bird, MEX, 3583450c-8a32-4bd9-864b-fe415aea1999, 89, 12324, No update data, 9g3qrr3eqcby
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 57, 7268, No update data, 9g3qrrqfwt6w
Bird, MEX, e0adc752-d66d-485c-9425-ad051ab394ae, 33, 3476, No update data, 9g3qrr2rwytw
Bird, MEX, 3362494e-66f7-49eb-9ea7-fb53aceb8f68, 79, 10744, No update data, 9g3qrx83ykk9
Bird, MEX, 01414c5a-cb2f-43d0-8a91-a5ede3d956f9, 53, 6636, No update data, 9g3qrrrv9d59
Bird, MEX, def03c08-e7bb-4a99-bb92-7abf37422973, 37, 4342, No update data, 9g3qrr5uy6km
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 99, 13904, No update data, 9g3qrr4vy6sr
Bird, MEX, 241c5fc8-7b59-4140-9c2c-69461b597c8c, 94, 13114, No update data, 9g3qrr4vvgk5
Bird, MEX, b0c24147-9c95-4156-981a-e20985cd2f42, 42, 4898, No update data, 9g3qx91y1hdr
Bird, MEX, 9fceae10-e9a1-4eab-9e57-028e86b8dbba, 55, 7348, No update data, 9g3qx91vf7p5
Bird, MEX, ae02b51b-123a-4953-b879-ccdd4f8d7c0c, 60, 8183, No update data, 9g3qx91vfkr5
Bird, MEX, 061c9ba7-0227-470d-9848-2d701ea7bb94, 92, 12798, No update data, 9g3qx91y4c7d
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 97, 13588, No update data, 9g3qrr4v9722
Bird, MEX, 46f58cb6-2ddd-48a0-8590-f6e0fdb5efbe, 52, 6847, No update data, 9g3qrr38su92
Bird, MEX, cc58944d-c4ae-4255-8a3b-603faa1c98aa, 74, 9954, No update data, 9g3qx3z5w8xd
Bird, MEX, 81f5f335-0386-4888-820b-2265d5b16231, 97, 13588, No update data, 9g3qrpyxjwmb
Bird, MEX, 6ac743a3-c57d-4c1d-af18-edb4505a323a, 46, 5530, No update data, 9g3qx3vxyez8
Bird, MEX, e555ab1e-4445-4901-9924-33d8492f32be, 72, 10187, No update data, 9g3qrr4v1xg8
Bird, MEX, ecff9f23-7ed5-4e76-a434-43637322371f, 89, 13026, No update data, 9g3qrrh5b42t
Bird, MEX, e359ab3a-46a1-479f-88a4-e572cd953963, 87, 12008, No update data, 9g3qrx9r4qd1
Bird, MEX, ac2e81c0-1dbd-459f-a5e4-ca412f3d971e, 63, 8216, No update data, 9g3qrr2gcn4h
Bird, MEX, 647e893b-ad08-4ec0-8567-14ec5ff7ef11, 89, 12324, No update data, 9g3qrr4uc78m
Bird, MEX, 3d0eb1e0-af04-4000-a55b-51f7b43ea66a, 49, 6346, No update data, 9g3qrr4uerh8
Bird, MEX, 56f84237-e7a7-4512-a7b3-f88d58fb221c, 89, 12324, No update data, 9g3qrpyx959g
Bird, MEX, 4e0879ca-63a2-4fcf-831b-6633d45e04a7, 49, 6346, No update data, 9g3qx86d2qfy
Bird, MEX, 26671743-4f2e-4f74-b77a-58a4f2269f3b, 99, 13904, No update data, 9g3qx93c725t
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 69, 9164, No update data, 9g3qrx2wbhvt
Bird, MEX, 471cdfda-76c5-4984-b14c-2b1821fe52a1, 96, 13430, No update data, 9g3qx93c5xcg
Bird, MEX, 721e59a9-d26b-429a-b3ca-fecad8167953, 79, 10744, No update data, 9g3qrx2wb1mx
