Bird, MEX, 7fd024c6-7511-43e8-b890-0ceae6c363fb, 96, 14195, No update data, 9g3qx2h5w6h3
Bird, MEX, 211b1584-a5cb-439d-b24c-77633ec22ad0, 97, 14362, No update data, 9g3qx2h5mxq0
Bird, MEX, 8be5fd41-5102-44cf-8112-b2105dd2c2a5, 96, 14195, No update data, 9g3qx2h57w3d
Bird, MEX, 18b1e6f9-e9dc-4269-b766-1f409d65c4ee, 67, 9352, No update data, 9g3qx2h56yek
Bird, MEX, 10f30ae3-ee9e-421d-bce2-ca702bc4dff7, 97, 14362, No update data, 9g3qx2h5muhm
Bird, MEX, 00fa3925-6cf5-43af-94fc-bc0474e49bd9, 83, 12024, No update data, 9g3qx2gn2w8t
Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 79, 10744, No update data, 9g3qx25jfv5r
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 67, 9352, No update data, 9g3qx2h4dn5e
Bird, MEX, 19bfde22-cb56-48fe-9b3e-ed5f1e3fce70, 40, 4843, No update data, 9g3qx25hx3rn
Bird, MEX, d4ab1c93-6e74-443b-af09-55c20f013802, 85, 11692, No update data, 9g3qx353m0hs
Bird, MEX, 3be3e45c-d897-4d73-a4a4-b0ebf6ead681, 96, 14195, No update data, 9g3qx2wqu8gm
Bird, MEX, 111e328b-dd2e-48b8-bd8a-1520dca96ab9, 36, 4175, No update data, 9g3qx262wede
Bird, MEX, 36492f57-4509-4243-9869-ffa9bc263ba8, 74, 9954, No update data, 9g3qx24wkq8h
Bird, MEX, b6c16e86-fc7a-4da1-bbe8-cebb9b5fd031, 88, 12859, No update data, 9g3qx264r8sp
Bird, MEX, 62442278-b68a-472b-b413-dfd6b89600a7, 51, 6680, No update data, 9g3qx2dn0j2d
Bird, MEX, 6a082de0-4afb-45d0-a398-05316b073850, 40, 4582, No update data, 9g3qx2j4qbmv
Bird, MEX, 6b9dedd2-df91-4d53-beca-79a341cdc811, 49, 6004, No update data, 9g3qx2562nvw
Bird, MEX, 690e6aea-1bd3-48bf-af61-a1c18606a1d6, 97, 13588, No update data, 9g3qx2yk8uk0
Bird, MEX, 41be6249-b83c-4b11-9f93-28c1072a63b8, 52, 6847, No update data, 9g3qx3jc09r4
Bird, MEX, 6f3236d1-f951-4943-9382-cabff4112af0, 88, 12166, No update data, 9g3qx2h25373
Bird, MEX, a1d171b9-52ca-4dd1-8c57-0d795c3fbae6, 85, 11692, No update data, 9g3qx2juyfvb
Bird, MEX, 59dd7904-d00e-495a-a771-b06943de4065, 93, 13694, No update data, 9g3qx34c21tw
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 94, 13861, No update data, 9g3qx34c25bs
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 84, 11534, No update data, 9g3qx34c8eqf
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 78, 10586, No update data, 9g3qx34f54y7
Bird, MEX, 10f11c27-65de-4dbd-8a60-191796d0d62b, 54, 7181, No update data, 9g3qx349rrr1
Bird, MEX, e4a481b4-f2bd-4f91-b04a-03c09aeac3aa, 58, 7849, No update data, 9g3qx2nh80t8
Bird, MEX, afe47853-0451-4d2b-8131-88f44e24c7a3, 63, 8684, No update data, 9g3qx349q4xk
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 72, 9638, No update data, 9g3qx24fnez8
Bird, MEX, 2834a400-5b1e-4abd-ba53-0b8718b8a2d9, 88, 12166, No update data, 9g3qx2fr1z82
Bird, MEX, 38a3d427-41a4-4d20-bd07-9779bf566a83, 87, 12008, No update data, 9g3qx2fr3cqs
Bird, MEX, 41f2431a-3e23-4ca9-9d67-6e42559b78bc, 61, 8350, No update data, 9g3qx35ty3u7
Bird, MEX, 6b706d64-0df8-4829-b7f2-19558573cfcd, 67, 9352, No update data, 9g3qx35hg2se
Bird, MEX, 63b9a7b7-41aa-4379-b35d-d4a49adecd85, 73, 10354, No update data, 9g3qx3hnfh7e
Bird, MEX, dce30b71-4edc-4de7-a9e6-549625b198d4, 33, 3674, No update data, 9g3qx29krwsj
Bird, MEX, 9d630ba8-dddb-49a5-959f-460948f5c59d, 33, 3674, No update data, 9g3qx2nzbdbb
Bird, MEX, 68405086-dcb8-467e-93c0-02f5b30cb889, 66, 8690, No update data, 9g3qx2nzbtr0
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 62, 8517, No update data, 9g3qx2xpd47u
Bird, MEX, e47757a0-3f03-47ca-8cbc-a3970155b954, 39, 4676, No update data, 9g3qx2nz8wrj
