Bird, MEX, 8531c2a7-ace9-4174-a5fe-d0177c1e0304, 98, 13746, No update data, 9g3qx2yvz0k1
Bird, MEX, 94235d68-ce38-4f45-b8d8-544f4a1285f3, 92, 13527, No update data, 9g3qx2yvz8um
Bird, MEX, de4f9bf6-4611-4fa5-9948-ec6a9e042f32, 97, 13588, No update data, 9g3qx2z5xxsm
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 100, 14062, No update data, 9g3qx29175nr
Bird, MEX, 9576e053-4a88-4170-9005-5cc00cd21a4d, 66, 9185, No update data, 9g3qx2r3c5p4
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 100, 14062, No update data, 9g3qx2941gy9
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 87, 12008, No update data, 9g3qx21rendw
Bird, MEX, 7eb9f5b2-d82b-4eac-8620-fb60dc01546d, 99, 14696, No update data, 9g3qx29405jm
Bird, MEX, 5e8caee7-0184-406a-8439-a6ac0b774723, 100, 14062, No update data, 9g3qx28fn8fx
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 97, 13588, No update data, 9g3qx21mt9vb
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 96, 13430, No update data, 9g3qx21mmvh4
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 97, 13588, No update data, 9g3qx21mkzzs
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 100, 14062, No update data, 9g3qx28fjsmu
Bird, MEX, 92c1b484-7e6b-458a-838c-070795ec1426, 54, 6794, No update data, 9g3qx2zkuh74
Bird, MEX, d48617dd-3f87-422b-bf8f-d278a96888aa, 91, 12640, No update data, 9g3qx231htuq
Bird, MEX, 4048c69a-9e8b-4883-8910-f3a23b6da33e, 96, 13430, No update data, 9g3qx3kkn6s6
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 100, 14062, No update data, 9g3qx28fs3y0
Bird, MEX, 6d3395d6-2232-43c5-8b20-5acdee080a74, 48, 5846, No update data, 9g3qx3p0kzrc
Bird, MEX, d6bce810-1c38-4ac9-8186-d9bf55267da7, 74, 9954, No update data, 9g3qx3p0ngvc
Bird, MEX, ee2d53b5-f1e6-4b04-b739-0bb8e1969b13, 46, 5530, No update data, 9g3qx3p0pjsj
Bird, MEX, a0e05e53-6cea-432c-904f-bbba3b8dd971, 48, 5846, No update data, 9g3qx3p0pmxm
Bird, MEX, d758962f-e3fd-46f0-9300-f1dcbcb5fcbd, 81, 11060, No update data, 9g3qx3p0ptur
Bird, MEX, e635d8cb-028d-48ff-be05-07737b7ecbb2, 30, 3173, No update data, 9g3qx2zrbgh5
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 97, 13588, No update data, 9g3qx3p208rh
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 96, 13430, No update data, 9g3qx3p1pbxq
Bird, MEX, c6aff5da-4189-4c94-9822-1d7187a5ded8, 67, 9352, No update data, 9g3qx3p24q61
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 96, 13430, No update data, 9g3qx2zsd9v0
Bird, MEX, 8d8428e9-90d6-42cd-b265-826edfd1a094, 92, 13527, No update data, 9g3qx2zt3qm7
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 96, 13430, No update data, 9g3qx2zej6fg
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 97, 13588, No update data, 9g3qx2zs7pq9
Bird, MEX, 74d28002-a5be-4ce7-be3d-55c61d91898d, 39, 4424, No update data, 9g3qx23000tm
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 79, 10744, No update data, 9g3qx2zs7fkf
Bird, MEX, e3375cd3-963a-48af-af18-237859a9535b, 98, 14529, No update data, 9g3qx21hwzby
Bird, MEX, 5726f868-b3c8-409a-b211-64bc3610326e, 100, 14062, No update data, 9g3qx22cub33
Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 91, 13360, No update data, 9g3qx215zmpp
Bird, MEX, 58442098-3fe4-4c93-8287-d6fc8b3ba4c7, 94, 13861, No update data, 9g3qx21htdvz
