Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 91, 12640, No update data, 9g3qx2zss5eh
Bird, MEX, 43c9da9c-a738-402f-a081-1b3aa20ae5f9, 81, 11690, No update data, 9g3qx2zw5f81
Bird, MEX, ac90b4f8-4ec5-4ed2-bb64-605c07442409, 93, 12956, No update data, 9g3qx2ztjmxv
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 69, 9686, No update data, 9g3qx2bf8syu
Bird, MEX, cd01213d-9873-4a73-9113-022b45577801, 93, 13694, No update data, 9g3qx2zwgnnw
Bird, MEX, f4cd312d-b1ab-4ccc-840f-b064e4d82842, 58, 7849, No update data, 9g3qx2zwgpns
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 96, 13430, No update data, 9g3qx2zx4v77
Bird, MEX, 9f1b065e-3c51-4d61-a3a9-0794da215166, 90, 12482, No update data, 9g3qx2ztq7ue
Bird, MEX, 667da35d-8345-4402-9ed3-23f1f5f80543, 89, 13026, No update data, 9g3qx21h6yeh
Bird, MEX, 59b7f5e1-3272-448c-a687-2c6df93ea390, 85, 12358, No update data, 9g3qx20vwgte
Bird, MEX, 5d8e364f-ed6b-48a9-bea7-b90df1aba21c, 84, 12191, No update data, 9g3qx20uztu5
Bird, MEX, 7aadc36b-4d78-44ff-ab7a-003ab654269d, 78, 10586, No update data, 9g3qx2psergw
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 92, 12798, No update data, 9g3qx2zxtk6b
Bird, MEX, 27ff993f-b5a1-4be3-8819-a74cca67f1b8, 44, 5214, No update data, 9g3qx3p8h6y7
Bird, MEX, 334d37ea-4ca1-4106-95ba-3dae5b1e6380, 90, 12482, No update data, 9g3qx2zueked
Bird, MEX, db1c2d5e-da0d-4cf8-8ef9-6faa76b0e819, 87, 12692, No update data, 9g3qx2zuhde3
Bird, MEX, 75ce0f6b-0607-4413-b8f9-4814481bec33, 90, 13193, No update data, 9g3qx20ukg1r
Bird, MEX, e8aeed4d-683e-4f07-aac9-8aa11327775a, 94, 13114, No update data, 9g3qx2zz8jvd
Bird, MEX, 09b4b3b1-fb6a-4e2b-a65c-cb1e43f092da, 90, 13193, No update data, 9g3qx20gscps
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 94, 13114, No update data, 9g3qx2zyjben
Bird, MEX, fda6d7e1-606d-461c-abf9-dd9253eea5a9, 73, 10354, No update data, 9g3qx3pb69tn
Bird, MEX, 46abce90-bd75-4b92-b165-d46e06a59f39, 76, 10270, No update data, 9g3qx8bj9y0s
Bird, MEX, c557b329-fa29-4b97-a371-40a2e8071355, 54, 6794, No update data, 9g3qx8bj70ns
Bird, MEX, 594557b2-0a49-4271-b3ef-77ec6e7b8935, 69, 9164, No update data, 9g3qx8bjgzb0
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 91, 12640, No update data, 9g3qx20mz2x4
Bird, MEX, c76628e4-823a-4953-b144-7c45bb17f2d8, 46, 5530, No update data, 9g3qx20dqqh2
Bird, MEX, 65cff338-d0cf-40d3-8193-b1358655873e, 28, 2839, No update data, 9g3qx22ph4fg
Bird, MEX, da283533-c49b-4115-84f9-a34649d27d8e, 65, 9018, No update data, 9g3qx8bnnn33
Bird, MEX, 11f1ec41-516b-4137-8d03-93300417e57a, 26, 2505, No update data, 9g3qx22p5s9w
Bird, MEX, 05657a08-52fb-4b54-9e31-d3cf41b3234c, 90, 12482, No update data, 9g3qx8bnpm9j
Bird, MEX, d00c8363-1378-4f6d-a999-7e929c94c014, 31, 3160, No update data, 9g3qx9007x9g
Bird, MEX, ed565352-2abd-4185-9ec2-df9242afee5d, 80, 11523, No update data, 9g3qx8bpq436
