Bird, MEX, b653854b-733e-4c4c-8e76-3b570ba90c22, 62, 8517, No update data, 9g3qx2zpydz9
Bird, MEX, 5470d1c2-9e87-4469-800a-d2b3dc5abddf, 66, 9185, No update data, 9g3qx2ze037c
Bird, MEX, 7c163c5f-0b43-46be-a25d-8256872a99ca, 88, 12859, No update data, 9g3qx2zprz69
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 69, 9164, No update data, 9g3qx230kuc3
Bird, MEX, 44bc8cfd-6369-4677-89a0-584144e5541c, 85, 11692, No update data, 9g3qx3nr5e30
Bird, MEX, 82dcd49c-65e1-4665-9b35-302cd6e6627b, 70, 9853, No update data, 9g3qx230kdk3
Bird, MEX, e99e4150-93be-4ef9-800a-8a9322a8e3d9, 87, 12692, No update data, 9g3qx230s47h
Bird, MEX, a688f574-3cc8-4a1c-b2d2-a0dd24f18974, 83, 11376, No update data, 9g3qx3nu85md
Bird, MEX, 2deda658-907a-4f15-ac75-31743fe2f233, 89, 13026, No update data, 9g3qx21kgs3d
Bird, MEX, 62edfae9-c344-4128-87bc-b3b0b744f33e, 83, 11376, No update data, 9g3qx2340xyf
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 83, 11376, No update data, 9g3qx28ggp8p
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 58, 7426, No update data, 9g3qx230ddvp
Bird, MEX, ceb60b2d-0911-4b72-8f83-82999d1023e9, 67, 8848, No update data, 9g3qx36fz0eg
Bird, MEX, 72a414a0-8b65-4ea5-bdee-163e7010ce34, 88, 12166, No update data, 9g3qrrykbt0z
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 94, 13861, No update data, 9g3qx3m7tbu7
Bird, MEX, da7dfdac-193a-4418-9773-a104a7da7491, 78, 11189, No update data, 9g3qrryxnhxw
Bird, MEX, 208fcbe3-a0f6-409e-9353-79f129875513, 96, 14195, No update data, 9g3qx3m7wzjf
Bird, MEX, f79fe92a-822e-48ad-bf8c-4c4953a8f041, 91, 13360, No update data, 9g3qx2zscxg8
Bird, MEX, 199e04b5-12c2-4a2d-a4f3-a12c3befeb25, 97, 13588, No update data, 9g3qx3me8fez
Bird, MEX, 6018a9ad-c989-4a26-b2ad-86e248705377, 92, 13527, No update data, 9g3qx2zt4dv5
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 89, 9204, No update data, 9g3qx2zsk570
Bird, MEX, 9c03be33-e196-47dd-abe4-27ecf135ee76, 73, 10354, No update data, 9g3qrryybhvt
Bird, MEX, 28e02f1c-872c-4047-ac4f-17a642222544, 18, 1169, No update data, 9g3qrryz60ez
Bird, MEX, 6ef92d03-7e04-4973-a7d9-a43a595edd48, 85, 11692, No update data, 9g3qx2zt577x
Bird, MEX, b639eb2d-7ed2-497a-9575-570601c41e84, 40, 4582, No update data, 9g3qx31y16v7
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 98, 13746, No update data, 9g3qx3mke93x
Bird, MEX, c951fa66-4ed6-484d-b192-a4d58f075dc5, 63, 8684, No update data, 9g3qx2ztfve6
Bird, MEX, f815c609-1181-499f-9c86-c1ebf4a7906e, 91, 9440, No update data, 9g3qx2zthmq7
Bird, MEX, f3462101-625e-4c6e-a9f0-cc7c01652f8e, 90, 13193, No update data, 9g3qx2zsuuxu
