Bird, MEX, ae1acd5e-47c5-44ab-b0f3-c5fbae204d43, 80, 11523, No update data, 9g3qx23n0k7s
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 82, 11218, No update data, 9g3qx231v1ud
Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 91, 13360, No update data, 9g3qx231mfk1
Bird, MEX, 982395b4-395e-4375-a321-4c510a3a2944, 82, 11218, No update data, 9g3qx28fw4p6
Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 100, 14062, No update data, 9g3qx2zpnnck
Bird, MEX, b653854b-733e-4c4c-8e76-3b570ba90c22, 67, 9352, No update data, 9g3qx2zpu7qm
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 57, 7682, No update data, 9g3qx28by11p
Bird, MEX, 2deda658-907a-4f15-ac75-31743fe2f233, 93, 13694, No update data, 9g3qx21mmk4v
Bird, MEX, 02006705-1f0f-45ac-a77b-0e0d538e4b93, 94, 13114, No update data, 9g3qx28gmdmc
Bird, MEX, 9faddf4c-a5cd-47d4-9766-7ed40affa7c3, 96, 14195, No update data, 9g3qx231kuc3
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 75, 10112, No update data, 9g3qx231kbps
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 96, 14195, No update data, 9g3qx231kb3m
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 85, 11692, No update data, 9g3qx21mkxs6
Bird, MEX, 83220a33-fefd-4340-b5ab-2b7478bcb44d, 91, 13360, No update data, 9g3qx231sh5p
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 71, 9480, No update data, 9g3qx230vpsx
Bird, MEX, 5e7dd5f9-a8ac-4ce4-b82c-6c643967fc1e, 63, 8684, No update data, 9g3qx231k8km
Bird, MEX, 72a414a0-8b65-4ea5-bdee-163e7010ce34, 90, 12482, No update data, 9g3qrryjxmz3
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 85, 11692, No update data, 9g3qx21ms1ry
Bird, MEX, 5b07c2c0-a805-445d-b168-01ac8898e484, 92, 13527, No update data, 9g3qx231efhf
Bird, MEX, 82dcd49c-65e1-4665-9b35-302cd6e6627b, 72, 10187, No update data, 9g3qx231g42n
Bird, MEX, d35a9576-a35c-4a51-8b1b-caa587f5263e, 93, 13694, No update data, 9g3qx231hh7h
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 94, 13861, No update data, 9g3qx23173ux
Bird, MEX, 44bc8cfd-6369-4677-89a0-584144e5541c, 85, 11692, No update data, 9g3qx3nr5e30
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 87, 12008, No update data, 9g3qx28fexxv
Bird, MEX, 5470d1c2-9e87-4469-800a-d2b3dc5abddf, 71, 10020, No update data, 9g3qx2zd995s
