Bird, MEX, 3fc8ac56-09dd-436a-a87b-ce7baa509d26, 90, 13193, No update data, 9g3qx2sh995s
Bird, MEX, a1d171b9-52ca-4dd1-8c57-0d795c3fbae6, 84, 11534, No update data, 9g3qx2jvm4se
Bird, MEX, 10f11c27-65de-4dbd-8a60-191796d0d62b, 53, 7014, No update data, 9g3qx34bc287
Bird, MEX, 690e6aea-1bd3-48bf-af61-a1c18606a1d6, 94, 13114, No update data, 9g3qx2ykdx8j
Bird, MEX, 6f3236d1-f951-4943-9382-cabff4112af0, 87, 12008, No update data, 9g3qx2h2j3fu
Bird, MEX, afe47853-0451-4d2b-8131-88f44e24c7a3, 61, 8350, No update data, 9g3qx348zngf
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 78, 10586, No update data, 9g3qx34fh07h
Bird, MEX, 59dd7904-d00e-495a-a771-b06943de4065, 92, 13527, No update data, 9g3qx34c2t2t
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 92, 13527, No update data, 9g3qx34c2h2x
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 83, 11376, No update data, 9g3qx34c9nf0
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 71, 9480, No update data, 9g3qx24fq3ur
Bird, MEX, f48a649a-f2a1-4856-b4cb-d1f196a6fe97, 81, 11690, No update data, 9g3qx29srm0g
Bird, MEX, 41f2431a-3e23-4ca9-9d67-6e42559b78bc, 58, 7849, No update data, 9g3qx35tt4ks
Bird, MEX, 38a3d427-41a4-4d20-bd07-9779bf566a83, 85, 11692, No update data, 9g3qx2fr3q27
Bird, MEX, 2834a400-5b1e-4abd-ba53-0b8718b8a2d9, 87, 12008, No update data, 9g3qx2fr9ees
Bird, MEX, 63b9a7b7-41aa-4379-b35d-d4a49adecd85, 72, 10187, No update data, 9g3qx3hnkzzt
Bird, MEX, 6b706d64-0df8-4829-b7f2-19558573cfcd, 65, 9018, No update data, 9g3qx35he6ks
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 60, 8183, No update data, 9g3qx2wzj2zz
Bird, MEX, b14a0b00-df97-4ce8-821d-3ad4af653359, 83, 12024, No update data, 9g3qx23bgjw3
Bird, MEX, 68405086-dcb8-467e-93c0-02f5b30cb889, 65, 8532, No update data, 9g3qx2q8xy47
Bird, MEX, 6a032e68-b1df-4b41-82cd-feb43aa81e9d, 63, 8216, No update data, 9g3qx2qb0tp0
Bird, MEX, e47757a0-3f03-47ca-8cbc-a3970155b954, 37, 4342, No update data, 9g3qx2qb0yuh
Bird, MEX, 9d630ba8-dddb-49a5-959f-460948f5c59d, 31, 3340, No update data, 9g3qx2qb1ppn
Bird, MEX, f24df0e6-f155-4c23-a342-7d136a7ffede, 64, 8374, No update data, 9g3qx2yu700k
Bird, MEX, c11ade85-8e1b-467c-80cc-c559b01f7118, 19, 1336, No update data, 9g3qx2xhw43k
Bird, MEX, dd083fa8-a874-4313-b864-88b6dc870670, 55, 7348, No update data, 9g3qx2r5h7nm
Bird, MEX, 9c49f51f-daaf-49ba-89db-bc6e4a0f8077, 47, 5688, No update data, 9g3qx29k077x
Bird, MEX, 891fc6a9-d894-4669-a06a-d0e2a7c8db33, 85, 11692, No update data, 9g3qx2r4qrus
Bird, MEX, 4c72ff0e-855e-475c-96b5-bd46d93de265, 71, 10020, No update data, 9g3qx3m0ypc2
Bird, MEX, ee015284-7f04-441f-9cab-83f6f1b20782, 61, 7900, No update data, 9g3qx2r4r4k1
Bird, MEX, 1bd33212-824d-4683-97ca-9f9efbc02fdf, 48, 5846, No update data, 9g3qx2r4n8xt
Bird, MEX, 0cf2fd66-b439-4624-9d9c-aa8d0078e893, 29, 3006, No update data, 9g3qrrug5p0m
Bird, MEX, ffbe2be1-7255-4f38-8ca2-65a956a245e9, 51, 6320, No update data, 9g3qx2364s8n
Bird, MEX, 2f9e215a-c806-4a3f-8464-6a5a22163331, 51, 6680, No update data, 9g3qx2z704ve
Bird, MEX, a428309e-32dd-4b83-8d2e-1898ddc18a04, 90, 13193, No update data, 9g3qx3m1z1s1
Bird, MEX, 9af2155c-55f9-44a2-8155-4f195560a4d6, 83, 11376, No update data, 9g3qx3nms8g7
Bird, MEX, 8f131170-e4a6-4a11-804c-9c5ceefad428, 58, 7426, No update data, 9g3qrrvdut5r
Bird, MEX, 03e18611-207f-4ffe-813a-dbe461066000, 28, 2839, No update data, 9g3qx21c05b8
Bird, MEX, fc08fe99-92e0-4523-bdc6-e8293afa3850, 21, 1670, No update data, 9g3qx21kgp2j
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 100, 14062, No update data, 9g3qx3m73zbt
Bird, MEX, 0f1178ca-63e7-4f0f-92e6-c99a4faec8e2, 79, 10744, No update data, 9g3qx3mdg40m
Bird, MEX, 603ced0c-f75b-4487-a293-0e439014454a, 25, 2338, No update data, 9g3qx3kkepww
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 93, 13694, No update data, 9g3qx3m7qdds
Bird, MEX, d87f509f-00e0-4db7-9fb7-05d5135af9db, 38, 4509, No update data, 9g3qx28c3y8m
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 100, 14062, No update data, 9g3qx3m7f8bj
Bird, MEX, caa94d6e-1ad4-49a6-a0db-9e31d9b03549, 73, 10354, No update data, 9g3qx3km4c52
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 100, 14062, No update data, 9g3qx3m7ub9s
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 52, 6478, No update data, 9g3qx3mek20j
Bird, MEX, 234939d4-0e76-49a8-9988-f35b2126ef93, 87, 12692, No update data, 9g3qx3nx6b5k
Bird, MEX, ed1da7d3-1246-40b7-9208-f1e510ba5b2c, 60, 8183, No update data, 9g3qx2pw3047
Bird, MEX, 3ab06fab-c706-496c-811e-fbbe81f3c624, 80, 11523, No update data, 9g3qx2pw37v7
Bird, MEX, f99795d1-239b-4120-a95f-dd28431ff2c2, 75, 10688, No update data, 9g3qx2pw9b0w
Bird, MEX, 9dd2950e-bd9c-442e-b074-2eb8848634e0, 73, 10354, No update data, 9g3qx3ms631f
Bird, MEX, 50709b8a-8d1c-4f94-be44-47190d5b10c0, 76, 10855, No update data, 9g3qx2zg3e78
Bird, MEX, fe09ac05-2109-4323-b449-721e5388cef0, 82, 11218, No update data, 9g3qx21h789x
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 91, 13360, No update data, 9g3qx21h6sb0
Bird, MEX, a02efcf0-fc53-4f4d-8aa5-5c1ee4ec80cc, 90, 13193, No update data, 9g3qx215gp2j
Bird, MEX, 50b8ba47-732f-4d7a-bf7c-369e636aa2e0, 49, 6004, No update data, 9g3qx22e7nwk
Bird, MEX, 41d9ff86-04ea-4ea3-841e-3d97ef7a06c2, 35, 4008, No update data, 9g3qx2ps5qgs
Bird, MEX, 17b00273-1775-4c1c-a0e1-3e160d6d5686, 97, 13588, No update data, 9g3qx20y052w
Bird, MEX, 88e977d2-d2c5-4e77-a02a-483bbde956ce, 71, 9480, No update data, 9g3qx2zupbrk
Bird, MEX, 6decf21c-bc58-4f07-82b6-2673eaecbcc8, 54, 7181, No update data, 9g3qx2zvnw6b
Bird, MEX, b0d54c9f-a0e5-4398-a900-7abbd4021438, 48, 6179, No update data, 9g3qx2zvqujv
Bird, MEX, e11aeec8-1845-43a2-b90b-ea34c0c84c69, 36, 4175, No update data, 9g3qrret1rjm
Bird, MEX, 2e59bfd4-202d-4110-9f87-9be775eae0ac, 82, 11857, No update data, 9g3qrrdxb3gd
Bird, MEX, 29c8c95c-0b4e-4798-9860-ec0efff74898, 61, 7900, No update data, 9g3qx8bjb2eg
Bird, MEX, dbca5134-e66f-4f59-b6f3-213f913abdb9, 49, 6004, No update data, 9g3qx2b2ewxz
Bird, MEX, 3f30d8c9-69b7-478c-a540-a10464cfbe1e, 82, 11218, No update data, 9g3qx3pdpth3
Bird, MEX, eac57411-99d7-484b-bb8c-841ecc8b9078, 72, 9638, No update data, 9g3qrrzrx6r7
Bird, MEX, 0a7e4dcc-8781-4917-bec9-055f8fd56148, 27, 2672, No update data, 9g3qx8bn8gk4
Bird, MEX, c18697e4-4798-4c2e-9bd4-a884ebeb7e16, 43, 5344, No update data, 9g3qx2b2ccb7
Bird, MEX, aaec53ee-b873-4d11-b4da-f541f3718831, 37, 4342, No update data, 9g3qrrs78g7c
Bird, MEX, b3999077-e981-44fd-a294-ccff4e8dd47d, 62, 8517, No update data, 9g3qx8bnh5g1
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 85, 12358, No update data, 9g3qx280mhu9
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 71, 10020, No update data, 9g3qrrdtqt4d
Bird, MEX, 359cc237-d2cc-4172-8088-5cafbb3c2fe1, 73, 9796, No update data, 9g3qx3dbqmhk
Bird, MEX, 9b1d4da5-4c91-474e-93fc-3f2b0a569e63, 84, 11534, No update data, 9g3qx3e3qp95
Bird, MEX, 146d8f27-cbaa-4994-b6a1-ed8b3cf6f0fe, 78, 11189, No update data, 9g3qrrzx5x3z
Bird, MEX, ff233ac6-b243-4478-81a4-8686f1be7783, 46, 5845, No update data, 9g3qx31p7kud
Bird, MEX, c57045fd-eea9-4e7b-a8c8-f672c0c7c9d9, 63, 8216, No update data, 9g3qx33vj3xu
Bird, MEX, c4fcdaf3-d59f-467f-abb0-b191b2356f8f, 39, 4424, No update data, 9g3qrrz44ev0
Bird, MEX, 129ed5f7-a076-4cbd-b907-980c2ddfca2d, 48, 5846, No update data, 9g3qx3tbt2fg
Bird, MEX, 86873c1a-6f02-49a3-a037-703874bd466b, 48, 5846, No update data, 9g3qrrdnd8v1
Bird, MEX, 257d0a26-c5c8-48a9-b6b2-2bb0e66d56a8, 57, 7682, No update data, 9g3qrrzzepbq
Bird, MEX, d99eb566-7e3a-4f27-afe2-b8843c4b6835, 29, 3006, No update data, 9g3qrrby5t18
Bird, MEX, 41841e98-dd02-4244-9a70-f5c0a2dc348b, 88, 12166, No update data, 9g3qx20jxkx1
Bird, MEX, 84fa1fe7-5bed-4b58-85e8-897024785305, 80, 10902, No update data, 9g3qx20jx60f
Bird, MEX, a3d0e264-8279-4f80-aa56-0a04927f385b, 100, 14062, No update data, 9g3qrre9b0vs
Bird, MEX, 1f40a2ca-af10-433f-8b3e-f41958fc290d, 73, 9796, No update data, 9g3qx20jrkz1
Bird, MEX, 521093e4-dc2d-40c1-b7ff-18f12d909e25, 73, 10354, No update data, 9g3qx20jys48
Bird, MEX, aaede11e-3a41-45d8-aed3-f2f3ab4932fa, 85, 11692, No update data, 9g3qx3029rm5
Bird, MEX, 6bc7ded6-a8dd-4804-922f-2e42816a91a9, 56, 7515, No update data, 9g3qrrz6skw3
Bird, MEX, 85ffc6e3-5a72-4643-9e2a-c1852749f066, 100, 14062, No update data, 9g3qrre98hjx
Bird, MEX, 6a306aa7-5d9f-43b5-8b9f-3919d88d8838, 89, 13026, No update data, 9g3qx20jvvhp
Bird, MEX, 568e6c03-cbc9-4fa5-9310-ff0afcbe0adf, 83, 11376, No update data, 9g3qx302cnf4
Bird, MEX, e10b01c6-35f1-4a26-ae78-004f3c3c7e5f, 48, 5846, No update data, 9g3qrrc4qw48
Bird, MEX, 13673970-2381-46dd-8a2d-5172f7a26d8b, 91, 13360, No update data, 9g3qrre924m8
Bird, MEX, b80aaae5-94e7-4592-b87c-8780eb718089, 78, 11189, No update data, 9g3qrrwyen2k
Bird, MEX, a96f6f78-c63e-4574-beed-4e618ea75ed8, 89, 13026, No update data, 9g3qx2036xt4
Bird, MEX, a83e31e1-4970-4fa9-b4d2-0720a5ed4d7f, 94, 13861, No update data, 9g3qx3e5ynz7
Bird, MEX, 786abcfe-46b9-4225-a741-6d73bc9fc925, 93, 13694, No update data, 9g3qx3ehndxd
Bird, MEX, eba31f36-07a3-4ec8-a5dd-be1cd6ac7cc1, 47, 5688, No update data, 9g3qrre0yp9n
Bird, MEX, 10d1ce59-d4b5-4257-8c3b-a1030d1e62ff, 49, 6346, No update data, 9g3qx205hbzx
Bird, MEX, ba3c36a0-2733-4cac-bf52-72101d2fd26f, 83, 12024, No update data, 9g3qrr9v29nc
Bird, MEX, e9041c55-aa4a-423f-a642-3a56b81f061c, 48, 6179, No update data, 9g3qrr9tqwds
Bird, MEX, 20546d3f-f42d-4194-970a-3ffdb5b21e06, 78, 11189, No update data, 9g3qrr9u6sv0
Bird, MEX, 555150d1-96e8-49a7-b12f-9771a82641da, 78, 11189, No update data, 9g3qx8bxjeqp
Bird, MEX, 436f7305-3e18-4261-b57f-fd77d6901b7d, 45, 5372, No update data, 9g3qx32gkknn
Bird, MEX, b5e67f67-da21-4183-9ebc-b68e05bb4798, 61, 8350, No update data, 9g3qx33q3k0q
Bird, MEX, 3a253315-22c0-4190-b7ae-4446f7fae3e3, 67, 8848, No update data, 9g3qrr9gdj7w
Bird, MEX, b498efa9-e1b3-4e5d-b25d-6f9fae0ff3f2, 90, 12482, No update data, 9g3qx89p4n7b
Bird, MEX, ef4f7d1d-dee0-4495-aebe-55222feb35c5, 87, 12008, No update data, 9g3qrrkqndfd
Bird, MEX, 98d0806b-e079-4a0a-a9c1-4c9f69b8f6be, 66, 9185, No update data, 9g3qx909xqrq
Bird, MEX, 5927a50c-aabf-44a1-8433-8eb80c6d0b65, 69, 9164, No update data, 9g3qx8c49fqu
Bird, MEX, c97a2b50-b5be-40ab-bb18-0052a349595c, 81, 11690, No update data, 9g3qrrw92wr4
Bird, MEX, 5eaa581d-62f0-4ccc-b73a-b68dfaf9f226, 87, 12692, No update data, 9g3qx89jpnfu
Bird, MEX, 44d07070-b3ad-4878-afb9-e82209367756, 19, 1336, No update data, 9g3qrr7v5hbr
Bird, MEX, b98a4bbf-fa45-4f91-9975-26d8353d3b6a, 20, 1503, No update data, 9g3qx0psn5z2
Bird, MEX, cb40c718-e0c4-4168-afc9-7f333dc7e1ed, 49, 6346, No update data, 9g3qrr97rds4
Bird, MEX, 7dcae05c-57ee-4587-95a8-cc788984cb61, 80, 10902, No update data, 9g3qx3u26sv4
Bird, MEX, 301fdafb-9156-4f03-a87b-d3b71699631d, 81, 11060, No update data, 9g3qrr7sxr2f
Bird, MEX, 0cea28f5-7ebb-4016-bf25-a883a08d2158, 61, 8350, No update data, 9g3qrr7swd6e
Bird, MEX, c3c14471-824a-455a-a662-b88719af3bd0, 78, 10586, No update data, 9g3qx90cr04u
Bird, MEX, 1564aa3a-d67b-4308-8c6d-0f1ca60dab88, 76, 10855, No update data, 9g3qx90cqvjg
Bird, MEX, 0e072fb4-261a-4445-af94-4a084fb2473b, 87, 12692, No update data, 9g3qx3epf5ex
Bird, MEX, 310ad17e-0864-41bb-bd64-10f8ba2f9529, 56, 7515, No update data, 9g3qx90cru6x
Bird, MEX, ca16afad-fb5f-4e4a-82a5-b2cd4fa2a4c2, 72, 10187, No update data, 9g3qx92hhd72
Bird, MEX, bbd15dba-d59c-4d70-9583-9b62abdce6cd, 88, 12166, No update data, 9g3qx92h7wcz
Bird, MEX, fe1875d4-96f9-40c9-bf94-f709bc436c9c, 48, 6179, No update data, 9g3qx0pe930h
Bird, MEX, d444da05-24ab-400d-9fd9-3c7e35e92ec6, 78, 11189, No update data, 9g3qx92hktg2
Bird, MEX, e8285d41-3f5b-4910-a11e-d62040b8b218, 72, 9638, No update data, 9g3qx0rnu5pf
Bird, MEX, 32e222b0-acd1-4cef-b59c-af0238d4195d, 73, 9796, No update data, 9g3qrrkgxzr6
Bird, MEX, ff21006b-8547-4524-ac33-65db37873889, 92, 13527, No update data, 9g3qrxb0wt6y
Bird, MEX, 33c2d799-fa8c-4108-a031-5aba530e3786, 91, 13360, No update data, 9g3qx92jhmbp
Bird, MEX, bba7f93d-d5c4-4fff-9928-8f098452b102, 71, 9480, No update data, 9g3qx89rwymv
Bird, MEX, beb97eb3-8b97-4d75-8a71-27c7a351191c, 100, 14863, No update data, 9g3qrr98fjug
Bird, MEX, 997e7973-5a29-4db6-ac84-68aa930a99f9, 76, 10855, No update data, 9g3qx9144z5q
Bird, MEX, 0897457f-20df-4e3f-a974-55ebe46a1a1a, 42, 5177, No update data, 9g3qx8ck799y
Bird, MEX, 19febfba-3469-48dd-a75f-f1fb64ec34b9, 72, 10187, No update data, 9g3qx92jkky6
Bird, MEX, aa67c75b-f0e8-4ca2-92e6-d1e128c96c58, 90, 13193, No update data, 9g3qx0p6xdk5
Bird, MEX, 7efa313b-b2d4-428e-9c13-9a6b08b5e3d7, 100, 14863, No update data, 9g3qrr98dkcf
Bird, MEX, ba08b0ac-b5e2-4ca1-b1fc-dbd068adaa8b, 100, 14062, No update data, 9g3qrr989rm6
Bird, MEX, c6223c71-f925-4904-920a-d205cdff2a6d, 81, 11690, No update data, 9g3qrx8pykk9
Bird, MEX, 45eecc90-326d-4000-b14a-f995400c5d2b, 29, 3006, No update data, 9g3qrx8py0ck
Bird, MEX, 4839d852-1d85-4016-81c3-aa58f7b13957, 82, 11857, No update data, 9g3qx914hqym
Bird, MEX, 23eab94a-aec0-422c-873d-6874163cf9b7, 48, 6179, No update data, 9g3qx0p6r1gz
Bird, MEX, 005c9142-b44c-4c54-acb3-0e8d9f1678c1, 81, 11690, No update data, 9g3qx0p6p17c
Bird, MEX, 8a9264b0-56cc-4ab4-84c8-3c17203abf7d, 51, 6320, No update data, 9g3qx92jqsff
Bird, MEX, 0ba1cf18-359b-434a-a0a6-90e6d4848d93, 90, 12482, No update data, 9g3qrx8pz1hn
Bird, MEX, 7716661d-02ec-4ae1-8f3b-669821df9093, 54, 7181, No update data, 9g3qx0p3z62y
Bird, MEX, 3ae2b625-cd6c-48f4-a479-30ccd5404085, 96, 13430, No update data, 9g3qrx8pqn12
Bird, MEX, 3d34caa5-82dc-441b-bae7-6364bbeee990, 46, 5845, No update data, 9g3qx810cu08
Bird, MEX, 8f7a80cf-58df-44d7-8e43-126c46767b06, 85, 12358, No update data, 9g3qx0p3w1pk
Bird, MEX, 630b6532-d033-4351-8f31-489d98a096cd, 58, 7849, No update data, 9g3qx0p3q7hr
Bird, MEX, a59c3067-6ab2-4ceb-a341-0b4308a87c61, 87, 12692, No update data, 9g3qx832nvmf
Bird, MEX, cef73ebf-efda-489e-a618-c23e514f4111, 75, 10688, No update data, 9g3qrrm7n012
Bird, MEX, a65127ed-ebdf-4958-be90-97922b96ec9b, 76, 10855, No update data, 9g3qx0p3tnkt
Bird, MEX, 022770ae-632c-4fb6-9405-12d3167b5b0b, 87, 12692, No update data, 9g3qx0p3kgze
Bird, MEX, 74f538cc-176f-45bb-baf4-4562a9ee9a66, 93, 13694, No update data, 9g3qx3g4tkfv
Bird, MEX, 4c9448ed-5dc8-4a40-9f3f-86f0935c54e5, 56, 7515, No update data, 9g3qrrk36k3y
Bird, MEX, effa76c8-97d9-4963-9056-192f9b95531f, 66, 9185, No update data, 9g3qrr3y05js
Bird, MEX, 654feb83-cee1-4fa2-ae07-d27c4cab37ba, 80, 10902, No update data, 9g3qrr6e98g9
Bird, MEX, 589d8217-bddf-4bcf-a446-9457b4549a7a, 54, 7181, No update data, 9g3qx0qv5gkx
Bird, MEX, a99fe4cf-b8c7-46e5-b1d1-31717d2bfc27, 84, 12191, No update data, 9g3qx81wcvwc
Bird, MEX, 5fb68bf2-a30b-4bda-bdf0-05be7382e973, 73, 9796, No update data, 9g3qrpzt85t7
Bird, MEX, 8bfde806-8774-4437-ab68-0b24b1f5c11f, 56, 7515, No update data, 9g3qrrk2sux8
