Bird, MEX, 383eafc0-069b-4f7d-a51c-cd0063067214, 96, 14195, No update data, 9g3qx26wbugy
Bird, MEX, 2c948a14-b884-4313-8d6d-b5738d1decde, 99, 14696, No update data, 9g3qx2hhsxuq
Bird, MEX, 10f30ae3-ee9e-421d-bce2-ca702bc4dff7, 99, 14696, No update data, 9g3qx2hh9y0e
Bird, MEX, 47bad6b7-df98-4bdb-bade-758faee0d967, 17, 1002, No update data, 9g3qx26w0s8w
Bird, MEX, 2b9fe56c-d1f7-4b52-82ae-0ca8e521e817, 60, 8183, No update data, 9g3qx2hhkmn6
Bird, MEX, 1e8912d3-a4bd-49f8-98db-72459de02892, 97, 14362, No update data, 9g3qx2hhkkb0
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 70, 9853, No update data, 9g3qx2hhkb17
Bird, MEX, 211b1584-a5cb-439d-b24c-77633ec22ad0, 99, 14696, No update data, 9g3qx2h5zxkj
Bird, MEX, 8be5fd41-5102-44cf-8112-b2105dd2c2a5, 98, 14529, No update data, 9g3qx2h5ur8p
Bird, MEX, e425a1ec-e115-4d71-a133-60ad52af7e74, 37, 4342, No update data, 9g3qx2hh12j3
Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 80, 10902, No update data, 9g3qx24zwt6x
Bird, MEX, 18b1e6f9-e9dc-4269-b766-1f409d65c4ee, 70, 9853, No update data, 9g3qx25gxhhp
Bird, MEX, 19bfde22-cb56-48fe-9b3e-ed5f1e3fce70, 43, 5344, No update data, 9g3qx25jx2bf
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 83, 11376, No update data, 9g3qx2dr4ze2
Bird, MEX, 1870b9ff-0d74-47be-bf9c-edd054a07089, 80, 8142, No update data, 9g3qx2y1kxe7
Bird, MEX, 33337cc0-eb2f-489c-9de0-cab5d5f7160a, 69, 9164, No update data, 9g3qx2677w9s
Bird, MEX, 6b9dedd2-df91-4d53-beca-79a341cdc811, 49, 6004, No update data, 9g3qx257gkkd
Bird, MEX, 36492f57-4509-4243-9869-ffa9bc263ba8, 75, 10112, No update data, 9g3qx24xngvb
Bird, MEX, 7df1d82c-a271-4915-873c-73e0b45282cf, 46, 5530, No update data, 9g3qx2689mb3
Bird, MEX, 3666dca9-29c4-462a-a2bd-82d861f09b8d, 42, 4898, No update data, 9g3qx2wrteq4
Bird, MEX, 11bba3ec-65fc-4f15-bdf6-b1ec016b81ec, 49, 6004, No update data, 9g3qx2wryj96
Bird, MEX, a87c2eb5-b188-484d-b52c-080a9801ef36, 94, 13861, No update data, 9g3qx2y5rnup
Bird, MEX, 3be3e45c-d897-4d73-a4a4-b0ebf6ead681, 99, 14696, No update data, 9g3qx2y63wgx
Bird, MEX, b6c16e86-fc7a-4da1-bbe8-cebb9b5fd031, 90, 13193, No update data, 9g3qx26hmmdz
Bird, MEX, c5ab2ce9-fa3a-43ac-880e-eb522748988a, 26, 2505, No update data, 9g3qx2y2n3k3
Bird, MEX, 4755ed57-47d7-4697-ae2f-20de133c09a6, 79, 11356, No update data, 9g3qx2d00dyg
Bird, MEX, c9813102-9ee2-43c1-9d27-c74163baa51a, 89, 13026, No update data, 9g3qx26hhyck
Bird, MEX, a1d171b9-52ca-4dd1-8c57-0d795c3fbae6, 87, 12008, No update data, 9g3qx2jyhu3s
Bird, MEX, 690e6aea-1bd3-48bf-af61-a1c18606a1d6, 98, 13746, No update data, 9g3qx2yk237u
Bird, MEX, e4a481b4-f2bd-4f91-b04a-03c09aeac3aa, 62, 8517, No update data, 9g3qx2jvmm6u
Bird, MEX, 8ee79905-806c-4735-8060-58cfd08f6b8d, 27, 2672, No update data, 9g3qx2jvwede
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 79, 10744, No update data, 9g3qx34csyz8
Bird, MEX, 59dd7904-d00e-495a-a771-b06943de4065, 96, 14195, No update data, 9g3qx34cdv5q
Bird, MEX, 8ffe670f-4182-43fb-9adb-1ec778780724, 29, 3006, No update data, 9g3qx3jdbjtd
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 85, 11692, No update data, 9g3qx34c837z
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 73, 9796, No update data, 9g3qx25420tx
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 96, 14195, No update data, 9g3qx34c9qb2
Bird, MEX, 41be6249-b83c-4b11-9f93-28c1072a63b8, 55, 7348, No update data, 9g3qx3jdskbh
Bird, MEX, afe47853-0451-4d2b-8131-88f44e24c7a3, 64, 8851, No update data, 9g3qx349xv4q
Bird, MEX, 10f11c27-65de-4dbd-8a60-191796d0d62b, 56, 7515, No update data, 9g3qx34cbg7v
Bird, MEX, 75830915-c9de-4e4c-8599-5f0c7b7969a9, 87, 12008, No update data, 9g3qx2fr9sgs
Bird, MEX, 63b9a7b7-41aa-4379-b35d-d4a49adecd85, 75, 10688, No update data, 9g3qx3hnsg36
Bird, MEX, 2834a400-5b1e-4abd-ba53-0b8718b8a2d9, 89, 12324, No update data, 9g3qx2frbzgb
Bird, MEX, 38a3d427-41a4-4d20-bd07-9779bf566a83, 88, 12166, No update data, 9g3qx2fpzu43
Bird, MEX, c2e69d59-107f-4faf-b177-da9a0ff6b555, 82, 11857, No update data, 9g3qx2fpzeh5
Bird, MEX, d2b92387-ff28-4be1-87af-00dac8236dc8, 85, 11692, No update data, 9g3qx3422k5t
Bird, MEX, 64d7f118-619e-4b8e-9e3d-39d081cfba8a, 84, 11534, No update data, 9g3qx340numv
Bird, MEX, 68405086-dcb8-467e-93c0-02f5b30cb889, 67, 8848, No update data, 9g3qx2q8xkx3
Bird, MEX, 9d630ba8-dddb-49a5-959f-460948f5c59d, 34, 3841, No update data, 9g3qx2q8rbxr
Bird, MEX, e47757a0-3f03-47ca-8cbc-a3970155b954, 42, 5177, No update data, 9g3qx2qb9dgx
Bird, MEX, 6a032e68-b1df-4b41-82cd-feb43aa81e9d, 65, 8532, No update data, 9g3qx2qb9uwc
Bird, MEX, c11ade85-8e1b-467c-80cc-c559b01f7118, 22, 1837, No update data, 9g3qx2xhuk00
Bird, MEX, ffbe2be1-7255-4f38-8ca2-65a956a245e9, 52, 6478, No update data, 9g3qx23d4m3f
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 64, 8851, No update data, 9g3qx2z1k5g5
Bird, MEX, d2c0650a-83c1-4f71-9d2c-923176153731, 39, 4676, No update data, 9g3qx34ywh30
Bird, MEX, 911e1f28-0317-4209-a629-28de638e2000, 54, 6794, No update data, 9g3qx239bg7u
Bird, MEX, 37d836aa-f449-4252-a701-725849789c72, 55, 7348, No update data, 9g3qx2yvm6zy
Bird, MEX, acb72495-837a-4590-93c2-3be5d54a5dda, 90, 13193, No update data, 9g3qx236rffm
Bird, MEX, b8a406d0-21a3-47d2-8c38-904871c4fe0b, 87, 12008, No update data, 9g3qrrvmxxk4
Bird, MEX, 8ee4d6a4-c78a-456c-a92a-23478e3b05e3, 54, 7181, No update data, 9g3qx236w7s7
Bird, MEX, 6f961793-dfa1-41bb-9acf-4c85c6874784, 96, 13430, No update data, 9g3qx236qbjs
Bird, MEX, cbe17d51-31ab-4aa5-bba7-35074971a457, 83, 12024, No update data, 9g3qx236n6s3
Bird, MEX, a630707b-eb33-4689-a62e-159595cb299d, 54, 7181, No update data, 9g3qx236j8mg
Bird, MEX, 9c49f51f-daaf-49ba-89db-bc6e4a0f8077, 48, 5846, No update data, 9g3qx295yfbb
Bird, MEX, 7fa226d7-bd68-493d-b1f7-c7058b5b7b97, 65, 9018, No update data, 9g3qx236hzpw
Bird, MEX, d2e665ee-e1b6-4fb3-bfe2-3facd4e7f588, 46, 5845, No update data, 9g3qx233vk6f
Bird, MEX, f24df0e6-f155-4c23-a342-7d136a7ffede, 66, 8690, No update data, 9g3qx2zj3hf3
Bird, MEX, 7d204c1d-ab3d-449c-8619-285679ce15e2, 98, 13746, No update data, 9g3qx2zn00tw
Bird, MEX, 793755ef-d92e-4edf-847e-ac6a67ee925c, 96, 13430, No update data, 9g3qx2yyrtsr
Bird, MEX, a3d23b7e-90ea-4377-8b6f-e946a9d30d42, 73, 10354, No update data, 9g3qx2zjdst4
Bird, MEX, 69ba4f0f-2047-4769-ba41-bdb24a8ddce8, 94, 13861, No update data, 9g3qx3m1s7bn
Bird, MEX, e8dc60fe-4f60-4ecf-a47d-aa6a5e96bf58, 44, 5511, No update data, 9g3qrrvs3qtk
Bird, MEX, 75b3e13f-1c08-472b-96b5-07763bc3b599, 83, 11376, No update data, 9g3qx290e8cd
Bird, MEX, 8f131170-e4a6-4a11-804c-9c5ceefad428, 61, 7900, No update data, 9g3qrrvs3u2w
Bird, MEX, 0898457d-6c07-49ce-bbc3-0a101e078f0f, 35, 4008, No update data, 9g3qx31gppqp
Bird, MEX, 2e65fb24-4470-4ab5-9f44-e3817e41b7ee, 96, 14195, No update data, 9g3qx3m4h2n6
Bird, MEX, 0b5e2905-ce2c-46d1-8010-5b5f23f7e487, 89, 13026, No update data, 9g3qx2906k1v
Bird, MEX, 2ecd13ae-57a3-4c6a-9f9c-926263a4652d, 76, 10270, No update data, 9g3qx3nekuc9
Bird, MEX, f329af01-98b4-4be2-80cc-02410e17ce51, 39, 4424, No update data, 9g3qx21mzpez
Bird, MEX, 1437ffdf-27d5-4bbc-9b19-d9db89d21270, 97, 13588, No update data, 9g3qx2zp5bsy
Bird, MEX, c0ffc683-70aa-4e6e-88fa-bbd6c919d43e, 60, 8183, No update data, 9g3qx23pb829
Bird, MEX, aeff1c5d-3f89-49d9-a258-0f6a8edd86fa, 73, 9796, No update data, 9g3qx28cxq2v
Bird, MEX, 8687f5b9-f008-49ea-96d9-2c85cfc3b123, 49, 6346, No update data, 9g3qx2xds15h
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 97, 13588, No update data, 9g3qx2zpteq4
Bird, MEX, 4e1e5499-0d88-4599-b5c0-0bfd898545a6, 97, 13588, No update data, 9g3qx230uhgn
Bird, MEX, c42b12d0-d825-46fb-b7b8-5e7e3e40b045, 96, 13430, No update data, 9g3qx230gs3d
Bird, MEX, b1ce5df1-99c2-4c10-88e2-ba5175042ffe, 38, 4509, No update data, 9g3qx3p0mygp
Bird, MEX, ad296b06-3371-48ac-a6ce-f772c7fbf666, 44, 5511, No update data, 9g3qx2319z03
Bird, MEX, 729d35bf-6723-4162-b83b-f33d3de30b12, 63, 8684, No update data, 9g3qx2xwn8xt
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 100, 14062, No update data, 9g3qx3m7jey1
Bird, MEX, f0508f32-3439-45d8-9ad6-c136bca1de5e, 93, 12956, No update data, 9g3qx23144sc
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 100, 14062, No update data, 9g3qx3m77nbr
Bird, MEX, 03e18611-207f-4ffe-813a-dbe461066000, 31, 3340, No update data, 9g3qx219mm6u
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 100, 14062, No update data, 9g3qx3m79uyu
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 93, 13694, No update data, 9g3qx3m7qdds
Bird, MEX, 1b150f3c-a6f3-4f89-998e-4636d7814d3e, 88, 12859, No update data, 9g3qx28epc63
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 54, 6794, No update data, 9g3qx3m7zcpr
Bird, MEX, 0a34d547-8ca3-43b2-a758-1d1843af36a2, 73, 10354, No update data, 9g3qx2zssc1s
Bird, MEX, a02efcf0-fc53-4f4d-8aa5-5c1ee4ec80cc, 94, 13861, No update data, 9g3qx21hq3k7
Bird, MEX, 9dd2950e-bd9c-442e-b074-2eb8848634e0, 76, 10855, No update data, 9g3qx3ms5nwe
Bird, MEX, de2944d3-94f9-4107-af70-1ee60190e231, 96, 13430, No update data, 9g3qx21hs4pf
Bird, MEX, fb52da94-f44b-458a-8632-187ccdb61cfa, 89, 13026, No update data, 9g3qx2zezsk6
Bird, MEX, 3f085527-7040-43a2-881b-f4bbaa1c28e4, 97, 13588, No update data, 9g3qx215vm4z
Bird, MEX, 5f7c89ea-5d6b-4c48-b6ca-d687f930ea53, 57, 7682, No update data, 9g3qrrf9enwq
Bird, MEX, 85218d49-6f05-4e7b-a307-cf9d7ceed076, 47, 5688, No update data, 9g3qx31zd9v1
Bird, MEX, baab2632-4df5-42b7-be7a-feff70750bf0, 85, 11692, No update data, 9g3qx21hd29b
Bird, MEX, b700178c-f2ec-4999-a458-6375b87bedbb, 64, 8374, No update data, 9g3qrrsyvdwp
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 98, 13746, No update data, 9g3qx21h688p
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 96, 14195, No update data, 9g3qx21h3c8m
Bird, MEX, 93ccd576-eaae-4e55-9daa-d3652f5db242, 30, 3173, No update data, 9g3qrrf69cqt
Bird, MEX, 50b8ba47-732f-4d7a-bf7c-369e636aa2e0, 51, 6320, No update data, 9g3qx22ed33y
Bird, MEX, 3ae2b625-cd6c-48f4-a479-30ccd5404085, 99, 13904, No update data, 9g3qrryuk7tz
Bird, MEX, 6decf21c-bc58-4f07-82b6-2673eaecbcc8, 58, 7849, No update data, 9g3qx2zyhz1w
Bird, MEX, b0d54c9f-a0e5-4398-a900-7abbd4021438, 53, 7014, No update data, 9g3qx2zvv7pg
Bird, MEX, 29c8c95c-0b4e-4798-9860-ec0efff74898, 63, 8216, No update data, 9g3qx2zvv8q1
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 89, 13026, No update data, 9g3qx284nbtt
Bird, MEX, c93df7cb-a770-4628-b46d-71c77dea1c63, 90, 12482, No update data, 9g3qx8bjfger
Bird, MEX, ed962f08-bce0-4e03-9c47-70a44760abce, 78, 11189, No update data, 9g3qrrdr72he
Bird, MEX, 3f30d8c9-69b7-478c-a540-a10464cfbe1e, 84, 11534, No update data, 9g3qx3perux2
Bird, MEX, 84fa1fe7-5bed-4b58-85e8-897024785305, 82, 11218, No update data, 9g3qx20scun8
Bird, MEX, 359cc237-d2cc-4172-8088-5cafbb3c2fe1, 75, 10112, No update data, 9g3qx3dbjghn
