Bird, MEX, 41f2431a-3e23-4ca9-9d67-6e42559b78bc, 60, 8183, No update data, 9g3qx35ttewh
Bird, MEX, 2834a400-5b1e-4abd-ba53-0b8718b8a2d9, 87, 12008, No update data, 9g3qx2fr9cqw
Bird, MEX, 38a3d427-41a4-4d20-bd07-9779bf566a83, 85, 11692, No update data, 9g3qx2fr3q8m
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 61, 8350, No update data, 9g3qx2wygyhy
Bird, MEX, 6b706d64-0df8-4829-b7f2-19558573cfcd, 66, 9185, No update data, 9g3qx35h7x39
Bird, MEX, 63b9a7b7-41aa-4379-b35d-d4a49adecd85, 72, 10187, No update data, 9g3qx3hnsmnq
Bird, MEX, 68405086-dcb8-467e-93c0-02f5b30cb889, 65, 8532, No update data, 9g3qx2qb2sbc
Bird, MEX, 6a032e68-b1df-4b41-82cd-feb43aa81e9d, 63, 8216, No update data, 9g3qx2qb0ern
Bird, MEX, e47757a0-3f03-47ca-8cbc-a3970155b954, 37, 4342, No update data, 9g3qx2qb3kv3
Bird, MEX, 9d630ba8-dddb-49a5-959f-460948f5c59d, 31, 3340, No update data, 9g3qx2qb30xp
Bird, MEX, c11ade85-8e1b-467c-80cc-c559b01f7118, 19, 1336, No update data, 9g3qx2xhw1z8
Bird, MEX, b14a0b00-df97-4ce8-821d-3ad4af653359, 83, 12024, No update data, 9g3qx23957u8
Bird, MEX, f24df0e6-f155-4c23-a342-7d136a7ffede, 64, 8374, No update data, 9g3qx2yunxx8
Bird, MEX, dd083fa8-a874-4313-b864-88b6dc870670, 55, 7348, No update data, 9g3qx2r5mmdz
Bird, MEX, ffbe2be1-7255-4f38-8ca2-65a956a245e9, 51, 6320, No update data, 9g3qx2392429
Bird, MEX, 891fc6a9-d894-4669-a06a-d0e2a7c8db33, 85, 11692, No update data, 9g3qx2r4kf39
Bird, MEX, 0cf2fd66-b439-4624-9d9c-aa8d0078e893, 29, 3006, No update data, 9g3qrrugdtv1
Bird, MEX, 2f9e215a-c806-4a3f-8464-6a5a22163331, 51, 6680, No update data, 9g3qx2z4txn1
Bird, MEX, 4c72ff0e-855e-475c-96b5-bd46d93de265, 72, 10187, No update data, 9g3qx3m0ycvg
Bird, MEX, 9c49f51f-daaf-49ba-89db-bc6e4a0f8077, 47, 5688, No update data, 9g3qx295wrsm
Bird, MEX, ee015284-7f04-441f-9cab-83f6f1b20782, 61, 7900, No update data, 9g3qx2r4nqk8
Bird, MEX, 1bd33212-824d-4683-97ca-9f9efbc02fdf, 48, 5846, No update data, 9g3qx2r1yszw
Bird, MEX, a428309e-32dd-4b83-8d2e-1898ddc18a04, 90, 13193, No update data, 9g3qx3m1m5us
Bird, MEX, 03e18611-207f-4ffe-813a-dbe461066000, 28, 2839, No update data, 9g3qx21f28ng
Bird, MEX, 9af2155c-55f9-44a2-8155-4f195560a4d6, 83, 11376, No update data, 9g3qx3nqd9b1
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 100, 14062, No update data, 9g3qx3m7jbkk
Bird, MEX, fc08fe99-92e0-4523-bdc6-e8293afa3850, 21, 1670, No update data, 9g3qx21m5h8n
Bird, MEX, 0f1178ca-63e7-4f0f-92e6-c99a4faec8e2, 80, 10902, No update data, 9g3qx3mdffg3
Bird, MEX, 603ced0c-f75b-4487-a293-0e439014454a, 25, 2338, No update data, 9g3qx3kksp7h
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 93, 13694, No update data, 9g3qx3m7qdds
Bird, MEX, d87f509f-00e0-4db7-9fb7-05d5135af9db, 39, 4676, No update data, 9g3qx28bcg06
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 100, 14062, No update data, 9g3qx3m7dx04
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 100, 14062, No update data, 9g3qx3m7bs2g
Bird, MEX, caa94d6e-1ad4-49a6-a0db-9e31d9b03549, 73, 10354, No update data, 9g3qx3km51qd
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 52, 6478, No update data, 9g3qx3meksg6
Bird, MEX, 234939d4-0e76-49a8-9988-f35b2126ef93, 88, 12859, No update data, 9g3qx3nx70b2
Bird, MEX, 8f131170-e4a6-4a11-804c-9c5ceefad428, 58, 7426, No update data, 9g3qrrv8bnjt
Bird, MEX, ed1da7d3-1246-40b7-9208-f1e510ba5b2c, 60, 8183, No update data, 9g3qx2pw02ev
Bird, MEX, 9dd2950e-bd9c-442e-b074-2eb8848634e0, 73, 10354, No update data, 9g3qx3ms4fe6
Bird, MEX, f99795d1-239b-4120-a95f-dd28431ff2c2, 76, 10855, No update data, 9g3qx2pw3ub9
Bird, MEX, 3ab06fab-c706-496c-811e-fbbe81f3c624, 81, 11690, No update data, 9g3qx2pw6ze6
Bird, MEX, a02efcf0-fc53-4f4d-8aa5-5c1ee4ec80cc, 90, 13193, No update data, 9g3qx215ggsy
Bird, MEX, 50b8ba47-732f-4d7a-bf7c-369e636aa2e0, 49, 6004, No update data, 9g3qx22sm5hx
Bird, MEX, fe09ac05-2109-4323-b449-721e5388cef0, 83, 11376, No update data, 9g3qx21h9d56
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 91, 13360, No update data, 9g3qx215f8vh
Bird, MEX, 41d9ff86-04ea-4ea3-841e-3d97ef7a06c2, 35, 4008, No update data, 9g3qx2ps6xvh
Bird, MEX, 17b00273-1775-4c1c-a0e1-3e160d6d5686, 97, 13588, No update data, 9g3qx20wp6bf
Bird, MEX, b0d54c9f-a0e5-4398-a900-7abbd4021438, 48, 6179, No update data, 9g3qx2zyt24z
Bird, MEX, 29c8c95c-0b4e-4798-9860-ec0efff74898, 61, 7900, No update data, 9g3qx8bhbjm8
Bird, MEX, 2e59bfd4-202d-4110-9f87-9be775eae0ac, 82, 11857, No update data, 9g3qrrdxb3gd
Bird, MEX, 3f30d8c9-69b7-478c-a540-a10464cfbe1e, 82, 11218, No update data, 9g3qx3pdmk6z
Bird, MEX, 6decf21c-bc58-4f07-82b6-2673eaecbcc8, 54, 7181, No update data, 9g3qx2zvzcz7
Bird, MEX, eac57411-99d7-484b-bb8c-841ecc8b9078, 72, 9638, No update data, 9g3qrrzrm6fv
Bird, MEX, 88e977d2-d2c5-4e77-a02a-483bbde956ce, 71, 9480, No update data, 9g3qx8bj3cwy
Bird, MEX, b3999077-e981-44fd-a294-ccff4e8dd47d, 62, 8517, No update data, 9g3qx8bn0dpp
Bird, MEX, c18697e4-4798-4c2e-9bd4-a884ebeb7e16, 44, 5511, No update data, 9g3qx2b34u7j
Bird, MEX, 50709b8a-8d1c-4f94-be44-47190d5b10c0, 76, 10855, No update data, 9g3qx8bhhcct
Bird, MEX, dbca5134-e66f-4f59-b6f3-213f913abdb9, 49, 6004, No update data, 9g3qx2b2cynw
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 85, 12358, No update data, 9g3qx280w2hq
Bird, MEX, ed962f08-bce0-4e03-9c47-70a44760abce, 74, 10521, No update data, 9g3qrrdr58cw
Bird, MEX, aaec53ee-b873-4d11-b4da-f541f3718831, 38, 4509, No update data, 9g3qrrs72ggf
Bird, MEX, 359cc237-d2cc-4172-8088-5cafbb3c2fe1, 73, 9796, No update data, 9g3qx3dbqbmz
Bird, MEX, 9b1d4da5-4c91-474e-93fc-3f2b0a569e63, 84, 11534, No update data, 9g3qx3e3qpcj
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 71, 10020, No update data, 9g3qrrdtnsdw
Bird, MEX, ff233ac6-b243-4478-81a4-8686f1be7783, 46, 5845, No update data, 9g3qx31p7hy6
Bird, MEX, 146d8f27-cbaa-4994-b6a1-ed8b3cf6f0fe, 79, 11356, No update data, 9g3qrrzxw0zd
Bird, MEX, 129ed5f7-a076-4cbd-b907-980c2ddfca2d, 48, 5846, No update data, 9g3qx3tbtpsw
Bird, MEX, d99eb566-7e3a-4f27-afe2-b8843c4b6835, 29, 3006, No update data, 9g3qrrbyj3fu
Bird, MEX, c4fcdaf3-d59f-467f-abb0-b191b2356f8f, 39, 4424, No update data, 9g3qrrz1u7yr
Bird, MEX, 6a306aa7-5d9f-43b5-8b9f-3919d88d8838, 90, 13193, No update data, 9g3qx20m9fnd
Bird, MEX, 582d3976-c8ff-4b46-a270-f5d77371a850, 24, 2171, No update data, 9g3qrrbyfhuv
Bird, MEX, 86873c1a-6f02-49a3-a037-703874bd466b, 48, 5846, No update data, 9g3qrrdn3vnd
Bird, MEX, 41841e98-dd02-4244-9a70-f5c0a2dc348b, 88, 12166, No update data, 9g3qx20q0mgw
Bird, MEX, 1f40a2ca-af10-433f-8b3e-f41958fc290d, 73, 9796, No update data, 9g3qx20m9m2r
Bird, MEX, 84fa1fe7-5bed-4b58-85e8-897024785305, 80, 10902, No update data, 9g3qx20mbb7b
Bird, MEX, 521093e4-dc2d-40c1-b7ff-18f12d909e25, 73, 10354, No update data, 9g3qx20q00vr
Bird, MEX, 257d0a26-c5c8-48a9-b6b2-2bb0e66d56a8, 58, 7849, No update data, 9g3qrrzz52gx
Bird, MEX, a3d0e264-8279-4f80-aa56-0a04927f385b, 100, 14062, No update data, 9g3qrre3xzfq
Bird, MEX, 568e6c03-cbc9-4fa5-9310-ff0afcbe0adf, 83, 11376, No update data, 9g3qx3029r03
Bird, MEX, 13673970-2381-46dd-8a2d-5172f7a26d8b, 91, 13360, No update data, 9g3qrre98j2w
Bird, MEX, aaede11e-3a41-45d8-aed3-f2f3ab4932fa, 85, 11692, No update data, 9g3qx302cmm0
Bird, MEX, a96f6f78-c63e-4574-beed-4e618ea75ed8, 90, 13193, No update data, 9g3qx203rneu
Bird, MEX, b80aaae5-94e7-4592-b87c-8780eb718089, 79, 11356, No update data, 9g3qrrwyfhgv
Bird, MEX, e10b01c6-35f1-4a26-ae78-004f3c3c7e5f, 48, 5846, No update data, 9g3qrrc4tbkp
Bird, MEX, 85ffc6e3-5a72-4643-9e2a-c1852749f066, 100, 14062, No update data, 9g3qrre3rv6k
Bird, MEX, 10d1ce59-d4b5-4257-8c3b-a1030d1e62ff, 49, 6346, No update data, 9g3qx20hpzf3
Bird, MEX, 786abcfe-46b9-4225-a741-6d73bc9fc925, 93, 13694, No update data, 9g3qx3ehn9ds
Bird, MEX, a83e31e1-4970-4fa9-b4d2-0720a5ed4d7f, 94, 13861, No update data, 9g3qx3ehnkhk
Bird, MEX, eba31f36-07a3-4ec8-a5dd-be1cd6ac7cc1, 47, 5688, No update data, 9g3qrre0vyhj
Bird, MEX, ba3c36a0-2733-4cac-bf52-72101d2fd26f, 83, 12024, No update data, 9g3qrr9v25t8
Bird, MEX, e9041c55-aa4a-423f-a642-3a56b81f061c, 49, 6346, No update data, 9g3qrr9tqf2b
Bird, MEX, b498efa9-e1b3-4e5d-b25d-6f9fae0ff3f2, 90, 12482, No update data, 9g3qx88zutgk
Bird, MEX, 555150d1-96e8-49a7-b12f-9771a82641da, 79, 11356, No update data, 9g3qx8bwrm3j
Bird, MEX, 436f7305-3e18-4261-b57f-fd77d6901b7d, 45, 5372, No update data, 9g3qx32gkek2
Bird, MEX, 20546d3f-f42d-4194-970a-3ffdb5b21e06, 78, 11189, No update data, 9g3qrr9gcgyx
Bird, MEX, b5e67f67-da21-4183-9ebc-b68e05bb4798, 61, 8350, No update data, 9g3qx33q3n6h
Bird, MEX, 3a253315-22c0-4190-b7ae-4446f7fae3e3, 69, 9164, No update data, 9g3qrr9gcd7m
Bird, MEX, 98d0806b-e079-4a0a-a9c1-4c9f69b8f6be, 66, 9185, No update data, 9g3qx908rxum
Bird, MEX, ef4f7d1d-dee0-4495-aebe-55222feb35c5, 87, 12008, No update data, 9g3qrrkqpts5
Bird, MEX, c97a2b50-b5be-40ab-bb18-0052a349595c, 81, 11690, No update data, 9g3qrrw3qhrw
Bird, MEX, 5eaa581d-62f0-4ccc-b73a-b68dfaf9f226, 87, 12692, No update data, 9g3qx89jz5dy
Bird, MEX, 5927a50c-aabf-44a1-8433-8eb80c6d0b65, 69, 9164, No update data, 9g3qx8c57bjh
Bird, MEX, cb40c718-e0c4-4168-afc9-7f333dc7e1ed, 49, 6346, No update data, 9g3qrr9e0syz
Bird, MEX, 7dcae05c-57ee-4587-95a8-cc788984cb61, 80, 10902, No update data, 9g3qx3u26mcb
Bird, MEX, 44d07070-b3ad-4878-afb9-e82209367756, 19, 1336, No update data, 9g3qrr7uu2q2
Bird, MEX, 301fdafb-9156-4f03-a87b-d3b71699631d, 81, 11060, No update data, 9g3qrr7sz2bg
Bird, MEX, c3c14471-824a-455a-a662-b88719af3bd0, 78, 10586, No update data, 9g3qx90cnnr9
Bird, MEX, 0cea28f5-7ebb-4016-bf25-a883a08d2158, 62, 8517, No update data, 9g3qrr7sw6k7
Bird, MEX, 310ad17e-0864-41bb-bd64-10f8ba2f9529, 56, 7515, No update data, 9g3qx90cqtpg
Bird, MEX, 1564aa3a-d67b-4308-8c6d-0f1ca60dab88, 76, 10855, No update data, 9g3qx90cqumz
Bird, MEX, 0897457f-20df-4e3f-a974-55ebe46a1a1a, 42, 5177, No update data, 9g3qx8chpjfz
Bird, MEX, 0e072fb4-261a-4445-af94-4a084fb2473b, 87, 12692, No update data, 9g3qx3epcgwx
Bird, MEX, bbd15dba-d59c-4d70-9583-9b62abdce6cd, 88, 12166, No update data, 9g3qx92h5vtj
Bird, MEX, a65127ed-ebdf-4958-be90-97922b96ec9b, 76, 10855, No update data, 9g3qx0ped29b
Bird, MEX, ca16afad-fb5f-4e4a-82a5-b2cd4fa2a4c2, 72, 10187, No update data, 9g3qx92hh3wk
