Bird, MEX, 13a98ccf-59a3-4867-9459-3d9916a4f1c1, 74, 9954, No update data, 9g3qrk6m7qud
Bird, MEX, 21498960-6c2d-49e6-8acf-de435e204c2b, 78, 10586, No update data, 9g3qrk6d090t
Bird, MEX, 7ca2c1f0-861d-40e2-941d-3145426d2166, 71, 9480, No update data, 9g3qrhn5t6d9
Bird, MEX, 41baa6bd-ff4e-4eae-9282-98d85a1d0f9c, 70, 9322, No update data, 9g3qrk4eq191
Bird, MEX, 05a686d7-7011-4ec6-ac28-75433d5d7b0f, 47, 5688, No update data, 9g3qr5zgj24w
Bird, MEX, f4543d4d-55f6-455b-afa7-04deea8a721f, 48, 6179, No update data, 9g3qquxgzhe8
Bird, MEX, 6ccde440-606d-4c2a-b861-e494878c4a7a, 61, 7900, No update data, 9g3qr5ukcfbq
Bird, MEX, c05509eb-7a33-40bb-bffe-4f2d566ef8df, 54, 7181, No update data, 9g3qrkjng1qs
Bird, MEX, 2f0927f3-48a7-4774-8d6f-a52a9445eefb, 57, 7268, No update data, 9g3qr7f1x6x1
Bird, MEX, f44abc92-32e9-4e59-8dbf-8f935f997e0a, 72, 9638, No update data, 9g3qr7f381vt
Bird, MEX, 4e779034-b03d-4ff6-96e3-9f1696e1f452, 78, 10586, No update data, 9g3qrkx1j2zg
Bird, MEX, fce754b3-8868-4f11-aa2e-68866885a2a3, 56, 7110, No update data, 9g3qr7dn8jj8
Bird, MEX, 25b4bd50-7a87-414c-b798-199090f46bc4, 71, 9480, No update data, 9g3qr7dr1y2m
Bird, MEX, 05ce5f02-4e6d-446f-9391-8a5ad81d7628, 61, 7900, No update data, 9g3qr79ucndj
Bird, MEX, 3709f99d-fc43-4ba0-9987-12732c1ff4d9, 56, 7515, No update data, 9g3qr7dqru42
Bird, MEX, 4a8852df-69ee-4afa-b40c-925f532eed7e, 48, 5846, No update data, 9g3qr7dmc687
Bird, MEX, 8dc85a69-9424-40f8-9325-a34d6695493b, 71, 9480, No update data, 9g3qr5t7ku36
Bird, MEX, 501852ce-f161-48c1-bd71-2a09a4db83d6, 53, 6636, No update data, 9g3qr5ex0jv3
Bird, MEX, 2c189e49-e320-45cc-82f5-04bc6ef47708, 49, 6004, No update data, 9g3qr7dme6hx
Bird, MEX, 97d89fc4-5db0-49b2-bbeb-6f0b18444e60, 48, 5846, No update data, 9g3qr7usfev5
Bird, MEX, c99c7642-347e-45e7-84bc-74e802ac9194, 82, 11218, No update data, 9g3qr7u4825f
Bird, MEX, abd31c6f-1bdf-4114-8957-2d9a4c3a3bc1, 51, 6320, No update data, 9g3qr5em5tpt
Bird, PBC, c7972ae7-bf69-4a82-b610-fbd7e9313832, 81, 11690, No update data, 9g6h7n4gpgz7
Bird, PBC, 6e54d93d-8197-4d8f-9347-6d1342c419ef, 79, 11356, No update data, 9g6h7n4gp314
Bird, PBC, 6e39c072-f398-45c4-b63b-e79befb6eb17, 81, 11690, No update data, 9g6h7n4fzq30
Bird, PBC, aee18a30-69db-46ee-9697-05cb4f13632e, 80, 11523, No update data, 9g6h7n4fzwk0
Bird, PBC, d3e2fe89-7363-426f-b300-ab352df9367d, 87, 12692, No update data, 9g6h7n1800v8
Bird, PBC, 15ed7681-1426-4d26-a15e-16ad293c4f5f, 100, 14863, No update data, 9g6h7jf2m2db
Bird, PBC, 7715ad14-2e09-42e8-95cc-788eb13b76b1, 100, 14863, No update data, 9g6h7jf2nwxs
Bird, PBC, de2993fb-c1da-4cf6-b471-6f6a3e6d093b, 100, 14863, No update data, 9g6h7jf2hgc7
Bird, PBC, 97069102-8afe-492e-ad6b-027099f0026c, 100, 14863, No update data, 9g6h7jdryj10
Bird, PBC, 407b819c-63f9-4941-b780-45353190df6e, 48, 6179, No update data, 9g6h7jk95fsg
Bird, PBC, 2eb776f3-e8bc-4cdd-ae92-e38404612675, 100, 14863, No update data, 9g6h7jrpg259
Bird, PBC, 7a889905-5345-4608-8295-83ab8c14e60d, 100, 14863, No update data, 9g6h7jq1p9k7
Bird, PBC, a4bd3af9-a334-4dd7-908b-83f4e573b3bc, 100, 14863, No update data, 9g6h7jq301me
Bird, PBC, f2f38284-b6bc-477e-aecb-83d741078582, 100, 14863, No update data, 9g6h7jq0xyz3
Bird, PBC, a5286a54-9879-4cce-98e2-0e542ef32de1, 98, 14529, No update data, 9g6h7jq22x0b
Bird, PBC, afc8067e-7b8b-4fbe-80dc-e1be52292709, 99, 14696, No update data, 9g6h7jnkwwfc
Bird, PBC, c9a4c41e-3504-44a3-a959-eff4ebe0eabc, 96, 14195, No update data, 9g6h7jnkwkse
Bird, PBC, 9726ef99-c1b4-4e8a-9798-b10b319f9790, 100, 14863, No update data, 9g6h7jnc0x0z
Bird, PBC, a42e6c87-dd39-4a14-9c3c-08fdb25e6b98, 100, 14863, No update data, 9g6h7jnc1bwz
Bird, PBC, 07ba914f-4c0f-40ba-a297-6346a40be63f, 100, 14863, No update data, 9g6h7jnc417f
Bird, PBC, df58b661-2500-4416-8474-258dab80c6cb, 100, 14863, No update data, 9g6h7jnbc4pq
Bird, PBC, 1aa74363-d264-40bd-bf5b-c107e32d0ade, 87, 12692, No update data, 9g6h7jnbfxv3
Bird, PBC, ad6e9fc1-67e6-42d8-9548-60a591954805, 100, 14863, No update data, 9g6h7jnbf6f4
Bird, PBC, 38dd1ad4-fd54-40c3-af18-ff2b6f4edc71, 100, 14863, No update data, 9g6h7jnbf1ef
Bird, PBC, 213bb3bc-06fd-4df3-a679-36b2372b816f, 97, 14362, No update data, 9g6h7jnbf2p0
Bird, PBC, 74f95e3c-5ff6-41ae-959e-4c18f8088afc, 100, 14863, No update data, 9g6h7hsrjvsm
Bird, PBC, f6df7fb5-56a8-44c4-a76a-4086d9f8f528, 100, 14863, No update data, 9g6h7hsqyjr9
Bird, PBC, 5608506e-c4e5-4462-ac4f-89c2f6632927, 97, 14362, No update data, 9g6h7hsqy3uk
Bird, PBC, 6e2d6089-9385-494e-abcf-9f56bd8a7177, 96, 14195, No update data, 9g6h7kcjvenk
Bird, PBC, 90a42abe-2cea-4582-8cbd-f5cc355a856c, 88, 12859, No update data, 9g6h7kb9x7zr
Bird, PBC, 052d2d9f-46c2-49d9-ab3d-5c410be1210f, 100, 14863, No update data, 9g6h7kc0eeqg
Bird, PBC, 2310d033-f1ef-4d83-ade2-0c7693a60c8d, 100, 14863, No update data, 9g6h7kc0ecjj
Bird, PBC, 5897572c-0d6c-4b97-9703-cef4c88e1c42, 100, 14863, No update data, 9g6h7kc0s2w9
Bird, PBC, 27f15815-07a0-406e-a2b6-11305679382e, 42, 5177, No update data, 9g6h7kf1bqfg
Bird, PBC, 97d52b39-86c1-48d6-9637-e6c93073fdc8, 83, 12024, No update data, 9g6h7kf61f2b
Bird, PBC, b0b389dd-f2d6-440d-81ca-24477fe25732, 87, 12692, No update data, 9g6h7kf64dm2
