Bird, MEX, ad48c2df-32aa-439c-9610-e60e3ad16810, 67, 8848, No update data, 9g3qx2tuc2vm
Bird, MEX, c7965c14-a249-4569-be43-de4a0e85d469, 48, 5846, No update data, 9g3qx2hx08yz
Bird, MEX, c131379c-672b-4daf-9b99-249fe564fd93, 42, 5177, No update data, 9g3qx2tucbwg
Bird, MEX, f17a1b0b-224c-4e99-8062-9faee4075473, 31, 3340, No update data, 9g3qx2tu6m1g
Bird, MEX, da2e416d-80ac-4b21-81c0-d25a186516d8, 97, 13588, No update data, 9g3qx26vgjyk
Bird, MEX, e865d66f-57d1-4013-b493-580a950732ac, 73, 7316, No update data, 9g3qx2tudst4
Bird, MEX, 101a6b27-312c-4dcb-9176-86f113b72395, 34, 3841, No update data, 9g3qx26ukds7
Bird, MEX, 47bad6b7-df98-4bdb-bade-758faee0d967, 19, 1336, No update data, 9g3qx26v49m1
Bird, MEX, 630320b3-4db3-4e2e-8162-a758ec053c9c, 99, 13904, No update data, 9g3qx26v4db5
Bird, MEX, f364c6c4-f0d2-4105-9793-20d4c8c11abf, 31, 3340, No update data, 9g3qx2tuthue
Bird, MEX, 383eafc0-069b-4f7d-a51c-cd0063067214, 97, 14362, No update data, 9g3qx26u76se
Bird, MEX, 84049fa0-21df-45ca-bf1f-1c7e0217af2c, 99, 13904, No update data, 9g3qx2vd9x59
Bird, MEX, bba10184-a496-472e-917f-d07e123b77cc, 74, 10521, No update data, 9g3qx26ucdg8
Bird, MEX, 3e1f505f-454d-4187-915c-749cb9551052, 66, 8690, No update data, 9g3qx2tur23n
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 57, 7268, No update data, 9g3qx2uxsuzs
Bird, MEX, be104209-46e2-4927-9e95-4236b31ed02d, 58, 7849, No update data, 9g3qx25vm0he
Bird, MEX, 4468e531-8c73-43db-a92d-d661ff5248a8, 88, 12166, No update data, 9g3qx2gh3v8x
Bird, MEX, f8c45f13-ad29-48e3-8899-c51f87e979d3, 53, 4956, No update data, 9g3qx25v5yuu
Bird, MEX, 18b1e6f9-e9dc-4269-b766-1f409d65c4ee, 72, 10187, No update data, 9g3qx2h5d4gx
Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 80, 10902, No update data, 9g3qx24zp6x1
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 83, 11376, No update data, 9g3qx2dqgs3d
Bird, MEX, b6c16e86-fc7a-4da1-bbe8-cebb9b5fd031, 92, 13527, No update data, 9g3qx26km8my
Bird, MEX, afd7dcb5-aab3-43a7-824e-4110acf849ec, 30, 3173, No update data, 9g3qx25expun
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 71, 10020, No update data, 9g3qx2h5j7ry
Bird, MEX, 3d94f1d0-97de-45f1-a81b-9859740c13ad, 46, 5530, No update data, 9g3qx25g39et
Bird, MEX, e425a1ec-e115-4d71-a133-60ad52af7e74, 39, 4676, No update data, 9g3qx2h4cw5t
Bird, MEX, 19bfde22-cb56-48fe-9b3e-ed5f1e3fce70, 44, 5511, No update data, 9g3qx25k8hbe
Bird, MEX, c9813102-9ee2-43c1-9d27-c74163baa51a, 91, 13360, No update data, 9g3qx267gkuw
Bird, MEX, 3be3e45c-d897-4d73-a4a4-b0ebf6ead681, 100, 14863, No update data, 9g3qx2wqgtxf
Bird, MEX, 3666dca9-29c4-462a-a2bd-82d861f09b8d, 42, 4898, No update data, 9g3qx2wrhk2j
Bird, MEX, 82bb97e6-207d-4444-9a0b-bc0d1d1a56e8, 55, 7348, No update data, 9g3qx2wrkr85
Bird, MEX, 41be6249-b83c-4b11-9f93-28c1072a63b8, 56, 7515, No update data, 9g3qx3j2xcf2
Bird, MEX, 7df1d82c-a271-4915-873c-73e0b45282cf, 47, 5688, No update data, 9g3qx262yfbb
Bird, MEX, 11bba3ec-65fc-4f15-bdf6-b1ec016b81ec, 51, 6320, No update data, 9g3qx2wrq1rs
Bird, MEX, e4a481b4-f2bd-4f91-b04a-03c09aeac3aa, 64, 8851, No update data, 9g3qx2jvyyvc
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 80, 10902, No update data, 9g3qx34ck2y0
Bird, MEX, 8ee79905-806c-4735-8060-58cfd08f6b8d, 28, 2839, No update data, 9g3qx2jvrv6k
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 85, 11692, No update data, 9g3qx34c3fn8
Bird, MEX, 10f11c27-65de-4dbd-8a60-191796d0d62b, 57, 7682, No update data, 9g3qx34c0jj9
Bird, MEX, 59dd7904-d00e-495a-a771-b06943de4065, 97, 14362, No update data, 9g3qx34c2ggu
Bird, MEX, a1d171b9-52ca-4dd1-8c57-0d795c3fbae6, 88, 12166, No update data, 9g3qx2nj1qvk
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 98, 14529, No update data, 9g3qx349rshn
Bird, MEX, afe47853-0451-4d2b-8131-88f44e24c7a3, 66, 9185, No update data, 9g3qx349qku3
Bird, MEX, d757e5f9-449a-4c06-8717-1a4a488b5a88, 57, 7682, No update data, 9g3qx35kw1c1
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 73, 9796, No update data, 9g3qx24fp8k5
Bird, MEX, a9121e9b-71ef-4820-96fa-f1e4d444d459, 62, 8517, No update data, 9g3qx35v2m5g
Bird, MEX, 64d7f118-619e-4b8e-9e3d-39d081cfba8a, 85, 11692, No update data, 9g3qx2fr4z5q
Bird, MEX, 75830915-c9de-4e4c-8599-5f0c7b7969a9, 87, 12008, No update data, 9g3qx2fr4k9z
Bird, MEX, 2834a400-5b1e-4abd-ba53-0b8718b8a2d9, 90, 12482, No update data, 9g3qx2fr4m3g
Bird, MEX, d2b92387-ff28-4be1-87af-00dac8236dc8, 87, 12008, No update data, 9g3qx2fr0env
Bird, MEX, 38a3d427-41a4-4d20-bd07-9779bf566a83, 89, 12324, No update data, 9g3qx2fr3464
Bird, MEX, c2e69d59-107f-4faf-b177-da9a0ff6b555, 84, 12191, No update data, 9g3qx2fr2v7v
Bird, MEX, a630707b-eb33-4689-a62e-159595cb299d, 56, 7515, No update data, 9g3qx23eprpn
Bird, MEX, 9d630ba8-dddb-49a5-959f-460948f5c59d, 35, 4008, No update data, 9g3qx2qbbvu5
Bird, MEX, 68405086-dcb8-467e-93c0-02f5b30cb889, 69, 9164, No update data, 9g3qx2qb8xzp
Bird, MEX, e47757a0-3f03-47ca-8cbc-a3970155b954, 44, 5511, No update data, 9g3qx2qb80jw
Bird, MEX, b8a406d0-21a3-47d2-8c38-904871c4fe0b, 88, 12166, No update data, 9g3qrrvrqdxe
Bird, MEX, f9c33066-dcaf-48b9-8540-2a6855576b61, 66, 9185, No update data, 9g3qx2xj5pnw
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 66, 9185, No update data, 9g3qx2xnfjef
Bird, MEX, 56b5bdf7-cef4-4a2e-9cb2-47caf1fb652f, 49, 6004, No update data, 9g3qx34e9bye
Bird, MEX, 6a032e68-b1df-4b41-82cd-feb43aa81e9d, 65, 8532, No update data, 9g3qx2qb6r60
Bird, MEX, c11ade85-8e1b-467c-80cc-c559b01f7118, 24, 2171, No update data, 9g3qx2xjjbgp
Bird, MEX, 6f961793-dfa1-41bb-9acf-4c85c6874784, 97, 13588, No update data, 9g3qx2393rvk
Bird, MEX, acb72495-837a-4590-93c2-3be5d54a5dda, 92, 13527, No update data, 9g3qx2398wng
Bird, MEX, ffbe2be1-7255-4f38-8ca2-65a956a245e9, 53, 6636, No update data, 9g3qx238ccyd
Bird, MEX, d2e665ee-e1b6-4fb3-bfe2-3facd4e7f588, 47, 6012, No update data, 9g3qx2392qes
Bird, MEX, 7fa226d7-bd68-493d-b1f7-c7058b5b7b97, 66, 9185, No update data, 9g3qx233zmx4
Bird, MEX, 911e1f28-0317-4209-a629-28de638e2000, 55, 6952, No update data, 9g3qx2390fec
Bird, MEX, 8318cad4-5af6-46ea-a25d-88b5393f0516, 70, 9853, No update data, 9g3qx233xxup
Bird, MEX, 37d836aa-f449-4252-a701-725849789c72, 58, 7849, No update data, 9g3qx2zh8fsn
Bird, MEX, 5afc80cc-72a4-4b0a-abe4-8754db170830, 98, 13746, No update data, 9g3qx21xh6y4
Bird, MEX, cbe17d51-31ab-4aa5-bba7-35074971a457, 84, 12191, No update data, 9g3qx233qfm9
Bird, MEX, 7d204c1d-ab3d-449c-8619-285679ce15e2, 99, 13904, No update data, 9g3qx2yypfx3
Bird, MEX, 2e65fb24-4470-4ab5-9f44-e3817e41b7ee, 97, 14362, No update data, 9g3qx3m1jbsq
Bird, MEX, f24df0e6-f155-4c23-a342-7d136a7ffede, 67, 8848, No update data, 9g3qx2zn077z
Bird, MEX, 69ba4f0f-2047-4769-ba41-bdb24a8ddce8, 96, 14195, No update data, 9g3qx3m1q5zk
Bird, MEX, 793755ef-d92e-4edf-847e-ac6a67ee925c, 97, 13588, No update data, 9g3qx2z61pf6
Bird, MEX, 6a2a2a8d-82e1-40b4-8623-bb26306accc1, 100, 14062, No update data, 9g3qx3m1r6zq
Bird, MEX, 2ecd13ae-57a3-4c6a-9f9c-926263a4652d, 78, 10586, No update data, 9g3qx3ne90z5
