Bird, MEX, 20bf3262-c125-4422-9371-de78ac855393, 42, 4898, No update data, 9g3qrqzuqwdg
Bird, MEX, 44d5b4fc-2015-4715-b4dc-5c8ac9d4d9e5, 81, 11060, No update data, 9g3qx0hqs8hq
Bird, MEX, ff08c337-9388-4dfb-8432-ae067fe973a9, 65, 8532, No update data, 9g3qrqc4sf12
Bird, MEX, 39aaf8f7-f15e-4424-94a9-92ea0f38ed04, 69, 9164, No update data, 9g3qx0hqeecm
Bird, MEX, 5f794cdb-0ecc-4c78-bdf1-3db4019777c1, 72, 9638, No update data, 9g3qrqzgzmx2
Bird, MEX, 556034ac-99ff-4b96-af52-274066e38b71, 37, 4342, No update data, 9g3qx0h2hssq
Bird, MEX, 37e7f309-bfd3-44ac-97b4-16ed8b455d2e, 78, 11189, No update data, 9g3qx9fbqdxv
Bird, MEX, 72fc95ec-26be-44ab-93ff-d6376eaa50dd, 44, 5511, No update data, 9g3qx9hm2jjg
Bird, MEX, f5faf0a5-07c1-4618-98f1-48fdfa0d7c9c, 88, 12166, No update data, 9g3qrwcn7w9g
Bird, MEX, 160d93d4-0248-44fa-8c0d-8cec26dd5732, 82, 11857, No update data, 9g3qrwcn10zm
Bird, MEX, afa8c2d3-670e-4802-bb16-b179c54e35fa, 91, 12640, No update data, 9g3qrwcnkrw3
Bird, MEX, ab246f26-5f73-4dc9-8f18-42c839e243a2, 78, 11189, No update data, 9g3qrwcj2m5c
Bird, MEX, 05e1e739-2621-441b-962b-677608860b68, 90, 13193, No update data, 9g3qrwcj997s
Bird, MEX, cee02067-ee01-4d59-9e09-77c9a2f4b228, 56, 7515, No update data, 9g3qrpne85t6
Bird, MEX, 509aa737-7b98-42f4-bfb0-67b06ce84923, 97, 14362, No update data, 9g3qrnzpnume
Bird, MEX, 6115e0fb-04e5-4977-9aaf-8a350785aa39, 90, 13193, No update data, 9g3qrwbuyfjg
Bird, MEX, d8baed10-c794-4ad8-810d-0f52e237c43a, 98, 13746, No update data, 9g3qrwcj00j8
Bird, MEX, 6401258a-7be3-42f6-86ab-0ce24a6d94f7, 49, 6346, No update data, 9g3qrx1fqksx
Bird, MEX, f078b50a-da9b-4d68-abf5-547d814f2555, 46, 5530, No update data, 9g3qrwcqsh5q
Bird, MEX, e859a633-41fe-4c9c-ba0d-82a48343374a, 100, 14062, No update data, 9g3qx8su70nu
Bird, MEX, 3a8fd4fc-3575-4480-8230-d2a94bc9f98a, 76, 10855, No update data, 9g3qx8sgerev
Bird, MEX, 21e2366b-4780-4811-abb2-65ca93ab240a, 78, 10586, No update data, 9g3qrqs3cd5d
Bird, MEX, e46ba5c0-a820-4399-95b4-88b45baf5760, 83, 12024, No update data, 9g3qrxu1ptk6
Bird, MEX, dec5e1aa-115e-4647-bcc2-2a1af2c3a924, 62, 8058, No update data, 9g3qrx75zbfe
Bird, MEX, 3dbaf6b2-6745-40ae-b412-17f9061af109, 39, 4424, No update data, 9g3qrx778t2y
Bird, MEX, e2f538ef-9afa-4f13-9dc5-34b53dc29f28, 61, 7900, No update data, 9g3qrq8vv0hx
Bird, MEX, ac81f291-d776-4565-8cb7-d063d1926edc, 91, 13360, No update data, 9g3qrx77xp50
Bird, MEX, 230144db-cd18-492b-b0fa-61d76dc91f64, 89, 13026, No update data, 9g3qrx77xrr6
Bird, MEX, 73bcc951-760e-43f8-b0e2-63cdc2485376, 92, 12798, No update data, 9g3qrqkpybvg
Bird, MEX, c21c34c1-2b6b-4aea-b8a6-9d799d99af38, 62, 8517, No update data, 9g3qrq979qj3
