Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 100, 14062, No update data, 9g3qx3nbc2m3
Bird, MEX, aecb2517-a087-407e-a8f5-4d17b824c384, 93, 13694, No update data, 9g3qx23jy6u2
Bird, MEX, 458ff872-5dea-4faf-9011-4ac7b29bafe7, 30, 3173, No update data, 9g3qx3nm07gc
Bird, MEX, 2a5325db-3946-4d15-ac61-26abefd8c45e, 53, 7014, No update data, 9g3qx2zjcyyf
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 91, 13360, No update data, 9g3qx2zn914m
Bird, MEX, 9e2076dd-7e4a-4c88-b519-5b4d6b32bd96, 94, 13114, No update data, 9g3qx23njmrd
Bird, MEX, d80dd3a9-e8bc-4c1e-ab47-0b0ab0006477, 33, 3476, No update data, 9g3qx3nq025f
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 87, 12008, No update data, 9g3qx2941ktq
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 96, 14195, No update data, 9g3qx23312j3
Bird, MEX, ae1acd5e-47c5-44ab-b0f3-c5fbae204d43, 81, 11690, No update data, 9g3qx23jen2j
Bird, MEX, 8e795b2b-05cb-41d7-8077-176ae8687cbd, 92, 13527, No update data, 9g3qx23jfg54
Bird, MEX, b653854b-733e-4c4c-8e76-3b570ba90c22, 70, 9853, No update data, 9g3qx3nf3rvm
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 75, 10112, No update data, 9g3qx232b90w
Bird, MEX, 982395b4-395e-4375-a321-4c510a3a2944, 82, 11218, No update data, 9g3qx294842s
Bird, MEX, 02006705-1f0f-45ac-a77b-0e0d538e4b93, 94, 13114, No update data, 9g3qx28frq2g
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 62, 8058, No update data, 9g3qx2322679
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 87, 12008, No update data, 9g3qx28fngjt
Bird, MEX, 7eb9f5b2-d82b-4eac-8620-fb60dc01546d, 76, 10855, No update data, 9g3qx28fnfve
Bird, MEX, 5b07c2c0-a805-445d-b168-01ac8898e484, 93, 13694, No update data, 9g3qx230xkbg
Bird, MEX, fab2725e-6ed9-4a78-9747-f58fc250f902, 76, 10855, No update data, 9g3qx23j0zeb
Bird, MEX, d35a9576-a35c-4a51-8b1b-caa587f5263e, 93, 13694, No update data, 9g3qx231mcsj
Bird, MEX, 031016b4-d140-43d1-b68d-dcdb3a7b11a0, 69, 9164, No update data, 9g3qx3nfecuc
Bird, MEX, 5e7dd5f9-a8ac-4ce4-b82c-6c643967fc1e, 64, 8851, No update data, 9g3qx230y9d8
Bird, MEX, 9faddf4c-a5cd-47d4-9766-7ed40affa7c3, 97, 14362, No update data, 9g3qx230ykk6
Bird, MEX, 66dbe6e8-6ed7-46d9-a4b8-1a8f853c57ad, 94, 13861, No update data, 9g3qx230wrh3
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 85, 11692, No update data, 9g3qx21mm8tz
Bird, MEX, 2deda658-907a-4f15-ac75-31743fe2f233, 93, 13694, No update data, 9g3qx21mm3zz
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 82, 11218, No update data, 9g3qx21mn131
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 87, 12008, No update data, 9g3qx28fmrzs
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 96, 14195, No update data, 9g3qx231j5u8
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 85, 11692, No update data, 9g3qx21ms6yp
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 72, 9638, No update data, 9g3qx231s2nn
Bird, MEX, 83220a33-fefd-4340-b5ab-2b7478bcb44d, 91, 13360, No update data, 9g3qx230vqfc
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 94, 13861, No update data, 9g3qx21mjdtb
Bird, MEX, e650c12c-3f3b-4556-a841-e81522b2111e, 83, 12024, No update data, 9g3qx3kk5bhf
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 88, 12166, No update data, 9g3qx28fmpk8
Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 92, 13527, No update data, 9g3qx230v1s8
Bird, MEX, 82dcd49c-65e1-4665-9b35-302cd6e6627b, 72, 10187, No update data, 9g3qx231k0ep
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 82, 11218, No update data, 9g3qx230umy5
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 58, 7849, No update data, 9g3qx28bu4fb
Bird, MEX, 72a414a0-8b65-4ea5-bdee-163e7010ce34, 90, 12482, No update data, 9g3qrryjn4pw
Bird, MEX, 304641d8-118f-4753-a91a-7187243d9247, 93, 13694, No update data, 9g3qx2zs2jmt
Bird, MEX, 0736a316-961b-48ca-a983-aab12362a9d5, 89, 12324, No update data, 9g3qx2zs0ez1
Bird, MEX, 7c163c5f-0b43-46be-a25d-8256872a99ca, 92, 13527, No update data, 9g3qx3ngpkxr
Bird, MEX, 1d03b435-5234-4603-8eed-5e3f5c7a18d1, 94, 13861, No update data, 9g3qx2zs14z5
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 91, 13360, No update data, 9g3qx2zs3nzp
Bird, MEX, ca264705-8a9b-461c-be40-6b979e038e06, 61, 7900, No update data, 9g3qx3ngxkr2
Bird, MEX, 7beff964-6325-4b2b-8a5b-83dccdddfc36, 92, 13527, No update data, 9g3qx21k0p2x
Bird, MEX, 1ccedbad-8286-4690-8a8a-d7f0c651583e, 93, 13694, No update data, 9g3qx217bw2x
Bird, MEX, 50af0392-0199-42ed-8d07-16e9a66d4d8f, 54, 6794, No update data, 9g3qrrf7938r
Bird, MEX, 21ceb6f6-bca8-4845-9546-4205cbb922d9, 97, 14362, No update data, 9g3qx2zsqrk9
Bird, MEX, f508e66d-1d30-4da5-8a2a-e5977729c4f3, 92, 13527, No update data, 9g3qx215rq2f
Bird, MEX, 6018a9ad-c989-4a26-b2ad-86e248705377, 97, 14362, No update data, 9g3qx2zsprc4
Bird, MEX, f3462101-625e-4c6e-a9f0-cc7c01652f8e, 96, 14195, No update data, 9g3qx2zgc1d3
Bird, MEX, f815c609-1181-499f-9c86-c1ebf4a7906e, 96, 10030, No update data, 9g3qx2zu0ck1
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 94, 9794, No update data, 9g3qx2zgckm6
Bird, MEX, f79fe92a-822e-48ad-bf8c-4c4953a8f041, 97, 14362, No update data, 9g3qx2zg5q78
Bird, MEX, 43522403-e4db-4674-ac78-34baba739275, 87, 12692, No update data, 9g3qrrf3ukbj
Bird, MEX, 2cff7cc7-02e4-4d80-b93b-6a67bececbd6, 63, 8684, No update data, 9g3qx31tbw0w
Bird, MEX, 5f1cdb97-4d21-4b60-bf52-7c3796a2daf0, 83, 11376, No update data, 9g3qx22rgvkb
Bird, MEX, f6cdd7bc-0a64-4ca4-a6b5-04a1120f65a8, 94, 13114, No update data, 9g3qrrsucsgt
Bird, MEX, 2038178e-884b-4374-a472-add4acadc045, 78, 10586, No update data, 9g3qx3pdmg70
Bird, MEX, fbdde7da-b0e7-46f1-b432-c1c214bb3231, 82, 11857, No update data, 9g3qx2b37ghz
Bird, MEX, f045452a-a846-49ff-944d-c58a8394eac6, 91, 13360, No update data, 9g3qx20tun4v
Bird, MEX, a41d02d8-d8f4-4c4b-a68c-1e48c281b5f2, 75, 10112, No update data, 9g3qrrsspws1
Bird, MEX, 3d5bb277-0baa-4567-8d7e-2f1e978d3b4c, 96, 14195, No update data, 9g3qx20wc1x0
Bird, MEX, e4e1ce05-dc5f-4347-81a4-e5a546cae780, 92, 13527, No update data, 9g3qx20tf4ub
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 85, 11692, No update data, 9g3qx20sj1k9
Bird, MEX, 4b3a5b9b-ef93-4100-b9e2-b8109457fb52, 60, 8183, No update data, 9g3qx2p9qbmv
Bird, MEX, f7ee63b0-66db-4e34-a9d9-00f1b38b1ef8, 96, 14195, No update data, 9g3qx20w0k7s
Bird, MEX, f00a944f-dc26-4234-9937-174fa6b9d8d5, 89, 13026, No update data, 9g3qrrsg9v2w
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 28, 2839, No update data, 9g3qx20eukq4
Bird, MEX, 53239a68-389d-42f8-ad28-fa6af312c06d, 98, 13746, No update data, 9g3qx20s3bqt
Bird, MEX, 95e0440a-64aa-496d-9f01-f7f57d8daf4e, 92, 13527, No update data, 9g3qx20qn0cp
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 97, 13588, No update data, 9g3qx20s8ewg
Bird, MEX, 9d592ade-a37b-401c-9171-cb48d4cb6c9c, 76, 10855, No update data, 9g3qx3prr8u2
Bird, MEX, 7c2d144c-de61-4c6e-92d4-8067f90eb914, 84, 12191, No update data, 9g3qx8bnwhxd
