Lime, ATL, 949, high, 23657, 2019-08-12T23:10:14.000Z, dn5br8stct5r
Lime, ATL, 592, medium, 9414, 2019-08-12T23:09:15.000Z, dn5br8u5rvj0
Bird, MEX, 215a9e38-3932-404b-8bb2-2f449c5697ec, 24, 2171, No update data, 9g3qx2s2dnex
Bird, MEX, 2affb293-e733-4a4a-ad12-30ed5cab44e6, 88, 12166, No update data, 9g3qx2sh4g7r
Bird, MEX, db8c529e-963f-44ed-8db0-67cad8e45071, 69, 9686, No update data, 9g3qx2krckbq
Bird, MEX, d4b35238-c0ab-4a0f-b0ed-3743711102fa, 47, 5688, No update data, 9g3qx2sm2d0b
Bird, MEX, 9db941e9-8224-4cca-a156-c6c9f469572d, 88, 12166, No update data, 9g3qx2krew1e
Bird, MEX, a22b8b39-d5cf-473c-a03b-3bc1c5dc4cb7, 90, 13193, No update data, 9g3qx2eurds5
Bird, MEX, 3068356b-477d-492b-a0bc-b41af7d595da, 88, 12859, No update data, 9g3qx2sh81mw
Bird, MEX, 4a5de99c-8d11-47f4-bec2-d3b9fecab8a0, 93, 13694, No update data, 9g3qx2sm8c7y
Bird, MEX, 2695188d-bdf5-4ac9-972d-d0bc17ec4631, 93, 12956, No update data, 9g3qx2krsf9q
Bird, MEX, e8e6ff26-364b-4371-88bf-f42ffa00ff05, 89, 13026, No update data, 9g3qx2eurnk5
Bird, MEX, 9af95c43-06bf-4cbd-83ca-ba7881c6a2bb, 49, 6004, No update data, 9g3qx2smsf9q
Bird, MEX, c73e8709-e74f-41a9-b6a7-fcdeeaf67de2, 90, 13193, No update data, 9g3qx2sm9z09
Bird, MEX, 57a20516-d02b-4145-8c2e-0f9a9c450135, 79, 11356, No update data, 9g3qx2sjy8r9
Bird, MEX, dbb90cc6-bbb2-42af-bf1b-61e2420a0a4a, 33, 3674, No update data, 9g3qx2euwsfe
Bird, MEX, 6c582eb7-4c3f-46bf-8b84-bd462dd3ed58, 85, 12358, No update data, 9g3qx2smwj1j
Bird, MEX, 22d645d8-0daf-41c1-bf14-caf0adb0dab1, 97, 13588, No update data, 9g3qx2smct78
Bird, MEX, f6a55eae-cf59-4c28-8305-591b0a61f7a1, 96, 13430, No update data, 9g3qx2smgqg6
Bird, MEX, a575fba4-a8fd-4919-a8fc-4f4d4f4480d1, 72, 9638, No update data, 9g3qx2sjzz6q
Bird, MEX, 463a40f1-dbed-4186-bb21-0b9373ac5aec, 91, 13360, No update data, 9g3qx2evpm8u
Bird, MEX, 9064a702-4085-4953-abb0-7022f0b9ec19, 57, 7682, No update data, 9g3qx2sq0z5y
Bird, MEX, 33ac9d70-9e28-4689-9c1c-d75e1efd8b22, 78, 10586, No update data, 9g3qx2evj2pc
Bird, MEX, d0248c55-e085-4e35-85f6-22eb853fdd64, 91, 13360, No update data, 9g3qx2euuuzw
Bird, MEX, 334dce22-994c-4947-99df-84961b8ad3c7, 98, 13746, No update data, 9g3qx2evj2fz
Bird, MEX, 0c44a163-d750-4e05-bf20-c0ae7797d9d0, 100, 14062, No update data, 9g3qx2kx0fz0
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 99, 14696, No update data, 9g3qx2sq90f4
Bird, MEX, 9b563fbc-f679-4602-8271-770b76a34bb5, 37, 4342, No update data, 9g3qx2s8ru4m
Bird, MEX, 2198fb74-c6f7-46b0-91c1-51195d0d4cb7, 97, 14362, No update data, 9g3qx2snsesk
Bird, MEX, b3108a58-c55c-46b6-b33b-f3b0aed9b5a1, 97, 14362, No update data, 9g3qx2kqm8qn
Bird, MEX, 29449914-b28c-4b0f-ae11-c9eaa88f50a2, 29, 2844, No update data, 9g3qx2spp211
Bird, MEX, ac99795c-4079-4fef-a2a4-fe841484a1d9, 97, 14362, No update data, 9g3qx2eyqd6d
Bird, MEX, 1dcc43b7-6f31-4b8b-bf33-a9c79dd69b4a, 97, 14362, No update data, 9g3qx2sr172r
Bird, MEX, 26aa6cdd-de89-452b-9e03-4f99e386768f, 83, 12024, No update data, 9g3qx27yx6xn
Bird, MEX, 6f6d7458-76fd-4ebd-a952-b01e9b149241, 57, 7682, No update data, 9g3qx2e9w0z6
Bird, MEX, 5c2c60fb-0604-4866-90ef-f977d73a7cca, 97, 13588, No update data, 9g3qx2sngwcd
Bird, MEX, 173f991f-09a7-417d-ab92-9582f3b246e1, 43, 5056, No update data, 9g3qx2swejy9
Bird, MEX, d683562e-1e81-488e-a1d9-4dcccef032c1, 98, 14529, No update data, 9g3qx2sphmwk
Bird, MEX, aa7cd25e-b206-481f-a351-e82ffee4d0e6, 84, 12191, No update data, 9g3qx27vy9zd
Bird, MEX, e4c4eab0-8b33-45fb-93a8-ee7f65202e79, 18, 1169, No update data, 9g3qx2km08wv
Bird, MEX, 12cd0c1c-d686-45ba-85c5-9d5ec0c44f50, 43, 5056, No update data, 9g3qx2kkutk8
Bird, MEX, 74d28002-a5be-4ce7-be3d-55c61d91898d, 98, 13746, No update data, 9g3qx2szsekd
Bird, MEX, 14b43c27-3703-477b-ba1e-4793108c54f4, 75, 10688, No update data, 9g3qx2e3e1qq
Bird, MEX, 86fb843f-753c-478e-82b7-25f1a1ed63d4, 33, 3674, No update data, 9g3qx2kekyzw
Bird, MEX, 933ab2a1-650f-487f-84d9-16ef9179f273, 66, 9185, No update data, 9g3qx2e30d89
Bird, MEX, c7e10af2-fc44-4b1b-addc-7075d43d3492, 79, 10744, No update data, 9g3qx27mqs4t
Bird, MEX, 5579e8e8-9acf-433e-a71e-e4870b009457, 66, 8690, No update data, 9g3qx2t7vcs3
Bird, MEX, bb44b6ac-3ce6-4bc8-9ae7-9844f309588a, 71, 10020, No update data, 9g3qx2tknjp2
Bird, MEX, 9009e2a2-75b0-43df-9c8d-4f4cf98892b0, 52, 6847, No update data, 9g3qx2g26yem
Bird, MEX, 11808844-b605-44be-bc09-c531b3e734ac, 24, 2171, No update data, 9g3qx2td4smh
Bird, MEX, 77839e0f-9388-47d0-9534-56d619ff1adf, 96, 13430, No update data, 9g3qx279tju9
Bird, MEX, 8cbb26b9-033b-4764-af04-f8363d263747, 84, 12191, No update data, 9g3qx2kbyqu3
Bird, MEX, a5324893-9031-43c7-af54-fd5ed0ff7f3a, 91, 12640, No update data, 9g3qx2tubhvw
Bird, MEX, 18dd85d0-e080-4937-b7eb-862a4f837eeb, 87, 12008, No update data, 9g3qx2g797bq
Bird, MEX, 1c627822-fe49-448e-95c5-00370cd88fff, 79, 11356, No update data, 9g3qx2m31zyf
Bird, MEX, 45dae591-5bdd-4099-8684-fb177bb4d96f, 57, 7682, No update data, 9g3qx2tvn2h3
Bird, MEX, 0360abd8-2f73-4a2f-b6a3-58e86c2ae706, 19, 1264, No update data, 9g3qx2mus68n
Bird, MEX, b1f6ce4a-5722-4800-bf0b-590b7aeda1ea, 48, 5846, No update data, 9g3qx26f7j07
Bird, MEX, 9e4fd58d-b591-4027-9a73-c7d8bb67d026, 80, 10902, No update data, 9g3qx2wp0r5y
Bird, MEX, 53fb9905-002a-45fb-be1c-054644b917cc, 80, 11523, No update data, 9g3qx26x0s8w
Bird, MEX, 87d372ec-160f-4323-b9a0-4a6258483749, 94, 13114, No update data, 9g3qx3h3qdp8
Bird, MEX, 1805bfb5-d06c-492d-a5dd-a06bf134df9d, 57, 7682, No update data, 9g3qx26kxkx1
Bird, MEX, e0b75e90-5de5-4bb3-a54f-3ce4ceb7d418, 58, 7426, No update data, 9g3qx2h5wmkr
Bird, MEX, 71056b3b-95c9-44ae-a2d3-433b81ea6318, 60, 8183, No update data, 9g3qx26e445x
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 48, 6179, No update data, 9g3qx25nk205
Bird, MEX, dcad6ebf-2e88-4fa8-83a5-5b648c4bf496, 78, 11189, No update data, 9g3qx2h5hyck
Bird, MEX, e0d6e24d-8fe4-4b85-903f-4ec581a51fcc, 71, 9480, No update data, 9g3qx2q5tkzg
Bird, MEX, 0b8ea84b-a83a-4ed3-ad76-271301ca6c72, 55, 6952, No update data, 9g3qx2j7vfu2
Bird, MEX, 41f9e170-a5d0-4ace-bfe3-b1819f713df7, 46, 5845, No update data, 9g3qx2h9tph8
Bird, MEX, 866b8a89-85c5-482a-b400-15dc07432cb2, 69, 9164, No update data, 9g3qx2dn04be
Bird, MEX, a448f586-a424-4e6b-9f6f-d6243a7d038e, 64, 8374, No update data, 9g3qx2j7prrr
Bird, MEX, ac7ac880-277c-464a-b701-1e8ec284409c, 87, 12692, No update data, 9g3qx26h471v
Bird, MEX, a6619ad8-524a-4f7f-acc3-b49814715a38, 92, 13527, No update data, 9g3qx26h81v8
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 55, 6952, No update data, 9g3qx2jvxbx2
Bird, MEX, d2420534-be94-4b40-be32-1d7fb1a79c7f, 58, 7849, No update data, 9g3qx2f190ur
Bird, MEX, 14316ff8-2dec-485b-a7a3-ad5e24d9f408, 81, 11690, No update data, 9g3qx2653kb3
Bird, MEX, 0afed6fc-c9c9-4066-9f11-730f9caa82e3, 91, 13360, No update data, 9g3qx26h052w
Bird, MEX, 4316d66d-6de0-44a8-9da3-5703cb0ac7e8, 88, 12859, No update data, 9g3qx23uw94s
Bird, MEX, e547ccbd-d9f9-4636-8a55-30cd782d7b71, 73, 10354, No update data, 9g3qx2y7qzvv
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 88, 12166, No update data, 9g3qx2fr3ybr
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 89, 12324, No update data, 9g3qx2fr01m9
Bird, MEX, 7a244aa2-c9d2-4e3d-9807-2434242c2bb6, 45, 5372, No update data, 9g3qx2wgt7fy
Bird, MEX, 4caf17b2-5dfe-4e34-8ecc-03927add5088, 89, 13026, No update data, 9g3qx2yet5kd
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 84, 12191, No update data, 9g3qx2yemfh2
Bird, MEX, a0336dc2-b55c-4bc7-b374-bca41585f67c, 90, 13193, No update data, 9g3qx2yeuvrb
Bird, MEX, 97f536f7-7fd5-4d5f-8ca6-681b95b662f4, 66, 9185, No update data, 9g3qx2wzkd76
