Bird, MEX, d7ccf8c6-0a0e-4aba-bbf0-717c1cf8f6b7, 75, 10688, No update data, 9g3qx303nf89
Bird, MEX, 07403ecd-9211-4075-b57e-80db125f15fe, 99, 14696, No update data, 9g3qx20d9ub7
Bird, MEX, 0755031e-8b3c-4234-9988-fd2bb995f6c0, 93, 13694, No update data, 9g3qx20d9c0k
Bird, MEX, 22c0a4fc-5038-407e-b358-c264315749ed, 100, 14062, No update data, 9g3qx8br2jje
Bird, MEX, e650c12c-3f3b-4556-a841-e81522b2111e, 98, 14529, No update data, 9g3qx20q18em
Bird, MEX, d925bbc3-4cb5-46f5-908a-228eb14db61e, 100, 14863, No update data, 9g3qx20q0v5b
Bird, MEX, d98c91fb-00aa-404b-82d7-c7ec1c1d5864, 51, 6320, No update data, 9g3qrrz7s305
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 100, 14062, No update data, 9g3qrred1p6p
Bird, MEX, fd261ac8-0bb0-4a07-b864-034a00ba74f9, 99, 14696, No update data, 9g3qx20q0d0x
Bird, MEX, cb60115d-829f-477a-9748-ed12db54bf3f, 100, 14863, No update data, 9g3qx20m3ndh
Bird, MEX, 2ad49c35-0948-47ef-ba26-a3670c6f620b, 99, 14696, No update data, 9g3qx20mbnmr
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 62, 8058, No update data, 9g3qx3r63qvr
Bird, MEX, a09a2b95-b008-4253-8862-36c47e14d2a3, 99, 14696, No update data, 9g3qx206r8h5
Bird, MEX, dbd9bfe2-324c-4c64-a50a-ac74fd5f7ae8, 100, 14863, No update data, 9g3qx90215rr
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 100, 14062, No update data, 9g3qx8brd66h
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 100, 14062, No update data, 9g3qrre9csgt
Bird, MEX, f269b87e-e85b-449f-95c0-681aca0493c6, 75, 10112, No update data, 9g3qx3r3twqn
Bird, MEX, cdfe60ad-148d-47a9-8d80-60c74a90f219, 99, 14696, No update data, 9g3qx20m21tm
Bird, MEX, 641bca07-0250-44a0-9960-d3dc9ed1f18f, 99, 14696, No update data, 9g3qx20nnb09
Bird, MEX, 9c0c4e8f-39c4-46bb-ab59-31a62571b6af, 99, 14696, No update data, 9g3qx20nnkkk
Bird, MEX, c449dad9-bb55-4dc6-8886-5b9a55ff331d, 96, 14195, No update data, 9g3qx20980bd
Bird, MEX, b9e2ff33-aa00-4fc0-8744-f33a9e54896b, 74, 9954, No update data, 9g3qx3r6ef05
Bird, MEX, 601d82b6-d04f-4d82-ac61-b36d93584c9d, 100, 14863, No update data, 9g3qx20jwe69
Bird, MEX, 32a41fc6-df80-438c-a835-641ac4218c08, 89, 12324, No update data, 9g3qrrzstk4z
Bird, MEX, 30fb4242-e30e-4529-a38b-c76d62f2c81d, 63, 8216, No update data, 9g3qx33khhpg
Bird, MEX, 056c7b09-5886-4692-9f7b-91c5963ebf1a, 100, 14863, No update data, 9g3qx20jufc2
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 75, 10112, No update data, 9g3qx32cngv9
Bird, MEX, 4f35da3d-4e02-4333-b2e5-a724f76790ef, 99, 14696, No update data, 9g3qx20jt1u8
Bird, MEX, a283ba1b-d074-409e-8b73-25619fe5918c, 51, 6320, No update data, 9g3qrrc4m4k9
Bird, MEX, f77a1a96-0f11-456b-a1e9-3133c60c3472, 65, 9018, No update data, 9g3qx3r7h38h
Bird, MEX, 7bd29338-131e-4a47-9758-f99065e6d4fb, 81, 11060, No update data, 9g3qrrc4hjrf
Bird, MEX, 3f5d1e14-2abf-4450-b3a3-c1faddeada17, 100, 14062, No update data, 9g3qx902v0sg
Bird, MEX, 9e1d484b-82f8-4381-a62c-2a2863a4a212, 99, 14696, No update data, 9g3qx20hunpv
Bird, MEX, 9d3c5c60-4dc8-468e-a17c-5c6b66851b34, 99, 14696, No update data, 9g3qx8brzkr6
