Bird, MEX, a48d6851-4bd5-4add-b1d0-9d933960a53c, 96, 14195, No update data, 9g3qx20988bd
Bird, MEX, 5fd2529e-56f5-46f6-bd2c-82b2469a641f, 98, 13746, No update data, 9g3qx2092snv
Bird, MEX, 8cb4650d-7205-4523-ad35-1f77c86d39f7, 94, 13861, No update data, 9g3qx2091p6p
Bird, MEX, 4d02ca4a-c96a-4f1b-aedf-8f138272da3b, 93, 13694, No update data, 9g3qx203z9s0
Bird, MEX, 867ca35b-befa-4310-ae76-54c25d56f7a1, 99, 13904, No update data, 9g3qx208cubm
Bird, MEX, a949a73f-499f-4743-94f6-5f7ebdb80f1b, 92, 13527, No update data, 9g3qx2090kew
Bird, MEX, 673ea75d-7b40-4a32-91d5-e5fb458a7fdc, 91, 13360, No update data, 9g3qx20904v6
Bird, MEX, 19b4c6ce-51f7-45eb-8e06-9886c5151567, 92, 13527, No update data, 9g3qx203rk2y
Bird, MEX, 66cd7b58-b6cc-4d4f-bf73-e0661cda79e5, 96, 14195, No update data, 9g3qx208b9ny
Bird, MEX, 76a32421-ce80-4d20-bc2a-1c6ca270594a, 98, 13746, No update data, 9g3qx203r68g
Bird, MEX, 68c1c7fb-9e43-44bf-8ae8-8901c2c758da, 91, 13360, No update data, 9g3qx203wpzq
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 92, 13527, No update data, 9g3qx208bp2t
Bird, MEX, 5c1ec0e4-2762-42ae-8674-6dd8c68ea9c6, 91, 13360, No update data, 9g3qx203q96e
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 83, 11376, No update data, 9g3qx32cnn95
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 61, 7900, No update data, 9g3qrrd7exzy
Bird, MEX, 4f72794a-0bbf-4d61-85c8-50052f42ea5d, 98, 13746, No update data, 9g3qx202vtjz
Bird, MEX, 2e335fe6-bee6-4ac2-a573-4c766a07087c, 89, 13026, No update data, 9g3qx3tdzsh1
Bird, MEX, 85c77e5d-7ca2-4acc-851f-01e834bf76a7, 40, 4582, No update data, 9g3qx3e5z3zh
Bird, MEX, e6f453ae-e896-4960-94b4-8d704cb7e810, 47, 6012, No update data, 9g3qx33zexxy
Bird, MEX, 8b644847-990a-400c-95bc-76e173197602, 92, 12798, No update data, 9g3qrrc0qgvd
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 82, 11218, No update data, 9g3qx90k5nyt
Bird, MEX, 241c5fc8-7b59-4140-9c2c-69461b597c8c, 100, 14062, No update data, 9g3qx90kehwd
Bird, MEX, 519aac77-f8ab-41f2-b174-cc1b45b511a6, 97, 13588, No update data, 9g3qx90d6mdp
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 97, 13588, No update data, 9g3qx90kq9dy
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 47, 5688, No update data, 9g3qx802jhku
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 88, 12166, No update data, 9g3qx32gurnh
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 96, 13430, No update data, 9g3qx90mqer8
Bird, MEX, 16b33ec8-f236-4b3b-a9b4-9ca35d565c9f, 98, 13746, No update data, 9g3qx90sb8r1
Bird, MEX, 1ff482f5-497d-4140-8c5f-613ff34dab55, 98, 13746, No update data, 9g3qx90sbsr5
Bird, MEX, f23e63b4-f266-44f2-b28a-9f449b125334, 97, 14362, No update data, 9g3qx3sr842t
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 98, 13746, No update data, 9g3qx90eumw6
Bird, MEX, cddceb0e-2b40-4841-a4a3-ee5a479febe1, 99, 13904, No update data, 9g3qrr7v1v8e
Bird, MEX, 53e7d760-42d4-4022-8fd9-ed5039793a55, 96, 13430, No update data, 9g3qx90f9s78
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 93, 12956, No update data, 9g3qx90f3zqc
Bird, MEX, 44791c9f-319f-42d6-bb66-ca5be0894bbb, 100, 14863, No update data, 9g3qrr7v144n
Bird, MEX, 146617df-7593-4d59-90e1-ef93f831f844, 97, 13588, No update data, 9g3qx90f9cyc
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 63, 8216, No update data, 9g3qrr977gsb
Bird, MEX, 52d9804f-be7b-4408-95c6-f5472fa27f4b, 64, 8374, No update data, 9g3qx834zfz8
Bird, MEX, 21fb9d79-bce4-4b19-8b49-5d9d7f29886b, 97, 13588, No update data, 9g3qx90tvhhc
Bird, MEX, 769dcc13-d4ef-49ed-a5e3-5a6bec6eb371, 83, 11376, No update data, 9g3qx8chq3ks
Bird, MEX, 6d4e2f6f-557c-41c1-b0ec-dfe9eda61b65, 97, 13588, No update data, 9g3qx90fn3kd
Bird, MEX, e044dca5-0d70-4eef-a0c5-5ee4314d5678, 67, 8848, No update data, 9g3qx8chpds3
Bird, MEX, eb089722-b0a7-414a-8185-4144ea7263e0, 91, 12640, No update data, 9g3qx92h5mgx
Bird, MEX, 5c2c60fb-0604-4866-90ef-f977d73a7cca, 78, 10586, No update data, 9g3qx9110ukj
Bird, MEX, d0267e20-8e89-4a1a-8969-2beb7d22d9c0, 58, 7426, No update data, 9g3qrrmhmpue
Bird, MEX, 06f17b17-5d6b-4ce0-8383-07b49ec2971e, 98, 13746, No update data, 9g3qx9112wzp
