Bird, MEX, 4d7d8717-6adf-46d2-b21a-dc2221b77ec2, 71, 10020, No update data, 9g3qx2zkm6xu
Bird, MEX, 020ae21a-5192-412c-a151-8ed7d2c74b66, 75, 10688, No update data, 9g3qx3kkjsn5
Bird, MEX, 0fdf8c0d-b6c5-4bf1-9f00-9b2e81e63dd4, 70, 9322, No update data, 9g3qx231h1rc
Bird, MEX, f32c8d18-17c7-4441-beba-a50a10891c4e, 92, 13527, No update data, 9g3qx2317j05
Bird, MEX, 872fa5cf-b583-493c-a387-9e67fc3e54d4, 67, 8848, No update data, 9g3qx2zkp4hp
Bird, MEX, be7f45e8-dfc4-4448-adce-e329fbd185bb, 93, 12956, No update data, 9g3qx2prvhkf
Bird, MEX, f862db05-d71a-4e77-a29e-0c15616b5266, 82, 11857, No update data, 9g3qx23152ux
Bird, MEX, ec970269-2f47-4dfd-80ad-a1ba33a97a1a, 55, 7348, No update data, 9g3qx2z8egkf
Bird, MEX, 32cb2fcb-39f3-4ec1-b35c-7f55c9b32cb3, 92, 12798, No update data, 9g3qx2zkw6hd
Bird, MEX, 82dcd49c-65e1-4665-9b35-302cd6e6627b, 61, 8350, No update data, 9g3qx23155nk
Bird, MEX, ad296b06-3371-48ac-a6ce-f772c7fbf666, 56, 7515, No update data, 9g3qx230khrz
Bird, MEX, 06660c44-a0df-4380-a7da-9b5f4da0a13d, 92, 13527, No update data, 9g3qx2314tm4
Bird, MEX, a3dd1cdd-17e4-4cb0-b99e-bb2f435c518c, 99, 14696, No update data, 9g3qx3m7hjej
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 89, 12324, No update data, 9g3qx3m7j6xf
Bird, MEX, 19febfba-3469-48dd-a75f-f1fb64ec34b9, 94, 13861, No update data, 9g3qx3m7hne5
Bird, MEX, 793d9573-515d-4e32-8aa7-5fef3ddf947f, 96, 13430, No update data, 9g3qx3p0pds3
Bird, MEX, e4a0c366-92be-48de-a432-6ddc2e67b8d7, 92, 13527, No update data, 9g3qx23199g2
Bird, MEX, e8a7ab1c-e142-448a-b410-912c06baf363, 98, 13746, No update data, 9g3qx2zkyujb
Bird, MEX, 199e04b5-12c2-4a2d-a4f3-a12c3befeb25, 88, 12166, No update data, 9g3qx3m7nksr
Bird, MEX, 5a33c1eb-02b3-406f-a95e-2fd03b186eb0, 97, 14362, No update data, 9g3qx3m7jxnp
Bird, MEX, d9a4392b-a6be-4a6c-95b1-95b5937151e6, 94, 13861, No update data, 9g3qx23195fj
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 93, 12956, No update data, 9g3qx2zkzq90
Bird, MEX, 1211cb12-5bdd-43ff-a6ce-6d4b4125b5f6, 91, 13360, No update data, 9g3qx2311q22
Bird, MEX, 12097490-68fa-430f-b85a-149b9ee69074, 93, 12956, No update data, 9g3qx2zkxyrm
Bird, MEX, 89a69735-9fae-4862-9f79-41521a94a0ae, 98, 14529, No update data, 9g3qx3m7mmzb
Bird, MEX, 4404df5a-fc9e-4aa8-9174-8359e49155db, 49, 6346, No update data, 9g3qx2r9dsjp
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 78, 11189, No update data, 9g3qx3m7sgzw
Bird, MEX, 917b5fbf-7a29-493d-951b-ea93dbffa032, 48, 5846, No update data, 9g3qx2xfd6dn
Bird, MEX, 1b96a21e-3f31-434a-b971-2d85c1d83fb5, 92, 13527, No update data, 9g3qx28g8n0e
Bird, MEX, 0275247e-d8a4-4354-9ea2-73d1af9a675c, 92, 12798, No update data, 9g3qx28u0j8s
Bird, MEX, 9c03be33-e196-47dd-abe4-27ecf135ee76, 56, 7515, No update data, 9g3qrryz0xrp
Bird, MEX, a2ecbf55-cae8-484a-b941-9962b0c8b932, 78, 10586, No update data, 9g3qrrsp7nqd
