Bird, MEX, a1d171b9-52ca-4dd1-8c57-0d795c3fbae6, 85, 11692, No update data, 9g3qx2jvmdq1
Bird, MEX, 10f11c27-65de-4dbd-8a60-191796d0d62b, 55, 7348, No update data, 9g3qx34bch41
Bird, MEX, 41be6249-b83c-4b11-9f93-28c1072a63b8, 53, 7014, No update data, 9g3qx3jc0nvt
Bird, MEX, 6f3236d1-f951-4943-9382-cabff4112af0, 88, 12166, No update data, 9g3qx2h2h3q3
Bird, MEX, afe47853-0451-4d2b-8131-88f44e24c7a3, 63, 8684, No update data, 9g3qx348wks6
Bird, MEX, 59dd7904-d00e-495a-a771-b06943de4065, 94, 13861, No update data, 9g3qx34c25bs
Bird, MEX, 7dc39c91-c82a-44fd-b235-ee0218fa2317, 29, 3006, No update data, 9g3qx3j7mguk
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 94, 13861, No update data, 9g3qx349x7zn
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 79, 10744, No update data, 9g3qx34f1uqt
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 84, 11534, No update data, 9g3qx349mmpg
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 72, 9638, No update data, 9g3qx251bd2w
Bird, MEX, c2e69d59-107f-4faf-b177-da9a0ff6b555, 81, 11690, No update data, 9g3qx2fr68b0
Bird, MEX, 41f2431a-3e23-4ca9-9d67-6e42559b78bc, 61, 8350, No update data, 9g3qx35tt36z
Bird, MEX, 38a3d427-41a4-4d20-bd07-9779bf566a83, 87, 12008, No update data, 9g3qx2fr6578
Bird, MEX, 2834a400-5b1e-4abd-ba53-0b8718b8a2d9, 88, 12166, No update data, 9g3qx2fr3egs
Bird, MEX, 63b9a7b7-41aa-4379-b35d-d4a49adecd85, 74, 10521, No update data, 9g3qx3hng1b7
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 63, 8684, No update data, 9g3qx2wzjvgn
Bird, MEX, 6b706d64-0df8-4829-b7f2-19558573cfcd, 67, 9352, No update data, 9g3qx35hfu77
Bird, MEX, c11ade85-8e1b-467c-80cc-c559b01f7118, 21, 1670, No update data, 9g3qx2xj225u
Bird, MEX, 68405086-dcb8-467e-93c0-02f5b30cb889, 66, 8690, No update data, 9g3qx2q8jeqn
Bird, MEX, 37d836aa-f449-4252-a701-725849789c72, 52, 6847, No update data, 9g3qx2yg6eb5
Bird, MEX, 6a032e68-b1df-4b41-82cd-feb43aa81e9d, 64, 8374, No update data, 9g3qx2q8pk3h
Bird, MEX, 9d630ba8-dddb-49a5-959f-460948f5c59d, 33, 3674, No update data, 9g3qx2nxx6p6
Bird, MEX, a3d23b7e-90ea-4377-8b6f-e946a9d30d42, 71, 10020, No update data, 9g3qx2yu6r61
Bird, MEX, e47757a0-3f03-47ca-8cbc-a3970155b954, 39, 4676, No update data, 9g3qx2nz8jmx
Bird, MEX, 911e1f28-0317-4209-a629-28de638e2000, 53, 6636, No update data, 9g3qx239v1hw
