Bird, MEX, 3ecbfd4e-07b7-49c4-95b1-18de4a205226, 96, 13430, No update data, 9g3qx236kurx
Bird, MEX, eddc3d62-1f8f-448b-8559-04768146c6fb, 97, 13588, No update data, 9g3qx2z4vz7n
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 63, 8684, No update data, 9g3qx2c7hth3
Bird, MEX, 9df4aa53-6ae5-40ec-b8fb-e05e3ad14881, 56, 7110, No update data, 9g3qx2z4wytz
Bird, MEX, 70c01e06-41bd-4ca5-998b-59aa9ca0fb83, 94, 13861, No update data, 9g3qx2z5ptuq
Bird, MEX, 231cc8f7-fe60-4162-ba58-c2a5334c1c0f, 99, 13904, No update data, 9g3qx2941rv6
Bird, MEX, 5e0012f4-cf1b-496f-8e47-337dd9dbf496, 91, 12640, No update data, 9g3qx21tb4b8
Bird, MEX, cddf1b28-4863-4c52-a305-811b2c47c640, 100, 14062, No update data, 9g3qx2332pbs
Bird, MEX, c214602d-d67c-4b09-ba99-34b2d47493b0, 99, 13904, No update data, 9g3qx23237b7
Bird, MEX, ae02b51b-123a-4953-b879-ccdd4f8d7c0c, 94, 13861, No update data, 9g3qx3p01fnz
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 98, 13746, No update data, 9g3qx28fr8u0
Bird, MEX, b6b2e6b0-2bad-431a-99d0-a1ea379fe53e, 97, 13588, No update data, 9g3qx28fxhgg
Bird, MEX, 1a108a8c-4379-452a-b475-670a843ee147, 100, 14062, No update data, 9g3qx230ytfe
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 97, 13588, No update data, 9g3qx28gn3um
Bird, MEX, 41f54773-ba15-4d2b-b496-7e0ab99dafff, 97, 14362, No update data, 9g3qx21mmwmf
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 97, 13588, No update data, 9g3qx231sy5e
Bird, MEX, de0074f8-dfba-47dd-8a7b-2c4f0a7acf2f, 88, 12859, No update data, 9g3qx21mt0s8
Bird, MEX, dc0b8a8f-1204-481d-88fd-f3f8719f4180, 100, 14062, No update data, 9g3qx230vuun
Bird, MEX, 804daf5f-43fd-4f8d-8ccb-6b780ffc9636, 53, 7014, No update data, 9g3qx2zpqp97
Bird, MEX, 47228861-e8c3-49cc-98b4-75de03f0f164, 98, 13746, No update data, 9g3qx231gvug
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 98, 13746, No update data, 9g3qx230v9tb
Bird, MEX, 143d0a31-d8f4-4ad8-9b34-8446412ad3a4, 100, 14062, No update data, 9g3qx230vkrd
Bird, MEX, b5cd7192-78e7-45dd-a081-58caacc5e8e9, 90, 13193, No update data, 9g3qx21mkgze
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 49, 6004, No update data, 9g3qx3p0gh03
Bird, MEX, 6ee4517f-d25f-4800-a33b-b711101143f4, 94, 13861, No update data, 9g3qx3kkheu9
Bird, MEX, a4e2d25a-6ab6-4d00-bef6-65b5f22f3daa, 55, 7348, No update data, 9g3qx3kkhv9m
Bird, MEX, 09458811-7896-40fa-9ac1-6186f561896c, 96, 13430, No update data, 9g3qx3kkpm35
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 85, 11692, No update data, 9g3qx23178xz
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 87, 12008, No update data, 9g3qx2z7rgz7
Bird, MEX, 15b2d61a-a693-4026-9a75-83a6c6e7c57d, 97, 13588, No update data, 9g3qx231985q
Bird, MEX, 5f1a3923-fd37-49e2-89ab-06edd06985b9, 93, 13694, No update data, 9g3qx2zr3z8e
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 97, 13588, No update data, 9g3qx2zkxgfw
Bird, MEX, 2363cb12-8a83-4bf1-ade2-6ffb6a842db8, 37, 4342, No update data, 9g3qx2zkz8um
Bird, MEX, 6bb32e49-e86c-4e57-a7e5-5c020bea363e, 97, 13588, No update data, 9g3qx2313327
Bird, MEX, c662786d-854d-47c0-968a-b15b122a522f, 69, 9164, No update data, 9g3qx2xu2t8z
Bird, MEX, db1c2d5e-da0d-4cf8-8ef9-6faa76b0e819, 90, 13193, No update data, 9g3qx2zmpdu7
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 20, 1422, No update data, 9g3qx2zmycvg
Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 93, 12956, No update data, 9g3qx2zt26eu
Bird, MEX, 334d37ea-4ca1-4106-95ba-3dae5b1e6380, 92, 12798, No update data, 9g3qx2zsf887
Bird, MEX, ac90b4f8-4ec5-4ed2-bb64-605c07442409, 97, 13588, No update data, 9g3qx2zth70j
Bird, MEX, 9f1b065e-3c51-4d61-a3a9-0794da215166, 93, 12956, No update data, 9g3qx2zt7uhv
Bird, MEX, 42adbca0-ad2f-4c00-aa33-4c9f7db1dc39, 89, 13026, No update data, 9g3qx215wgvt
Bird, MEX, aad7b5fb-642d-4670-91be-c2cd80aa5eff, 89, 13026, No update data, 9g3qx215mvkh
Bird, MEX, 667da35d-8345-4402-9ed3-23f1f5f80543, 92, 13527, No update data, 9g3qx21h5txu
Bird, MEX, 09b4b3b1-fb6a-4e2b-a65c-cb1e43f092da, 93, 13694, No update data, 9g3qx215snrv
Bird, MEX, 75ce0f6b-0607-4413-b8f9-4814481bec33, 93, 13694, No update data, 9g3qx214wd6e
Bird, MEX, 29b827a4-694c-42a2-9685-1461cbbfa3c1, 73, 9796, No update data, 9g3qx3msxs3y
Bird, MEX, 601d82b6-d04f-4d82-ac61-b36d93584c9d, 46, 5845, No update data, 9g3qx3qb0csh
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 96, 13430, No update data, 9g3qx3p9rgzk
Bird, MEX, cd01213d-9873-4a73-9113-022b45577801, 98, 14529, No update data, 9g3qx3pc14d3
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 99, 13904, No update data, 9g3qx3pc85ts
Bird, MEX, e8aeed4d-683e-4f07-aac9-8aa11327775a, 97, 13588, No update data, 9g3qx3pc8wrn
Bird, MEX, 7dfac7ef-6e1b-4173-b7b6-c9dee25a343a, 78, 11189, No update data, 9g3qx8bj5hwx
Bird, MEX, 14970e6e-e013-4590-8f71-9214ea2f37c0, 94, 13114, No update data, 9g3qx8bjeq7t
Bird, MEX, 05657a08-52fb-4b54-9e31-d3cf41b3234c, 93, 12956, No update data, 9g3qx8bhyqhw
Bird, MEX, b5d4fccd-e73f-48e1-9d91-b96a0c896402, 97, 13588, No update data, 9g3qrrzk92v3
Bird, MEX, 30b86e43-c8a7-4bfa-bf10-588a81a365d1, 96, 13430, No update data, 9g3qx8bntq4u
Bird, MEX, 1ed11453-2cc0-42fc-bf83-b1634471d7a3, 49, 6004, No update data, 9g3qrrzxzcx2
Bird, MEX, 1500ff0d-077d-4e28-8885-57d1a83d4531, 90, 13193, No update data, 9g3qx8bq3des
Bird, MEX, ec4a6eab-3e21-4544-b696-53b33dacfdb9, 91, 13360, No update data, 9g3qx207qzvs
Bird, MEX, d7ccf8c6-0a0e-4aba-bbf0-717c1cf8f6b7, 87, 12692, No update data, 9g3qx303np1n
Bird, MEX, 26ed862c-b040-42aa-8d3b-d942b8998ab5, 94, 13861, No update data, 9g3qx207p28v
Bird, MEX, 4d02ca4a-c96a-4f1b-aedf-8f138272da3b, 92, 13527, No update data, 9g3qx207m9tv
Bird, MEX, c645c1cc-881f-4034-9678-b3fdb6020131, 92, 13527, No update data, 9g3qx20mbjt3
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 67, 8848, No update data, 9g3qx3r68x2u
Bird, MEX, a63f99a6-4205-470a-b95e-81f90e3f294e, 91, 13360, No update data, 9g3qx20jzwu1
Bird, MEX, 66cd7b58-b6cc-4d4f-bf73-e0661cda79e5, 93, 13694, No update data, 9g3qx206nu2s
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 48, 5846, No update data, 9g3qrre9b2gu
Bird, MEX, a48d6851-4bd5-4add-b1d0-9d933960a53c, 94, 13861, No update data, 9g3qx203x7zj
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 91, 13360, No update data, 9g3qx203yx6t
Bird, MEX, 8cb4650d-7205-4523-ad35-1f77c86d39f7, 93, 13694, No update data, 9g3qx203x9sp
Bird, MEX, c557b329-fa29-4b97-a371-40a2e8071355, 56, 7110, No update data, 9g3qx8bqt37n
Bird, MEX, a949a73f-499f-4743-94f6-5f7ebdb80f1b, 91, 13360, No update data, 9g3qx203yfb8
Bird, MEX, 1761c249-cf5e-451f-96cb-2409fdebb239, 76, 10855, No update data, 9g3qx20jw7s7
Bird, MEX, 68c1c7fb-9e43-44bf-8ae8-8901c2c758da, 89, 13026, No update data, 9g3qx203rhgb
Bird, MEX, 19b4c6ce-51f7-45eb-8e06-9886c5151567, 90, 13193, No update data, 9g3qx203rh7y
Bird, MEX, 6ac19057-d456-42f2-8b15-a6f5b2115c23, 93, 13694, No update data, 9g3qx203ptun
Bird, MEX, 673ea75d-7b40-4a32-91d5-e5fb458a7fdc, 90, 13193, No update data, 9g3qx203r55z
Bird, MEX, 0c20639e-5712-4a37-8dbe-1dba147cae43, 89, 13026, No update data, 9g3qx20jve0f
Bird, MEX, fd5a2837-3e18-416e-8a88-19bd4403f0b4, 83, 11376, No update data, 9g3qx905sc1t
Bird, MEX, 5c1ec0e4-2762-42ae-8674-6dd8c68ea9c6, 90, 13193, No update data, 9g3qx203nf0w
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 82, 11218, No update data, 9g3qx331cn4n
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 61, 7900, No update data, 9g3qrrdk1f0q
Bird, MEX, 2e335fe6-bee6-4ac2-a573-4c766a07087c, 88, 12859, No update data, 9g3qx3tdyppt
Bird, MEX, 85c77e5d-7ca2-4acc-851f-01e834bf76a7, 40, 4582, No update data, 9g3qx3e5zns1
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 94, 13114, No update data, 9g3qx9079x7s
Bird, MEX, d535200e-e99c-4e75-b172-39780e734cfc, 94, 13861, No update data, 9g3qx90hxcrx
Bird, MEX, 8b644847-990a-400c-95bc-76e173197602, 91, 12640, No update data, 9g3qrrc0rc43
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 97, 13588, No update data, 9g3qx90k13j2
Bird, MEX, 519aac77-f8ab-41f2-b174-cc1b45b511a6, 96, 13430, No update data, 9g3qx90k197d
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 71, 10020, No update data, 9g3qx3tg7p02
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 81, 11060, No update data, 9g3qx907f55g
Bird, MEX, 1fcbe12b-38db-4b6f-8b08-9403ac6ebf63, 29, 2844, No update data, 9g3qrxbn1e5s
Bird, MEX, 1ff482f5-497d-4140-8c5f-613ff34dab55, 97, 13588, No update data, 9g3qx90k41eu
Bird, MEX, 16b33ec8-f236-4b3b-a9b4-9ca35d565c9f, 97, 13588, No update data, 9g3qx90jwhr8
Bird, MEX, 241c5fc8-7b59-4140-9c2c-69461b597c8c, 100, 14062, No update data, 9g3qx90kbdpj
Bird, MEX, 21fb9d79-bce4-4b19-8b49-5d9d7f29886b, 96, 13430, No update data, 9g3qx90kbchp
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 96, 13430, No update data, 9g3qx90kbxph
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 87, 12008, No update data, 9g3qx32gv8vv
Bird, MEX, 159caea9-9890-4349-967b-e9a9acedd927, 47, 6012, No update data, 9g3qrrbr34fj
Bird, MEX, 8bf4fcec-76c8-45f3-8280-34a6e3ea4705, 52, 6847, No update data, 9g3qrrw9fdmj
Bird, MEX, f23e63b4-f266-44f2-b28a-9f449b125334, 96, 14195, No update data, 9g3qx3spxc6r
Bird, MEX, cbdf4840-40b1-4b3f-b885-30875e300865, 54, 6794, No update data, 9g3qrrkvzufm
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 47, 5688, No update data, 9g3qx8081dgd
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 98, 13746, No update data, 9g3qx90cdqz0
Bird, MEX, 52d9804f-be7b-4408-95c6-f5472fa27f4b, 63, 8216, No update data, 9g3qx835j6xc
Bird, MEX, 44791c9f-319f-42d6-bb66-ca5be0894bbb, 99, 14696, No update data, 9g3qrr7v58pb
Bird, MEX, cddceb0e-2b40-4841-a4a3-ee5a479febe1, 98, 13746, No update data, 9g3qrr7v13t6
Bird, MEX, b290e7c8-433f-4068-ade0-8702f77b3dac, 65, 8532, No update data, 9g3qx8c5uj72
Bird, MEX, af29b99b-da68-4c35-b38e-dd1caa7da380, 91, 12640, No update data, 9g3qx924rfp8
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 63, 8216, No update data, 9g3qrr97n010
Bird, MEX, 146617df-7593-4d59-90e1-ef93f831f844, 96, 13430, No update data, 9g3qx90gf261
Bird, MEX, 53e7d760-42d4-4022-8fd9-ed5039793a55, 96, 13430, No update data, 9g3qx90gf76j
Bird, MEX, d0267e20-8e89-4a1a-8969-2beb7d22d9c0, 58, 7426, No update data, 9g3qrrmh6m3u
Bird, MEX, f17d49c5-1830-4e58-a34d-1dd840990418, 88, 12859, No update data, 9g3qx92h74ws
Bird, MEX, eb089722-b0a7-414a-8185-4144ea7263e0, 91, 12640, No update data, 9g3qx92hh620
Bird, MEX, e044dca5-0d70-4eef-a0c5-5ee4314d5678, 66, 8690, No update data, 9g3qx90u5btn
Bird, MEX, 5c2c60fb-0604-4866-90ef-f977d73a7cca, 78, 10586, No update data, 9g3qx911fheu
Bird, MEX, 6d4e2f6f-557c-41c1-b0ec-dfe9eda61b65, 97, 13588, No update data, 9g3qx9141uwz
Bird, MEX, d0a37f46-5dfb-47e6-a34f-595fffcaa269, 96, 14195, No update data, 9g3qx92hw84z
Bird, MEX, 4f72794a-0bbf-4d61-85c8-50052f42ea5d, 98, 13746, No update data, 9g3qrpzy2d8e
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 93, 12956, No update data, 9g3qx0p7nj34
Bird, MEX, e26c615d-d329-47e8-b1f0-73de7cb92643, 78, 11189, No update data, 9g3qrr94qn9h
Bird, MEX, b3320b1e-f3a8-4856-89f4-24e8c62cffed, 44, 5214, No update data, 9g3qx910y8fv
Bird, MEX, ca1a9933-e2e7-4663-b7ec-4a89856dd501, 87, 12008, No update data, 9g3qx0p7t4ux
Bird, MEX, 5f81f73a-286d-4d4d-bf2f-86c0e7eb1d51, 92, 12798, No update data, 9g3qrpzxsgcm
