Bird, MEX, c0fe1b03-bcf5-436f-a8b3-0df4ebad4766, 98, 14529, No update data, 9g3qx231x05y
Bird, MEX, 5510831d-1709-49e9-8cf6-f7180138e935, 96, 14195, No update data, 9g3qx234mdtg
Bird, MEX, 9dbb8d37-8eec-41d8-8d42-da22c0d7a8a3, 97, 14362, No update data, 9g3qx231r38v
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 100, 14062, No update data, 9g3qx28fpkxn
Bird, MEX, af76bb47-f9ce-4f93-ae1f-cf6e72f1b362, 92, 13527, No update data, 9g3qx23224m3
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 100, 14062, No update data, 9g3qx28gnumt
Bird, MEX, c6aff5da-4189-4c94-9822-1d7187a5ded8, 69, 9686, No update data, 9g3qx2zpjrxb
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 98, 13746, No update data, 9g3qx2znzkp2
Bird, MEX, 12e2fe21-97f4-4e9b-a56b-f7dcd8f203d4, 98, 14529, No update data, 9g3qx230vqrx
Bird, MEX, 7eb9f5b2-d82b-4eac-8620-fb60dc01546d, 100, 14863, No update data, 9g3qx28ftqdz
Bird, MEX, 5726f868-b3c8-409a-b211-64bc3610326e, 100, 14062, No update data, 9g3qx2343t57
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 98, 13746, No update data, 9g3qx21kt6fz
Bird, MEX, 8af03c2f-c954-4c82-a578-6a6ac1de6e27, 89, 12324, No update data, 9g3qx231fnuc
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 97, 13588, No update data, 9g3qx21ku1zf
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 97, 13588, No update data, 9g3qx2zr1e5t
Bird, MEX, 3d850764-5537-4c8a-a58d-997d7e4d5bed, 100, 14062, No update data, 9g3qx2314tj0
Bird, MEX, 4048c69a-9e8b-4883-8910-f3a23b6da33e, 96, 13430, No update data, 9g3qx3kkwe6e
Bird, MEX, 0ede44d8-7fd9-46da-a096-1056e804e641, 100, 14062, No update data, 9g3qx2340129
Bird, MEX, 4f378213-6294-4f7f-afc2-9fb519e73eb4, 87, 12008, No update data, 9g3qx2zmpv6e
Bird, MEX, 22d645d8-0daf-41c1-bf14-caf0adb0dab1, 82, 11218, No update data, 9g3qx2zs3hz1
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 97, 13588, No update data, 9g3qx21jv3ff
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 97, 13588, No update data, 9g3qx2zs7nbr
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 80, 10902, No update data, 9g3qx2zsdu72
