Bird, MEX, a63f99a6-4205-470a-b95e-81f90e3f294e, 100, 14863, No update data, 9g3qx20m71yr
Bird, MEX, 30b86e43-c8a7-4bfa-bf10-588a81a365d1, 100, 14062, No update data, 9g3qx8br2qgz
Bird, MEX, e5715162-b889-4ebe-81bf-9c6cc31732eb, 45, 5372, No update data, 9g3qrrdn922r
Bird, MEX, 15a0257a-1513-46fd-b0b7-96c837882c77, 100, 14863, No update data, 9g3qx20m3zbk
Bird, MEX, c645c1cc-881f-4034-9678-b3fdb6020131, 100, 14863, No update data, 9g3qx20m4d80
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 100, 14863, No update data, 9g3qx20d0bgz
Bird, MEX, 0c20639e-5712-4a37-8dbe-1dba147cae43, 97, 14362, No update data, 9g3qx20m92b6
Bird, MEX, 1a7341a8-54b5-422e-882c-6a9a60a32fdc, 63, 8216, No update data, 9g3qx20kfe8n
Bird, MEX, e044dca5-0d70-4eef-a0c5-5ee4314d5678, 71, 9480, No update data, 9g3qx82xh57p
Bird, MEX, 2a745e37-3402-40b3-9e3c-e6341baa9751, 100, 14863, No update data, 9g3qx2098y7v
Bird, MEX, d7cc1f30-d796-4b3b-b9d6-f74d31d7f1dd, 100, 14062, No update data, 9g3qx8br4g7r
Bird, MEX, 19b4c6ce-51f7-45eb-8e06-9886c5151567, 100, 14863, No update data, 9g3qx209b828
Bird, MEX, 1f3ec013-e7a1-46b8-82ac-bfa096635032, 94, 13861, No update data, 9g3qx20m2b5g
Bird, MEX, b1d00107-9c0b-44bc-b84d-a3b388b688d6, 100, 14062, No update data, 9g3qx20m2sb9
Bird, MEX, df75c92d-d578-4bed-b538-e4872918c86f, 99, 14696, No update data, 9g3qx2098q5e
Bird, MEX, bc096ecd-5783-4ffe-b694-25020987449a, 100, 14062, No update data, 9g3qx206ngjs
Bird, MEX, 2c743466-1107-42c5-ba96-4748e6fa3269, 100, 14062, No update data, 9g3qx203xwsp
Bird, MEX, 68c1c7fb-9e43-44bf-8ae8-8901c2c758da, 98, 14529, No update data, 9g3qx203xwkj
Bird, MEX, b5cd7192-78e7-45dd-a081-58caacc5e8e9, 99, 14696, No update data, 9g3qx2092d8e
Bird, MEX, 56f84237-e7a7-4512-a7b3-f88d58fb221c, 100, 14062, No update data, 9g3qx203z22b
Bird, MEX, 1500ff0d-077d-4e28-8885-57d1a83d4531, 99, 14696, No update data, 9g3qx9023v0e
