Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 97, 13588, No update data, 9g3qx2tvyt68
Bird, MEX, 042dd301-559d-4df6-8e3b-8a7bd125838c, 90, 13193, No update data, 9g3qx2tynbjc
Bird, MEX, 035cd50f-e02d-4335-8faf-eaeb79643a9a, 30, 3173, No update data, 9g3qx26fn2k7
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 94, 13861, No update data, 9g3qx2tyrcrk
Bird, MEX, 429e6f17-9093-40a1-9f51-9f1e9f4478e0, 27, 2672, No update data, 9g3qx26f7t1e
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 53, 7014, No update data, 9g3qx2gh34fn
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 92, 13527, No update data, 9g3qx2wj6kcc
Bird, MEX, b16f8ffb-0852-42c9-ba6a-d001c868d315, 28, 2839, No update data, 9g3qx2f8u6nj
Bird, MEX, 0381ed73-b8b1-4f9f-aae4-b61612afa920, 55, 6952, No update data, 9g3qx2jj9pfn
Bird, MEX, 6cc176cc-46ef-423f-a481-9a4246995b54, 70, 9322, No update data, 9g3qx2gh8x8t
Bird, MEX, db8c529e-963f-44ed-8db0-67cad8e45071, 94, 13861, No update data, 9g3qx2hh6s0j
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 90, 13193, No update data, 9g3qx2h5v5hd
Bird, MEX, bbad18c0-ce9d-4470-8bbf-ef014ecca453, 66, 9185, No update data, 9g3qx2h5u72h
Bird, MEX, 01b11fbc-94c8-48dc-b4aa-574154510abc, 92, 13527, No update data, 9g3qx2h5s7ym
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 73, 10354, No update data, 9g3qx25jy43n
Bird, MEX, cebcc058-c198-4b24-a30e-416f0a237f8d, 31, 3340, No update data, 9g3qx26mhvcq
Bird, MEX, 3bc4be11-d85a-428e-ba9e-d34a21936fd5, 90, 13193, No update data, 9g3qx2h526eg
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 92, 13527, No update data, 9g3qx2h5h3yk
Bird, MEX, f3cc446b-8fcd-4676-b0fa-0cff546f3f60, 64, 8851, No update data, 9g3qx257zbfk
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 75, 10112, No update data, 9g3qx25fuhgj
Bird, MEX, 78c6fa08-c4a3-447f-b30a-ff4cc23c31e0, 34, 3841, No update data, 9g3qx2j7cyb9
Bird, MEX, bd5658f4-c7a7-48d2-8263-8102bc25e1ab, 75, 10112, No update data, 9g3qx266fsbn
