Bird, MEX, 3d94f1d0-97de-45f1-a81b-9859740c13ad, 46, 5530, No update data, 9g3qx25v3kmr
Bird, MEX, 101a6b27-312c-4dcb-9176-86f113b72395, 30, 3173, No update data, 9g3qx26f2v7v
Bird, MEX, f835251a-db1b-449d-b110-2b0cec9d32d2, 79, 11356, No update data, 9g3qx2hhs3nk
Bird, MEX, 383eafc0-069b-4f7d-a51c-cd0063067214, 93, 13694, No update data, 9g3qx26cd21y
Bird, MEX, 18b1e6f9-e9dc-4269-b766-1f409d65c4ee, 67, 9352, No update data, 9g3qx2hhn0xm
Bird, MEX, 630320b3-4db3-4e2e-8162-a758ec053c9c, 96, 13430, No update data, 9g3qx26c8dyz
Bird, MEX, 7fd024c6-7511-43e8-b890-0ceae6c363fb, 96, 14195, No update data, 9g3qx2hhj0ux
Bird, MEX, 1870b9ff-0d74-47be-bf9c-edd054a07089, 79, 8024, No update data, 9g3qx2y055b3
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 82, 11218, No update data, 9g3qx2dqkfrd
Bird, MEX, e425a1ec-e115-4d71-a133-60ad52af7e74, 36, 4175, No update data, 9g3qx2h7b35y
Bird, MEX, 10f30ae3-ee9e-421d-bce2-ca702bc4dff7, 97, 14362, No update data, 9g3qx2h5y030
Bird, MEX, 2b9fe56c-d1f7-4b52-82ae-0ca8e521e817, 58, 7849, No update data, 9g3qx2h5sfp9
Bird, MEX, 8be5fd41-5102-44cf-8112-b2105dd2c2a5, 97, 14362, No update data, 9g3qx2h5w3kq
Bird, MEX, 211b1584-a5cb-439d-b24c-77633ec22ad0, 98, 14529, No update data, 9g3qx2h5mtqh
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 67, 9352, No update data, 9g3qx2h5qhz2
Bird, MEX, 00fa3925-6cf5-43af-94fc-bc0474e49bd9, 83, 12024, No update data, 9g3qx2gnep8m
Bird, MEX, 19bfde22-cb56-48fe-9b3e-ed5f1e3fce70, 40, 4843, No update data, 9g3qx25kf8m0
Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 79, 10744, No update data, 9g3qx25n172q
Bird, MEX, 33337cc0-eb2f-489c-9de0-cab5d5f7160a, 67, 8848, No update data, 9g3qx269f5ew
Bird, MEX, d4ab1c93-6e74-443b-af09-55c20f013802, 85, 11692, No update data, 9g3qx353p32f
Bird, MEX, 3be3e45c-d897-4d73-a4a4-b0ebf6ead681, 97, 14362, No update data, 9g3qx2wqed1f
Bird, MEX, 6b9dedd2-df91-4d53-beca-79a341cdc811, 49, 6004, No update data, 9g3qx2573jdn
Bird, MEX, 62442278-b68a-472b-b413-dfd6b89600a7, 52, 6847, No update data, 9g3qx2dng8rc
Bird, MEX, d5c92ecc-10ca-4b2d-9ef0-89657686a51b, 65, 9018, No update data, 9g3qx2dnfdb0
Bird, MEX, 36492f57-4509-4243-9869-ffa9bc263ba8, 74, 9954, No update data, 9g3qx24tvty5
Bird, MEX, 41be6249-b83c-4b11-9f93-28c1072a63b8, 53, 7014, No update data, 9g3qx3j8uk8h
Bird, MEX, c9813102-9ee2-43c1-9d27-c74163baa51a, 87, 12692, No update data, 9g3qx265gchy
Bird, MEX, 690e6aea-1bd3-48bf-af61-a1c18606a1d6, 97, 13588, No update data, 9g3qx2yk0erp
Bird, MEX, b6c16e86-fc7a-4da1-bbe8-cebb9b5fd031, 88, 12859, No update data, 9g3qx265kn74
Bird, MEX, a1d171b9-52ca-4dd1-8c57-0d795c3fbae6, 85, 11692, No update data, 9g3qx2jvmyuq
Bird, MEX, e4a481b4-f2bd-4f91-b04a-03c09aeac3aa, 60, 8183, No update data, 9g3qx2jvq86t
Bird, MEX, 10f11c27-65de-4dbd-8a60-191796d0d62b, 55, 7348, No update data, 9g3qx34bck8k
Bird, MEX, 6f3236d1-f951-4943-9382-cabff4112af0, 88, 12166, No update data, 9g3qx2h2np3p
Bird, MEX, 7dc39c91-c82a-44fd-b235-ee0218fa2317, 29, 3006, No update data, 9g3qx3j7n8pd
Bird, MEX, afe47853-0451-4d2b-8131-88f44e24c7a3, 63, 8684, No update data, 9g3qx348yhxk
Bird, MEX, 59dd7904-d00e-495a-a771-b06943de4065, 94, 13861, No update data, 9g3qx349r6r4
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 79, 10744, No update data, 9g3qx34cfq1y
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 94, 13861, No update data, 9g3qx349x6xn
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 84, 11534, No update data, 9g3qx349mfh0
Bird, MEX, 41f2431a-3e23-4ca9-9d67-6e42559b78bc, 61, 8350, No update data, 9g3qx35tjr4z
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 72, 9638, No update data, 9g3qx251b1jw
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 63, 8684, No update data, 9g3qx2wy7pbk
Bird, MEX, 38a3d427-41a4-4d20-bd07-9779bf566a83, 87, 12008, No update data, 9g3qx2fr3c2k
Bird, MEX, c2e69d59-107f-4faf-b177-da9a0ff6b555, 81, 11690, No update data, 9g3qx2fr6pee
Bird, MEX, 2834a400-5b1e-4abd-ba53-0b8718b8a2d9, 88, 12166, No update data, 9g3qx2fr3m07
Bird, MEX, 63b9a7b7-41aa-4379-b35d-d4a49adecd85, 73, 10354, No update data, 9g3qx3hns4en
Bird, MEX, 6b706d64-0df8-4829-b7f2-19558573cfcd, 67, 9352, No update data, 9g3qx35hfg57
Bird, MEX, dce30b71-4edc-4de7-a9e6-549625b198d4, 33, 3674, No update data, 9g3qx29s2y7g
Bird, MEX, c11ade85-8e1b-467c-80cc-c559b01f7118, 20, 1503, No update data, 9g3qx2xj1d5x
Bird, MEX, 37d836aa-f449-4252-a701-725849789c72, 51, 6680, No update data, 9g3qx2ysxdh6
Bird, MEX, 6a032e68-b1df-4b41-82cd-feb43aa81e9d, 64, 8374, No update data, 9g3qx2nxwzvz
Bird, MEX, e47757a0-3f03-47ca-8cbc-a3970155b954, 39, 4676, No update data, 9g3qx2nxxqrm
Bird, MEX, 68405086-dcb8-467e-93c0-02f5b30cb889, 66, 8690, No update data, 9g3qx2nzb1t8
Bird, MEX, 9d630ba8-dddb-49a5-959f-460948f5c59d, 33, 3674, No update data, 9g3qx2nz8ykj
Bird, MEX, f24df0e6-f155-4c23-a342-7d136a7ffede, 65, 8532, No update data, 9g3qx2yv8hvs
Bird, MEX, a3d23b7e-90ea-4377-8b6f-e946a9d30d42, 71, 10020, No update data, 9g3qx2yv32mq
Bird, MEX, d2c0650a-83c1-4f71-9d2c-923176153731, 37, 4342, No update data, 9g3qx34vvkxv
Bird, MEX, 911e1f28-0317-4209-a629-28de638e2000, 53, 6636, No update data, 9g3qx239e0nq
Bird, MEX, 6f961793-dfa1-41bb-9acf-4c85c6874784, 94, 13114, No update data, 9g3qx239bp2t
Bird, MEX, 891fc6a9-d894-4669-a06a-d0e2a7c8db33, 87, 12008, No update data, 9g3qx2r4u0gh
Bird, MEX, b8a406d0-21a3-47d2-8c38-904871c4fe0b, 85, 11692, No update data, 9g3qrrvmx635
Bird, MEX, ffbe2be1-7255-4f38-8ca2-65a956a245e9, 52, 6478, No update data, 9g3qx233zkp0
Bird, MEX, a630707b-eb33-4689-a62e-159595cb299d, 53, 7014, No update data, 9g3qx233xkx1
Bird, MEX, cbe17d51-31ab-4aa5-bba7-35074971a457, 81, 11690, No update data, 9g3qx236n849
Bird, MEX, 7fa226d7-bd68-493d-b1f7-c7058b5b7b97, 63, 8684, No update data, 9g3qx236nnch
Bird, MEX, acb72495-837a-4590-93c2-3be5d54a5dda, 88, 12859, No update data, 9g3qx233qgve
Bird, MEX, 1437ffdf-27d5-4bbc-9b19-d9db89d21270, 96, 13430, No update data, 9g3qx2z4mygp
Bird, MEX, 1b150f3c-a6f3-4f89-998e-4636d7814d3e, 85, 12358, No update data, 9g3qx23m8pj3
Bird, MEX, 9c49f51f-daaf-49ba-89db-bc6e4a0f8077, 48, 5846, No update data, 9g3qx29jm6xe
Bird, MEX, 69ba4f0f-2047-4769-ba41-bdb24a8ddce8, 92, 13527, No update data, 9g3qx3m1kek8
Bird, MEX, ee015284-7f04-441f-9cab-83f6f1b20782, 61, 7900, No update data, 9g3qx2r1wsd9
Bird, MEX, 1bd33212-824d-4683-97ca-9f9efbc02fdf, 48, 5846, No update data, 9g3qx2r600j9
Bird, MEX, a428309e-32dd-4b83-8d2e-1898ddc18a04, 91, 13360, No update data, 9g3qx3m1tykq
Bird, MEX, 2ecd13ae-57a3-4c6a-9f9c-926263a4652d, 75, 10112, No update data, 9g3qx3new13r
Bird, MEX, 9af2155c-55f9-44a2-8155-4f195560a4d6, 84, 11534, No update data, 9g3qx3nfbuk5
Bird, MEX, 0b5e2905-ce2c-46d1-8010-5b5f23f7e487, 87, 12692, No update data, 9g3qx2902hb9
Bird, MEX, ad296b06-3371-48ac-a6ce-f772c7fbf666, 43, 5344, No update data, 9g3qx21r0p88
Bird, MEX, f01b6072-8cec-4a8f-a633-844c23e827c2, 81, 11690, No update data, 9g3qx2z7rnup
Bird, MEX, f0508f32-3439-45d8-9ad6-c136bca1de5e, 92, 12798, No update data, 9g3qx21q2n8s
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 100, 14062, No update data, 9g3qx3m7hm25
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 100, 14062, No update data, 9g3qx3m7hu9x
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 100, 14062, No update data, 9g3qx3m7hrw3
Bird, MEX, 03e18611-207f-4ffe-813a-dbe461066000, 30, 3173, No update data, 9g3qx218zn7z
Bird, MEX, 0f1178ca-63e7-4f0f-92e6-c99a4faec8e2, 80, 10902, No update data, 9g3qx3mdg77t
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 93, 13694, No update data, 9g3qx3m7qdds
Bird, MEX, 729d35bf-6723-4162-b83b-f33d3de30b12, 61, 8350, No update data, 9g3qx2z8n8pd
Bird, MEX, c978653b-9807-40e9-a1c0-a8ec612e570f, 75, 10688, No update data, 9g3qx21pk1gp
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 53, 6636, No update data, 9g3qx3meh70n
Bird, MEX, c42b12d0-d825-46fb-b7b8-5e7e3e40b045, 94, 13114, No update data, 9g3qx21p4stn
Bird, MEX, 85218d49-6f05-4e7b-a307-cf9d7ceed076, 47, 5688, No update data, 9g3qx31ywj1n
Bird, MEX, bf5ec4c8-da3a-4910-9bbb-1331c00cab73, 85, 12358, No update data, 9g3qx21hz3x0
Bird, MEX, 4e1e5499-0d88-4599-b5c0-0bfd898545a6, 97, 13588, No update data, 9g3qx21n71wm
Bird, MEX, 234939d4-0e76-49a8-9988-f35b2126ef93, 89, 13026, No update data, 9g3qx3nx5zsc
Bird, MEX, 9dd2950e-bd9c-442e-b074-2eb8848634e0, 75, 10688, No update data, 9g3qx3ms1b8w
Bird, MEX, fb52da94-f44b-458a-8632-187ccdb61cfa, 88, 12859, No update data, 9g3qx2zsuvxf
Bird, MEX, 0cf2fd66-b439-4624-9d9c-aa8d0078e893, 30, 3173, No update data, 9g3qrrtpe4qe
Bird, MEX, 93ccd576-eaae-4e55-9daa-d3652f5db242, 29, 3006, No update data, 9g3qrrf6ge1d
Bird, MEX, 8f131170-e4a6-4a11-804c-9c5ceefad428, 60, 7742, No update data, 9g3qrrv8xpun
Bird, MEX, a02efcf0-fc53-4f4d-8aa5-5c1ee4ec80cc, 92, 13527, No update data, 9g3qx215shg5
Bird, MEX, e8dc60fe-4f60-4ecf-a47d-aa6a5e96bf58, 42, 5177, No update data, 9g3qrrv8x3rm
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 93, 13694, No update data, 9g3qx215793e
Bird, MEX, fe09ac05-2109-4323-b449-721e5388cef0, 84, 11534, No update data, 9g3qx214ukn0
Bird, MEX, 50b8ba47-732f-4d7a-bf7c-369e636aa2e0, 49, 6004, No update data, 9g3qx22dhfc7
Bird, MEX, b0d54c9f-a0e5-4398-a900-7abbd4021438, 51, 6680, No update data, 9g3qx2zy1v2e
Bird, MEX, 50709b8a-8d1c-4f94-be44-47190d5b10c0, 79, 11356, No update data, 9g3qx2zunh9r
Bird, MEX, 5e7d130a-4151-46d4-8783-0fb31f901903, 80, 10902, No update data, 9g3qx364e524
Bird, MEX, 88e977d2-d2c5-4e77-a02a-483bbde956ce, 72, 9638, No update data, 9g3qx2zyh45p
