Bird, MEX, f8c45f13-ad29-48e3-8899-c51f87e979d3, 52, 4838, No update data, 9g3qx25v6ngw
Bird, MEX, be104209-46e2-4927-9e95-4236b31ed02d, 56, 7515, No update data, 9g3qx2hj0jj8
Bird, MEX, 47bad6b7-df98-4bdb-bade-758faee0d967, 17, 1002, No update data, 9g3qx26w9se9
Bird, MEX, 383eafc0-069b-4f7d-a51c-cd0063067214, 94, 13861, No update data, 9g3qx26t5p82
Bird, MEX, 2b9fe56c-d1f7-4b52-82ae-0ca8e521e817, 58, 7849, No update data, 9g3qx2hh7t1d
Bird, MEX, 630320b3-4db3-4e2e-8162-a758ec053c9c, 97, 13588, No update data, 9g3qx26t2yeu
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 69, 9686, No update data, 9g3qx2h59kb7
Bird, MEX, 7fd024c6-7511-43e8-b890-0ceae6c363fb, 98, 14529, No update data, 9g3qx2h5858e
Bird, MEX, 18b1e6f9-e9dc-4269-b766-1f409d65c4ee, 70, 9853, No update data, 9g3qx25gg3e2
Bird, MEX, e425a1ec-e115-4d71-a133-60ad52af7e74, 37, 4342, No update data, 9g3qx25gsc3q
Bird, MEX, 1870b9ff-0d74-47be-bf9c-edd054a07089, 80, 8142, No update data, 9g3qx2y0t0hw
Bird, MEX, 10f30ae3-ee9e-421d-bce2-ca702bc4dff7, 99, 14696, No update data, 9g3qx2h53207
Bird, MEX, 19bfde22-cb56-48fe-9b3e-ed5f1e3fce70, 42, 5177, No update data, 9g3qx25jqtxw
Bird, MEX, 8be5fd41-5102-44cf-8112-b2105dd2c2a5, 98, 14529, No update data, 9g3qx25g7tpf
Bird, MEX, 211b1584-a5cb-439d-b24c-77633ec22ad0, 99, 14696, No update data, 9g3qx25g3dee
Bird, MEX, 1e8912d3-a4bd-49f8-98db-72459de02892, 96, 14195, No update data, 9g3qx25gp2zp
Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 79, 10744, No update data, 9g3qx25kbm5z
Bird, MEX, 33337cc0-eb2f-489c-9de0-cab5d5f7160a, 69, 9164, No update data, 9g3qx269bt28
Bird, MEX, 3be3e45c-d897-4d73-a4a4-b0ebf6ead681, 98, 14529, No update data, 9g3qx2wr3w7e
Bird, MEX, 6b9dedd2-df91-4d53-beca-79a341cdc811, 49, 6004, No update data, 9g3qx257t2zf
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 82, 11218, No update data, 9g3qx2dptkdf
Bird, MEX, 4755ed57-47d7-4697-ae2f-20de133c09a6, 79, 11356, No update data, 9g3qx2d132v2
Bird, MEX, b6c16e86-fc7a-4da1-bbe8-cebb9b5fd031, 90, 13193, No update data, 9g3qx26hv3ff
Bird, MEX, 36492f57-4509-4243-9869-ffa9bc263ba8, 74, 9954, No update data, 9g3qx24wncvv
Bird, MEX, c9813102-9ee2-43c1-9d27-c74163baa51a, 89, 13026, No update data, 9g3qx26hggsy
Bird, MEX, 7df1d82c-a271-4915-873c-73e0b45282cf, 46, 5530, No update data, 9g3qx24rz55f
Bird, MEX, a1d171b9-52ca-4dd1-8c57-0d795c3fbae6, 87, 12008, No update data, 9g3qx2jvt66g
Bird, MEX, 690e6aea-1bd3-48bf-af61-a1c18606a1d6, 98, 13746, No update data, 9g3qx2ym10zp
Bird, MEX, 10f11c27-65de-4dbd-8a60-191796d0d62b, 56, 7515, No update data, 9g3qx34c16jr
Bird, MEX, a87c2eb5-b188-484d-b52c-080a9801ef36, 93, 13694, No update data, 9g3qx2ym1b8w
Bird, MEX, 41be6249-b83c-4b11-9f93-28c1072a63b8, 54, 7181, No update data, 9g3qx3jc31dn
Bird, MEX, afe47853-0451-4d2b-8131-88f44e24c7a3, 64, 8851, No update data, 9g3qx34c20v8
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 79, 10744, No update data, 9g3qx34fh054
Bird, MEX, 59dd7904-d00e-495a-a771-b06943de4065, 96, 14195, No update data, 9g3qx34c9726
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 96, 14195, No update data, 9g3qx34c8f7u
Bird, MEX, e4a481b4-f2bd-4f91-b04a-03c09aeac3aa, 61, 8350, No update data, 9g3qx2nhbe0f
Bird, MEX, 3b19a885-f72b-431e-b13b-4f7ba505fa9a, 73, 9796, No update data, 9g3qx254212e
Bird, MEX, 9addfaad-3210-42cc-95ef-73fdc32e64fa, 84, 11534, No update data, 9g3qx34c80ve
