Bird, MEX, df8adb99-4069-45a0-a668-d5c9b92abc45, 60, 7742, No update data, 9g3qrr2dd73b
Bird, MEX, b6fdf372-2982-43a3-9676-2936d73ff2e8, 70, 9853, No update data, 9g3qrr29swsq
Bird, MEX, 4de85dfb-182d-4819-9fdb-154e40aa57c0, 80, 11523, No update data, 9g3qrr29s1xz
Bird, MEX, ce469a65-c363-4f36-b8c8-c1b3da8989f1, 75, 10112, No update data, 9g3qrr29e3sx
Bird, MEX, ec55d6b9-eb8a-40dc-920e-2f43dea84471, 67, 9352, No update data, 9g3qrr29kh4u
Bird, MEX, da336173-5b5c-4802-9c4c-708bc7b31b63, 43, 5344, No update data, 9g3qx8dz7fm4
Bird, MEX, 989bba3d-f02c-48a9-a902-fed33b148dc6, 70, 9853, No update data, 9g3qrx2znt6c
Bird, MEX, edbc9687-91a7-42a7-abed-9a842ba6d017, 70, 9853, No update data, 9g3qrr513y29
Bird, MEX, bd2045e1-13de-433d-b054-f938dc8862c2, 91, 13360, No update data, 9g3qrrhbxwsn
Bird, MEX, a37e117a-da98-4aed-9ac8-d2827a1cea13, 26, 2505, No update data, 9g3qx6jew1zd
Bird, MEX, 6b596891-1af6-4485-bded-58853ea50efc, 65, 9018, No update data, 9g3qrr1gs7q0
Bird, MEX, 2106761c-f1c3-4519-b70d-48a49d369f57, 61, 7900, No update data, 9g3qrrh8nx6w
Bird, MEX, 92be7c39-9069-42a1-a7c2-964caeb7db61, 84, 11534, No update data, 9g3qrrj07vuz
Bird, MEX, b8708f39-9232-4f41-841c-e20c28043931, 56, 7110, No update data, 9g3qrrjcwcmv
Bird, MEX, d9a95fe6-6eb9-4316-a432-c203d47c504f, 73, 9796, No update data, 9g3qrr0yuf9r
Bird, MEX, 3b1e5f34-ca8e-4444-965a-c1f9cfdae688, 33, 3674, No update data, 9g3qx8e49mjt
Bird, MEX, 8c38d0da-b1e3-44c4-a44c-17c512771a86, 38, 4509, No update data, 9g3qx8e4c3jx
Bird, MEX, af55b129-f7ec-4ddd-b33b-2ffc963a21dc, 46, 5845, No update data, 9g3qx8e432js
Bird, MEX, 72b09e4b-256e-4b2b-af91-6c71d973b15d, 54, 7181, No update data, 9g3qx65t1zwd
Bird, MEX, b98b59f6-50c4-46b3-81ad-6641d1d69687, 25, 2212, No update data, 9g3qx6n6zbp2
Bird, MEX, 096e35db-d5af-4434-a761-255b80760745, 76, 10270, No update data, 9g3qx8e4g8qc
Bird, MEX, 292f55d5-7f97-4a17-b0e1-7d24712862d8, 27, 2672, No update data, 9g3qrr48e1qk
Bird, MEX, 23cfb211-4cda-4129-883d-5ee53286b5dd, 38, 4509, No update data, 9g3qrr483g82
Bird, MEX, 34dc427f-2724-46fd-9bfe-464b0b0035ee, 63, 8684, No update data, 9g3qrqgp2dwf
Bird, MEX, 0841b713-879f-4714-9595-70d621b17a78, 80, 10902, No update data, 9g3qrxfz5r7x
Bird, MEX, b312ca7d-790a-4620-b1c7-9bd615a1f002, 45, 5678, No update data, 9g3qrqyn3164
Bird, MEX, cfc2535a-a052-4b56-b42e-b5f6e09343ff, 55, 6952, No update data, 9g3qx1z1xmbf
Bird, MEX, ec996dc3-d0e6-4d5c-9403-2f1c2541d8fa, 84, 11534, No update data, 9g3qrqymbe2g
Bird, MEX, ce2c3e1d-3009-4582-bd31-159089e0c016, 71, 9480, No update data, 9g3qx952femm
Bird, MEX, 1392878c-59c2-4b8f-9bb4-0029518955e4, 43, 5056, No update data, 9g3qrpqvdq1f
Bird, MEX, 02fae95f-208e-43ae-9d23-174e7757f850, 69, 9164, No update data, 9g3qx952ubq9
Bird, MEX, e130482b-8e62-4227-94b4-3e6b6e40a190, 74, 10521, No update data, 9g3qrqu3uqqq
Bird, MEX, 55d4e2c9-0e96-43fc-bb09-a4504e3f052d, 47, 6012, No update data, 9g3qx8gx5utp
Bird, MEX, efcabba6-308a-4a92-abd6-87b31b28caa7, 74, 9954, No update data, 9g3qx9ckj98h
Bird, MEX, 15d9defc-ca6e-4a25-9e86-ec875b177ae2, 70, 9322, No update data, 9g3qx8gezq1n
Bird, MEX, babf7dc6-b390-4ba7-a0dd-027dbc37a9f1, 39, 4676, No update data, 9g3qrpptsjfb
Bird, MEX, 4d5bcbbb-34c6-4efd-8f41-60208765087f, 92, 12798, No update data, 9g3qrppt5024
Bird, MEX, c39d1d2f-3913-4d4b-a404-0fd4f489edb6, 72, 9638, No update data, 9g3qx9cmqdpc
Bird, MEX, 0549a80b-5131-43c4-8360-32671ba0827c, 43, 5056, No update data, 9g3qrx09bmeb
Bird, MEX, 4790ff36-683b-42dc-b656-d27723b1e2ba, 46, 5845, No update data, 9g3qrx09epyt
Bird, MEX, 7141a055-57ad-4bbb-ad4f-d5be88d0f05e, 51, 6680, No update data, 9g3qrx0fzrrk
Bird, MEX, 44505af1-afd9-4143-afc8-82a70b372abe, 37, 4342, No update data, 9g3qrx3crgx8
Bird, MEX, 08cbcc8f-68b3-49ce-88bf-2d83e24323d5, 80, 10902, No update data, 9g3qrx0cv1kz
Bird, MEX, f3ba60a3-fed9-421d-adc6-355fccbb1864, 64, 8851, No update data, 9g3qrx61gcv1
Bird, MEX, cc3b93c3-62d1-469f-9267-6486f22ad451, 66, 9185, No update data, 9g3qrqzsj5kv
Bird, MEX, eb3e087f-102c-4277-852d-98086351f6bb, 63, 8684, No update data, 9g3qrx64rczw
Bird, MEX, 7a244aa2-c9d2-4e3d-9807-2434242c2bb6, 94, 13114, No update data, 9g3qrppb1gne
Bird, MEX, b7e61a47-c970-4cb2-8fea-fd7e0e5b1da3, 91, 12640, No update data, 9g3qrxgyz5en
Bird, MEX, 009c0845-805a-4306-9634-9eabb53185d8, 64, 8851, No update data, 9g3qrxgyzeh6
Bird, MEX, f183556e-9102-42ad-9009-b8db86a48241, 65, 9018, No update data, 9g3qrpp8hqy4
Bird, MEX, 95f8f17b-2129-47a9-ba83-ba9bacf3c7af, 63, 8684, No update data, 9g3qrxun8d35
Bird, MEX, ed546bbb-0124-49ab-8806-92628e544978, 82, 11218, No update data, 9g3qrxun8d35
Bird, MEX, 5f2ef285-08bb-46d1-a2b1-ca0a4b7133f6, 74, 10521, No update data, 9g3qrwbtc4p7
Bird, MEX, 8a9ca3a2-4b73-491f-a635-c4acc14351d9, 53, 7014, No update data, 9g3qrxun95d7
Bird, MEX, ec38ad86-709b-45de-a992-f777a12b9c87, 90, 12482, No update data, 9g3qrnzxu0xc
Bird, MEX, dbab25a0-13ed-4eda-a044-bd5b6a177dc4, 75, 10112, No update data, 9g3qrxun96j9
Bird, MEX, 18b16be7-99bd-46bb-bef2-1c04d3058e58, 53, 7014, No update data, 9g3qrpnu1tgm
Bird, MEX, 283fe95a-73cf-4659-953d-5984cf9aca7b, 33, 3674, No update data, 9g3qx9dzpc6d
Bird, MEX, 0379019e-1b54-402e-a1d9-46bf10f83c73, 88, 12166, No update data, 9g3qrqekmww5
Bird, MEX, c4d52255-5888-4130-8800-af4bab2e30fa, 70, 9853, No update data, 9g3qrqs7yjc4
Bird, MEX, 78909455-8ad4-4662-8d3e-469f7508bb49, 51, 6320, No update data, 9g3qrqek0z5u
Bird, MEX, 120149a3-5c1d-4722-b51b-968dc9a77e34, 21, 1580, No update data, 9g3qx0upb183
Bird, MEX, ff104568-8dca-45e2-9d75-283e71d7bfd0, 90, 12482, No update data, 9g3qrqxx1e5e
Bird, MEX, 377122ad-7d4c-4f80-912c-6825438ae2f5, 69, 9686, No update data, 9g3qx9k3ch43
Bird, MEX, 2dbf15c1-b790-4df8-8fe2-e0717cda8d6c, 30, 3173, No update data, 9g3qrpmd9m2n
Bird, MEX, 5f2221a6-ce04-4340-99da-40e618bce8eb, 73, 9796, No update data, 9g3qx8su58qg
Bird, MEX, 791ef0fd-daec-4e8b-b53d-b9a4a71cac69, 63, 8684, No update data, 9g3qx8sfup7m
Bird, MEX, cc1ddd04-6a37-4362-b843-d1d562aae074, 90, 12482, No update data, 9g3qrwcqt27p
Bird, MEX, 4b045bd0-c01c-40ac-b6b9-9a61ef6d3767, 87, 12692, No update data, 9g3qx8sguyw8
Bird, MEX, 04a1215e-fe5b-46fb-a96a-fa20687dbdd3, 90, 12482, No update data, 9g3qx8sfm1uz
Bird, MEX, 148956ad-d72b-428d-865c-88fb06ab427a, 19, 1264, No update data, 9g3qx8scven6
Bird, MEX, f04494f4-59db-4f99-9e45-ac26c79a9a45, 89, 13026, No update data, 9g3qx8sgvwy6
Bird, MEX, 074fc776-c4ca-427e-85b4-0d7770c5efe1, 75, 10688, No update data, 9g3qx0g8hbr7
Bird, MEX, 91d63f85-ed48-4b2d-9ea2-fd2fc02c9978, 75, 10688, No update data, 9g3qrwb0nmk8
Bird, MEX, eb7ec5bc-ae5c-44a2-8886-75430d8db0fa, 82, 11218, No update data, 9g3qx0exsxh1
Bird, MEX, 9637517c-22fa-4846-ac07-402269dd2a46, 39, 4676, No update data, 9g3qrnzdv4he
Bird, MEX, 7aca0c27-3de0-4a50-9f90-52d136689bac, 52, 6478, No update data, 9g3qrqtc2mgz
Bird, MEX, bafd3dc0-89a9-43ad-8a99-86734e5d9efa, 72, 10187, No update data, 9g3qrxshmjhf
Bird, MEX, b798e231-b948-45ea-a2b8-dac1a4f1379a, 75, 10112, No update data, 9g3qrwbbgj82
Bird, MEX, f06ac137-e533-41fb-9781-7f3450f64699, 72, 10187, No update data, 9g3qx9k8rm3q
Bird, MEX, 947fead1-a903-4914-ae86-983e82c5f98d, 37, 4342, No update data, 9g3qrqd8k7qp
Bird, MEX, fd3ab9b3-4b38-410f-b516-535b73eeb9d6, 65, 9018, No update data, 9g3qrwc4rm11
Bird, MEX, 4c820451-bea0-4c9f-9460-7247cf804e36, 75, 10688, No update data, 9g3qx9k8yvyh
Bird, MEX, 3f91e9c9-e6a7-4684-9ec3-d6e6cf4517f5, 69, 9164, No update data, 9g3qx9k8z6pm
