Bird, MEX, 2c8da7b1-e9fc-49e5-84ed-878b54d39926, 39, 4676, No update data, 9g3qx2h34jes
Bird, MEX, 19ff8a79-71c2-42f0-b7e1-dbef44dd3e71, 94, 13114, No update data, 9g3qx26h7tpg
Bird, MEX, b23476fa-2d71-436d-a7ea-6bc82f4568fe, 85, 12358, No update data, 9g3qx26j4dv5
Bird, MEX, ea3548e2-6864-4b09-b247-4b1d19a1890f, 92, 12798, No update data, 9g3qx26j1g2r
Bird, MEX, 6975c6a0-e645-465d-9c22-801ee5609105, 45, 5678, No update data, 9g3qx29yrskp
Bird, MEX, 97682b81-f17e-46d6-bb2e-7470f5016adc, 52, 6847, No update data, 9g3qx2fmhkqj
Bird, MEX, 845653c5-be67-45ca-a0dd-0be4b813d13c, 93, 12956, No update data, 9g3qx26h671z
Bird, MEX, 4bdc5d61-9a77-4d6c-aa85-3e94835a2532, 93, 12956, No update data, 9g3qx26579zz
Bird, MEX, 7d6461b5-e421-49f0-9041-58c788bdce0e, 76, 10855, No update data, 9g3qx2jvqwfw
Bird, MEX, e0b6da46-2de2-4bf8-9998-95e039e41b4b, 56, 7515, No update data, 9g3qx29g1de3
Bird, MEX, da4402f6-e006-4b8e-9ab9-fbf01a44861a, 58, 7849, No update data, 9g3qx2wc1j42
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 74, 10521, No update data, 9g3qx349rqxj
Bird, MEX, c3d658c3-5036-499f-980c-ecb309b88fa1, 97, 14362, No update data, 9g3qx349xhef
Bird, MEX, 8b17da09-f6f4-48b1-abd8-9add970e3ae5, 38, 4509, No update data, 9g3qx2njy2uk
Bird, MEX, 3c5bd5b5-0e3b-42f1-9745-8bc2379f37ee, 93, 13694, No update data, 9g3qx349ysp9
Bird, MEX, 42454257-9992-4862-9f2b-5798db36de52, 53, 7014, No update data, 9g3qx23ftmfc
Bird, MEX, c849098b-7d93-49db-bcf4-1c330443d907, 96, 14195, No update data, 9g3qx2fre42h
Bird, MEX, 6509c40a-9658-4cc6-9fa5-eb257e05022e, 72, 10187, No update data, 9g3qx24cx38z
Bird, MEX, eb280665-4324-4e84-970b-48dde451e2c1, 94, 13114, No update data, 9g3qx2fr9d7s
Bird, MEX, 4fce7ccd-bff9-4a2f-9b3f-5c9dddb95b29, 98, 14529, No update data, 9g3qx2fr9km2
Bird, MEX, 1c0f74e3-1e8b-40be-a0cc-935d7dc71590, 92, 12798, No update data, 9g3qx2fr9k22
Bird, MEX, 63b9a7b7-41aa-4379-b35d-d4a49adecd85, 55, 7348, No update data, 9g3qx3hnenns
Bird, MEX, 2919db8d-95e4-485e-8699-00f0c531c4bb, 83, 11376, No update data, 9g3qx2fn6bg2
Bird, MEX, b68c49e2-d7ac-40e9-b14c-8940bac67b0a, 66, 8690, No update data, 9g3qx2yceguy
Bird, MEX, 9c6e0dcd-2637-4951-b10a-cb9dc81e2edb, 89, 12324, No update data, 9g3qx2xhfhgy
Bird, MEX, 1a02376f-b78a-4949-b64e-0b19f128330c, 76, 10855, No update data, 9g3qx341h6np
Bird, MEX, 48736041-93ef-4e65-a201-edb3fef457d9, 54, 7181, No update data, 9g3qx341hycm
Bird, MEX, e2970864-d8f9-42a7-b6ad-f0859090cb97, 84, 12191, No update data, 9g3qx2z48szh
Bird, MEX, 29e0efac-346a-4e6e-9d39-e8c3011046d4, 76, 10855, No update data, 9g3qx2qcqujv
Bird, MEX, 33d7a366-1b7b-49e5-802a-3c512a04e1d8, 49, 6004, No update data, 9g3qx239ddvp
Bird, MEX, c92b3be1-f4b7-446a-bfe6-bb8a35e5709c, 39, 4676, No update data, 9g3qx2z49rm7
Bird, MEX, c77cf383-a3d5-4b83-aa43-8e52f26d1867, 94, 13114, No update data, 9g3qx2z4cqt2
Bird, MEX, 56fcba69-fb23-4bdd-b0de-816a18e7e8de, 92, 13527, No update data, 9g3qrrvw1x7x
Bird, MEX, 9c1ba986-5d34-44af-ba8c-3b0b08d8f668, 93, 12956, No update data, 9g3qrrvw1wge
