Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 76, 10270, No update data, 9g3qx341nqum
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 48, 6179, No update data, 9g3qx341jrpy
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 25, 2338, No update data, 9g3qx21wzkzn
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 61, 7900, No update data, 9g3qx34zjdq0
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 49, 6346, No update data, 9g3qx2c6skw4
Bird, MEX, 0d2663c7-49cf-4138-9feb-5ed7b6143c8f, 80, 11523, No update data, 9g3qx3kd4ev1
Bird, MEX, dd2cca58-1aaf-480b-8093-25d10717e193, 98, 14529, No update data, 9g3qx232t34u
Bird, MEX, d2abcbca-180a-4711-b3eb-a88b7adba4c2, 99, 14696, No update data, 9g3qx232fe2h
Bird, MEX, bcd6df1f-86f5-4284-91d2-18397d23241e, 100, 14863, No update data, 9g3qx21rgfub
Bird, MEX, 68e5b7a9-f469-4320-bdfb-65ea9bb22f10, 100, 14062, No update data, 9g3qx2329vqx
Bird, MEX, 43044bfc-ceb6-4ce0-8b0f-bfa82a1e9f23, 100, 14062, No update data, 9g3qx2332k5t
Bird, MEX, 9576e053-4a88-4170-9005-5cc00cd21a4d, 73, 10354, No update data, 9g3qx2r37679
Bird, MEX, 84c58f67-767b-43d3-a648-1760f654ddf2, 31, 3340, No update data, 9g3qx3ner3rk
Bird, MEX, bf1eae5e-8e66-4d41-9c03-1242af520dce, 29, 3006, No update data, 9g3qx2r35x9b
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 89, 12324, No update data, 9g3qx230x3bb
Bird, MEX, 455f13cb-32a0-488b-8402-4c4e10e91ae8, 100, 14062, No update data, 9g3qx230yw4t
Bird, MEX, 2c03e0f5-34c4-4f22-8832-8a7d0c880d38, 100, 14863, No update data, 9g3qx230ytfe
Bird, MEX, bbf0f4f3-34f4-44d6-8cdc-a2caa828a858, 85, 12358, No update data, 9g3qx231mbsp
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 89, 12324, No update data, 9g3qx28cy5p6
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 90, 12482, No update data, 9g3qx231sy5e
Bird, MEX, 09458811-7896-40fa-9ac1-6186f561896c, 89, 12324, No update data, 9g3qx3k7y9ze
Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 89, 12324, No update data, 9g3qx28cuc1r
Bird, MEX, 2dc04c41-4482-4115-b69c-f24930a7fb8a, 100, 14062, No update data, 9g3qx28fkj6v
Bird, MEX, f841c4bc-90d1-49de-a599-1daa3eca04b1, 100, 14062, No update data, 9g3qx28f5ezc
Bird, MEX, 209e70ba-2b34-4bb2-9ccf-d36ed06c6331, 100, 14863, No update data, 9g3qx2315nbh
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 100, 14062, No update data, 9g3qx28cge1d
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 89, 12324, No update data, 9g3qx28cg021
Bird, MEX, 504c9d6e-889a-4412-8654-a3f68a7cadc4, 100, 14062, No update data, 9g3qx28f4djp
Bird, MEX, bcdaca3f-ff56-4f84-b21a-033f72230a6b, 100, 14062, No update data, 9g3qx28f3vne
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 100, 14062, No update data, 9g3qx28f3gnx
Bird, MEX, 8d8428e9-90d6-42cd-b265-826edfd1a094, 100, 14863, No update data, 9g3qx2zt91f2
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 78, 10586, No update data, 9g3qx230200e
Bird, MEX, 270c39fb-f9e7-4950-bdce-db9a6067f1c9, 100, 14863, No update data, 9g3qx2zt6v57
Bird, MEX, e02162db-4e96-43c8-a9f2-46624143c2b4, 100, 14863, No update data, 9g3qx2zt5bsy
Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 100, 14863, No update data, 9g3qx21htbs0
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 100, 14062, No update data, 9g3qx21hn86e
Bird, MEX, 4b3bbe0b-bb51-44d1-9ad7-557e2634e218, 100, 14863, No update data, 9g3qx2zthzzf
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 61, 8350, No update data, 9g3qx2bf93v0
Bird, MEX, 277c32ea-cf96-4c35-a814-7cbd4dbc0c25, 100, 14062, No update data, 9g3qx215vrrt
Bird, MEX, 773750c9-b48c-452c-91bd-62657dad9452, 100, 14062, No update data, 9g3qx21hhv12
Bird, MEX, 0a798980-a0ca-4c04-8533-da3a1dcbc92e, 100, 14863, No update data, 9g3qx2ztmsqp
Bird, MEX, 4bdf4808-a01f-4f4f-b4fd-d8f5e192cad1, 100, 14062, No update data, 9g3qx215ugrs
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 100, 14062, No update data, 9g3qx215uqy1
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 100, 14062, No update data, 9g3qx215kmn4
Bird, MEX, 7aadc36b-4d78-44ff-ab7a-003ab654269d, 74, 9954, No update data, 9g3qx2psec0h
Bird, MEX, a6ab387c-c178-4787-8034-3a4f7692d504, 100, 14062, No update data, 9g3qx2zyx1u0
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 100, 14062, No update data, 9g3qx8bn25m8
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 100, 10502, No update data, 9g3qx8bn23ey
Bird, MEX, fda6d7e1-606d-461c-abf9-dd9253eea5a9, 63, 8684, No update data, 9g3qx2zzwvjy
Bird, MEX, 594557b2-0a49-4271-b3ef-77ec6e7b8935, 64, 8374, No update data, 9g3qx8bn62rn
Bird, MEX, 788616d6-9208-418d-8388-f1084bc84ee7, 100, 14863, No update data, 9g3qx8bne7es
Bird, MEX, 46abce90-bd75-4b92-b165-d46e06a59f39, 72, 9638, No update data, 9g3qx8bjuc99
Bird, MEX, 79d291b2-69b0-43ec-9896-0d8abf12e3d6, 100, 14863, No update data, 9g3qx3pcugxz
Bird, MEX, 1ed11453-2cc0-42fc-bf83-b1634471d7a3, 46, 5530, No update data, 9g3qrrzx6ze6
Bird, MEX, 94235d68-ce38-4f45-b8d8-544f4a1285f3, 100, 14863, No update data, 9g3qx3pg550m
Bird, MEX, e4802f05-e9d6-45cb-a64b-b9877c85a0a6, 100, 14863, No update data, 9g3qx3pfm2fb
Bird, MEX, 6ea3f822-f297-4b9f-88f6-b29e1ebd742f, 100, 14863, No update data, 9g3qx8bnt3ry
Bird, MEX, bcd776c2-5216-4152-9cc8-6ad858a8a132, 100, 14863, No update data, 9g3qx3pfmmrv
Bird, MEX, 5df399cc-f0db-4352-af98-42b0243cb1de, 100, 14863, No update data, 9g3qx8bnt8np
Bird, MEX, 091c405f-6820-4137-9342-f00e6c13d4e2, 100, 14863, No update data, 9g3qx8bntbg5
Bird, MEX, def394a3-a092-443a-b6ba-c5621fa758de, 100, 14863, No update data, 9g3qx3pfv0uv
Bird, MEX, d00c8363-1378-4f6d-a999-7e929c94c014, 21, 1580, No update data, 9g3qx900kv3t
Bird, MEX, d7ccf8c6-0a0e-4aba-bbf0-717c1cf8f6b7, 76, 10855, No update data, 9g3qx303nd4x
Bird, MEX, d98c91fb-00aa-404b-82d7-c7ec1c1d5864, 51, 6320, No update data, 9g3qrrz76xt4
