Bird, MEX, 188ebf3c-c5fa-4b9e-b7b8-76ae35643940, 49, 6346, No update data, 9g3qx2y2wxp9
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 94, 13114, No update data, 9g3qx262hrw0
Bird, MEX, 84e563f6-c259-4665-be50-8ff8d96531ea, 73, 10354, No update data, 9g3qx3j8zws0
Bird, MEX, bc7e5c99-423a-4b8f-b11e-ccde9eace72b, 79, 10744, No update data, 9g3qx2qtgxrv
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 91, 12640, No update data, 9g3qx24rc3b6
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 100, 14062, No update data, 9g3qx34c0r5y
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 100, 14062, No update data, 9g3qx34c29qu
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 100, 14062, No update data, 9g3qx34c2feu
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 100, 14062, No update data, 9g3qx34c2w2e
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 99, 13904, No update data, 9g3qx349rh7z
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 89, 13026, No update data, 9g3qx2ymdwtp
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 85, 11692, No update data, 9g3qx34f5jn3
Bird, MEX, ada64e01-8761-45b0-95e5-a0924c65e0f1, 47, 6012, No update data, 9g3qrrur5nb7
Bird, MEX, 868f6e66-2df0-42a7-8734-9e6f0103ab2d, 82, 11218, No update data, 9g3qx2qy9zqg
Bird, MEX, 952eb472-e465-44b0-b521-10d99ac12b5a, 61, 7900, No update data, 9g3qx2qydn7v
Bird, MEX, 6f84f04d-339c-4ccf-9c5b-825181fa849e, 83, 11376, No update data, 9g3qx29tptsh
Bird, MEX, e1bd83dc-c8ba-4ead-b6c3-faf05146ddac, 82, 11857, No update data, 9g3qx2nxbtbg
Bird, MEX, 26bdfeb8-9f55-4c69-97c6-68501afe5085, 87, 12008, No update data, 9g3qx2fr8tny
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 80, 10902, No update data, 9g3qx340yhr6
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 55, 7348, No update data, 9g3qx341njxm
Bird, MEX, 9325f3ab-6b03-4dc6-ac29-b0843d05a055, 91, 12640, No update data, 9g3qx341j36f
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 30, 3173, No update data, 9g3qx21xy2k2
Bird, MEX, 13c89489-7216-43ff-90a5-d39d15414a4e, 97, 14362, No update data, 9g3qx2yvn4px
Bird, MEX, 3a117581-5129-4dd7-99fc-82c24d28913d, 92, 12798, No update data, 9g3qx238cyy9
Bird, MEX, ac81f291-d776-4565-8cb7-d063d1926edc, 93, 13694, No update data, 9g3qx2yuz3z7
Bird, MEX, 45c6c3de-0c1c-4f91-acb3-8d3b7df04b0a, 66, 9185, No update data, 9g3qx2yvqncr
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 64, 8374, No update data, 9g3qx34znt49
Bird, MEX, 230144db-cd18-492b-b0fa-61d76dc91f64, 33, 3674, No update data, 9g3qx2zj09r1
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 58, 7849, No update data, 9g3qx2c6swkm
Bird, MEX, 70c01e06-41bd-4ca5-998b-59aa9ca0fb83, 89, 13026, No update data, 9g3qx2z4yedw
Bird, MEX, 0d2663c7-49cf-4138-9feb-5ed7b6143c8f, 87, 12692, No update data, 9g3qx3kd417d
Bird, MEX, 4e40bd37-ed1b-4a7b-bc67-78a44871fb65, 89, 13026, No update data, 9g3qx2z5pk3j
Bird, MEX, eddc3d62-1f8f-448b-8559-04768146c6fb, 94, 13114, No update data, 9g3qx2z5p7rr
Bird, MEX, 143d0a31-d8f4-4ad8-9b34-8446412ad3a4, 99, 13904, No update data, 9g3qx232tr6g
Bird, MEX, 830b76b9-a650-4da3-993f-7444f4798020, 39, 4676, No update data, 9g3qx2r1z390
Bird, MEX, f34c98ab-ad80-4731-83ed-d7be2ced8e53, 76, 10270, No update data, 9g3qx2xqm24u
Bird, MEX, 20d459c5-1eb3-4a51-8b52-cd7d5ecc6736, 51, 6320, No update data, 9g3qx2335rhw
Bird, MEX, f502da9f-2766-4a62-99c5-d09de0e00721, 74, 9954, No update data, 9g3qx233ckj2
Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 94, 13114, No update data, 9g3qx2914ev1
Bird, MEX, 9df4aa53-6ae5-40ec-b8fb-e05e3ad14881, 54, 6794, No update data, 9g3qx2z6en2m
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 94, 13114, No update data, 9g3qx2919s72
Bird, MEX, 1a108a8c-4379-452a-b475-670a843ee147, 100, 14062, No update data, 9g3qx232d92n
Bird, MEX, c5c94c44-4769-4907-9ace-5f0ac2214ea4, 83, 12024, No update data, 9g3qx21t3h6p
Bird, MEX, b0d07e3c-c87c-4787-920f-ae6bf71741a4, 30, 3173, No update data, 9g3qx2918swc
Bird, MEX, 84c58f67-767b-43d3-a648-1760f654ddf2, 39, 4676, No update data, 9g3qx3negtxf
Bird, MEX, cddf1b28-4863-4c52-a305-811b2c47c640, 98, 13746, No update data, 9g3qx2329k0r
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 93, 12956, No update data, 9g3qx2912s2x
Bird, MEX, 6bb32e49-e86c-4e57-a7e5-5c020bea363e, 94, 13114, No update data, 9g3qx231yqu3
Bird, MEX, c214602d-d67c-4b09-ba99-34b2d47493b0, 97, 13588, No update data, 9g3qx232865d
Bird, MEX, dc0b8a8f-1204-481d-88fd-f3f8719f4180, 98, 13746, No update data, 9g3qx2322s2x
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 94, 13114, No update data, 9g3qx230x47u
Bird, MEX, 6bdba8c6-98f6-44f4-8317-3fb317c95a3c, 90, 12482, No update data, 9g3qx231ug9q
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 94, 13114, No update data, 9g3qx231sy5e
Bird, MEX, 09458811-7896-40fa-9ac1-6186f561896c, 92, 12798, No update data, 9g3qx3k7u9ue
Bird, MEX, ae02b51b-123a-4953-b879-ccdd4f8d7c0c, 89, 13026, No update data, 9g3qx2zpq19q
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 83, 11376, No update data, 9g3qx230vbs4
Bird, MEX, 5e0012f4-cf1b-496f-8e47-337dd9dbf496, 89, 12324, No update data, 9g3qx21mjbk5
Bird, MEX, 63da3376-1319-4d90-826b-e97b58a1183d, 94, 13114, No update data, 9g3qx230nrs2
Bird, MEX, 620f49a6-c72c-4e49-942e-2743eade2002, 90, 12482, No update data, 9g3qx21ky11n
Bird, MEX, 5f1a3923-fd37-49e2-89ab-06edd06985b9, 89, 13026, No update data, 9g3qx2zr077z
Bird, MEX, 15b2d61a-a693-4026-9a75-83a6c6e7c57d, 93, 12956, No update data, 9g3qx230sqwp
Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 90, 12482, No update data, 9g3qx2zqcu8s
Bird, MEX, db1c2d5e-da0d-4cf8-8ef9-6faa76b0e819, 85, 12358, No update data, 9g3qx2zqhdg7
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 48, 5846, No update data, 9g3qx2zrbw0y
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 15, 632, No update data, 9g3qx2zmrvdx
Bird, MEX, 2363cb12-8a83-4bf1-ade2-6ffb6a842db8, 33, 3674, No update data, 9g3qx2zqnztb
Bird, MEX, 09b4b3b1-fb6a-4e2b-a65c-cb1e43f092da, 89, 13026, No update data, 9g3qx21p4wvh
Bird, MEX, 667da35d-8345-4402-9ed3-23f1f5f80543, 88, 12859, No update data, 9g3qx21n7msw
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 93, 12956, No update data, 9g3qx2zt9d5d
Bird, MEX, 75ce0f6b-0607-4413-b8f9-4814481bec33, 89, 13026, No update data, 9g3qx21jfsvn
Bird, MEX, 334d37ea-4ca1-4106-95ba-3dae5b1e6380, 89, 12324, No update data, 9g3qx2ztk6yq
Bird, MEX, 59b7f5e1-3272-448c-a687-2c6df93ea390, 85, 12358, No update data, 9g3qx21j4tvn
Bird, MEX, 5d8e364f-ed6b-48a9-bea7-b90df1aba21c, 83, 12024, No update data, 9g3qx21j90d0
Bird, MEX, 43c9da9c-a738-402f-a081-1b3aa20ae5f9, 80, 11523, No update data, 9g3qx3p8b2eg
Bird, MEX, 9f1b065e-3c51-4d61-a3a9-0794da215166, 90, 12482, No update data, 9g3qx2zxe25x
