Bird, MEX, 06165ad8-ea8d-4ac7-866b-5d354dec96c7, 29, 3006, No update data, 9g3qx2kckrq2
Bird, MEX, 7d72a734-1c8e-44bb-8b6f-1202f11134d3, 83, 11376, No update data, 9g3qx2duy7kk
Bird, MEX, 158e2508-a088-4723-b0c8-489865d40848, 100, 14863, No update data, 9g3qx278uf9k
Bird, MEX, c89b0474-686a-4d23-8ffb-e0f7cfec0968, 42, 5177, No update data, 9g3qx2gvqtdx
Bird, MEX, 6f1933b3-9d51-4228-b3b5-c02d8ad284ce, 62, 8058, No update data, 9g3qx2g1eezy
Bird, MEX, c67699bb-7170-435b-acb0-4b9059654e07, 62, 8058, No update data, 9g3qx26zcb23
Bird, MEX, d3355024-95e7-4df7-af1a-1557195debd3, 92, 13527, No update data, 9g3qx2tud31u
Bird, MEX, 830dc278-a8c0-420d-8a73-f9fbe8d2f4d6, 71, 10020, No update data, 9g3qx2md8tbc
Bird, MEX, 3fc8ac56-09dd-436a-a87b-ce7baa509d26, 91, 13360, No update data, 9g3qx2tvghn8
Bird, MEX, 19421a37-328d-419b-ae15-1fd7ff34de7c, 94, 13861, No update data, 9g3qx2tyg10r
Bird, MEX, 555150d1-96e8-49a7-b12f-9771a82641da, 93, 13694, No update data, 9g3qx2tvu7n6
Bird, MEX, c97974f0-bdc2-426d-945f-7a2fd380b339, 80, 11523, No update data, 9g3qx26wvwnn
Bird, MEX, efcf24a2-9996-4559-842b-c8cd6d076d8f, 91, 13360, No update data, 9g3qx2tvpb43
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 49, 6004, No update data, 9g3qx2uxu3nr
Bird, MEX, 435a3487-2b15-47a7-af99-0e1b2beaf0bf, 70, 9853, No update data, 9g3qx2gx4900
Bird, MEX, 026a3443-7463-4561-8b94-40f81a7d5585, 42, 4898, No update data, 9g3qx2ghd1g8
Bird, MEX, 3a4ed04e-2306-4557-b2c8-6858aeab33ec, 79, 10744, No update data, 9g3qx26rrrzh
Bird, MEX, d696029f-bce1-4093-8a16-7fbb6385ff4b, 33, 3674, No update data, 9g3qx2muxupr
