Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 88, 12166, No update data, 9g3qx28fezhc
Bird, MEX, 277c32ea-cf96-4c35-a814-7cbd4dbc0c25, 99, 13904, No update data, 9g3qx21nnf8b
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 100, 14062, No update data, 9g3qx21nhv36
Bird, MEX, 773750c9-b48c-452c-91bd-62657dad9452, 100, 14062, No update data, 9g3qx21jngmw
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 100, 14062, No update data, 9g3qx21jmtjf
Bird, MEX, 4bdf4808-a01f-4f4f-b4fd-d8f5e192cad1, 100, 14062, No update data, 9g3qx21jt5k9
Bird, MEX, 0a798980-a0ca-4c04-8533-da3a1dcbc92e, 99, 14696, No update data, 9g3qx2ztce7t
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 60, 8183, No update data, 9g3qx2bf37v5
Bird, MEX, 8d8428e9-90d6-42cd-b265-826edfd1a094, 100, 14863, No update data, 9g3qx2zsqs6x
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 100, 14062, No update data, 9g3qx21hkv16
Bird, MEX, 270c39fb-f9e7-4950-bdce-db9a6067f1c9, 100, 14863, No update data, 9g3qx2zsw84x
Bird, MEX, 7aadc36b-4d78-44ff-ab7a-003ab654269d, 73, 9796, No update data, 9g3qx2p7vhkf
Bird, MEX, 4b3bbe0b-bb51-44d1-9ad7-557e2634e218, 100, 14863, No update data, 9g3qx2zspxhq
Bird, MEX, e02162db-4e96-43c8-a9f2-46624143c2b4, 100, 14863, No update data, 9g3qx2zspbzr
Bird, MEX, fda6d7e1-606d-461c-abf9-dd9253eea5a9, 63, 8684, No update data, 9g3qx2zzhpe0
Bird, MEX, 594557b2-0a49-4271-b3ef-77ec6e7b8935, 63, 8216, No update data, 9g3qx8bj2ysj
Bird, MEX, 46abce90-bd75-4b92-b165-d46e06a59f39, 72, 9638, No update data, 9g3qx8bjb65v
Bird, MEX, 9e1d484b-82f8-4381-a62c-2a2863a4a212, 98, 14529, No update data, 9g3qx20sftjp
Bird, MEX, 6ea3f822-f297-4b9f-88f6-b29e1ebd742f, 98, 14529, No update data, 9g3qx8bne9cb
Bird, MEX, def394a3-a092-443a-b6ba-c5621fa758de, 100, 14863, No update data, 9g3qx3pg42dn
Bird, MEX, 1ed11453-2cc0-42fc-bf83-b1634471d7a3, 46, 5530, No update data, 9g3qrrzxuqy3
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 100, 10502, No update data, 9g3qx8bnkbry
Bird, MEX, 091c405f-6820-4137-9342-f00e6c13d4e2, 99, 14696, No update data, 9g3qx8bp7u2p
Bird, MEX, d00c8363-1378-4f6d-a999-7e929c94c014, 20, 1422, No update data, 9g3qx9009yb8
Bird, MEX, a6ab387c-c178-4787-8034-3a4f7692d504, 100, 14062, No update data, 9g3qx8bjz31p
Bird, MEX, bcd776c2-5216-4152-9cc8-6ad858a8a132, 99, 14696, No update data, 9g3qx3pfuv9d
Bird, MEX, e4802f05-e9d6-45cb-a64b-b9877c85a0a6, 100, 14863, No update data, 9g3qx3pfuupc
Bird, MEX, 5df399cc-f0db-4352-af98-42b0243cb1de, 100, 14863, No update data, 9g3qx8bnvrpu
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 100, 14062, No update data, 9g3qx8bnx1u0
Bird, MEX, 79d291b2-69b0-43ec-9896-0d8abf12e3d6, 99, 14696, No update data, 9g3qx3pgm24u
Bird, MEX, 788616d6-9208-418d-8388-f1084bc84ee7, 98, 14529, No update data, 9g3qx8bnxgxs
Bird, MEX, 94235d68-ce38-4f45-b8d8-544f4a1285f3, 100, 14863, No update data, 9g3qx3pgq6uw
Bird, MEX, d7ccf8c6-0a0e-4aba-bbf0-717c1cf8f6b7, 75, 10688, No update data, 9g3qx303nc2d
Bird, MEX, 3f5d1e14-2abf-4450-b3a3-c1faddeada17, 100, 14062, No update data, 9g3qx8br80jx
