Bird, MEX, 2510200f-d563-4079-b4ef-956f38651810, 99, 14696, No update data, 9g3qrnmzrr8b
Bird, MEX, b8c5d8ae-35ee-4361-bd7e-e8b132ba7ba0, 93, 13694, No update data, 9g3qrnmzx15f
Bird, MEX, 00157235-b4c1-453c-8454-20690c046312, 93, 13694, No update data, 9g3qrnmzx78f
Bird, MEX, 47d314d1-ef25-4069-861d-d25b9da4d842, 96, 14195, No update data, 9g3qrnmzx4gy
Bird, MEX, be7efbcd-45e9-4fc0-b685-4c42126bc01c, 94, 13861, No update data, 9g3qrnmzmvh1
Bird, MEX, 4cede350-13f0-4166-8889-963f494597d8, 56, 7515, No update data, 9g3qrjvp81m7
Bird, MEX, 2a0c1a29-0f54-4076-a232-67f14d26d4e8, 100, 14062, No update data, 9g3qrmc0bhjr
Bird, MEX, 21425b35-9f97-47bf-a9fe-44fc88eb46e5, 100, 14062, No update data, 9g3qrq16hz17
Bird, MEX, 4ef3d591-fdd5-49d4-b53b-7dcd21e73349, 70, 9322, No update data, 9g3qrjuzxmwz
Bird, MEX, c1ff01e1-42c0-4589-8d37-39ab56ab55ef, 52, 6478, No update data, 9g3qrjv2hcz6
Bird, MEX, d2cd39ff-2626-440c-b87b-28bc06b7114c, 53, 6636, No update data, 9g3qrjuzz55b
Bird, MEX, d2d4c866-a0cb-451c-a12b-6e12e8584d1c, 98, 13746, No update data, 9g3qrnw09qvp
Bird, MEX, 2c189e49-e320-45cc-82f5-04bc6ef47708, 48, 5846, No update data, 9g3qrjuzrngu
Bird, MEX, a6dbbfa9-aac9-4ca6-a1c4-ae131ca613ff, 100, 14062, No update data, 9g3qrm8tzr2g
Bird, MEX, 737a93a5-9124-4651-b889-5877abab4ba5, 90, 13193, No update data, 9g3qrjv25vhx
Bird, MEX, 0d7abfa5-772c-4777-9d09-3e5ff1a2d53e, 100, 14062, No update data, 9g3qrq16jxjg
Bird, MEX, cb7aa594-66ee-42e1-99e9-7025f4763c5d, 100, 14062, No update data, 9g3qrq16jsjb
Bird, MEX, fa8545fd-8e56-49d1-bee6-68f252914e46, 99, 13904, No update data, 9g3qrm8wpb62
Bird, MEX, 7930a9d1-e57f-4994-8e93-e1f4d3c854ce, 100, 14062, No update data, 9g3qrm8y0wyc
Bird, MEX, 69cfb6d8-4ba4-4787-bce5-8d1044419b2e, 98, 13746, No update data, 9g3qrmc0cunx
Bird, MEX, 3b7eb4a5-3646-4996-a072-f9250a6691a3, 99, 14696, No update data, 9g3qrnw0benb
Bird, MEX, ed8d1ef3-e475-4b32-b51f-f2c6f337bc6a, 97, 13588, No update data, 9g3qrntbw2u0
Bird, MEX, 82e40fe4-ebdd-4c95-add4-5e59919b26a5, 92, 13527, No update data, 9g3qrntbxn7g
Bird, MEX, 50b2bfd8-2281-4934-8ee8-14fad6b5c7d1, 97, 14362, No update data, 9g3qrnw0bked
Bird, MEX, 13ad7556-d6e6-48db-9a9b-845655ee7da2, 100, 14062, No update data, 9g3qrm8vbj0t
Bird, MEX, f64d3b10-d626-4d61-9a74-2631e24b0e13, 55, 6952, No update data, 9g3qrm8txq0b
Bird, MEX, d0248c55-e085-4e35-85f6-22eb853fdd64, 94, 13861, No update data, 9g3qrm8tzc4k
Bird, MEX, 8531c2a7-ace9-4174-a5fe-d0177c1e0304, 100, 14062, No update data, 9g3qrm8txqxh
Bird, MEX, 37a65a7a-c132-487f-a7bf-2fbd50f82239, 97, 13588, No update data, 9g3qrm8tx7z5
Bird, MEX, ac86c0fb-541b-4ed1-bf57-c4accb3072de, 97, 13588, No update data, 9g3qrq16qfjx
Bird, MEX, 9f61a028-c211-453d-a213-d3689ad3fe9b, 99, 14696, No update data, 9g3qrnw1077t
Bird, MEX, fcbd96a8-ae56-4698-add5-c4563c440a39, 96, 14195, No update data, 9g3qrnw10htk
Bird, MEX, 4e8a39c4-b95a-4436-b4b8-58eb5d241e06, 27, 2672, No update data, 9g3qrq883m03
Bird, MEX, 774eded8-cf75-4f66-9c5c-0ce43eee5c7f, 94, 13114, No update data, 9g3qrq1d21bt
Bird, MEX, 029aaafc-dbce-48b3-8b5f-938d6a0ff150, 94, 13861, No update data, 9g3qrq1d0nvd
Bird, MEX, 8d1d3010-c6c2-48a4-8d28-15293b9306fa, 67, 8848, No update data, 9g3qrjtr8q58
Bird, MEX, 31c61409-febf-44d9-90f5-0e5e53876b5d, 71, 9480, No update data, 9g3qrjtsfxhc
