Bird, MEX, 0feea2ab-559e-4baf-acd1-07d7a343162f, 49, 6004, No update data, 9g3qx2kpvqzc
Bird, MEX, 982395b4-395e-4375-a321-4c510a3a2944, 87, 12008, No update data, 9g3qx2916dbj
Bird, MEX, 7181da95-aada-4f09-abc7-b0a9b22f0195, 100, 14863, No update data, 9g3qx234xsu5
Bird, MEX, 5b07c2c0-a805-445d-b168-01ac8898e484, 100, 14863, No update data, 9g3qx232ce56
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 87, 12008, No update data, 9g3qx2zjwxre
Bird, MEX, 7eb9f5b2-d82b-4eac-8620-fb60dc01546d, 83, 12024, No update data, 9g3qx294bhvq
Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 100, 14863, No update data, 9g3qx231x1gb
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 91, 12640, No update data, 9g3qx28frf63
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 88, 12166, No update data, 9g3qx2zm1c29
Bird, MEX, 83220a33-fefd-4340-b5ab-2b7478bcb44d, 100, 14863, No update data, 9g3qx231nt48
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 91, 12640, No update data, 9g3qx28fnc29
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 89, 12324, No update data, 9g3qx21mn0xm
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 87, 12008, No update data, 9g3qx21mkzxd
Bird, MEX, 8e795b2b-05cb-41d7-8077-176ae8687cbd, 100, 14863, No update data, 9g3qx28bvkzw
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 89, 12324, No update data, 9g3qx21mhxhq
Bird, MEX, aecb2517-a087-407e-a8f5-4d17b824c384, 100, 14863, No update data, 9g3qx28fhpff
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 87, 12008, No update data, 9g3qx2zqd0gg
Bird, MEX, 4048c69a-9e8b-4883-8910-f3a23b6da33e, 88, 12166, No update data, 9g3qx3kkm1sw
Bird, MEX, 02006705-1f0f-45ac-a77b-0e0d538e4b93, 100, 14062, No update data, 9g3qx28c7trv
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 92, 12798, No update data, 9g3qx28cg10p
Bird, MEX, 593ffe56-8d8b-4e06-89da-7ed7015103f6, 100, 14062, No update data, 9g3qx3m76j7y
Bird, MEX, daac3331-788c-444e-ac19-9fecabfcefac, 100, 14863, No update data, 9g3qx3m7s455
Bird, MEX, ae1acd5e-47c5-44ab-b0f3-c5fbae204d43, 90, 13193, No update data, 9g3qx28c3nfn
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 71, 9480, No update data, 9g3qx2zt0ukj
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 91, 12640, No update data, 9g3qx289ng0t
Bird, MEX, 7beff964-6325-4b2b-8a5b-83dccdddfc36, 100, 14863, No update data, 9g3qx21hmnkd
Bird, MEX, 6448304e-c68b-4c4d-8df0-17395425b938, 100, 14863, No update data, 9g3qx21hhwk2
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 42, 5177, No update data, 9g3qx2bf2n8t
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 100, 14863, No update data, 9g3qx215gyuc
Bird, MEX, 1ccedbad-8286-4690-8a8a-d7f0c651583e, 100, 14863, No update data, 9g3qx215gdry
Bird, MEX, 2cff7cc7-02e4-4d80-b93b-6a67bececbd6, 69, 9686, No update data, 9g3qx31t8ygb
Bird, MEX, 2deda658-907a-4f15-ac75-31743fe2f233, 99, 14696, No update data, 9g3qx215dnkv
Bird, MEX, c94ef371-15a1-4e5c-8aca-ff77c3951907, 100, 14863, No update data, 9g3qx2156ven
Bird, MEX, f508e66d-1d30-4da5-8a2a-e5977729c4f3, 100, 14863, No update data, 9g3qx2156sjj
Bird, MEX, 50af0392-0199-42ed-8d07-16e9a66d4d8f, 58, 7426, No update data, 9g3qrrf54f5q
Bird, MEX, ef939bca-1443-409b-9f00-02c9ae789515, 54, 6794, No update data, 9g3qrrf51v8k
Bird, MEX, e985c43e-54ba-4b55-865a-775022f12231, 88, 12859, No update data, 9g3qx2b2jhsx
Bird, MEX, dcfdfce1-933b-420a-9a24-1dd30f58bda8, 97, 14362, No update data, 9g3qx8bjc5rm
Bird, MEX, 8df797e7-7b0e-48f8-a943-fea682f142f5, 100, 14863, No update data, 9g3qx8bn415b
Bird, MEX, baf7e912-841b-40cd-a505-13a330771c51, 100, 14863, No update data, 9g3qx8bnbfhj
Bird, MEX, 60dbef3f-c295-4006-ad45-21285bc70999, 69, 9164, No update data, 9g3qx2b319gm
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 99, 14696, No update data, 9g3qx8bn4qzh
Bird, MEX, 1d03b435-5234-4603-8eed-5e3f5c7a18d1, 100, 14863, No update data, 9g3qx8bn4b7k
Bird, MEX, 304641d8-118f-4753-a91a-7187243d9247, 100, 14863, No update data, 9g3qx8bn7m7t
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 88, 12166, No update data, 9g3qx90048tn
Bird, MEX, b951f39e-9ab6-4d6f-ade7-51065c4246c1, 90, 12482, No update data, 9g3qx9005xcf
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 34, 3841, No update data, 9g3qx20e1mbq
Bird, MEX, e7a42ae0-34c9-45cd-90eb-7a2959fd031b, 89, 12324, No update data, 9g3qx20e0enu
Bird, MEX, 9e09f84e-8e8b-44fc-8f66-70f2af59dedd, 70, 9322, No update data, 9g3qx28p3t7m
Bird, MEX, 4fb452cf-95e7-40c1-a3eb-d0d2076ef381, 100, 14863, No update data, 9g3qx20q48tj
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 90, 12482, No update data, 9g3qx20dbenf
Bird, MEX, 043d8399-a8ce-48d1-9fef-18aa9093c138, 82, 11857, No update data, 9g3qrrdn9u83
Bird, MEX, 53239a68-389d-42f8-ad28-fa6af312c06d, 100, 14062, No update data, 9g3qx20m54b4
Bird, MEX, 6f8130ff-0110-410a-a838-ad21ad88e88a, 100, 14062, No update data, 9g3qx20d172q
Bird, MEX, ceb26f54-09ec-44b4-b928-476cf5a82926, 100, 14062, No update data, 9g3qx209cc0q
Bird, MEX, e4e1ce05-dc5f-4347-81a4-e5a546cae780, 100, 14863, No update data, 9g3qx20k5uku
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 75, 10112, No update data, 9g3qx20m3kv1
Bird, MEX, 25cb9ef9-1e87-4993-8401-a80c7614b7d5, 100, 14863, No update data, 9g3qx20q0j8k
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 100, 14863, No update data, 9g3qx20nrb47
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 81, 11060, No update data, 9g3qx20m8q7t
Bird, MEX, 97714eec-6fbe-44fb-af67-920191416158, 79, 10744, No update data, 9g3qx2bnqt6t
Bird, MEX, 270ff6ba-d5ac-4624-9567-540c62a4f9f9, 47, 5688, No update data, 9g3qrrzy27ec
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 100, 14863, No update data, 9g3qx20nqf8e
Bird, MEX, 794dfea6-0dc7-4694-b9c0-0a12b57f24c2, 100, 14062, No update data, 9g3qx20k9s5r
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 100, 14062, No update data, 9g3qx20928wz
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 100, 14863, No update data, 9g3qx20928ng
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 99, 13904, No update data, 9g3qx206mghp
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 91, 12640, No update data, 9g3qrre9dsv4
Bird, MEX, 3d5bb277-0baa-4567-8d7e-2f1e978d3b4c, 100, 14863, No update data, 9g3qx20jr9jj
Bird, MEX, c7c9c180-b70a-46d8-92bc-9457e20c2a07, 100, 14863, No update data, 9g3qx20nnn30
Bird, MEX, f7ee63b0-66db-4e34-a9d9-00f1b38b1ef8, 100, 14863, No update data, 9g3qx20k3pd4
Bird, MEX, 8cba6cde-a83a-4e8a-a76e-ac875b990d63, 100, 14863, No update data, 9g3qx20k3j6h
Bird, MEX, e42a1443-5975-4735-940a-c73491edc3ad, 99, 14696, No update data, 9g3qx20920tr
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 66, 8690, No update data, 9g3qx20hzz6m
Bird, MEX, 95e0440a-64aa-496d-9f01-f7f57d8daf4e, 99, 14696, No update data, 9g3qx20k2feg
Bird, MEX, f045452a-a846-49ff-944d-c58a8394eac6, 99, 14696, No update data, 9g3qx20hzg6k
Bird, MEX, e55c5dda-1fc7-438f-8418-3b156d39c78a, 99, 14696, No update data, 9g3qx2090379
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 87, 12008, No update data, 9g3qx20jqub9
Bird, MEX, aed77777-7add-4d3a-b07e-469bdab321af, 100, 14863, No update data, 9g3qx20nkbxx
Bird, MEX, eeef1113-26dc-43c5-bbcd-2a5d00a65422, 100, 14062, No update data, 9g3qx203prrp
Bird, MEX, 28783902-2f4a-4e22-acb1-a03e54c907e5, 100, 14863, No update data, 9g3qx203qc2e
Bird, MEX, 521db62b-54ac-478a-884b-d6c2cc758bd0, 66, 9185, No update data, 9g3qrrbunprr
Bird, MEX, 2bb785a3-8166-4618-85a0-7ac09c46588d, 76, 10270, No update data, 9g3qrrdk57hs
Bird, MEX, f4670094-36c9-4a1a-b67e-3c67e838b4f8, 100, 14062, No update data, 9g3qx203nppm
Bird, MEX, 8f7ab418-2c00-4ad2-b27c-620284e5c12b, 100, 14062, No update data, 9g3qx203n9fs
Bird, MEX, 3dd58251-b40d-45d7-9c4d-c5ace8444f8b, 97, 13588, No update data, 9g3qx202wfj9
Bird, MEX, 24ad8133-a7fa-4cf0-8e41-66fac3d9959f, 100, 14062, No update data, 9g3qx203j8vz
Bird, MEX, 847e0733-5631-469d-a432-1495ff3996af, 99, 13904, No update data, 9g3qx202wsd9
Bird, MEX, b809e99f-9fd2-4e7a-8634-3416733d8ab4, 66, 9185, No update data, 9g3qx32cjxvg
Bird, MEX, 64c1bade-6259-42fe-9d3c-a626a8ba54a6, 100, 14062, No update data, 9g3qx202vtjz
Bird, MEX, efd48a79-c49f-4e7c-9cba-d2ce7b2eae94, 62, 8517, No update data, 9g3qrrc1x07z
Bird, MEX, 9e68ac62-5e5a-44d2-9ba8-e33101e08f8a, 54, 6794, No update data, 9g3qx0zuh0zz
Bird, MEX, d4183b8c-4ee6-4bb9-abc0-bc398088269c, 44, 5214, No update data, 9g3qrr9tuhzv
Bird, MEX, 94211a9f-a920-4856-aa48-abdd2934e899, 100, 14863, No update data, 9g3qx90jrk1n
Bird, MEX, c479096a-dfb9-4374-b9c8-e1d4007bf053, 67, 9352, No update data, 9g3qx0zdkrw5
Bird, MEX, 6a5214dc-0bc4-4590-9c23-10ec263b3c8c, 89, 12324, No update data, 9g3qrr9g8r7d
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 78, 10586, No update data, 9g3qx90r0ch0
Bird, MEX, 828f6ed2-e84c-4aa7-bdaa-1792ff881415, 78, 10586, No update data, 9g3qrrmrnmum
Bird, MEX, cf16fd66-9688-4fe8-b72d-2d7c86ace9b9, 42, 4898, No update data, 9g3qrrmqghyt
Bird, MEX, 7007dba4-57be-43c2-997d-6545181a14db, 63, 8684, No update data, 9g3qx83jg0bm
Bird, MEX, cbc4863e-3d13-4094-b792-544f22e6103d, 74, 9954, No update data, 9g3qx399z3r0
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 100, 14863, No update data, 9g3qx90sbd0v
Bird, MEX, 36c6d646-ef97-4533-b196-fd656a8a3547, 100, 14863, No update data, 9g3qx90mrmrm
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 99, 14696, No update data, 9g3qx90sbxph
Bird, MEX, 146d9dc6-5200-497e-95d0-258bf2ab5396, 100, 14863, No update data, 9g3qx90s6664
Bird, MEX, 56da2f5f-d651-4058-8293-65c5b78dfad9, 100, 14863, No update data, 9g3qx90t1g0t
Bird, MEX, 814f30e8-b6c3-4c74-bc9e-947a87022227, 71, 9480, No update data, 9g3qrrwf6ze3
Bird, MEX, 63900b02-e8e7-4605-9219-f1cc26e92f5e, 100, 14863, No update data, 9g3qrr7v5buy
Bird, MEX, 04b85ce0-bd7f-4946-9f7b-78a238704c8a, 100, 14062, No update data, 9g3qrr7ugp8q
Bird, MEX, 1affbc58-7ca2-48b5-849e-c0ada85a93b8, 100, 14062, No update data, 9g3qrr7ugt1x
Bird, MEX, 49f55f76-a273-425a-810d-170f67419423, 100, 14863, No update data, 9g3qx90cgx1u
Bird, MEX, 277466ac-446d-48ce-af86-599ca02e3e9b, 100, 14863, No update data, 9g3qx90cuhek
Bird, MEX, ee09ef0e-723f-431c-830c-fb46ea253a64, 100, 14863, No update data, 9g3qx90fm4kf
Bird, MEX, af22928a-e587-4c1a-9b15-1ced2e8c4c97, 100, 14863, No update data, 9g3qx90cwt4y
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 100, 14062, No update data, 9g3qx90ftdn4
Bird, MEX, 75d46828-5b54-4f9b-ae74-866da30a3307, 82, 11857, No update data, 9g3qx925urwg
Bird, MEX, 4446693f-2397-4602-9e41-12a0524764f1, 99, 14696, No update data, 9g3qrr6ty0zk
Bird, MEX, 97d89fc4-5db0-49b2-bbeb-6f0b18444e60, 100, 14062, No update data, 9g3qrr6tvbk0
Bird, MEX, 20e7295e-8b68-4b15-8fc9-5302d90f52d1, 100, 14863, No update data, 9g3qrrmksz18
Bird, MEX, 501742f4-0d86-43f6-8f13-57a355e65549, 100, 14062, No update data, 9g3qrrmksy9w
Bird, MEX, 67435938-6fcc-4aad-973d-dbfc4af56a67, 96, 14195, No update data, 9g3qrrmksknq
Bird, MEX, 2ae09dae-2c66-423c-9267-129588c4ee08, 100, 14062, No update data, 9g3qrrmkse73
Bird, MEX, ae646d82-5b06-43cc-bb29-b56c5edb0799, 100, 14062, No update data, 9g3qrr6ttmfb
Bird, MEX, e2897b1b-3854-4cb9-8fb8-a223a1ccf0ab, 57, 7268, No update data, 9g3qx3fbndfs
Bird, MEX, df0bea3b-de96-459e-9be4-2cd6115b4a4f, 60, 8183, No update data, 9g3qx3uf58pg
Bird, MEX, e26c615d-d329-47e8-b1f0-73de7cb92643, 46, 5845, No update data, 9g3qrr94kpxc
Bird, MEX, 3defaae1-756f-41c0-9db4-82f7df6628cf, 84, 11534, No update data, 9g3qx89eve8n
Bird, MEX, 8dce9f6e-c2da-435d-acaa-ff78712c65a3, 64, 8374, No update data, 9g3qx3ugj6rb
Bird, MEX, 20866095-aa67-4e40-a253-bc68c2f01f1d, 100, 14863, No update data, 9g3qx0p34qzg
Bird, MEX, fa0264ac-3221-4ece-8f5f-7d3a90abdaf0, 100, 14863, No update data, 9g3qx0p3c704
Bird, MEX, f0df3efd-df6b-40fa-8510-e4462fa613bb, 100, 14863, No update data, 9g3qx0p609bs
Bird, MEX, 0e388a23-4e07-4292-a728-6a7fc8b4cb1e, 97, 14362, No update data, 9g3qx0p347cb
Bird, MEX, 8b88c859-18dd-4e4a-906d-54b8eecf17bb, 100, 14863, No update data, 9g3qx0p3br7t
Bird, MEX, ae0bb54a-b82e-453f-9e26-d57fdd783a61, 100, 14863, No update data, 9g3qx0p2f9hy
Bird, MEX, 95ff40c2-1f97-4888-b032-0552d70eca76, 100, 14863, No update data, 9g3qx0p3bkgt
Bird, MEX, 98ec3dc2-7605-4264-bf26-e36dcc3285c7, 100, 14863, No update data, 9g3qx0p2fnkz
Bird, MEX, 6adce649-8d2c-42ae-a4a3-17b0d252abe0, 100, 14863, No update data, 9g3qx0p31f82
Bird, MEX, cebcc058-c198-4b24-a30e-416f0a237f8d, 100, 14863, No update data, 9g3qx0p2dkxc
Bird, MEX, 9a80fd39-c7bc-48f0-ba48-158adfce67ec, 99, 14696, No update data, 9g3qx0p31225
Bird, MEX, 44879c60-713e-4dec-a2cd-5109c1d27414, 100, 14863, No update data, 9g3qx0p1zb60
Bird, MEX, 045605d6-92b1-434f-a6b0-09e19313ca7b, 100, 14863, No update data, 9g3qx0p1xu4p
Bird, MEX, 9beb54f6-e5e4-4cc4-a3ef-381bcc3c9e19, 99, 13904, No update data, 9g3qx0p1xgfj
Bird, MEX, 04a6f288-0cd2-4b54-9783-1cd5a35802ec, 98, 14529, No update data, 9g3qx0p4ndf6
Bird, MEX, 3db9e557-6ee0-4d83-ad2f-f988b8d24e19, 100, 14062, No update data, 9g3qx0p30pjm
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 100, 14062, No update data, 9g3qx0p2bhvm
Bird, MEX, e80b2491-fe2e-4e38-8f3a-144bee745513, 48, 6179, No update data, 9g3qrrm3rnuj
Bird, MEX, 9c23dcac-0023-4755-9d0e-33e22b95b3bc, 64, 8851, No update data, 9g3qx0qv227w
Bird, MEX, 6d001d79-821d-469c-903a-548e0f8de908, 58, 7849, No update data, 9g3qrrk20ugz
Bird, MEX, 2f081237-27fc-4683-bd36-15e86c14e4d8, 84, 12191, No update data, 9g3qrr5zmxw1
Bird, MEX, 53fa1d4d-1f37-404f-8cb0-dab509a69fa7, 63, 8216, No update data, 9g3qx8cfwxrg
