Bird, MEX, 3ecbfd4e-07b7-49c4-95b1-18de4a205226, 98, 13746, No update data, 9g3qx236j0h9
Bird, MEX, 9df4aa53-6ae5-40ec-b8fb-e05e3ad14881, 58, 7426, No update data, 9g3qx2z4vvgh
Bird, MEX, 1a7341a8-54b5-422e-882c-6a9a60a32fdc, 61, 7900, No update data, 9g3qx233q5c5
Bird, MEX, 438c5d35-cf11-4d31-99ef-dc83df7eb073, 96, 14195, No update data, 9g3qx21wg6u8
Bird, MEX, e1aea749-c2f9-43ea-8560-645e443366e1, 99, 13904, No update data, 9g3qx2yypdu7
Bird, MEX, 0ce8a922-941d-4440-a15e-1f4cb38f85ba, 99, 13904, No update data, 9g3qx2yyxfrk
Bird, MEX, b1d00107-9c0b-44bc-b84d-a3b388b688d6, 99, 13904, No update data, 9g3qx233kp70
Bird, MEX, 231cc8f7-fe60-4162-ba58-c2a5334c1c0f, 100, 14062, No update data, 9g3qx23puc1r
Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 100, 14062, No update data, 9g3qx290cu02
Bird, MEX, b6b2e6b0-2bad-431a-99d0-a1ea379fe53e, 99, 13904, No update data, 9g3qx2918tb9
Bird, MEX, 793e6f61-4322-460a-a485-d14350dc6eca, 91, 13360, No update data, 9g3qx2z7eu84
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 100, 14062, No update data, 9g3qx2320t8s
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 99, 13904, No update data, 9g3qx231sy5e
Bird, MEX, 6ee4517f-d25f-4800-a33b-b711101143f4, 99, 14696, No update data, 9g3qx3k7v74g
Bird, MEX, 09458811-7896-40fa-9ac1-6186f561896c, 97, 13588, No update data, 9g3qx3k7ykh3
Bird, MEX, a4e2d25a-6ab6-4d00-bef6-65b5f22f3daa, 63, 8684, No update data, 9g3qx3k7yj95
Bird, MEX, de0074f8-dfba-47dd-8a7b-2c4f0a7acf2f, 92, 13527, No update data, 9g3qx21mjq6b
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 88, 12166, No update data, 9g3qx231hgps
