Bird, MEX, 98f1ced5-2fbf-4174-8fd3-f84185b6a1b1, 71, 10020, No update data, 9g3qx2kbq2km
Bird, MEX, c385cd25-1cbc-455d-9eac-08e61c9e01b1, 61, 8350, No update data, 9g3qx2755zsb
Bird, MEX, 56f1ff43-cd45-443e-9df6-3c3568753d9b, 97, 14362, No update data, 9g3qx2txndze
Bird, MEX, f364c6c4-f0d2-4105-9793-20d4c8c11abf, 31, 3340, No update data, 9g3qx2tu9gqf
Bird, MEX, dcd6b607-5629-4f0a-a90f-dde50b6d0ba2, 45, 5372, No update data, 9g3qx2gkh321
Bird, MEX, d471a117-b100-4d2a-8ddd-e830932949b8, 96, 14195, No update data, 9g3qx2tv1bnc
Bird, MEX, ad48c2df-32aa-439c-9610-e60e3ad16810, 66, 8690, No update data, 9g3qx2tufk1b
Bird, MEX, 80117cf9-3e72-425b-9bd0-c8c01fc68abb, 100, 14062, No update data, 9g3qx2ty0yk0
Bird, MEX, 4f058be0-47d0-409f-a1fe-a34b260c43f9, 92, 13527, No update data, 9g3qx2tv607y
Bird, MEX, da2e416d-80ac-4b21-81c0-d25a186516d8, 97, 13588, No update data, 9g3qx26y4bem
Bird, MEX, e3a9da17-10eb-4b12-a4f7-e8f462d6897f, 34, 3841, No update data, 9g3qx2g474q6
Bird, MEX, cd735747-27c7-4464-96d4-a96d876f6f42, 54, 7181, No update data, 9g3qx2tue48q
Bird, MEX, f17a1b0b-224c-4e99-8062-9faee4075473, 30, 3173, No update data, 9g3qx2tv5003
Bird, MEX, c7965c14-a249-4569-be43-de4a0e85d469, 48, 5846, No update data, 9g3qx2hw867u
Bird, MEX, e865d66f-57d1-4013-b493-580a950732ac, 72, 7198, No update data, 9g3qx2tuefku
Bird, MEX, 6dd9e2d7-a065-407f-8454-adc02e1298da, 97, 14362, No update data, 9g3qx2tydnez
Bird, MEX, c45b0b5c-c305-443f-9b16-80be51ece424, 79, 11356, No update data, 9g3qx2gymzk3
Bird, MEX, c131379c-672b-4daf-9b99-249fe564fd93, 40, 4843, No update data, 9g3qx2tusd7k
Bird, MEX, 1a04d845-16b4-4683-8983-83c0e8a91628, 97, 14362, No update data, 9g3qx2tydx01
Bird, MEX, f12b4e8b-e94a-4655-81b7-bdfb9f20ea13, 97, 14362, No update data, 9g3qx2ty7qgx
Bird, MEX, b1dfe0ac-27ca-427d-8787-04c8eda82d16, 93, 13694, No update data, 9g3qx2tuv7ru
Bird, MEX, a4ff1fb2-2a27-474f-ba16-e86afa7150ff, 99, 13904, No update data, 9g3qx26xm8nh
Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 80, 10902, No update data, 9g3qx25rhvrd
Bird, MEX, a9308dfa-1e4d-4b19-a6b9-e708f49e0654, 100, 14062, No update data, 9g3qx2tvxur2
Bird, MEX, 630320b3-4db3-4e2e-8162-a758ec053c9c, 98, 13746, No update data, 9g3qx26wf821
Bird, MEX, 383eafc0-069b-4f7d-a51c-cd0063067214, 97, 14362, No update data, 9g3qx26x38g8
Bird, MEX, 47bad6b7-df98-4bdb-bade-758faee0d967, 19, 1336, No update data, 9g3qx26x1de9
Bird, MEX, 101a6b27-312c-4dcb-9176-86f113b72395, 33, 3674, No update data, 9g3qx26x1mbq
Bird, MEX, f8c45f13-ad29-48e3-8899-c51f87e979d3, 53, 4956, No update data, 9g3qx25vh3ym
