Bird, MEX, cf338c3c-13c3-4a4d-9af6-207aba51ef75, 92, 12798, No update data, 9g3qrrwytew5
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 63, 8216, No update data, 9g3qrrd7jukh
Bird, MEX, 6c549b73-9cf7-4f92-9b70-33dcb082f195, 74, 9954, No update data, 9g3qx3ehp4s4
Bird, MEX, 77e96044-a35d-4ba6-8e4f-8d6d15cdbbf2, 96, 13430, No update data, 9g3qx3ehp6bu
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 93, 12956, No update data, 9g3qx3ehphu0
Bird, MEX, 0d7bd0bc-b745-49c8-84e9-7c6bb4e5499a, 94, 13114, No update data, 9g3qx3ehphu0
Bird, MEX, e6f453ae-e896-4960-94b4-8d704cb7e810, 54, 7181, No update data, 9g3qx39bhj51
Bird, MEX, 159caea9-9890-4349-967b-e9a9acedd927, 55, 7348, No update data, 9g3qrrbrjt8u
Bird, MEX, 7a33a638-3bfb-4c91-86d5-3fde981c6c15, 43, 5056, No update data, 9g3qx88yv3pz
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 43, 5344, No update data, 9g3qrr9t6wm4
Bird, MEX, 85c77e5d-7ca2-4acc-851f-01e834bf76a7, 46, 5530, No update data, 9g3qx0rt93v0
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 100, 14062, No update data, 9g3qx90s0jme
Bird, MEX, 935adc23-099c-4d83-963c-8d256be636c2, 100, 14062, No update data, 9g3qx90sb1ve
Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 89, 12324, No update data, 9g3qx3ez4hg8
Bird, MEX, 0e91db11-56b6-466a-a8ec-782b0322b120, 100, 14062, No update data, 9g3qx90t098u
Bird, MEX, e5da55e7-c68c-4983-82b6-f87460212221, 56, 7110, No update data, 9g3qrrwdr215
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 48, 5846, No update data, 9g3qrxbx2k5u
Bird, MEX, 6d4e2f6f-557c-41c1-b0ec-dfe9eda61b65, 100, 14062, No update data, 9g3qx90dx9hm
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 65, 8532, No update data, 9g3qrr9e810e
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 98, 13746, No update data, 9g3qx90f3mtx
Bird, MEX, 52d9804f-be7b-4408-95c6-f5472fa27f4b, 67, 8848, No update data, 9g3qx835t9qn
Bird, MEX, 6a4caf95-892c-4778-9a9d-37ac40018f87, 100, 14062, No update data, 9g3qx90exwhk
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 100, 14062, No update data, 9g3qx90ezssm
Bird, MEX, 146617df-7593-4d59-90e1-ef93f831f844, 100, 14062, No update data, 9g3qx90g2xzj
Bird, MEX, a814b4ad-478a-4e68-8ecd-0305224552f4, 73, 10354, No update data, 9g3qrr9d9zyw
Bird, MEX, 53e7d760-42d4-4022-8fd9-ed5039793a55, 100, 14062, No update data, 9g3qx90g47z1
Bird, MEX, 06f17b17-5d6b-4ce0-8383-07b49ec2971e, 100, 14062, No update data, 9g3qx90gch67
Bird, MEX, cc247f4d-4cf9-40e3-8069-ca1c1e7af023, 100, 14062, No update data, 9g3qx90fs62h
Bird, MEX, 10cc64c2-a551-4a15-ab0b-56f0722cceb4, 96, 13430, No update data, 9g3qx925uc1x
Bird, MEX, eb089722-b0a7-414a-8185-4144ea7263e0, 94, 13114, No update data, 9g3qx925us53
Bird, MEX, 602f512f-30a2-4dd8-bf9a-80f233f1967e, 63, 8216, No update data, 9g3qx8c2nt4c
Bird, MEX, 4704be31-aaad-4f98-b85e-eadb679391b2, 40, 4582, No update data, 9g3qrr75mqzv
Bird, MEX, 6ebb5995-0ae1-4adc-a04f-aa527adaf017, 46, 5530, No update data, 9g3qrr8gfqcc
Bird, MEX, be4e4df7-29d3-4ea1-9a33-3914fa8bbfd3, 58, 7849, No update data, 9g3qx1p64ssz
Bird, MEX, a8b4e8fa-949a-44bb-a931-45aeeb79e9ab, 66, 9185, No update data, 9g3qx389y3s6
Bird, MEX, 63e9ef70-528f-49e2-ad55-e084a59ffb47, 100, 14062, No update data, 9g3qx0p3bq7x
Bird, MEX, 0298c852-3d71-41e1-8417-dc50aea18bc7, 97, 14362, No update data, 9g3qx0p33461
Bird, MEX, 98361164-9cfe-47ba-8089-8a52c3847494, 100, 14863, No update data, 9g3qx0p1zu64
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 99, 13904, No update data, 9g3qx0p32pvk
Bird, MEX, 9e64049f-8a2a-455f-8b8a-5dd10085cf59, 100, 14863, No update data, 9g3qrpzrgnqr
Bird, MEX, 3af74e51-7702-4863-b83a-51c38cc17f5f, 98, 13746, No update data, 9g3qx0p1rwh0
