Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 100, 14062, No update data, 9g3qx34c3p61
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 54, 6794, No update data, 9g3qx34c2zr9
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 100, 14062, No update data, 9g3qx34c97m6
Bird, MEX, f6ae4432-87b8-4d73-a516-a6e8fbb97ab3, 91, 12640, No update data, 9g3qx2fr4tvp
Bird, MEX, 26bdfeb8-9f55-4c69-97c6-68501afe5085, 90, 12482, No update data, 9g3qx2fr0vev
Bird, MEX, ed8413a3-a1c1-4d1a-9688-2a7412059300, 100, 14863, No update data, 9g3qx34257ht
Bird, MEX, 32023f53-8c76-46da-b262-1fff9ec4ee30, 100, 14863, No update data, 9g3qx3426d8h
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 83, 11376, No update data, 9g3qx341jhkt
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 61, 8350, No update data, 9g3qx341hyr9
Bird, MEX, 1a7341a8-54b5-422e-882c-6a9a60a32fdc, 61, 7900, No update data, 9g3qx23d48tj
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 37, 4342, No update data, 9g3qx21xwv2z
Bird, MEX, 1a108a8c-4379-452a-b475-670a843ee147, 100, 14062, No update data, 9g3qx23d81v8
Bird, MEX, 9df4aa53-6ae5-40ec-b8fb-e05e3ad14881, 57, 7268, No update data, 9g3qx2z1sfxy
Bird, MEX, 3ecbfd4e-07b7-49c4-95b1-18de4a205226, 97, 13588, No update data, 9g3qx2398d2s
Bird, MEX, b1d00107-9c0b-44bc-b84d-a3b388b688d6, 98, 13746, No update data, 9g3qx2392u5v
Bird, MEX, 438c5d35-cf11-4d31-99ef-dc83df7eb073, 93, 13694, No update data, 9g3qx21wrk0v
Bird, MEX, 47228861-e8c3-49cc-98b4-75de03f0f164, 99, 13904, No update data, 9g3qx237udu2
