Bird, MEX, 675aaf21-28c2-4e2a-978d-7e43986f08ad, 92, 13527, No update data, 9g3qx26hucc6
Bird, MEX, 1a297218-f37a-416e-8a6f-577d178f84ed, 100, 14863, No update data, 9g3qx26husk6
Bird, MEX, 41ac6b6e-37ef-44da-979d-66c790504466, 100, 14062, No update data, 9g3qx26jhngh
Bird, MEX, 30c5acdf-4715-4142-a46c-f597e63fd110, 94, 13861, No update data, 9g3qx2y2t6pf
Bird, MEX, b762081f-13a9-4e84-9217-03e481d1a0cd, 100, 14062, No update data, 9g3qx26j5zhy
Bird, MEX, 98dbed4d-efe3-4aca-824d-96fc780a875f, 52, 6478, No update data, 9g3qx26j52ux
Bird, MEX, 3f5d1e14-2abf-4450-b3a3-c1faddeada17, 100, 14062, No update data, 9g3qx26j4fg7
Bird, MEX, 0af7b98d-8e34-4ba9-adbe-098fbcbd0bad, 100, 14062, No update data, 9g3qx26he7ut
Bird, MEX, 47b35d14-9abb-48ec-8e6f-5fa456213b68, 34, 3841, No update data, 9g3qx26hfemh
Bird, MEX, 23aa320d-6add-4133-adcc-529659490f3b, 98, 14529, No update data, 9g3qx2yhwwps
Bird, MEX, 2e806df7-0601-46c2-a156-4762c3aef108, 96, 14195, No update data, 9g3qx2y81t7e
Bird, MEX, de2f514a-b123-4d94-b1e8-c1b66bf9b12e, 48, 6179, No update data, 9g3qx29vy4pm
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 97, 14362, No update data, 9g3qx2yk9nxp
Bird, MEX, a98804d0-77a0-4733-87b8-0b1732e8af11, 100, 14863, No update data, 9g3qx34c0tbx
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 100, 14062, No update data, 9g3qx34c316h
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 100, 14062, No update data, 9g3qx34c3w7e
Bird, MEX, 1091710a-483f-4e51-bd07-1809f2afd5eb, 90, 13193, No update data, 9g3qx2ym4t01
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 89, 12324, No update data, 9g3qx34cfce3
