Bird, MEX, 14316ff8-2dec-485b-a7a3-ad5e24d9f408, 98, 14529, No update data, 9g3qx26hc7tq
Bird, MEX, a6619ad8-524a-4f7f-acc3-b49814715a38, 100, 14863, No update data, 9g3qx26h3z22
Bird, MEX, e5466acb-8bf8-4120-8372-41ce212c195a, 93, 13694, No update data, 9g3qx2jvmwyn
Bird, MEX, f6a55eae-cf59-4c28-8305-591b0a61f7a1, 100, 14062, No update data, 9g3qx2ykbbs5
Bird, MEX, a0336dc2-b55c-4bc7-b374-bca41585f67c, 98, 14529, No update data, 9g3qx2ykbys0
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 100, 14062, No update data, 9g3qx2ykcf0t
Bird, MEX, e004eb82-a525-42cf-989b-e87a26a1c53a, 97, 14362, No update data, 9g3qx24rcqv3
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 90, 13193, No update data, 9g3qx2yk7dcy
Bird, MEX, 4b8125d9-7830-427f-8f6f-a808adc7ce2d, 51, 6680, No update data, 9g3qx3je4s05
Bird, MEX, a9c5870c-d9b1-46e8-b250-f543a109c48d, 92, 12798, No update data, 9g3qx2fr77us
Bird, MEX, 7fefdb66-6840-4a63-82c8-d0e2ac5d7ac2, 85, 12358, No update data, 9g3qx2fr6r9g
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 93, 12956, No update data, 9g3qx2frdem4
Bird, MEX, 92c1b484-7e6b-458a-838c-070795ec1426, 48, 5846, No update data, 9g3qx2yeecub
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 92, 12798, No update data, 9g3qx2fr3qm7
Bird, MEX, 5c2c60fb-0604-4866-90ef-f977d73a7cca, 39, 4424, No update data, 9g3qx2fr2t0e
Bird, MEX, 1dcc43b7-6f31-4b8b-bf33-a9c79dd69b4a, 44, 5511, No update data, 9g3qx2q85vhb
Bird, MEX, 2a5325db-3946-4d15-ac61-26abefd8c45e, 58, 7849, No update data, 9g3qx2ysn0xw
Bird, MEX, 5a415c43-ccf5-401f-8f80-dfb04f28a18c, 44, 5511, No update data, 9g3qx2nxgfky
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 71, 9480, No update data, 9g3qx2nxuurf
Bird, MEX, 97f536f7-7fd5-4d5f-8ca6-681b95b662f4, 75, 10688, No update data, 9g3qx2wyxvz3
Bird, MEX, 5c0c2710-6988-4724-83d3-75c0f4b4b4cf, 57, 7268, No update data, 9g3qx21ygdzb
Bird, MEX, 72f06b9f-866d-4f91-ab4f-fbcf30e96930, 38, 4266, No update data, 9g3qx21z8h0x
Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 42, 4898, No update data, 9g3qx2ctjq6b
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 91, 12640, No update data, 9g3qx292f4ub
Bird, MEX, ceb26f54-09ec-44b4-b928-476cf5a82926, 99, 13904, No update data, 9g3qx21wxn5g
Bird, MEX, 43044bfc-ceb6-4ce0-8b0f-bfa82a1e9f23, 85, 11692, No update data, 9g3qx21wx57c
Bird, MEX, 847e0733-5631-469d-a432-1495ff3996af, 97, 13588, No update data, 9g3qx21wwqsr
Bird, MEX, 7181da95-aada-4f09-abc7-b0a9b22f0195, 98, 14529, No update data, 9g3qx233z3pn
Bird, MEX, 6f8130ff-0110-410a-a838-ad21ad88e88a, 99, 13904, No update data, 9g3qx21xhbre
Bird, MEX, ae1acd5e-47c5-44ab-b0f3-c5fbae204d43, 85, 12358, No update data, 9g3qx23q9h4p
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 88, 12166, No update data, 9g3qx233yg8y
Bird, MEX, 3920bda7-b0f7-4ee7-ad10-1b8c92d03dea, 82, 11857, No update data, 9g3qx233y5xq
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 89, 12324, No update data, 9g3qx236m24u
