Bird, MEX, e3a9da17-10eb-4b12-a4f7-e8f462d6897f, 34, 3841, No update data, 9g3qx2g46eb5
Bird, MEX, 98f1ced5-2fbf-4174-8fd3-f84185b6a1b1, 71, 10020, No update data, 9g3qx2jpfx2j
Bird, MEX, a4ff1fb2-2a27-474f-ba16-e86afa7150ff, 99, 13904, No update data, 9g3qx26wzmzh
Bird, MEX, a9308dfa-1e4d-4b19-a6b9-e708f49e0654, 100, 14062, No update data, 9g3qx2tvtwn5
Bird, MEX, 6dd9e2d7-a065-407f-8454-adc02e1298da, 97, 14362, No update data, 9g3qx2tvq9dw
Bird, MEX, 56f1ff43-cd45-443e-9df6-3c3568753d9b, 97, 14362, No update data, 9g3qx2tvrrr3
Bird, MEX, 504ad117-96ba-458e-b6cc-c35a286b887c, 67, 8848, No update data, 9g3qx25vx3rn
Bird, MEX, f12b4e8b-e94a-4655-81b7-bdfb9f20ea13, 97, 14362, No update data, 9g3qx2tvzff2
Bird, MEX, 101a6b27-312c-4dcb-9176-86f113b72395, 33, 3674, No update data, 9g3qx26w9yne
Bird, MEX, 1a04d845-16b4-4683-8983-83c0e8a91628, 97, 14362, No update data, 9g3qx2whf6cb
Bird, MEX, ce10adb6-ac14-4ffb-ba63-ae5bfe881d25, 69, 9164, No update data, 9g3qx2hj0b7g
Bird, MEX, 47bad6b7-df98-4bdb-bade-758faee0d967, 19, 1336, No update data, 9g3qx26x0t2d
Bird, MEX, 383eafc0-069b-4f7d-a51c-cd0063067214, 97, 14362, No update data, 9g3qx26wbtbs
Bird, MEX, f8c45f13-ad29-48e3-8899-c51f87e979d3, 53, 4956, No update data, 9g3qx25v52em
Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 57, 7268, No update data, 9g3qx3h2mvsr
Bird, MEX, be104209-46e2-4927-9e95-4236b31ed02d, 58, 7849, No update data, 9g3qx25uguuv
Bird, MEX, 630320b3-4db3-4e2e-8162-a758ec053c9c, 99, 13904, No update data, 9g3qx26wb58w
