Bird, MEX, f4670094-36c9-4a1a-b67e-3c67e838b4f8, 100, 14062, No update data, 9g3qx203ve0f
Bird, MEX, 8f7ab418-2c00-4ad2-b27c-620284e5c12b, 100, 14062, No update data, 9g3qx203nw68
Bird, MEX, 24ad8133-a7fa-4cf0-8e41-66fac3d9959f, 100, 14062, No update data, 9g3qx203nrhm
Bird, MEX, e55c5dda-1fc7-438f-8418-3b156d39c78a, 100, 14863, No update data, 9g3qx202zjgg
Bird, MEX, ceb26f54-09ec-44b4-b928-476cf5a82926, 100, 14062, No update data, 9g3qx203q0p7
Bird, MEX, e4e1ce05-dc5f-4347-81a4-e5a546cae780, 100, 14863, No update data, 9g3qx20hr22v
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 99, 13904, No update data, 9g3qx203ku1m
Bird, MEX, efd48a79-c49f-4e7c-9cba-d2ce7b2eae94, 63, 8684, No update data, 9g3qrrc1rwsh
Bird, MEX, b809e99f-9fd2-4e7a-8634-3416733d8ab4, 66, 9185, No update data, 9g3qx32cjrpx
Bird, MEX, e42a1443-5975-4735-940a-c73491edc3ad, 100, 14863, No update data, 9g3qx202u5pf
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 78, 10586, No update data, 9g3qx3pyxux6
Bird, MEX, f045452a-a846-49ff-944d-c58a8394eac6, 99, 14696, No update data, 9g3qx20hhdu6
Bird, MEX, 3dd58251-b40d-45d7-9c4d-c5ace8444f8b, 97, 13588, No update data, 9g3qx2034e2n
Bird, MEX, 9e68ac62-5e5a-44d2-9ba8-e33101e08f8a, 54, 6794, No update data, 9g3qx0zuh1fv
Bird, MEX, d4183b8c-4ee6-4bb9-abc0-bc398088269c, 44, 5214, No update data, 9g3qrr9w6c53
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 100, 14863, No update data, 9g3qx202c6v0
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 100, 14863, No update data, 9g3qx20j2127
Bird, MEX, 28783902-2f4a-4e22-acb1-a03e54c907e5, 100, 14863, No update data, 9g3qx201ruf2
Bird, MEX, c479096a-dfb9-4374-b9c8-e1d4007bf053, 69, 9686, No update data, 9g3qx0zdkprc
Bird, MEX, 828f6ed2-e84c-4aa7-bdaa-1792ff881415, 78, 10586, No update data, 9g3qrrmrk7w2
Bird, MEX, 6a5214dc-0bc4-4590-9c23-10ec263b3c8c, 89, 12324, No update data, 9g3qrr9sk8h7
Bird, MEX, cf16fd66-9688-4fe8-b72d-2d7c86ace9b9, 42, 4898, No update data, 9g3qrrmr48vn
Bird, MEX, eeef1113-26dc-43c5-bbcd-2a5d00a65422, 100, 14062, No update data, 9g3qx200h2yp
Bird, MEX, 94211a9f-a920-4856-aa48-abdd2934e899, 100, 14863, No update data, 9g3qx90r15z3
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 100, 14863, No update data, 9g3qx90s2r7c
Bird, MEX, 7007dba4-57be-43c2-997d-6545181a14db, 64, 8851, No update data, 9g3qx83jepqe
Bird, MEX, cbc4863e-3d13-4094-b792-544f22e6103d, 74, 9954, No update data, 9g3qx399x57g
Bird, MEX, 146d9dc6-5200-497e-95d0-258bf2ab5396, 100, 14863, No update data, 9g3qx90qmpkc
Bird, MEX, 56da2f5f-d651-4058-8293-65c5b78dfad9, 100, 14863, No update data, 9g3qx90tbbk1
