Bird, MEX, b83bebdb-5416-428d-bb8e-81a9c02c3655, 72, 10187, No update data, 9g3qw9m21c9h
Bird, MEX, 873f40df-774a-4cb8-8202-229c3196cff8, 48, 5846, No update data, 9g3qwb8n11r9
Bird, MEX, b11e39f7-710d-412d-b2f6-b6eb9eb5fe32, 40, 4843, No update data, 9g3qw8y57fj2
Bird, MEX, 7edb39ba-7fb8-4a79-b8ec-7efdf8de6ea7, 52, 6847, No update data, 9g3qw8xq6f6d
Bird, MEX, c15baedd-74a8-43cf-9268-93c29b81e40a, 65, 9018, No update data, 9g3qw8xqh6jx
Bird, MEX, 9a566b27-e31e-4ed6-9097-b9812b0678f3, 73, 10354, No update data, 9g3qw8ve9vy4
Bird, MEX, 1653c2c7-0b24-454d-9713-89d1383988ea, 44, 5214, No update data, 9g3qw8wsxrqe
Bird, MEX, 54edb8ca-e4d1-49aa-a370-2ecc570c1aa2, 83, 12024, No update data, 9g3qw97u0d94
Bird, MEX, 4c1a365c-7fc8-4f7e-bf2c-53dd89b5a511, 85, 12358, No update data, 9g3qw97u0d30
Bird, MEX, e996b990-b00b-4a5d-965f-37f210a85ebd, 94, 13114, No update data, 9g3qw8wepvcw
Bird, MEX, bf6a8092-c723-433f-b57e-ef629951d70d, 48, 5846, No update data, 9g3qw8v2z4g3
Bird, MEX, f984be1e-7510-44b4-afc9-70a671a8cc99, 93, 12956, No update data, 9g3qw8wejg5t
Bird, MEX, 4af58471-1aee-4dd0-a650-c72109101201, 93, 12956, No update data, 9g3qw8ufj9bm
Bird, MEX, c758ca4e-0f21-4ad6-888a-e5311e613970, 90, 12482, No update data, 9g3qw8ucy8cv
Bird, MEX, dfa1cab5-5ca6-449c-a595-00d280ef3f26, 96, 13430, No update data, 9g3qw8tqr6n8
Bird, MEX, 4e99b69e-e9d8-44e9-8ad4-a87d895b1448, 54, 7181, No update data, 9g3qw95ug65v
Bird, MEX, c0ff3d53-b8dd-4102-bc76-0adc1e445f89, 93, 12956, No update data, 9g3qw8tqnrsb
Bird, MEX, 75856d1b-80cd-44cb-b411-a9f2613e3b8b, 45, 5678, No update data, 9g3qwds7pskx
Bird, MEX, 34780509-5a09-4863-8557-a05b93dfe15b, 74, 9954, No update data, 9g3qw8u61ddc
Bird, MEX, ad304588-c21c-4269-a18d-cea75276611f, 71, 10020, No update data, 9g3qw9d0cwd9
Bird, MEX, 1e10d47c-8071-4bfe-baea-c761e8b1d56b, 44, 5214, No update data, 9g3qwehg512u
Bird, MEX, c4bc7f85-b187-4d74-a7d8-43ec3ae0c1bb, 81, 11060, No update data, 9g3qwg67510f
Bird, MEX, 9e9da557-3bee-4386-a28f-ac4c715e78f0, 66, 8690, No update data, 9g3qwe5ujrd5
Bird, MEX, 15ed3336-9929-4828-a5b3-4d08ee6c156a, 51, 6320, No update data, 9g3qwddq281n
Bird, MEX, 200f6a9c-7759-42a8-9ff5-7c1019ea0d47, 66, 8690, No update data, 9g3qwd3hzczu
Bird, MEX, 95bee2d9-8621-47c3-9e33-33017e4f3adb, 44, 5214, No update data, 9g3qwe94dtm8
Bird, MEX, b84172a8-9455-409f-a948-d1c79a923c6e, 72, 10187, No update data, 9g3qw6zp083n
Bird, MEX, 22b490a6-7536-43b4-922e-bf20a432a457, 80, 10902, No update data, 9g3qrnkkjk48
Bird, MEX, daec80e4-e554-4406-89b8-e589ba0dfab6, 29, 3006, No update data, 9g3qrnkdye66
Bird, MEX, 3364dc14-a88e-4ced-b774-a6ce292c6431, 49, 6346, No update data, 9g3qrnkdwzbt
Bird, MEX, 48c8c960-1c8b-47db-8c78-e28b365e1e43, 52, 6847, No update data, 9g3qrnkdwujt
Bird, MEX, 1a283a9c-d184-42c7-a11e-56c686496270, 72, 9638, No update data, 9g3qrnkdwfbw
Bird, MEX, f27921cb-e5bb-4029-8d0a-7200268dbb19, 44, 5214, No update data, 9g3qrjfz7pw0
Bird, MEX, 9e734a02-7564-48fd-9bd7-33c4ca724f1b, 84, 11534, No update data, 9g3qrj9zxdt5
Bird, MEX, 3c9d94dc-86a8-4bd7-82a5-8a68da1e71c8, 58, 7426, No update data, 9g3qrnnk0829
Bird, MEX, 47333cc1-a3d1-4ec9-91ca-d5c7c4f28d80, 89, 12324, No update data, 9g3qrmbj8wqf
Bird, MEX, 9d039618-f9bb-450f-84f3-8c8b65d46642, 89, 12324, No update data, 9g3qrmbjc787
Bird, MEX, 1e3f0f90-b608-4121-aac2-ada709eced85, 69, 9686, No update data, 9g3qrq0kv80y
Bird, MEX, f218e6a1-765b-4ab1-a16a-76a5ea140f0e, 42, 4898, No update data, 9g3qrmbkcx77
Bird, MEX, 95829365-2b67-4487-b9f8-9297da9c5add, 80, 10902, No update data, 9g3qrmb55csb
Bird, MEX, 0674d19c-f1a9-43c9-8dcf-670a27af5c61, 26, 2370, No update data, 9g3qrjy3v0u6
Bird, MEX, ae646d82-5b06-43cc-bb29-b56c5edb0799, 56, 7110, No update data, 9g3qrnjyjkds
Bird, MEX, ea1b09ff-7d71-4bed-a59a-4c96d7ad2293, 90, 12482, No update data, 9g3qrmbx81tm
Bird, MEX, 708056d2-5fdb-4282-8b82-d93ee42b5eec, 79, 10744, No update data, 9g3qrjxp9zwd
Bird, MEX, c65db4cc-5502-4bde-a18e-dab1f384ba9e, 94, 13114, No update data, 9g3qrjxp8gt1
Bird, MEX, 2d821e04-bf2b-4297-8376-a39fb506159e, 39, 4424, No update data, 9g3qrmbw2r5w
Bird, MEX, 540f24ac-608c-4b8f-8b57-3a9f5a2f48ac, 51, 6320, No update data, 9g3qrmbw354j
Bird, MEX, 786652f0-a111-4e2b-a8fb-a6d46de346f5, 27, 2672, No update data, 9g3qrjxr0988
Bird, MEX, 5169d15d-aa04-4e5b-ba17-82fcaa05b522, 45, 5372, No update data, 9g3qrjxnuy9r
Bird, MEX, b8df4af0-b87d-4ad0-8553-0b704652b208, 81, 11060, No update data, 9g3qrmb77ezb
Bird, MEX, 97fcdba5-050f-4f24-b69b-5a3c7ae73515, 39, 4676, No update data, 9g3qrjy2hf3q
Bird, MEX, a56a58da-4707-4746-beda-deaf1818496b, 62, 8058, No update data, 9g3qrjwxj64s
Bird, MEX, ca8898ad-3252-45a8-a287-26d1b928805c, 88, 12166, No update data, 9g3qrjwx5cud
