Bird, MEX, 199e04b5-12c2-4a2d-a4f3-a12c3befeb25, 98, 13746, No update data, 9g3qx3m7yd4t
Bird, MEX, 208fcbe3-a0f6-409e-9353-79f129875513, 97, 14362, No update data, 9g3qx3mkj1ss
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 96, 14195, No update data, 9g3qx3m7yyvf
Bird, MEX, 9c03be33-e196-47dd-abe4-27ecf135ee76, 75, 10688, No update data, 9g3qrryz38ex
Bird, MEX, f79fe92a-822e-48ad-bf8c-4c4953a8f041, 93, 13694, No update data, 9g3qx2ztcktk
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 91, 9440, No update data, 9g3qx2ztk2b0
Bird, MEX, 7beff964-6325-4b2b-8a5b-83dccdddfc36, 89, 13026, No update data, 9g3qx21hn131
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 99, 13904, No update data, 9g3qx3mkwjc6
Bird, MEX, 1ccedbad-8286-4690-8a8a-d7f0c651583e, 91, 13360, No update data, 9g3qx215y514
Bird, MEX, b653854b-733e-4c4c-8e76-3b570ba90c22, 64, 8851, No update data, 9g3qx3p3ebug
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 55, 7348, No update data, 9g3qx28d59rc
Bird, MEX, 6018a9ad-c989-4a26-b2ad-86e248705377, 93, 13694, No update data, 9g3qx2zsryzr
Bird, MEX, f3462101-625e-4c6e-a9f0-cc7c01652f8e, 92, 13527, No update data, 9g3qx2ztp7c1
Bird, MEX, f815c609-1181-499f-9c86-c1ebf4a7906e, 93, 9676, No update data, 9g3qx2zgckm6
Bird, MEX, f508e66d-1d30-4da5-8a2a-e5977729c4f3, 89, 13026, No update data, 9g3qx215m2xx
Bird, MEX, f00a944f-dc26-4234-9937-174fa6b9d8d5, 87, 12692, No update data, 9g3qrrswpeu0
Bird, MEX, 32b20728-373e-46e0-bf5d-dedc403e8641, 69, 9164, No update data, 9g3qx3q8zqz6
Bird, MEX, 8cba6cde-a83a-4e8a-a76e-ac875b990d63, 90, 13193, No update data, 9g3qx20xsuze
Bird, MEX, f7ee63b0-66db-4e34-a9d9-00f1b38b1ef8, 93, 13694, No update data, 9g3qx20xk1zz
Bird, MEX, f6cdd7bc-0a64-4ca4-a6b5-04a1120f65a8, 92, 12798, No update data, 9g3qrrsubd8z
Bird, MEX, 2038178e-884b-4374-a472-add4acadc045, 75, 10112, No update data, 9g3qx3pdvnuf
Bird, MEX, f8a898b7-d42d-4080-ab2a-4476cfb2bfcd, 91, 13360, No update data, 9g3qx2b34smj
Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 100, 14062, No update data, 9g3qx3pcd8jp
Bird, MEX, c692401e-ff10-44ff-a15b-7d1f2d4c041b, 48, 5846, No update data, 9g3qx8bn9n4k
Bird, MEX, f045452a-a846-49ff-944d-c58a8394eac6, 88, 12859, No update data, 9g3qx20wbt0x
Bird, MEX, 36f00274-02fe-4d11-9f7c-23cef08ef71a, 97, 14362, No update data, 9g3qx3pc7u0n
Bird, MEX, dc683a29-e760-4cc9-aff7-d884a4c06426, 40, 4843, No update data, 9g3qx2p8eub5
Bird, MEX, 7c163c5f-0b43-46be-a25d-8256872a99ca, 90, 13193, No update data, 9g3qx3pf9j4q
Bird, MEX, fbdde7da-b0e7-46f1-b432-c1c214bb3231, 80, 11523, No update data, 9g3qx2b30tyy
Bird, MEX, 5146dac5-6249-4068-8883-edb44b96c9a5, 78, 11189, No update data, 9g3qrrs7kyp8
Bird, MEX, 95e0440a-64aa-496d-9f01-f7f57d8daf4e, 89, 13026, No update data, 9g3qx20qwx6e
Bird, MEX, 7a555408-d8d3-42aa-a998-2d93c814bfd4, 57, 7268, No update data, 9g3qx8bnge9z
Bird, MEX, 3ef88f04-2898-49e8-a343-4f19b1eec945, 98, 14529, No update data, 9g3qx9003u0t
Bird, MEX, cd467842-2ef6-4ce7-bc8e-d333b4562dad, 56, 7515, No update data, 9g3qx8bntmzf
Bird, MEX, 7c2d144c-de61-4c6e-92d4-8067f90eb914, 81, 11690, No update data, 9g3qx8bntrpc
Bird, MEX, 9d592ade-a37b-401c-9171-cb48d4cb6c9c, 73, 10354, No update data, 9g3qx3prtxwn
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 27, 2672, No update data, 9g3qx20edjuc
Bird, MEX, 9e09f84e-8e8b-44fc-8f66-70f2af59dedd, 66, 8690, No update data, 9g3qx28p1xe2
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 83, 11376, No update data, 9g3qx20e08nc
Bird, MEX, c26f0539-6bba-417a-99a6-e2ebdbecbf99, 92, 13527, No update data, 9g3qx209fyg1
Bird, MEX, 8d195512-d172-45e7-b573-c85ea29c51e7, 100, 14863, No update data, 9g3qx901kfzy
Bird, MEX, 154ee58c-8457-4ba1-a702-a0d75ea6c71d, 100, 14863, No update data, 9g3qx900rxum
Bird, MEX, 05d2960b-1390-461f-909e-9298e3d17aae, 31, 3340, No update data, 9g3qx20q01m3
Bird, MEX, e42a1443-5975-4735-940a-c73491edc3ad, 88, 12859, No update data, 9g3qx2098x2d
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 97, 14362, No update data, 9g3qx20m84j6
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 94, 13114, No update data, 9g3qx20k9bb6
Bird, MEX, 4fb452cf-95e7-40c1-a3eb-d0d2076ef381, 92, 13527, No update data, 9g3qx20jwube
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 91, 13360, No update data, 9g3qx209200e
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 97, 13588, No update data, 9g3qx203r62c
Bird, MEX, 11fac914-7ab6-4d5c-ac39-b6037963dc12, 93, 13694, No update data, 9g3qrrwz5s3u
Bird, MEX, c7c9c180-b70a-46d8-92bc-9457e20c2a07, 93, 13694, No update data, 9g3qx20jv88f
Bird, MEX, e55c5dda-1fc7-438f-8418-3b156d39c78a, 78, 11189, No update data, 9g3qx203ngmw
Bird, MEX, 817ec3eb-bc89-4e90-b7ab-aea8550b93ea, 88, 12166, No update data, 9g3qx32bvvuh
Bird, MEX, 28783902-2f4a-4e22-acb1-a03e54c907e5, 90, 13193, No update data, 9g3qx202rwk4
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 92, 13527, No update data, 9g3qx20jgghf
Bird, MEX, 97f75477-eeb6-4119-b8c6-cc56fdeb60a3, 84, 11534, No update data, 9g3qrrc4cuyt
Bird, MEX, 0de30390-2a08-4d45-8de7-7031e23a88eb, 93, 13694, No update data, 9g3qx202rk2y
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 72, 9638, No update data, 9g3qx3pyrm9p
Bird, MEX, 02462fc6-5969-470d-b3b0-22f2becf8938, 94, 13114, No update data, 9g3qx3e5v9yh
Bird, MEX, 018e6980-c8c1-44d0-bcc7-60ed1c53c034, 19, 1336, No update data, 9g3qx902pkrm
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 98, 14529, No update data, 9g3qx3ehn2kk
Bird, MEX, efd48a79-c49f-4e7c-9cba-d2ce7b2eae94, 52, 6847, No update data, 9g3qrrc0zmbg
Bird, MEX, 53239a68-389d-42f8-ad28-fa6af312c06d, 96, 13430, No update data, 9g3qx205urwp
Bird, MEX, c479096a-dfb9-4374-b9c8-e1d4007bf053, 60, 8183, No update data, 9g3qx0zds1zb
Bird, MEX, c62579f5-519f-452b-97d7-2aeb3ddeeba3, 76, 10855, No update data, 9g3qx90kwddy
Bird, MEX, 1238f8ef-6128-4980-87d0-24367a84886e, 52, 6478, No update data, 9g3qrrwdkt56
Bird, MEX, 81c77a5a-0f5c-48ce-a0c6-eb963e39f6b7, 66, 9185, No update data, 9g3qx90s3e78
Bird, MEX, 7519aead-16eb-4f46-acab-68616666ed7b, 83, 11376, No update data, 9g3qrr7ve0qx
Bird, MEX, fa3fcf5f-caf8-4926-953d-21ba81c08ea2, 78, 10586, No update data, 9g3qx0rkkgpx
Bird, MEX, 5abed53f-42b8-472d-ba12-f03a4ffbef6f, 61, 8350, No update data, 9g3qx90f617u
Bird, MEX, 3defaae1-756f-41c0-9db4-82f7df6628cf, 79, 10744, No update data, 9g3qx89m4ze2
Bird, MEX, 27666bc6-58ee-4cac-957b-5a0e586a788a, 47, 5688, No update data, 9g3qx90fus77
Bird, MEX, 07ebbed8-7a8f-40c0-97a9-7fa18ba0e3a4, 75, 10688, No update data, 9g3qrrb5vmd9
Bird, MEX, 4a9bc086-f67a-4b02-85b3-1709215d8d1b, 49, 6346, No update data, 9g3qx3epcw5x
Bird, MEX, 4446693f-2397-4602-9e41-12a0524764f1, 90, 13193, No update data, 9g3qrr6tgmue
