Bird, MEX, b5c2abc2-3e82-47c4-9fb7-9d69afcc6073, 56, 7515, No update data, 9g3qx2tu7xxf
Bird, MEX, 27cea3f0-f8b9-4bbd-b155-904682c6d7e9, 60, 8183, No update data, 9g3qx2tug8zv
Bird, MEX, 29089756-bc29-4e84-83a3-83bbcb86ea70, 52, 6847, No update data, 9g3qx2tueukb
Bird, MEX, 2ec5d5ce-2fca-4260-bcb5-f59f66cf558c, 81, 11690, No update data, 9g3qx2tugvsf
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 93, 12956, No update data, 9g3qx2tuuypw
Bird, MEX, b79b987e-d2af-4ec5-a1d8-c098047ec0f4, 93, 12956, No update data, 9g3qx2tutr6g
Bird, MEX, 9d0c26d7-da5f-4782-9391-60668393b103, 72, 10187, No update data, 9g3qx2tz5t1c
Bird, MEX, 0360abd8-2f73-4a2f-b6a3-58e86c2ae706, 22, 1738, No update data, 9g3qx2mugepf
Bird, MEX, 1d851a7d-a4c5-44ab-a21d-59434d2e025d, 57, 7268, No update data, 9g3qx2hj050s
Bird, MEX, 53fb9905-002a-45fb-be1c-054644b917cc, 82, 11857, No update data, 9g3qx26wc6b2
Bird, MEX, 71056b3b-95c9-44ae-a2d3-433b81ea6318, 62, 8517, No update data, 9g3qx26qz78y
Bird, MEX, b1f6ce4a-5722-4800-bf0b-590b7aeda1ea, 49, 6004, No update data, 9g3qx26c9gbm
Bird, MEX, e0d6e24d-8fe4-4b85-903f-4ec581a51fcc, 72, 9638, No update data, 9g3qx2qj4gg2
Bird, MEX, e0a596a3-e210-4dce-863c-29a74008756c, 47, 6012, No update data, 9g3qx2y0cv8d
Bird, MEX, 892c9223-09eb-4776-bdf8-ea075c8776dc, 30, 3173, No update data, 9g3qx26mtkzg
Bird, MEX, ddd36095-c005-4f88-bc2a-64fa6d5a8bc7, 64, 8374, No update data, 9g3qx2h57w9s
Bird, MEX, 1805bfb5-d06c-492d-a5dd-a06bf134df9d, 60, 8183, No update data, 9g3qx26q7pyk
Bird, MEX, 2dc58e40-8f4c-4092-93c7-8c7dbbdd30c6, 83, 12024, No update data, 9g3qx2wnzpkn
Bird, MEX, 316dd82a-8b61-4f98-817e-260c1f31b880, 65, 9018, No update data, 9g3qx2h50wqb
Bird, MEX, e0b75e90-5de5-4bb3-a54f-3ce4ceb7d418, 60, 7742, No update data, 9g3qx2h4gp2m
Bird, MEX, 9e9d89ae-208b-44cd-9093-b1ce1543c030, 51, 6680, No update data, 9g3qx25jefuz
Bird, MEX, 0c3b5bb2-5d31-4934-9871-aeae78a5d2fe, 49, 6346, No update data, 9g3qx2wreq5e
Bird, MEX, 02a012ac-f655-4e34-8d7a-92fcb3269eaa, 64, 8851, No update data, 9g3qx2qmygjf
Bird, MEX, 14316ff8-2dec-485b-a7a3-ad5e24d9f408, 85, 12358, No update data, 9g3qx26hegkf
Bird, MEX, 0afed6fc-c9c9-4066-9f11-730f9caa82e3, 93, 13694, No update data, 9g3qx26hee3d
Bird, MEX, 256bdf4a-64cf-4ceb-a4ee-897365975aca, 84, 12191, No update data, 9g3qx24v29qg
Bird, MEX, 4316d66d-6de0-44a8-9da3-5703cb0ac7e8, 90, 13193, No update data, 9g3qx26hfg56
Bird, MEX, 042dd301-559d-4df6-8e3b-8a7bd125838c, 93, 13694, No update data, 9g3qx26he585
Bird, MEX, ac7ac880-277c-464a-b701-1e8ec284409c, 89, 13026, No update data, 9g3qx26he0b4
Bird, MEX, 866b8a89-85c5-482a-b400-15dc07432cb2, 70, 9322, No update data, 9g3qx29vrkz1
Bird, MEX, a6619ad8-524a-4f7f-acc3-b49814715a38, 94, 13861, No update data, 9g3qx26h59ct
Bird, MEX, 41f9e170-a5d0-4ace-bfe3-b1819f713df7, 48, 6179, No update data, 9g3qx2h9hbcr
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 57, 7268, No update data, 9g3qx2jvhw72
Bird, MEX, 3dc9aeff-cceb-4edb-b39e-02ce14fe7095, 31, 3340, No update data, 9g3qx3j6vbum
Bird, MEX, d2420534-be94-4b40-be32-1d7fb1a79c7f, 58, 7849, No update data, 9g3qx2f190ur
Bird, MEX, 4b8125d9-7830-427f-8f6f-a808adc7ce2d, 46, 5845, No update data, 9g3qx3je4zg6
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 89, 12324, No update data, 9g3qx2fr3ub3
Bird, MEX, 49976847-d981-4736-9265-295a8a448a00, 90, 12482, No update data, 9g3qrrunv8yh
Bird, MEX, a9c5870c-d9b1-46e8-b250-f543a109c48d, 89, 12324, No update data, 9g3qx2fr9fww
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 90, 12482, No update data, 9g3qx2fr2s2x
Bird, MEX, 7bd2f498-2d2e-49be-88d4-7129528eb6f9, 46, 5845, No update data, 9g3qx2fnuekm
Bird, MEX, 5c0c2710-6988-4724-83d3-75c0f4b4b4cf, 58, 7426, No update data, 9g3qx24nb8bs
Bird, MEX, f2a77fec-f13f-4714-91c3-8b83edf00e55, 60, 7742, No update data, 9g3qx23dy7h6
Bird, MEX, 900624f5-897d-42e1-ac48-8ce867af8d5a, 89, 12324, No update data, 9g3qx23ekuc3
Bird, MEX, 72f06b9f-866d-4f91-ab4f-fbcf30e96930, 45, 5372, No update data, 9g3qx23ehxs2
Bird, MEX, c8042a6b-5832-412d-a797-ea6375a3937f, 66, 9185, No update data, 9g3qx23ehekq
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 69, 9164, No update data, 9g3qx2nxz2r2
Bird, MEX, 7a244aa2-c9d2-4e3d-9807-2434242c2bb6, 47, 5688, No update data, 9g3qx2x5gyhy
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 67, 8848, No update data, 9g3qx2yftdqh
Bird, MEX, 97f536f7-7fd5-4d5f-8ca6-681b95b662f4, 69, 9686, No update data, 9g3qx2xp6fgm
Bird, MEX, d0823345-b8c6-476b-b399-8d00c4f8d406, 82, 11218, No update data, 9g3qx2z40d0z
Bird, MEX, 141481f8-d192-4ac9-adb3-e218dc7855d8, 80, 10902, No update data, 9g3qx2z42d8u
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 82, 11218, No update data, 9g3qx2z50fhp
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 83, 11376, No update data, 9g3qx2z44qfh
Bird, MEX, 96c1323b-ce0d-44c7-9a44-6666db871a98, 79, 10744, No update data, 9g3qrrvmspgn
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 87, 12692, No update data, 9g3qx2yvgg2j
Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 42, 4898, No update data, 9g3qx2csung4
Bird, MEX, 2a5325db-3946-4d15-ac61-26abefd8c45e, 52, 6847, No update data, 9g3qx2yvszrg
Bird, MEX, ceb26f54-09ec-44b4-b928-476cf5a82926, 94, 13114, No update data, 9g3qx21wycbf
Bird, MEX, 6f8130ff-0110-410a-a838-ad21ad88e88a, 96, 13430, No update data, 9g3qx21wy6u2
Bird, MEX, a0336dc2-b55c-4bc7-b374-bca41585f67c, 92, 13527, No update data, 9g3qx2yvqpr9
Bird, MEX, 1ba2076a-c5ee-4b15-8423-b3a3a18e9287, 99, 13904, No update data, 9g3qx233z9hn
Bird, MEX, 24ad8133-a7fa-4cf0-8e41-66fac3d9959f, 94, 13114, No update data, 9g3qx21wtuu5
Bird, MEX, 3920bda7-b0f7-4ee7-ad10-1b8c92d03dea, 76, 10855, No update data, 9g3qx233ycbf
Bird, MEX, 4caf17b2-5dfe-4e34-8ecc-03927add5088, 91, 13360, No update data, 9g3qx2yyn86s
Bird, MEX, 7181da95-aada-4f09-abc7-b0a9b22f0195, 92, 13527, No update data, 9g3qx233yn3p
Bird, MEX, 847e0733-5631-469d-a432-1495ff3996af, 93, 12956, No update data, 9g3qx21tyx6t
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 84, 11534, No update data, 9g3qx233y190
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 85, 11692, No update data, 9g3qx233w3u2
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 88, 12166, No update data, 9g3qx236j2pc
Bird, MEX, c8bcfb7d-1d1c-444e-8740-47810b5a00c2, 93, 12956, No update data, 9g3qx233q6um
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 88, 12166, No update data, 9g3qx233vhuw
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 84, 12191, No update data, 9g3qx2zje5qd
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 90, 13193, No update data, 9g3qx2zn9ynu
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 71, 9480, No update data, 9g3qx233cqmr
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 82, 11218, No update data, 9g3qx2331q22
Bird, MEX, d80dd3a9-e8bc-4c1e-ab47-0b0ab0006477, 40, 4582, No update data, 9g3qx3nq0bsn
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 87, 12008, No update data, 9g3qx2912v7v
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 85, 11692, No update data, 9g3qx28cryfq
Bird, MEX, 982395b4-395e-4375-a321-4c510a3a2944, 81, 11060, No update data, 9g3qx28cxp5c
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 75, 10112, No update data, 9g3qx230xf6k
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 88, 12166, No update data, 9g3qx28cp57z
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 93, 13694, No update data, 9g3qx21mv9tb
Bird, MEX, b653854b-733e-4c4c-8e76-3b570ba90c22, 67, 9352, No update data, 9g3qx2zpgbkc
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 85, 11692, No update data, 9g3qx21mv26b
Bird, MEX, 2deda658-907a-4f15-ac75-31743fe2f233, 92, 13527, No update data, 9g3qx21mufz8
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 61, 7900, No update data, 9g3qx231mbsp
Bird, MEX, 7c163c5f-0b43-46be-a25d-8256872a99ca, 91, 13360, No update data, 9g3qx2zpsg9s
Bird, MEX, 82dcd49c-65e1-4665-9b35-302cd6e6627b, 72, 10187, No update data, 9g3qx231m3zx
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 87, 12008, No update data, 9g3qx28fqj15
Bird, MEX, ae1acd5e-47c5-44ab-b0f3-c5fbae204d43, 80, 11523, No update data, 9g3qx22vzufq
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 94, 13861, No update data, 9g3qx231j6px
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 85, 11692, No update data, 9g3qx21mses7
Bird, MEX, 031016b4-d140-43d1-b68d-dcdb3a7b11a0, 67, 8848, No update data, 9g3qx2zpv2rc
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 57, 7682, No update data, 9g3qx28cj6ze
Bird, MEX, 02006705-1f0f-45ac-a77b-0e0d538e4b93, 93, 12956, No update data, 9g3qx28fj36c
Bird, MEX, aecb2517-a087-407e-a8f5-4d17b824c384, 92, 13527, No update data, 9g3qx22vz57u
Bird, MEX, 83220a33-fefd-4340-b5ab-2b7478bcb44d, 91, 13360, No update data, 9g3qx231kpzu
Bird, MEX, d35a9576-a35c-4a51-8b1b-caa587f5263e, 93, 13694, No update data, 9g3qx231htuq
Bird, MEX, ca264705-8a9b-461c-be40-6b979e038e06, 60, 7742, No update data, 9g3qx2zpvu74
Bird, MEX, 72a414a0-8b65-4ea5-bdee-163e7010ce34, 90, 12482, No update data, 9g3qrryjxdur
Bird, MEX, 9faddf4c-a5cd-47d4-9766-7ed40affa7c3, 96, 14195, No update data, 9g3qx2317qkd
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 94, 13861, No update data, 9g3qx231fx8p
Bird, MEX, b2e3c829-5ace-41a0-a656-23f18e4fb866, 80, 11523, No update data, 9g3qx2zd34p0
Bird, MEX, 66dbe6e8-6ed7-46d9-a4b8-1a8f853c57ad, 94, 13861, No update data, 9g3qx2315fhz
Bird, MEX, 0736a316-961b-48ca-a983-aab12362a9d5, 89, 12324, No update data, 9g3qx2zkqp97
Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 100, 14062, No update data, 9g3qx3p0n6ue
Bird, MEX, 44bc8cfd-6369-4677-89a0-584144e5541c, 85, 11692, No update data, 9g3qx3nr5e30
Bird, MEX, 5e7dd5f9-a8ac-4ce4-b82c-6c643967fc1e, 63, 8684, No update data, 9g3qx2316v55
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 91, 13360, No update data, 9g3qx2z7xy4e
Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 91, 13360, No update data, 9g3qx2316wm4
Bird, MEX, 9e2076dd-7e4a-4c88-b519-5b4d6b32bd96, 93, 12956, No update data, 9g3qx22ysmnj
Bird, MEX, 5b07c2c0-a805-445d-b168-01ac8898e484, 92, 13527, No update data, 9g3qx23149vj
Bird, MEX, 304641d8-118f-4753-a91a-7187243d9247, 92, 13527, No update data, 9g3qx2zmn9r9
Bird, MEX, 1d03b435-5234-4603-8eed-5e3f5c7a18d1, 93, 13694, No update data, 9g3qx2zs0fhp
Bird, MEX, 5470d1c2-9e87-4469-800a-d2b3dc5abddf, 70, 9853, No update data, 9g3qx2zs3h6r
Bird, MEX, fab2725e-6ed9-4a78-9747-f58fc250f902, 75, 10688, No update data, 9g3qx22ve3u8
