Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 89, 12324, No update data, 9g3qx2398wwz
Bird, MEX, c8bcfb7d-1d1c-444e-8740-47810b5a00c2, 94, 13114, No update data, 9g3qx2391973
Bird, MEX, 1ba2076a-c5ee-4b15-8423-b3a3a18e9287, 100, 14062, No update data, 9g3qx2392ugc
Bird, MEX, 24ad8133-a7fa-4cf0-8e41-66fac3d9959f, 96, 13430, No update data, 9g3qx21wrkbc
Bird, MEX, 458ff872-5dea-4faf-9011-4ac7b29bafe7, 30, 3173, No update data, 9g3qx3n76qfp
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 67, 8848, No update data, 9g3qx2z5702q
Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 42, 4898, No update data, 9g3qx2ct7e38
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 89, 13026, No update data, 9g3qx2zhbk5b
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 89, 12324, No update data, 9g3qx23905v8
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 92, 13527, No update data, 9g3qx2zhc95x
Bird, MEX, ae1acd5e-47c5-44ab-b0f3-c5fbae204d43, 82, 11857, No update data, 9g3qx23nx3ph
Bird, MEX, 847e0733-5631-469d-a432-1495ff3996af, 94, 13114, No update data, 9g3qx21tv9vf
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 83, 11376, No update data, 9g3qx2z5mv55
Bird, MEX, 3920bda7-b0f7-4ee7-ad10-1b8c92d03dea, 79, 11356, No update data, 9g3qx233jphw
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 85, 11692, No update data, 9g3qx233kryh
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 89, 12324, No update data, 9g3qx290kdum
Bird, MEX, 8e795b2b-05cb-41d7-8077-176ae8687cbd, 93, 13694, No update data, 9g3qx23hv7dy
Bird, MEX, 7c163c5f-0b43-46be-a25d-8256872a99ca, 93, 13694, No update data, 9g3qx2zp8uk0
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 82, 11218, No update data, 9g3qx2z7657b
Bird, MEX, aecb2517-a087-407e-a8f5-4d17b824c384, 94, 13861, No update data, 9g3qx23jgkkd
Bird, MEX, 9e2076dd-7e4a-4c88-b519-5b4d6b32bd96, 94, 13114, No update data, 9g3qx23hkxk2
Bird, MEX, 7eb9f5b2-d82b-4eac-8620-fb60dc01546d, 78, 11189, No update data, 9g3qx2950y7b
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 87, 12008, No update data, 9g3qx21mxuf7
Bird, MEX, ca264705-8a9b-461c-be40-6b979e038e06, 61, 7900, No update data, 9g3qx3p028rn
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 97, 14362, No update data, 9g3qx21rdue1
Bird, MEX, 66dbe6e8-6ed7-46d9-a4b8-1a8f853c57ad, 96, 14195, No update data, 9g3qx23237b7
Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 100, 14062, No update data, 9g3qx2zpe0ye
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 83, 11376, No update data, 9g3qx21scj4p
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 87, 12008, No update data, 9g3qx21mrtsn
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 96, 14195, No update data, 9g3qx21sc382
Bird, MEX, 2deda658-907a-4f15-ac75-31743fe2f233, 94, 13861, No update data, 9g3qx21t06e8
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 60, 8183, No update data, 9g3qx28cxxk5
Bird, MEX, fab2725e-6ed9-4a78-9747-f58fc250f902, 78, 11189, No update data, 9g3qx23hfjkb
Bird, MEX, d35a9576-a35c-4a51-8b1b-caa587f5263e, 94, 13861, No update data, 9g3qx231v9tb
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 83, 11376, No update data, 9g3qx231ns6s
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 76, 10270, No update data, 9g3qx231n6hr
Bird, MEX, 5e7dd5f9-a8ac-4ce4-b82c-6c643967fc1e, 65, 9018, No update data, 9g3qx231q01h
Bird, MEX, 9faddf4c-a5cd-47d4-9766-7ed40affa7c3, 98, 14529, No update data, 9g3qx231m6zt
Bird, MEX, 982395b4-395e-4375-a321-4c510a3a2944, 83, 11376, No update data, 9g3qx28gw1rq
Bird, MEX, 5b07c2c0-a805-445d-b168-01ac8898e484, 94, 13861, No update data, 9g3qx231jwmb
Bird, MEX, b653854b-733e-4c4c-8e76-3b570ba90c22, 75, 10688, No update data, 9g3qx3p0h7nm
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 62, 8058, No update data, 9g3qx231j4s9
Bird, MEX, b2e3c829-5ace-41a0-a656-23f18e4fb866, 82, 11857, No update data, 9g3qx2xx59cv
Bird, MEX, 031016b4-d140-43d1-b68d-dcdb3a7b11a0, 69, 9164, No update data, 9g3qx2zpv74g
Bird, MEX, e650c12c-3f3b-4556-a841-e81522b2111e, 85, 12358, No update data, 9g3qx3kkn86s
Bird, MEX, 83220a33-fefd-4340-b5ab-2b7478bcb44d, 93, 13694, No update data, 9g3qx231kneh
Bird, MEX, 691c9de0-ebc1-4c01-83f0-de18eda72a5f, 87, 12692, No update data, 9g3qx3kkm3pf
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 72, 9638, No update data, 9g3qx21pvsmf
Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 93, 13694, No update data, 9g3qx230efuz
Bird, MEX, 02006705-1f0f-45ac-a77b-0e0d538e4b93, 96, 13430, No update data, 9g3qx28g7mkt
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 97, 14362, No update data, 9g3qx234172q
Bird, MEX, 82dcd49c-65e1-4665-9b35-302cd6e6627b, 73, 10354, No update data, 9g3qx230e9c8
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 88, 12166, No update data, 9g3qx28ue0y6
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 88, 12166, No update data, 9g3qx28udwtp
Bird, MEX, 72a414a0-8b65-4ea5-bdee-163e7010ce34, 91, 12640, No update data, 9g3qrrykbmgg
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 87, 12008, No update data, 9g3qx28v3u0m
Bird, MEX, 593ffe56-8d8b-4e06-89da-7ed7015103f6, 99, 13904, No update data, 9g3qx3mk5h8r
Bird, MEX, 7beff964-6325-4b2b-8a5b-83dccdddfc36, 93, 13694, No update data, 9g3qx21hxm2z
Bird, MEX, f508e66d-1d30-4da5-8a2a-e5977729c4f3, 93, 13694, No update data, 9g3qx216fm1z
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 92, 13527, No update data, 9g3qx2zter7e
