Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 69, 9164, No update data, 9g3qx2z491rn
Bird, MEX, 2a5325db-3946-4d15-ac61-26abefd8c45e, 56, 7515, No update data, 9g3qx2yy4k6j
Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 42, 4898, No update data, 9g3qx2ctwftw
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 85, 11692, No update data, 9g3qx2z49z2e
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 84, 11534, No update data, 9g3qx2z4dt0n
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 92, 13527, No update data, 9g3qx2yvu7wr
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 84, 11534, No update data, 9g3qx2z4e1ns
Bird, MEX, 4caf17b2-5dfe-4e34-8ecc-03927add5088, 97, 14362, No update data, 9g3qx2yyhb9w
Bird, MEX, a0336dc2-b55c-4bc7-b374-bca41585f67c, 97, 14362, No update data, 9g3qx2yyebb5
Bird, MEX, 24ad8133-a7fa-4cf0-8e41-66fac3d9959f, 97, 13588, No update data, 9g3qx21wvrrv
Bird, MEX, 3920bda7-b0f7-4ee7-ad10-1b8c92d03dea, 81, 11690, No update data, 9g3qx233x32y
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 94, 13861, No update data, 9g3qx2yynpx8
Bird, MEX, 6f8130ff-0110-410a-a838-ad21ad88e88a, 99, 13904, No update data, 9g3qx21wu2yh
Bird, MEX, c8bcfb7d-1d1c-444e-8740-47810b5a00c2, 97, 13588, No update data, 9g3qx233wn3j
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 64, 8374, No update data, 9g3qx2380xny
Bird, MEX, 847e0733-5631-469d-a432-1495ff3996af, 96, 13430, No update data, 9g3qx21wkv3k
Bird, MEX, fab2725e-6ed9-4a78-9747-f58fc250f902, 80, 11523, No update data, 9g3qx23pr22y
Bird, MEX, 72a414a0-8b65-4ea5-bdee-163e7010ce34, 92, 12798, No update data, 9g3qx2nd292g
Bird, MEX, 1ba2076a-c5ee-4b15-8423-b3a3a18e9287, 100, 14062, No update data, 9g3qx233tph9
Bird, MEX, 7181da95-aada-4f09-abc7-b0a9b22f0195, 97, 14362, No update data, 9g3qx236h4zg
Bird, MEX, aecb2517-a087-407e-a8f5-4d17b824c384, 98, 14529, No update data, 9g3qx23nqc2g
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 90, 12482, No update data, 9g3qx233kskr
Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 96, 14195, No update data, 9g3qx232mtmv
Bird, MEX, ae1acd5e-47c5-44ab-b0f3-c5fbae204d43, 84, 12191, No update data, 9g3qx23nmdmc
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 89, 12324, No update data, 9g3qx232ukn0
Bird, MEX, ceb26f54-09ec-44b4-b928-476cf5a82926, 98, 13746, No update data, 9g3qx21ry9d8
Bird, MEX, 9e2076dd-7e4a-4c88-b519-5b4d6b32bd96, 96, 13430, No update data, 9g3qx23nkryh
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 79, 10744, No update data, 9g3qx232hgc2
Bird, MEX, 8e795b2b-05cb-41d7-8077-176ae8687cbd, 97, 14362, No update data, 9g3qx23juesq
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 87, 12008, No update data, 9g3qx233682j
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 90, 12482, No update data, 9g3qx29168jh
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 100, 14863, No update data, 9g3qx232dzgp
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 89, 12324, No update data, 9g3qx290cynw
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 84, 11534, No update data, 9g3qx21rm2dz
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 90, 12482, No update data, 9g3qx2331s7k
Bird, MEX, 66dbe6e8-6ed7-46d9-a4b8-1a8f853c57ad, 99, 14696, No update data, 9g3qx2324m1b
Bird, MEX, 7eb9f5b2-d82b-4eac-8620-fb60dc01546d, 80, 11523, No update data, 9g3qx2908mg9
Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 100, 14062, No update data, 9g3qx2znq4cq
Bird, MEX, 82dcd49c-65e1-4665-9b35-302cd6e6627b, 74, 10521, No update data, 9g3qx21rcq2r
Bird, MEX, b2e3c829-5ace-41a0-a656-23f18e4fb866, 84, 12191, No update data, 9g3qx2z8bjvs
Bird, MEX, 9faddf4c-a5cd-47d4-9766-7ed40affa7c3, 100, 14863, No update data, 9g3qx231q0xr
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 98, 14529, No update data, 9g3qx21kzrrj
Bird, MEX, 4048c69a-9e8b-4883-8910-f3a23b6da33e, 85, 11692, No update data, 9g3qx3k7wvvf
Bird, MEX, e650c12c-3f3b-4556-a841-e81522b2111e, 91, 13360, No update data, 9g3qx3k7twqn
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 99, 14696, No update data, 9g3qx230x20y
Bird, MEX, 691c9de0-ebc1-4c01-83f0-de18eda72a5f, 89, 13026, No update data, 9g3qx3k7uf1m
Bird, MEX, d35a9576-a35c-4a51-8b1b-caa587f5263e, 98, 14529, No update data, 9g3qx230ws4x
Bird, MEX, 83220a33-fefd-4340-b5ab-2b7478bcb44d, 96, 14195, No update data, 9g3qx230y11n
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 88, 12166, No update data, 9g3qx21mjvk4
Bird, MEX, 2deda658-907a-4f15-ac75-31743fe2f233, 97, 14362, No update data, 9g3qx21mjxtb
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 88, 12166, No update data, 9g3qx21mn490
Bird, MEX, 5e7dd5f9-a8ac-4ce4-b82c-6c643967fc1e, 67, 9352, No update data, 9g3qx230wn3j
Bird, MEX, 5b07c2c0-a805-445d-b168-01ac8898e484, 97, 14362, No update data, 9g3qx230nnr2
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 84, 11534, No update data, 9g3qx21mhxu3
Bird, MEX, 031016b4-d140-43d1-b68d-dcdb3a7b11a0, 70, 9322, No update data, 9g3qx2zpvz5h
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 89, 12324, No update data, 9g3qx28fs9kq
Bird, MEX, 02006705-1f0f-45ac-a77b-0e0d538e4b93, 97, 13588, No update data, 9g3qx28gk8kq
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 96, 14195, No update data, 9g3qx2zq4kdp
Bird, MEX, 8df797e7-7b0e-48f8-a943-fea682f142f5, 97, 14362, No update data, 9g3qx2zmgs3f
Bird, MEX, 7c163c5f-0b43-46be-a25d-8256872a99ca, 97, 14362, No update data, 9g3qx3p0mtn5
Bird, MEX, 1d03b435-5234-4603-8eed-5e3f5c7a18d1, 98, 14529, No update data, 9g3qx2zmsmnq
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 89, 12324, No update data, 9g3qx28g7s3x
Bird, MEX, b77731ba-e697-4eb0-a862-e8b60ba1b526, 54, 7181, No update data, 9g3qx28g5hwq
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 62, 8517, No update data, 9g3qx28g7hy3
Bird, MEX, 304641d8-118f-4753-a91a-7187243d9247, 98, 14529, No update data, 9g3qx2zqh57p
Bird, MEX, 593ffe56-8d8b-4e06-89da-7ed7015103f6, 100, 14062, No update data, 9g3qx3m7kfp8
Bird, MEX, b653854b-733e-4c4c-8e76-3b570ba90c22, 83, 12024, No update data, 9g3qx3p1n5c3
Bird, MEX, ca264705-8a9b-461c-be40-6b979e038e06, 62, 8058, No update data, 9g3qx3p0z4hj
Bird, MEX, 982395b4-395e-4375-a321-4c510a3a2944, 84, 11534, No update data, 9g3qx28f3qbr
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 98, 10266, No update data, 9g3qx2zt9x59
Bird, MEX, f815c609-1181-499f-9c86-c1ebf4a7906e, 100, 10502, No update data, 9g3qx2zsk87q
Bird, MEX, 878dacf6-0a6f-493a-b236-d9ef3dbf3636, 34, 3841, No update data, 9g3qx2zssse6
Bird, MEX, f79fe92a-822e-48ad-bf8c-4c4953a8f041, 100, 14863, No update data, 9g3qx2zewksd
Bird, MEX, 50af0392-0199-42ed-8d07-16e9a66d4d8f, 56, 7110, No update data, 9g3qrrcvrkz0
Bird, MEX, 6018a9ad-c989-4a26-b2ad-86e248705377, 100, 14863, No update data, 9g3qx2zsuvcs
Bird, MEX, f3462101-625e-4c6e-a9f0-cc7c01652f8e, 99, 14696, No update data, 9g3qx2zsqdfw
Bird, MEX, 1ccedbad-8286-4690-8a8a-d7f0c651583e, 97, 14362, No update data, 9g3qx215s9kq
Bird, MEX, ef939bca-1443-409b-9f00-02c9ae789515, 52, 6478, No update data, 9g3qrrf5ft81
Bird, MEX, f508e66d-1d30-4da5-8a2a-e5977729c4f3, 97, 14362, No update data, 9g3qx215kg1r
Bird, MEX, 7beff964-6325-4b2b-8a5b-83dccdddfc36, 96, 14195, No update data, 9g3qx215esce
Bird, MEX, c94ef371-15a1-4e5c-8aca-ff77c3951907, 97, 14362, No update data, 9g3qx215k2qj
Bird, MEX, 2cff7cc7-02e4-4d80-b93b-6a67bececbd6, 65, 9018, No update data, 9g3qx31t865e
Bird, MEX, 43522403-e4db-4674-ac78-34baba739275, 90, 13193, No update data, 9g3qrrf32tqu
Bird, MEX, f00a944f-dc26-4234-9937-174fa6b9d8d5, 92, 13527, No update data, 9g3qrrsszsuj
Bird, MEX, a41d02d8-d8f4-4c4b-a68c-1e48c281b5f2, 76, 10270, No update data, 9g3qrrssxjkn
Bird, MEX, f045452a-a846-49ff-944d-c58a8394eac6, 94, 13861, No update data, 9g3qx20x1xe2
Bird, MEX, f7ee63b0-66db-4e34-a9d9-00f1b38b1ef8, 99, 14696, No update data, 9g3qx20wcyqx
Bird, MEX, 8cba6cde-a83a-4e8a-a76e-ac875b990d63, 96, 14195, No update data, 9g3qx20w6sb1
Bird, MEX, f1b9bf17-41be-4399-98ae-2071a1dc4b31, 98, 14529, No update data, 9g3qx8bn1jxm
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 76, 10270, No update data, 9g3qx8bn8szh
Bird, MEX, 3d5bb277-0baa-4567-8d7e-2f1e978d3b4c, 99, 14696, No update data, 9g3qx20wc1x0
Bird, MEX, e4e1ce05-dc5f-4347-81a4-e5a546cae780, 97, 14362, No update data, 9g3qx20w9j6p
Bird, MEX, 95e0440a-64aa-496d-9f01-f7f57d8daf4e, 96, 14195, No update data, 9g3qx20w81v2
Bird, MEX, cd7ca02f-86b1-452a-847a-ca87f9d71354, 21, 1670, No update data, 9g3qx8bndqph
Bird, MEX, baf7e912-841b-40cd-a505-13a330771c51, 97, 14362, No update data, 9g3qx8bndwmn
Bird, MEX, dcfdfce1-933b-420a-9a24-1dd30f58bda8, 93, 13694, No update data, 9g3qx8bneh22
Bird, MEX, 371b868b-bbeb-4909-bb7c-ddfe1b24685d, 99, 14696, No update data, 9g3qx8bnfv72
Bird, MEX, 424ffa28-39e4-4f27-8b2f-5b8a10f03125, 56, 7110, No update data, 9g3qx8bjtdwn
Bird, MEX, 847d751c-f301-4ac2-b08c-7d40dd624149, 89, 13026, No update data, 9g3qx8bnezj1
Bird, MEX, 2038178e-884b-4374-a472-add4acadc045, 79, 10744, No update data, 9g3qx3pcv9np
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 99, 13904, No update data, 9g3qx20mrmrh
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 100, 14863, No update data, 9g3qx20qjpu9
Bird, MEX, 4fb452cf-95e7-40c1-a3eb-d0d2076ef381, 99, 14696, No update data, 9g3qx20qhwk2
Bird, MEX, 53239a68-389d-42f8-ad28-fa6af312c06d, 100, 14062, No update data, 9g3qx20mn7u2
Bird, MEX, e7a42ae0-34c9-45cd-90eb-7a2959fd031b, 87, 12008, No update data, 9g3qx20e93b2
