Bird, MEX, d5c6bbb1-7b56-493b-a2e8-e000f096d38a, 100, 14062, No update data, 9g3qrm36y0rr
Bird, MEX, 2174d982-0bbf-453a-b37e-27a7fc181963, 87, 12008, No update data, 9g3qrkbhz15g
Bird, MEX, d5349e34-506d-4310-b52e-91a5f74550f5, 91, 12640, No update data, 9g3qrm0d3we3
Bird, MEX, ffc35506-9c3c-4b44-878a-946ab9ee5c6f, 90, 13193, No update data, 9g3qrkbj3ktj
Bird, MEX, 05a686d7-7011-4ec6-ac28-75433d5d7b0f, 45, 5372, No update data, 9g3qr5zfyzvt
Bird, MEX, 05219d8d-0ada-4f49-b58f-cc3b9d4c4e62, 51, 6320, No update data, 9g3qrhzvrmzj
Bird, MEX, 7a892288-ecb0-401c-b100-df2be86a99a0, 89, 12324, No update data, 9g3qrhzwvxby
Bird, MEX, b501171b-28ae-4bed-bb62-142201feab2e, 96, 14195, No update data, 9g3qrjp2pk8g
Bird, MEX, ebc775e8-8dd4-4e71-9335-5c7369beeaf8, 99, 13904, No update data, 9g3qrjp2rqz5
Bird, MEX, 0275247e-d8a4-4354-9ea2-73d1af9a675c, 49, 6004, No update data, 9g3qrhq8qppk
Bird, MEX, 7ca2c1f0-861d-40e2-941d-3145426d2166, 69, 9164, No update data, 9g3qrhn57tcs
Bird, MEX, 4466a0a6-8655-49cc-8237-ae3770cce78e, 82, 11218, No update data, 9g3qrhwngt3w
Bird, MEX, 6ccde440-606d-4c2a-b861-e494878c4a7a, 57, 7268, No update data, 9g3qr5um4k38
Bird, MEX, 94a34ee2-e516-407e-8f1b-98eb84c9e7e1, 90, 12482, No update data, 9g3qrhkx4nhs
Bird, MEX, 21a514e1-9eb1-49bf-82da-e73751947dfb, 45, 5372, No update data, 9g3qrjhfn862
Bird, MEX, eb24dbdb-add7-4f69-8223-1c272735bb7b, 75, 10112, No update data, 9g3qrj58zfdj
Bird, MEX, b91b1a88-f2b7-49ec-b1d1-5a751951db41, 72, 9638, No update data, 9g3qrjkfff51
Bird, MEX, 36930ce4-ff02-4a05-bd94-35e3a3eb3618, 74, 9954, No update data, 9g3qrjk0gjnm
Bird, MEX, 8dc85a69-9424-40f8-9325-a34d6695493b, 69, 9164, No update data, 9g3qrjkeryf5
Bird, MEX, 501852ce-f161-48c1-bd71-2a09a4db83d6, 51, 6320, No update data, 9g3qrjkg8103
Bird, MEX, 92596936-d796-420e-8c81-a2562ab9ce09, 81, 11060, No update data, 9g3qrjkk9y26
Bird, MEX, 8f7ab418-2c00-4ad2-b27c-620284e5c12b, 82, 11218, No update data, 9g3qrj33d71w
Bird, MEX, 792713ca-b970-44bd-8e06-21cb646db0ee, 83, 11376, No update data, 9g3qrj332t9e
Bird, MEX, 90f9e687-cd7b-4f5a-acf5-3ff76b574f3c, 65, 8532, No update data, 9g3qrj3xzp58
Bird, MEX, c2d82507-c8a5-457b-a2e6-d3070fc41652, 90, 12482, No update data, 9g3qrjdnb3g2
Bird, MEX, b3174f69-fcd6-4e94-8eca-28a1533e1048, 65, 9018, No update data, 9g3qrjdp04mq
Bird, PBC, c7972ae7-bf69-4a82-b610-fbd7e9313832, 100, 14863, No update data, 9g6h7n4geq5w
Bird, PBC, 6e54d93d-8197-4d8f-9347-6d1342c419ef, 100, 14863, No update data, 9g6h7n4gsk8h
Bird, PBC, aee18a30-69db-46ee-9697-05cb4f13632e, 100, 14863, No update data, 9g6h7n4gs6b0
Bird, PBC, 24f388cd-9f9a-412b-8397-c35ed59db9a1, 62, 8517, No update data, 9g6h7jf1jdyj
Bird, PBC, de2993fb-c1da-4cf6-b471-6f6a3e6d093b, 100, 14863, No update data, 9g6h7jf2h055
Bird, PBC, d3e2fe89-7363-426f-b300-ab352df9367d, 100, 14863, No update data, 9g6h7jf2j0kt
Bird, PBC, 15ed7681-1426-4d26-a15e-16ad293c4f5f, 100, 14863, No update data, 9g6h7jdruzpw
Bird, PBC, a03ac9fd-b0df-4882-8897-573fb1119802, 98, 14529, No update data, 9g6h7jm7vqpz
Bird, PBC, 97069102-8afe-492e-ad6b-027099f0026c, 100, 14863, No update data, 9g6h7jm7ytft
Bird, PBC, 6987cd46-f241-4745-acf7-0e4519ad1030, 100, 14863, No update data, 9g6h7jm7vce4
Bird, PBC, 7715ad14-2e09-42e8-95cc-788eb13b76b1, 100, 14863, No update data, 9g6h7jm7wqht
Bird, PBC, 2eb776f3-e8bc-4cdd-ae92-e38404612675, 97, 14362, No update data, 9g6h7jrpg5y8
Bird, PBC, f2f38284-b6bc-477e-aecb-83d741078582, 100, 14863, No update data, 9g6h7jq31zwf
Bird, PBC, a5286a54-9879-4cce-98e2-0e542ef32de1, 98, 14529, No update data, 9g6h7jq31hpk
Bird, PBC, a4bd3af9-a334-4dd7-908b-83f4e573b3bc, 100, 14863, No update data, 9g6h7jq31vwy
Bird, PBC, 7a889905-5345-4608-8295-83ab8c14e60d, 100, 14863, No update data, 9g6h7jq37bv1
Bird, PBC, afc8067e-7b8b-4fbe-80dc-e1be52292709, 100, 14863, No update data, 9g6h7jnkwj93
Bird, PBC, c9a4c41e-3504-44a3-a959-eff4ebe0eabc, 100, 14863, No update data, 9g6h7jnkw5xt
Bird, PBC, 213bb3bc-06fd-4df3-a679-36b2372b816f, 100, 14863, No update data, 9g6h7hut4e0n
Bird, PBC, a42e6c87-dd39-4a14-9c3c-08fdb25e6b98, 100, 14863, No update data, 9g6h7husfngg
Bird, PBC, 1aa74363-d264-40bd-bf5b-c107e32d0ade, 100, 14863, No update data, 9g6h7husfnec
Bird, PBC, ad6e9fc1-67e6-42d8-9548-60a591954805, 100, 14863, No update data, 9g6h7husfwjp
Bird, PBC, 07ba914f-4c0f-40ba-a297-6346a40be63f, 100, 14863, No update data, 9g6h7jnc10dr
Bird, PBC, 9726ef99-c1b4-4e8a-9798-b10b319f9790, 100, 14863, No update data, 9g6h7jnbbt8g
Bird, PBC, 38dd1ad4-fd54-40c3-af18-ff2b6f4edc71, 100, 14863, No update data, 9g6h7jnbcbyy
Bird, PBC, df58b661-2500-4416-8474-258dab80c6cb, 100, 14863, No update data, 9g6h7jnb29xp
Bird, PBC, f6df7fb5-56a8-44c4-a76a-4086d9f8f528, 100, 14863, No update data, 9g6h7hsrkc9x
Bird, PBC, ec8fd27d-f1b4-4e02-8f7f-ca556306557e, 100, 14863, No update data, 9g6h7hsrhx5r
Bird, PBC, 5608506e-c4e5-4462-ac4f-89c2f6632927, 100, 14863, No update data, 9g6h7hsr5guf
Bird, PBC, 90a42abe-2cea-4582-8cbd-f5cc355a856c, 100, 14863, No update data, 9g6h7kcjy09k
Bird, PBC, 27f15815-07a0-406e-a2b6-11305679382e, 100, 14863, No update data, 9g6h7kcjwnc2
Bird, PBC, 6e2d6089-9385-494e-abcf-9f56bd8a7177, 100, 14863, No update data, 9g6h7kcjwprs
Bird, PBC, 052d2d9f-46c2-49d9-ab3d-5c410be1210f, 100, 14863, No update data, 9g6h7kc0enqw
Bird, PBC, 5897572c-0d6c-4b97-9703-cef4c88e1c42, 100, 14863, No update data, 9g6h7kc0ewcb
Bird, PBC, 2310d033-f1ef-4d83-ade2-0c7693a60c8d, 99, 14696, No update data, 9g6h7kc0she7
Bird, PBC, 97d52b39-86c1-48d6-9637-e6c93073fdc8, 75, 10688, No update data, 9g6h7keph9es
Bird, PBC, b0b389dd-f2d6-440d-81ca-24477fe25732, 81, 11690, No update data, 9g6h7kephbww
Bird, PBC, ad0fa3e1-89fb-44f6-b921-686a6a95d822, 94, 13861, No update data, 9g6h7s1s742f
